0	Index      	 *	Score 	Summary	Detail	
1	21161 21132	 * 	253.03	ACR|3AART|3BEXP|2ASPD|1VULN|1AAC	146BEXP|2RCR|39aAART|46BPWR|56ASPD|7AAC|8VULN
12	21161 25353	   	243.50	ACR|1BASARM|3BEXP|2ASPD|1AART	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CGEN|8MLV|9BASARM|aRMIN
13	21161 61344	   	243.50	ACR|1BASARM|3BEXP|2ASPD|1AART	147BEXP|2RCR|3AART|47BPWR|57ASPD|678LIT|9MBVNT|aBASARM
14	21161 22351	   	243.40	ACR|1BASARM|3BEXP|2ASPD|1AART	146BEXP|2RCR|3AART|46BPWR|56ASPD|7ERES|8MLV|9BASARM|aFEWX
15	21161 22352	   	243.40	ACR|1BASARM|3BEXP|2ASPD|1AART	146BEXP|2RCR|3AART|46BPWR|56ASPD|7ERES|8MLV|9BASARM|aBELT
16	21161 22353	   	243.40	ACR|1BASARM|3BEXP|2ASPD|1AART	146BEXP|2RCR|3AART|46BPWR|56ASPD|7ERES|8MLV|9BASARM|aRMIN
17	21161 22354	   	243.40	ACR|1BASARM|3BEXP|2ASPD|1AART	146BEXP|2RCR|3AART|46BPWR|56ASPD|7ERES|8MLV|9BASARM|aLWND
18	21161 22355	   	243.30	ACR|1BASARM|3BEXP|2ASPD|1AART	146BEXP|2RCR|3AART|46BPWR|56ASPD|7ERES|8MLV|9BASARM|aDUST
19	21161 22356	   	243.30	ACR|1BASARM|3BEXP|2ASPD|1AART	146BEXP|2RCR|3AART|46BPWR|56ASPD|7ERES|8MLV|9BASARM|aMSLTOX
20	21161 24243	 * 	243.10	ACR|3BEXP|2ASPD|2VULN|1AART|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8LWND|9aVULN
21	21166 11322	 * 	241.87	ACR|2VULN|3BEXP|2AART|1DMG|1CDMG	145BEXP|2RCR|39AART|4BPWR|67VULN|8CDMG|aDMG
22	21613 24421	   	241.84	ACR|3VULN|2DMG|2BEXP|1AART|1CDMG	18BEXP|2RCR|3RPLT|4AART|5CDMG|68DMG|78aVULN|8BPWR|9DUST
23	21161 21255	 * 	240.91	ACR|3BEXP|2ASPD|2DMG|1AART|1AAC	146BEXP|2RCR|3AART|46BPWR|56ASPD|7AAC|8aDMG|9MDPS
24	21613 24411	   	240.85	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG|1AAC	18BEXP|2RCR|3RPLT|4AART|5CDMG|68DMG|78VULN|8BPWR|9RCVC|aAAC
25	21121 63434	 * 	239.87	ACR|2DMG|1VULN|2BEXP|1AART|1ASPD|2AAC	18BEXP|2RCR|3AART|4VULN|58DUR|69AAC|78DMG|8BPWR|aASPD
26	61123 52138	   	239.44	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1CDMG	1DUR|2RCR|3AART|4VULN|5LWND|6ASPD|7MBVNT|8DMG|9BASARM|aCDMG
27	21613 24433	   	239.14	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG|1AAC	18BEXP|2RCR|3RPLT|4AART|5CDMG|68DMG|78VULN|8BPWR|9ERES|aAAC
28	21161 21253	 * 	238.98	ACR|3ASPD|3BEXP|1AART|1DMG|1AAC	146BEXP|2RCR|3AART|46BPWR|56aASPD|7AAC|8DMG|9MDPS
29	21161 24431	 * 	238.78	ACR|3BEXP|2ASPD|2AART|2CDMG|1AAC	146BEXP|2RCR|38AART|46BPWR|56ASPD|79CDMG|aAAC
30	21161 21133	   	238.58	ACR|3BEXP|2ASPD|2AART|1VULN|1AAC	146BEXP|2RCR|39AART|46BPWR|56ASPD|7AAC|8VULN|aLHND
31	21161 21134	   	238.58	ACR|3BEXP|2ASPD|2AART|1VULN|1AAC	146BEXP|2RCR|39AART|46BPWR|56ASPD|7AAC|8VULN|aZMB
32	21161 21135	   	238.58	ACR|3BEXP|2ASPD|2AART|1VULN|1AAC	146BEXP|2RCR|39AART|46BPWR|56ASPD|7AAC|8VULN|aCGEN
33	61123 53131	   	238.54	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1BEXP	1DUR|2RCR|3AART|4VULN|5LWND|6ASPD|7BEXP|8DMG|9BASARM|aCGEN
34	61123 53132	   	238.54	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1BEXP	1DUR|2RCR|3AART|4VULN|5LWND|6ASPD|7BEXP|8DMG|9BASARM|aZMB
35	61123 53134	   	238.54	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1BEXP	1DUR|2RCR|3AART|4VULN|5LWND|6ASPD|7BEXP|8DMG|9BASARM|aRMIN
36	61123 53135	   	238.54	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1BEXP	1DUR|2RCR|3AART|4VULN|5LWND|6ASPD|7BEXP|8DMG|9BASARM|aLHND
37	21161 21136	   	238.48	ACR|3BEXP|2ASPD|2AART|1VULN|1AAC	146BEXP|2RCR|39AART|46BPWR|56ASPD|7AAC|8VULN|aTLV
38	61123 52133	   	238.42	ACR|1BASARM|2VULN|1AART|1ASPD|1DMG	1DUR|2RCR|3AART|4aVULN|5LWND|6ASPD|7MBVNT|8DMG|9BASARM
39	21121 63533	   	238.41	ACR|1BASARM|2VULN|1AART|1DMG|1BEXP|1AAC	1BEXP|2RCR|3AART|4aVULN|5DUR|6AAC|7DMG|8LHND|9BASARM
40	21121 64533	   	238.41	ACR|1BASARM|2VULN|1AART|1ASPD|1BEXP|1AAC	1BEXP|2RCR|3AART|4aVULN|5DUR|6AAC|7ASPD|8LHND|9BASARM
41	61123 63233	   	238.41	ACR|1BASARM|2VULN|1AART|1DMG|1BEXP|1AAC	1DUR|2RCR|3AART|4aVULN|5LWND|6AAC|7DMG|8BEXP|9BASARM
42	61123 64233	   	238.41	ACR|1BASARM|2VULN|1AART|1ASPD|1BEXP|1AAC	1DUR|2RCR|3AART|4aVULN|5LWND|6AAC|7ASPD|8BEXP|9BASARM
43	21425 52312	 * 	238.38	ACR|2VULN|2DMG|1ASPD|1BASICY|1AART|1BEXP	1BEXP|2RCR|3LWND|4BASICY|5ASPD|67VULN|8AART|9aDMG
44	21126 63533	   	238.31	ACR|1BASARM|2VULN|1AART|1DMG|1BEXP|1AAC	1BEXP|2RCR|3AART|4aVULN|5LHND|6AAC|7DMG|8LEGI|9BASARM
45	21135 54222	   	238.07	ACR|2ASPD|2BEXP|1VULN|1AART|1DMG|1CDMG	15BEXP|2RCR|3AART|4MDPS|5BPWR|67ASPD|8CDMG|9VULN|aDMG
46	21161 21112	   	237.48	ACR|3BEXP|2ASPD|2AART|1VULN|1AAC	146BEXP|2RCR|3aAART|46BPWR|56ASPD|7AAC|8VULN|9AEFBLL
47	21166 24133	   	237.16	ACR|1BASARM|3BEXP|1AART|1VULN|1CDMG	145BEXP|2RCR|3AART|4BPWR|6CGEN|7CDMG|8RMIN|9BASARM|aVULN
48	21161 21422	   	237.08	ACR|3BEXP|2ASPD|1AART|1DMG|1CDMG|1AAC	146BEXP|2RCR|3AART|46BPWR|56ASPD|7AAC|8LHND|9CDMG|aDMG
49	21161 24613	 * 	235.68	ACR|3BEXP|2ASPD|1AART|2CDMG|1VULN	146BEXP|2RCR|3AART|46BPWR|56ASPD|78CDMG|9AME|aVULN
50	21161 24623	   	235.68	ACR|3BEXP|2ASPD|1AART|2CDMG|1VULN	146BEXP|2RCR|3AART|46BPWR|56ASPD|78CDMG|9TLV|aVULN
51	21161 16215	   	234.98	ACR|3BEXP|2ASPD|1VULN|1AART|1DMG	147BEXP|2RCR|3AART|47BPWR|57ASPD|67DUR|8LHND|9VULN|aDMG
52	21161 24612	 * 	234.98	ACR|3BEXP|2ASPD|1AART|2CDMG|1DMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|78CDMG|9AME|aDMG
53	21161 24622	   	234.98	ACR|3BEXP|2ASPD|1AART|2CDMG|1DMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|78CDMG|9TLV|aDMG
54	21161 16115	   	234.88	ACR|3BEXP|2ASPD|1VULN|1AART|1DMG	147BEXP|2RCR|3AART|47BPWR|57ASPD|67DUR|8DUST|9VULN|aDMG
55	61621 53311	 * 	234.47	ACR|1BASARM|2ASPD|1DMG|1VULN|1CDMG	1DUR|2RCR|3RPLT|4DMG|5CDMG|6BASARM|7LIT|89ASPD|aVULN
56	21166 13632	   	234.34	ACR|3AART|3BEXP|1VULN|1ASPD|1AAC	145BEXP|2RCR|39aAART|4BPWR|6VULN|7AAC|8ASPD
57	21162 11416	 * 	234.04	ACR|1BASARM|2VULN|3BEXP|1AART	148BEXP|2RCR|3AART|48BPWR|5LWND|68VULN|78DUST|9MDPS|aBASARM
58	21163 11416	   	234.04	ACR|1BASARM|2VULN|3BEXP|1AART	148BEXP|2RCR|3AART|48BPWR|5LHND|68VULN|78DUST|9MDPS|aBASARM
59	61121 15226	 * 	233.79	ACR|3VULN|1BASARM|2BASICY|1AART	1aDUR|2RCR|3AART|46aVULN|5RCVC|7BASARM|8ERES|9aBASICY|aBPWR
60	21122 63414	   	233.63	ACR|2DMG|1VULN|2BEXP|1AART|1ASPD|1AAC	18BEXP|2RCR|3AART|4VULN|58FEWX|6AAC|78DMG|8BPWR|9RCVC|aASPD
61	61123 63236	   	233.62	ACR|1BASARM|1VULN|1AART|1DMG|2AAC|1BEXP	1DUR|2RCR|3AART|4VULN|5LWND|6aAAC|7DMG|8BEXP|9BASARM
62	21135 53115	 * 	233.55	ACR|3BEXP|2AART|1VULN|1ASPD|1DMG	157BEXP|2RCR|38AART|4MDPS|5BPWR|6ASPD|9VULN|aDMG
63	61123 52137	   	233.09	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1AAC	1DUR|2RCR|3AART|4VULN|5LWND|6ASPD|7MBVNT|8DMG|9BASARM|aAAC
64	61121 15222	   	232.81	ACR|2VULN|1BASARM|1AART|1BASICY|1CDMG	1DUR|2RCR|3AART|46VULN|5RCVC|7BASARM|8ERES|9BASICY|aCDMG
65	21613 24413	   	232.54	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	18BEXP|2RCR|3RPLT|4AART|5CDMG|68DMG|78VULN|8BPWR|9RCVC|aFEWX
66	21121 63432	   	232.44	ACR|2VULN|2DMG|2BEXP|1AART|2AAC	18BEXP|2RCR|3AART|4aVULN|58DUR|69AAC|78DMG|8BPWR
67	21121 64432	   	232.44	ACR|2VULN|2ASPD|2BEXP|1AART|2AAC	18BEXP|2RCR|3AART|4aVULN|58DUR|69AAC|78ASPD|8BPWR
68	21122 63442	   	232.44	ACR|2VULN|2DMG|2BEXP|1AART|2AAC	18BEXP|2RCR|3AART|4aVULN|58FEWX|69AAC|78DMG|8BPWR
69	21621 43631	 * 	232.42	ACR|3BEXP|2ASPD|2DMG|2CDMG	167BEXP|2RCR|3RPLT|49DMG|59CDMG|89ASPD|9BPWR|aRCVC
70	21612 14412	 * 	232.27	ACR|3VULN|2BEXP|1AART|2CDMG|1DMG	18BEXP|2RCR|3RPLT|4AART|5DMG|68CDMG|78aVULN|8BPWR|9RCVC
71	61123 14133	   	232.10	ACR|1BASARM|2VULN|1AART|1DMG|1CDMG	1DUR|2RCR|3AART|4aVULN|5LWND|6CDMG|7RPLT|8DMG|9BASARM
72	21161 24433	   	231.78	ACR|3BEXP|2ASPD|2AART|2CDMG	146BEXP|2RCR|38AART|46BPWR|56ASPD|79CDMG|aRCVC
73	21166 11341	 * 	231.73	ACR|2VULN|3BEXP|1AART|1ASPD|2CDMG	145BEXP|2RCR|3AART|4BPWR|67VULN|8aCDMG|9ASPD
74	21161 51341	   	231.73	ACR|2DMG|1VULN|2BEXP|1AART|1ASPD|1AAC	14BEXP|2RCR|3AART|4BPWR|5ASPD|6VULN|7AAC|8MDPS|9aDMG
75	21166 11343	   	231.72	ACR|2VULN|3BEXP|1AART|1ASPD|1CDMG|1AAC	145BEXP|2RCR|3AART|4BPWR|67VULN|8CDMG|9ASPD|aAAC
76	21161 24223	   	231.47	ACR|3BEXP|2ASPD|2AART|1CDMG|1AAC	146BEXP|2RCR|39AART|46BPWR|56ASPD|7CDMG|8LWND|aAAC
77	21161 21243	   	231.27	ACR|3BEXP|2ASPD|1AART|1DMG|2AAC	146BEXP|2RCR|3AART|46BPWR|56ASPD|79AAC|8DMG|aDUR
78	21161 21245	   	231.27	ACR|3BEXP|2ASPD|1AART|1DMG|2AAC	146BEXP|2RCR|3AART|46BPWR|56ASPD|79AAC|8DMG|aMLV
79	21161 21246	   	231.27	ACR|3BEXP|2ASPD|1AART|1DMG|2AAC	146BEXP|2RCR|3AART|46BPWR|56ASPD|79AAC|8DMG|aCGEN
80	21161 21242	   	231.17	ACR|3BEXP|2ASPD|1AART|1DMG|2AAC	146BEXP|2RCR|3AART|46BPWR|56ASPD|79AAC|8DMG|aMSLFST
81	21135 53113	   	231.07	ACR|3BEXP|2ASPD|2AART|1VULN	157BEXP|2RCR|38AART|4MDPS|5BPWR|6aASPD|9VULN
82	21621 43632	   	231.02	ACR|3BEXP|2ASPD|2DMG|2CDMG	167BEXP|2RCR|3RPLT|49DMG|59CDMG|89ASPD|9BPWR|aMDPS
83	21621 43633	   	231.02	ACR|3BEXP|2ASPD|2DMG|2CDMG	167BEXP|2RCR|3RPLT|49DMG|59CDMG|89ASPD|9BPWR|aLEGI
84	21613 24432	   	230.84	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	18BEXP|2RCR|3RPLT|4AART|5CDMG|68DMG|78VULN|8BPWR|9ERES|aMLV
85	21166 11323	 * 	230.81	ACR|3VULN|3BEXP|2AART|1CDMG	145BEXP|2RCR|39AART|4BPWR|67aVULN|8CDMG
86	21613 24422	   	230.74	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	18BEXP|2RCR|3RPLT|4AART|5CDMG|68DMG|78VULN|8BPWR|9aDUST
87	21613 24423	   	230.74	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	18BEXP|2RCR|3RPLT|4AART|5CDMG|68DMG|78VULN|8BPWR|9DUST|aERES
88	21613 24431	   	230.74	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	18BEXP|2RCR|3RPLT|4AART|5CDMG|68DMG|78VULN|8BPWR|9ERES|aTLV
89	21166 31218	   	230.72	ACR|1BASARM|3BEXP|1AART|1VULN|1AAC	145BEXP|2RCR|3AART|4BPWR|6AAC|7MBVNT|8FEWX|9VULN|aBASARM
90	21161 16213	 * 	230.58	ACR|3ASPD|3BEXP|1VULN|1AART	147BEXP|2RCR|3AART|47BPWR|57aASPD|67DUR|8LHND|9VULN
91	21161 16533	   	230.58	ACR|3ASPD|3BEXP|1VULN|1AART	147BEXP|2RCR|3AART|47BPWR|57aASPD|67DUR|8VULN|9FEWX
92	21161 46213	   	230.58	ACR|3ASPD|3BEXP|1VULN|1AART	147BEXP|2RCR|3AART|47BPWR|57aASPD|67LWND|8LHND|9VULN
93	21612 14421	   	230.57	ACR|3VULN|2BEXP|1AART|1DMG|2CDMG	18BEXP|2RCR|3RPLT|4AART|5DMG|68CDMG|78aVULN|8BPWR|9DUST
94	21161 16613	   	230.48	ACR|3ASPD|3BEXP|1VULN|1AART	147BEXP|2RCR|3AART|47BPWR|57aASPD|67DUR|8LEGI|9VULN
95	21161 24432	   	230.47	ACR|3BEXP|2ASPD|2AART|2CDMG	146BEXP|2RCR|38AART|46BPWR|56ASPD|79CDMG|aDUR
96	21336 45232	 * 	230.21	ACR|1BASARM|2BEXP|1VULN|1ASPD|1AART	16BEXP|2RCR|3MLV|4ERES|5AART|7BASARM|8VULN|9LHND|aASPD
97	21126 33533	   	230.00	ACR|1BASARM|2VULN|1AART|1DMG|1BEXP	1BEXP|2RCR|3AART|4aVULN|5LHND|6RMIN|7DMG|8LEGI|9BASARM
98	21126 34533	   	230.00	ACR|1BASARM|2VULN|1AART|1ASPD|1BEXP	1BEXP|2RCR|3AART|4aVULN|5LHND|6RMIN|7ASPD|8LEGI|9BASARM
99	61126 15222	   	230.00	ACR|2VULN|1BASARM|1AART|1BASICY|1CDMG	15DUR|2RCR|3AART|46VULN|7BASARM|8ERES|9BASICY|aCDMG
100	21612 14411	   	229.57	ACR|2VULN|2BEXP|1AART|1DMG|2CDMG|1AAC	18BEXP|2RCR|3RPLT|4AART|5DMG|68CDMG|78VULN|8BPWR|9RCVC|aAAC
101	61621 53132	   	229.54	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1DUR|2RCR|3RPLT|4DMG|5CDMG|6BASARM|7LIT|8VULN|9ASPD|aBEXP
102	21161 24221	   	229.47	ACR|3BEXP|2ASPD|2AART|2CDMG	146BEXP|2RCR|39AART|46BPWR|56ASPD|7aCDMG|8LWND
103	21161 22366	   	229.17	ACR|3BEXP|2ASPD|2AART|1VULN	146BEXP|2RCR|3aAART|46BPWR|56ASPD|7ERES|8MLV|9VULN
104	21161 24132	   	228.77	ACR|3BEXP|2ASPD|1AART|1DMG|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8RMIN|9DUR|aDMG
105	21161 24162	   	228.77	ACR|3BEXP|2ASPD|1AART|1DMG|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8RMIN|9FEWX|aDMG
106	21161 24232	   	228.77	ACR|3BEXP|2ASPD|1AART|1DMG|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8LWND|9CGEN|aDMG
107	21161 24212	   	228.67	ACR|3BEXP|2ASPD|1AART|1DMG|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8LWND|9NUKE|aDMG
108	21161 16216	   	228.57	ACR|3BEXP|2ASPD|1VULN|1AART|1CDMG	147BEXP|2RCR|3AART|47BPWR|57ASPD|67DUR|8LHND|9VULN|aCDMG
109	21161 16113	   	228.47	ACR|3BEXP|2ASPD|1VULN|1AART|1CDMG	147BEXP|2RCR|3AART|47BPWR|57ASPD|67DUR|8DUST|9VULN|aCDMG
110	21161 23651	   	228.47	ACR|3BEXP|2ASPD|1AART|1VULN|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7LIT|8RPLT|9CDMG|aVULN
111	21161 24123	   	228.47	ACR|3BEXP|2ASPD|1VULN|1AART|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8RMIN|9VULN|aLIT
112	21161 24125	   	228.47	ACR|3BEXP|2ASPD|1VULN|1AART|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8RMIN|9VULN|aLWND
113	21161 24126	   	228.47	ACR|3BEXP|2ASPD|1VULN|1AART|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8RMIN|9VULN|aRPLT
114	21161 24241	   	228.47	ACR|3BEXP|2ASPD|1VULN|1AART|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8LWND|9VULN|aFEWX
115	21161 24242	   	228.47	ACR|3BEXP|2ASPD|1VULN|1AART|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8LWND|9VULN|aLHND
116	21161 24262	   	228.47	ACR|3BEXP|2ASPD|1AART|1VULN|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8LWND|9BELT|aVULN
117	21161 46113	   	228.47	ACR|3BEXP|2ASPD|1VULN|1AART|1CDMG	147BEXP|2RCR|3AART|47BPWR|57ASPD|67LWND|8DUST|9VULN|aCDMG
118	21161 24121	   	228.37	ACR|3BEXP|2ASPD|1VULN|1AART|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8RMIN|9VULN|aMDPS
119	21161 24124	   	228.37	ACR|3BEXP|2ASPD|1VULN|1AART|1CDMG	146BEXP|2RCR|3AART|46BPWR|56ASPD|7CDMG|8RMIN|9VULN|aAME
120	21336 12632	   	228.00	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP	1BEXP|2RCR|3MLV|4ERES|5AART|67VULN|8BASARM|9LHND|aASPD
121	21612 14433	   	227.87	ACR|2VULN|2BEXP|1AART|1DMG|2CDMG|1AAC	18BEXP|2RCR|3RPLT|4AART|5DMG|68CDMG|78VULN|8BPWR|9ERES|aAAC
122	21161 16512	   	227.55	ACR|2VULN|3BEXP|2ASPD|1AART	147BEXP|2RCR|3AART|47BPWR|57ASPD|67DUR|89VULN|aLHND
123	21161 16513	   	227.55	ACR|2VULN|3BEXP|2ASPD|1AART	147BEXP|2RCR|3AART|47BPWR|57ASPD|67aDUR|89VULN
124	21135 53116	   	227.14	ACR|3BEXP|2AART|1VULN|1ASPD|1CDMG	157BEXP|2RCR|38AART|4MDPS|5BPWR|6ASPD|9VULN|aCDMG
125	61123 14136	   	226.78	ACR|1BASARM|1VULN|1AART|1DMG|1CDMG|1AAC	1DUR|2RCR|3AART|4VULN|5LWND|6CDMG|7RPLT|8DMG|9BASARM|aAAC
126	21161 51343	 * 	226.77	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG|1AAC	14BEXP|2RCR|3AART|4BPWR|5ASPD|6aVULN|7AAC|8MDPS|9DMG
127	61121 12266	   	226.40	ACR|2VULN|1BASARM|1AART|1CDMG|1BEXP	1DUR|2RCR|3AART|46VULN|5RCVC|7CDMG|8AEFBLL|9BASARM|aBEXP
128	21166 16322	   	226.24	ACR|3BEXP|2AART|1VULN|1DMG|1CDMG	145BEXP|2RCR|39AART|4BPWR|6VULN|7DMSP|8CDMG|aDMG
129	21121 63452	   	226.20	ACR|2VULN|2DMG|2BEXP|1AART|1AAC	18BEXP|2RCR|3AART|4aVULN|58DUR|6AAC|78DMG|8BPWR|9RCVC
130	21122 63412	   	226.20	ACR|2VULN|2DMG|2BEXP|1AART|1AAC	18BEXP|2RCR|3AART|4aVULN|58FEWX|6AAC|78DMG|8BPWR|9RCVC
131	21122 64412	   	226.20	ACR|2VULN|2ASPD|2BEXP|1AART|1AAC	18BEXP|2RCR|3AART|4aVULN|58FEWX|6AAC|78ASPD|8BPWR|9RCVC
132	21133 54222	   	226.04	ACR|2ASPD|1VULN|1AART|1DMG|1CDMG|1BEXP	1BEXP|2RCR|3AART|4MDPS|5RCVC|67ASPD|8CDMG|9VULN|aDMG
133	21121 63531	   	225.78	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1BEXP|2RCR|3AART|4VULN|5DUR|6AAC|7DMG|8LHND|9BASARM|aCGEN
134	21121 63532	   	225.78	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1BEXP|2RCR|3AART|4VULN|5DUR|6AAC|7DMG|8LHND|9BASARM|aZMB
135	21121 63534	   	225.78	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1BEXP|2RCR|3AART|4VULN|5DUR|6AAC|7DMG|8LHND|9BASARM|aRMIN
136	21121 63535	   	225.78	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1BEXP|2RCR|3AART|4VULN|5DUR|6AAC|7DMG|8aLHND|9BASARM
137	21121 64531	   	225.78	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1AAC	1BEXP|2RCR|3AART|4VULN|5DUR|6AAC|7ASPD|8LHND|9BASARM|aCGEN
138	21121 64532	   	225.78	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1AAC	1BEXP|2RCR|3AART|4VULN|5DUR|6AAC|7ASPD|8LHND|9BASARM|aZMB
139	61123 51236	   	225.78	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1AAC	1DUR|2RCR|3AART|4VULN|5LWND|6ASPD|7ZMB|8BEXP|9BASARM|aAAC
140	61123 63231	   	225.78	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1DUR|2RCR|3AART|4VULN|5LWND|6AAC|7DMG|8BEXP|9BASARM|aCGEN
141	61123 63232	   	225.78	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1DUR|2RCR|3AART|4VULN|5LWND|6AAC|7DMG|8BEXP|9BASARM|aZMB
142	61123 63234	   	225.78	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1DUR|2RCR|3AART|4VULN|5LWND|6AAC|7DMG|8BEXP|9BASARM|aRMIN
143	61123 63235	   	225.78	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1DUR|2RCR|3AART|4VULN|5LWND|6AAC|7DMG|8BEXP|9BASARM|aLHND
144	61123 64231	   	225.78	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1AAC	1DUR|2RCR|3AART|4VULN|5LWND|6AAC|7ASPD|8BEXP|9BASARM|aCGEN
145	61123 64232	   	225.78	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1AAC	1DUR|2RCR|3AART|4VULN|5LWND|6AAC|7ASPD|8BEXP|9BASARM|aZMB
146	21121 63536	   	225.68	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1BEXP|2RCR|3AART|4VULN|5DUR|6AAC|7DMG|8LHND|9BASARM|aERES
147	21126 63531	   	225.68	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1BEXP|2RCR|3AART|4VULN|5LHND|6AAC|7DMG|8LEGI|9BASARM|aCGEN
148	21126 63532	   	225.68	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1BEXP|2RCR|3AART|4VULN|5LHND|6AAC|7DMG|8LEGI|9BASARM|aZMB
149	21161 24141	   	225.66	ACR|3ASPD|3BEXP|1AART|1CDMG	146BEXP|2RCR|3AART|46BPWR|569ASPD|7CDMG|8RMIN|aRCVC
