0	Index      	 *	Score 	Summary	Detail	
1	23462 31352	 * 	209.50	ACR|3ASPD|4VULN|1AART|1CDMG	1AART|279ASPD|3RMIN|4RCR|5789VULN|679ERES|79BPWR|aCDMG
47	23464 31213	   	188.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6aDUR|7BASARM|8DMG|9AME
48	23464 31221	   	188.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6aDUR|7BASARM|8DMG|9MDPS
49	23464 31223	   	188.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6DUR|7BASARM|8DMG|9MDPS|aZMB
50	23664 11223	   	188.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AART|2ASPD|3CGEN|4RCR|5RPLT|6NUKE|7LHND|8DUR|9BASARM|aDMG
51	23464 21211	   	187.92	ACR|1BASARM|1ASPD|1DMG|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8DMG|9AME|aLEGI
52	23464 21212	   	187.92	ACR|1BASARM|1ASPD|1DMG|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8DMG|9AME|aTLV
53	23464 21222	   	187.92	ACR|1BASARM|1ASPD|1DMG|1AART	1AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8DMG|9MDPS|aNUKE
54	21623 36134	 * 	187.86	3DMG|1BASARM|2ASPD|2VULN|1AART|1CDMG	1AART|2DUR|34aDMG|5CDMG|6LHND|7aVULN|8BASARM|9aASPD|aBPWR
55	23464 31231	   	187.78	ACR|1BASARM|1ASPD|1DMG|1AART|1SELL	1AART|2ASPD|3RMIN|4RCR|5RPLT|6DUR|7BASARM|8DMG|9LEGI|aSELL
56	23662 34313	   	187.25	ACR|1BASARM|2AART|1ASPD|1VULN	1aAART|2ASPD|3CGEN|4RCR|5VULN|6ERES|7TLV|8BASARM|9RCVC
57	23662 34332	   	187.25	ACR|1BASARM|2AART|1ASPD|1VULN	1aAART|2ASPD|3CGEN|4RCR|5VULN|6ERES|7TLV|8BASARM|9LIT
58	64135 33113	 * 	187.17	ACR|2ASPD|2BEXP|2VULN|1BASICY	1RMIN|29BEXP|3AEMAG|49ASPD|5RCR|6FEWX|7LWND|89VULN|9BPWR|aBASICY
59	23662 34323	   	187.15	ACR|1BASARM|2AART|1ASPD|1VULN	1aAART|2ASPD|3CGEN|4RCR|5VULN|69ERES|7TLV|8BASARM
60	64225 32221	 * 	187.07	ACR|2ASPD|2BEXP|2VULN|1DMG	1RMIN|28BEXP|34ASPD|5RCR|6FEWX|7aVULN|9DMG
61	23324 36323	   	186.69	DCR|3ASPD|1BASARM|1BEXP|1AART|1VULN	1AART|246ASPD|3MDPS|5BEXP|7ERES|8VULN|9BASARM|aRCR
62	26341 12135	   	186.63	DCR|1BASARM|2VULN|1ASPD|1DMG|1BEXP|1AART	1AART|2RPLT|37VULN|4BEXP|5AEMAG|6DMG|8BASARM|9ASPD|aRCR
63	22322 56134	 * 	186.23	1BASARM|2ASPD|2DMG|2BEXP|2AART|1VULN|1SELL	13AART|2SELL|4aDMG|5LHND|6aBEXP|7VULN|8BASARM|9aASPD|aBPWR
64	22324 52136	 * 	185.82	DCR|1BASARM|2AART|1ASPD|1DMG|1BEXP|1VULN|1SELL	13AART|2SELL|4DMG|5VULN|6BEXP|7MBVNT|8BASARM|9ASPD|aRCR
65	22361 52136	 * 	185.82	DCR|1BASARM|2AART|1ASPD|1DMG|1BEXP|1VULN|1SELL	13AART|2SELL|4VULN|5DMG|6BEXP|7MBVNT|8BASARM|9ASPD|aRCR
66	22324 22134	 * 	185.25	2BASARM|2ASPD|2DMG|2AART|2VULN|1SELL	13AART|2SELL|4aDMG|57VULN|6MDPS|8aBASARM|9aASPD|aBPWR
67	22324 52135	 * 	184.32	1BASARM|2ASPD|2DMG|2AART|2VULN|1BEXP|1SELL	13AART|2SELL|4aDMG|5aVULN|6BEXP|7MBVNT|8BASARM|9aASPD|aBPWR
68	22361 52135	 * 	184.32	1BASARM|2ASPD|2DMG|2AART|2VULN|1BEXP|1SELL	13AART|2SELL|4aVULN|5aDMG|6BEXP|7MBVNT|8BASARM|9aASPD|aBPWR
69	64225 32121	 * 	184.16	ACR|2ASPD|3VULN|1DMG|1BEXP	1RMIN|2BEXP|34ASPD|5RCR|6FEWX|78aVULN|9DMG
70	64225 32312	   	183.48	ACR|3ASPD|2BEXP|1AART|1VULN	1RMIN|29BEXP|349ASPD|5RCR|6FEWX|7VULN|89DUR|9BPWR|aAART
71	64225 23322	 * 	183.40	ACR|2ASPD|2DMG|1BEXP|1CDMG	1RMIN|2BEXP|34ASPD|5RCR|6TLV|7CDMG|8RPLT|9aDMG
72	23662 41331	   	182.94	ACR|2ASPD|3VULN|1BEXP|1AART	1AART|27ASPD|37CGEN|4RCR|578VULN|6aRMIN|7BPWR|9BEXP
73	23662 51331	   	182.94	ACR|2ASPD|3VULN|1AART|1BEXP	1AART|27ASPD|3CGEN|4RCR|578VULN|67ZMB|7BPWR|9BEXP|aRMIN
74	23662 51333	   	182.94	ACR|2ASPD|3VULN|1BEXP|1AART	1AART|27ASPD|3CGEN|4RCR|578VULN|67ZMB|7BPWR|9BEXP|aLWND
75	22146 36131	   	182.88	ACR|1BASARM|1ASPD|1DMG|1AART|1SELL	1AART|2SELL|3MLV|4DMG|5RCR|6LWND|7CGEN|8BASARM|9ASPD|aFEWX
76	22146 36132	   	182.88	ACR|1BASARM|1ASPD|1DMG|1AART|1SELL	1AART|2SELL|3MLV|4DMG|5RCR|6LWND|7CGEN|8BASARM|9ASPD|aDUR
77	64225 33112	   	182.86	ACR|3ASPD|2BEXP|2VULN	1RMIN|29BEXP|349ASPD|5RCR|6FEWX|7LWND|89VULN|9BPWR|aDUR
78	64225 33113	   	182.86	ACR|3ASPD|2BEXP|2VULN	1aRMIN|29BEXP|349ASPD|5RCR|6FEWX|7LWND|89VULN|9BPWR
79	23662 41332	   	182.84	ACR|2ASPD|3VULN|1AART|1BEXP	1AART|27ASPD|37CGEN|4RCR|578VULN|6RMIN|7BPWR|9BEXP|aERES
80	22146 16131	   	182.78	ACR|1BASARM|1ASPD|1DMG|1AART|1SELL	1AART|2SELL|3MLV|4DMG|5RCR|6DUST|7CGEN|8BASARM|9ASPD|aFEWX
81	22146 16132	   	182.78	ACR|1BASARM|1ASPD|1DMG|1AART|1SELL	1AART|2SELL|3MLV|4DMG|5RCR|6DUST|7CGEN|8BASARM|9ASPD|aDUR
82	22146 36133	   	182.78	ACR|1BASARM|1ASPD|1DMG|1AART|1SELL	1AART|2SELL|3MLV|4DMG|5RCR|6LWND|7CGEN|8BASARM|9ASPD|aERES
83	22146 62131	   	182.78	ACR|1BASARM|1ASPD|1DMG|1AART|1SELL	1AART|2SELL|3MLV|4DMG|5RCR|6CGEN|7MBVNT|8BASARM|9ASPD|aFEWX
84	22146 62132	   	182.78	ACR|1BASARM|1ASPD|1DMG|1AART|1SELL	1AART|2SELL|3MLV|4DMG|5RCR|6CGEN|7MBVNT|8BASARM|9ASPD|aDUR
85	64225 33111	   	182.76	ACR|3ASPD|2BEXP|2VULN	1RMIN|29BEXP|349ASPD|5RCR|6FEWX|7LWND|89VULN|9BPWR|aMULARM
86	23462 31323	   	182.74	ACR|2ASPD|3VULN|1AART|1CDMG	1AART|27ASPD|3RMIN|4RCR|578VULN|67ERES|7BPWR|9CGEN|aCDMG
87	23462 31363	   	182.74	ACR|2ASPD|3VULN|1AART|1CDMG	1AART|27ASPD|3RMIN|4RCR|578VULN|67ERES|7BPWR|9ZMB|aCDMG
88	23662 35331	   	182.74	ACR|2ASPD|3VULN|1AART|1BEXP	1AART|27ASPD|3CGEN|4RCR|578VULN|67ERES|7BPWR|9BEXP|aRMIN
89	23662 35333	   	182.74	ACR|2ASPD|3VULN|1AART|1BEXP	1AART|27ASPD|3CGEN|4RCR|578VULN|67ERES|7BPWR|9BEXP|aLWND
90	22146 16133	   	182.68	ACR|1BASARM|1ASPD|1DMG|1AART|1SELL	1AART|2SELL|3MLV|4DMG|5RCR|6DUST|7CGEN|8BASARM|9ASPD|aERES
91	22146 62133	   	182.68	ACR|1BASARM|1ASPD|1DMG|1AART|1SELL	1AART|2SELL|3MLV|4DMG|5RCR|6CGEN|7MBVNT|8BASARM|9ASPD|aERES
92	23662 41312	   	181.75	ACR|2ASPD|3VULN|2AART	19AART|27ASPD|37CGEN|4RCR|578VULN|6aRMIN|7BPWR
93	23662 41313	   	181.75	ACR|2ASPD|3VULN|2AART	19AART|27ASPD|37CGEN|4RCR|578VULN|6RMIN|7BPWR|aFEWX
94	23662 51312	   	181.75	ACR|2ASPD|3VULN|2AART	19AART|27ASPD|3CGEN|4RCR|578VULN|67ZMB|7BPWR|aRMIN
95	23662 51313	   	181.75	ACR|2ASPD|3VULN|2AART	19AART|27ASPD|3CGEN|4RCR|578VULN|67ZMB|7BPWR|aDUR
96	34225 11313	 * 	181.61	ACR|4VULN|2DMG|1BASICY	1489VULN|2RMIN|39DMG|5RCR|6MDPS|79LWND|9BPWR|aBASICY
97	34225 13313	   	181.61	ACR|4VULN|2DMG|1BASICY	1489VULN|2RMIN|39DMG|5RCR|6MDPS|79FEWX|9BPWR|aBASICY
98	34225 14313	   	181.61	ACR|4VULN|2DMG|1BASICY	1489VULN|2RMIN|39DMG|5RCR|6MDPS|79LHND|9BPWR|aBASICY
99	23463 33423	   	181.61	ACR|1BASARM|1ASPD|1AART|1BEXP	1AART|2ASPD|3RMIN|4RCR|5LWND|6ERES|7RPLT|8BEXP|9BASARM|aCGEN
100	23664 11222	   	181.61	ACR|1BASARM|1ASPD|1AART|1BEXP	1AART|2ASPD|3CGEN|4RCR|5RPLT|6NUKE|7LHND|8DUR|9BASARM|aBEXP
101	23462 31312	   	181.55	ACR|2ASPD|3VULN|2AART	19AART|27ASPD|3aRMIN|4RCR|578VULN|67ERES|7BPWR
102	23462 31313	   	181.55	ACR|2ASPD|3VULN|2AART	19AART|27ASPD|3RMIN|4RCR|578VULN|67ERES|7BPWR|aFEWX
103	23462 31315	   	181.55	ACR|2ASPD|3VULN|2AART	19AART|27ASPD|3RMIN|4RCR|578VULN|67ERES|7BPWR|aDUR
104	23662 35312	   	181.55	ACR|2ASPD|3VULN|2AART	19AART|27ASPD|3CGEN|4RCR|578VULN|67ERES|7BPWR|aRMIN
105	23662 35313	   	181.55	ACR|2ASPD|3VULN|2AART	19AART|27ASPD|3CGEN|4RCR|578VULN|67ERES|7BPWR|aDUR
106	23463 33421	   	181.51	ACR|1BASARM|1ASPD|1AART|1BEXP	1AART|2ASPD|3RMIN|4RCR|5LWND|6ERES|7RPLT|8BEXP|9BASARM|aNUKE
107	23463 33422	   	181.51	ACR|1BASARM|1ASPD|1AART|1BEXP	1AART|2ASPD|3RMIN|4RCR|5LWND|6ERES|7RPLT|8BEXP|9BASARM|aTLV
108	23462 31314	   	181.45	ACR|2ASPD|3VULN|2AART	19AART|27ASPD|3RMIN|4RCR|578VULN|67ERES|7BPWR|aDUST
109	23462 31316	   	181.45	ACR|2ASPD|3VULN|2AART	19AART|27ASPD|3RMIN|4RCR|578VULN|67aERES|7BPWR
110	34225 15313	   	181.41	ACR|4VULN|2DMG|1BASICY	1489VULN|2RMIN|39DMG|5RCR|6MDPS|79DUST|9BPWR|aBASICY
111	64215 32121	 * 	181.41	ACR|3VULN|2BEXP|1ASPD|1DMG	1RMIN|24BEXP|3ASPD|5RCR|6FEWX|78aVULN|9DMG
112	23661 31251	   	181.23	ACR|3ASPD|1DMG|1AART|1AAC	1AART|278ASPD|3CGEN|4RCR|57FEWX|67ERES|7BPWR|9AAC|aDMG
113	34225 12133	 * 	181.19	ACR|3VULN|1ASPD|1DMG|1BASICY|1AAC	148VULN|2RMIN|3DMG|5RCR|6MDPS|7AAC|9ASPD|aBASICY
114	23461 35221	   	181.13	ACR|3ASPD|1DMG|1AART|1AAC	1AART|278ASPD|3RMIN|4RCR|5FEWX|6ERES|9AAC|aDMG
115	64215 23322	 * 	180.65	ACR|2DMG|2BEXP|1ASPD|1CDMG	1RMIN|24BEXP|3ASPD|5RCR|6TLV|7CDMG|8RPLT|9aDMG
116	23464 21131	   	180.51	ACR|1BASARM|2AART|1ASPD	19AART|2ASPD|3RMIN|4RCR|5RPLT|6LHND|7BASARM|8MLV|aDUR
117	23662 41321	   	180.30	ACR|4VULN|2ASPD|1AART	1AART|27ASPD|379CGEN|4RCR|578aVULN|6RMIN|7BPWR
118	23662 51321	   	180.30	ACR|4VULN|2ASPD|1AART	1AART|27ASPD|39CGEN|4RCR|578aVULN|67ZMB|7BPWR
119	23662 35321	   	180.10	ACR|4VULN|2ASPD|1AART	1AART|27ASPD|39CGEN|4RCR|578aVULN|67ERES|7BPWR
120	23462 31342	   	180.00	ACR|4VULN|2ASPD|1AART	1AART|27ASPD|3RMIN|4RCR|578aVULN|679ERES|7BPWR
121	22361 22134	 * 	179.59	2BASARM|2ASPD|3VULN|2AART|1DMG|1SELL	13AART|2SELL|47aVULN|5DMG|6MDPS|8aBASARM|9aASPD|aBPWR
