0	Index      	 *	Score 	Summary	Detail	
1	64513 13132	 * 	207.36	ACR|2ASPD|3VULN|2CDMG|1AART|1AAC	18DUST|2RCR|349VULN|58CDMG|68ASPD|7AAC|8BPWR|aAART
25	64361 23321	   	186.06	ACR|1BASARM|1ASPD|1BEXP|1AAC	1DUST|2RCR|38LIT|4BEXP|5AEMAG|6AAC|7ERES|9ASPD|aBASARM
26	64362 23221	   	186.06	ACR|1BASARM|1ASPD|1BEXP|1AAC	1DUST|2RCR|35LIT|4BEXP|6AAC|78ERES|9ASPD|aBASARM
27	64343 32221	   	185.96	ACR|1BASARM|1DMG|1BEXP|1AAC	19DUST|2RCR|3LIT|4DMG|56ERES|7AAC|8BEXP|aBASARM
28	64361 23221	   	185.96	ACR|1BASARM|1ASPD|1BEXP|1AAC	1DUST|2RCR|3LIT|4BEXP|5AEMAG|6AAC|78ERES|9ASPD|aBASARM
29	64133 31341	   	184.80	ACR|1BASARM|1DMG|1BEXP|1VULN	1DUST|2RCR|3MLV|4LIT|5DMG|6ERES|7VULN|8DUR|9BEXP|aBASARM
30	64423 32241	 * 	184.70	ACR|1BASARM|2CDMG|1BEXP|1VULN	1DUST|2RCR|3BEXP|4MBVNT|57CDMG|6VULN|8RMIN|9BASARM|aLHND
31	64423 32244	   	184.70	ACR|1BASARM|2CDMG|1BEXP|1VULN	1DUST|2RCR|3BEXP|4MBVNT|57CDMG|6VULN|8RMIN|9BASARM|aRCVC
32	64423 32242	   	184.60	ACR|1BASARM|2CDMG|1BEXP|1VULN	1DUST|2RCR|3BEXP|4MBVNT|57CDMG|6VULN|8RMIN|9BASARM|aTLV
33	64423 32243	   	184.60	ACR|1BASARM|2CDMG|1BEXP|1VULN	1aDUST|2RCR|3BEXP|4MBVNT|57CDMG|6VULN|8RMIN|9BASARM
34	64315 31321	   	184.37	ACR|1BASARM|1ASPD|1DMG	1DUST|2RCR|3LIT|4DUR|5DMG|67FEWX|8BASARM|9ASPD|aLHND
35	64315 32321	   	184.37	ACR|1BASARM|1ASPD|1DMG	1DUST|2RCR|3LIT|47DUR|5DMG|6FEWX|8BASARM|9ASPD|aLHND
36	64316 31321	   	184.37	ACR|1BASARM|1ASPD|1DMG	1DUST|2RCR|3LIT|4DUR|5ASPD|67FEWX|8BASARM|9DMG|aLHND
37	64316 32321	   	184.37	ACR|1BASARM|1ASPD|1DMG	1DUST|2RCR|3LIT|47DUR|5ASPD|6FEWX|8BASARM|9DMG|aLHND
38	64133 12321	   	184.27	ACR|1BASARM|1ASPD|1DMG	17DUST|2RCR|3MLV|4LIT|5DMG|68LWND|9ASPD|aBASARM
39	64315 31322	   	184.27	ACR|1BASARM|1ASPD|1DMG	1DUST|2RCR|3LIT|4DUR|5DMG|67FEWX|8BASARM|9ASPD|aAEMAG
40	64315 32322	   	184.27	ACR|1BASARM|1ASPD|1DMG	1DUST|2RCR|3LIT|47DUR|5DMG|6FEWX|8BASARM|9ASPD|aAEMAG
41	64316 31322	   	184.27	ACR|1BASARM|1ASPD|1DMG	1DUST|2RCR|3LIT|4DUR|5ASPD|67FEWX|8BASARM|9DMG|aAEMAG
42	64316 32322	   	184.27	ACR|1BASARM|1ASPD|1DMG	1DUST|2RCR|3LIT|47DUR|5ASPD|6FEWX|8BASARM|9DMG|aAEMAG
43	64341 12321	   	184.27	ACR|1BASARM|1ASPD|1DMG	17DUST|2RCR|3LIT|4DMG|5MLV|68LWND|9ASPD|aBASARM
44	64343 12321	   	184.17	ACR|1BASARM|1ASPD|1DMG	17DUST|2RCR|3LIT|4DMG|5ERES|68LWND|9ASPD|aBASARM
45	64513 12223	   	183.26	ACR|3VULN|1ASPD|1BEXP|1CDMG|1AAC	1DUST|2RCR|348VULN|5CDMG|6ASPD|7MDPS|9BEXP|aAAC
46	64413 21122	 * 	182.53	ACR|2ASPD|2BEXP|1CDMG|1VULN	1DUST|2RCR|3aBEXP|4VULN|5CDMG|6CGEN|7LHND|89ASPD
47	64413 31122	   	182.43	ACR|2ASPD|2BEXP|1CDMG|1VULN	1DUST|2RCR|3aBEXP|4VULN|5CDMG|6ERES|7LHND|89ASPD
48	24324 14624	 * 	182.42	ACR|1BASARM|3BEXP|1ASPD|1DMG|2MSE	15MSE|2RCR|368BEXP|4MBVNT|7DMG|9ASPD|aBASARM
49	24325 14424	 * 	182.42	ACR|1BASARM|3BEXP|1ASPD|1DMG|2MSE	18MSE|2RCR|356BEXP|4MBVNT|7ASPD|9DMG|aBASARM
50	24325 17324	 * 	182.42	ACR|1BASARM|3BEXP|1ASPD|1DMG|2MSE	19MSE|2RCR|356BEXP|4MBVNT|7DMG|8ASPD|aBASARM
51	64523 13112	   	182.41	ACR|2ASPD|2CDMG|1AART|1AAC|1VULN	18DUST|2RCR|3VULN|4DMSP|58CDMG|68ASPD|7AAC|8BPWR|9RCVC|aAART
52	64163 23132	   	182.10	ACR|2DMG|2BEXP|1ASPD	14DUST|2RCR|3aMLV|5ASPD|6CGEN|7aDMG|8FEWX|9aBEXP|aBPWR
53	64332 33122	 * 	182.00	ACR|2ASPD|2BEXP|1DMG	1DUST|2RCR|3LIT|4VENTOX|5DMG|67BEXP|8LHND|9aASPD
54	64332 34323	   	182.00	ACR|2DMG|2BEXP|1ASPD	1DUST|2RCR|3LIT|4VENTOX|58DMG|6aBEXP|7LWND|9ASPD
55	64332 53323	   	182.00	ACR|2DMG|2BEXP|1ASPD	1DUST|2RCR|3LIT|4VENTOX|58DMG|6FEWX|7aBEXP|9ASPD
56	64513 13111	   	181.78	ACR|2ASPD|2VULN|2CDMG|1AAC	18DUST|2RCR|34VULN|58CDMG|68ASPD|7AAC|8BPWR|9RCVC|aDUR
57	64513 13121	   	181.78	ACR|2ASPD|2VULN|2CDMG|1AAC	18DUST|2RCR|34VULN|58CDMG|68ASPD|7AAC|8BPWR|9FEWX|aLWND
58	64513 13123	   	181.78	ACR|2ASPD|2VULN|2CDMG|1AAC	18DUST|2RCR|34VULN|58CDMG|68ASPD|7AAC|8BPWR|9FEWX|aDUR
59	64523 13131	   	181.78	ACR|2ASPD|2VULN|2CDMG|1AAC	18DUST|2RCR|39VULN|4DMSP|58CDMG|68ASPD|7AAC|8BPWR|aDUR
60	64513 13122	   	181.68	ACR|2ASPD|2VULN|2CDMG|1AAC	18DUST|2RCR|34VULN|58CDMG|68ASPD|7AAC|8BPWR|9FEWX|aERES
61	42142 12422	 * 	180.97	ACR|2ASPD|2DMG|2CDMG	1aCDMG|2LWND|3aERES|4RCR|5AME|69ASPD|7MDPS|8aDMG|aBPWR
62	64513 12121	   	180.62	ACR|2ASPD|2VULN|1BEXP|1CDMG	1DUST|2RCR|34VULN|5CDMG|68ASPD|7MDPS|9BEXP|aCGEN
63	64513 12122	   	180.62	ACR|2ASPD|2VULN|1BEXP|1CDMG	1DUST|2RCR|34VULN|5CDMG|68ASPD|7MDPS|9BEXP|aZMB
64	64623 23123	   	180.57	ACR|2ASPD|1DMG|1CDMG|1AART|1SELL	1DUST|2RCR|3CDMG|4SELL|5aASPD|6CGEN|7DMG|8BELT|9AART
65	41513 23531	 * 	180.22	DCR|1BASARM|2VULN|1DMG|1BEXP|1AART|1CDMG	1CDMG|2FEWX|3AART|4DMG|5MDPS|6BASARM|7BEXP|89VULN|aRCR
66	64332 33313	   	179.96	ACR|2BEXP|1DMG|1AART|1CDMG|1AAC	1DUST|2RCR|3LIT|4VENTOX|5DMG|67BEXP|8AAC|9CDMG|aAART
67	43642 13112	   	179.22	ACR|2ASPD|2CDMG|1AART|1BEXP|1AAC	18CDMG|28MLV|3BEXP|4RCR|5AME|68ASPD|7AAC|8BPWR|9RCVC|aAART
68	42142 12432	 * 	179.03	ACR|3DMG|1ASPD|2CDMG	1aCDMG|2LWND|3aERES|4RCR|5AME|6ASPD|7MDPS|89aDMG|aBPWR
69	46142 13133	   	178.82	ACR|2ASPD|2CDMG|1DMG|1AAC|1VULN	18CDMG|28LHND|3ERES|4RCR|5AME|68ASPD|7AAC|8BPWR|9VULN|aDMG
70	64413 13313	   	178.38	ACR|1BASARM|1BEXP|1CDMG|1VULN	1DUST|2RCR|3BEXP|4VULN|5CDMG|6BELT|7CGEN|8MBVNT|9FEWX|aBASARM
71	64413 13333	   	178.38	ACR|1BASARM|1BEXP|1CDMG|1VULN	1DUST|2RCR|3BEXP|4VULN|5CDMG|6BELT|7CGEN|8MBVNT|9LWND|aBASARM
72	64423 14241	   	178.38	ACR|1BASARM|1BEXP|1CDMG|1VULN	1DUST|2RCR|3BEXP|4MBVNT|5CDMG|6RCVC|7VULN|8RMIN|9BASARM|aLHND
73	64423 14244	   	178.38	ACR|1BASARM|1BEXP|1CDMG|1VULN	1DUST|2RCR|3BEXP|4MBVNT|5CDMG|6aRCVC|7VULN|8RMIN|9BASARM
74	64413 31133	   	178.37	ACR|1ASPD|1DMG|1BEXP|1CDMG|1AAC|1VULN	1DUST|2RCR|3BEXP|4VULN|5CDMG|6ERES|7LHND|8ASPD|9DMG|aAAC
75	64421 24241	   	178.28	ACR|1BASARM|1BEXP|1CDMG|1VULN	15DUST|2RCR|3BEXP|4MBVNT|6CDMG|7VULN|8RMIN|9BASARM|aLHND
76	64421 24244	   	178.28	ACR|1BASARM|1BEXP|1CDMG|1VULN	15DUST|2RCR|3BEXP|4MBVNT|6CDMG|7VULN|8RMIN|9BASARM|aRCVC
77	64423 14242	   	178.28	ACR|1BASARM|1BEXP|1CDMG|1VULN	1DUST|2RCR|3BEXP|4MBVNT|5CDMG|6RCVC|7VULN|8RMIN|9BASARM|aTLV
78	64423 14243	   	178.28	ACR|1BASARM|1BEXP|1CDMG|1VULN	1aDUST|2RCR|3BEXP|4MBVNT|5CDMG|6RCVC|7VULN|8RMIN|9BASARM
79	64424 44313	   	178.28	ACR|1BASARM|1BEXP|1CDMG|1VULN	1DUST|2RCR|3BEXP|4MBVNT|5FEWX|6CDMG|7VULN|8AME|9BELT|aBASARM
80	64421 24242	   	178.18	ACR|1BASARM|1BEXP|1CDMG|1VULN	15DUST|2RCR|3BEXP|4MBVNT|6CDMG|7VULN|8RMIN|9BASARM|aTLV
81	64421 24243	   	178.18	ACR|1BASARM|1BEXP|1CDMG|1VULN	15aDUST|2RCR|3BEXP|4MBVNT|6CDMG|7VULN|8RMIN|9BASARM
82	64332 33124	   	178.07	ACR|2BEXP|1ASPD|1DMG|1CDMG	1DUST|2RCR|3LIT|4VENTOX|5DMG|67BEXP|8LHND|9ASPD|aCDMG
83	64433 12312	   	178.07	ACR|2BEXP|1ASPD|1DMG|1CDMG	1DUST|2RCR|3aBEXP|4LWND|5CDMG|6BELT|7DMG|8ASPD|9CGEN
84	64422 34322	 * 	177.87	ACR|2BEXP|2VULN|1DMG|1AART	1DUST|2RCR|39BEXP|4MBVNT|5RMIN|6AART|78VULN|aDMG
85	64513 12333	 * 	177.87	ACR|2BEXP|2VULN|1ASPD|1CDMG	1DUST|2RCR|34VULN|5CDMG|6ASPD|7MDPS|8LWND|9aBEXP
86	64422 34443	   	177.87	ACR|2BEXP|2VULN|1ASPD|1AART	1DUST|2RCR|38BEXP|4MBVNT|5RMIN|6AART|7aVULN|9ASPD
87	64513 13213	 * 	177.75	ACR|2VULN|1ASPD|1DMG|1CDMG|1AAC	1DUST|2RCR|34VULN|5CDMG|6ASPD|7AAC|8ERES|9RMIN|aDMG
88	64332 33316	 * 	177.57	ACR|3BEXP|1DMG|1CDMG|1AAC	1DUST|2RCR|3LIT|4VENTOX|5DMG|67aBEXP|8AAC|9CDMG
