0	Index      	 *	Score 	Summary	Detail	
1	33665 11323	 * 	218.22	DCR|4VULN|1AART|3CDMG|1DMG|2DUR	17DUR|2AART|347aVULN|579CDMG|6RCR|7BPWR|8DMG
28	33515 61113	 * 	195.23	ACR|3DMG|1AART|3CDMG|3DUR	178DUR|2AART|3RCR|4ERES|578DMG|678CDMG|78BPWR|9DUST|aASPD
29	33515 61133	   	195.23	ACR|3DMG|1AART|3CDMG|3DUR	178DUR|2AART|3RCR|4ERES|578DMG|678CDMG|78BPWR|9MBVNT|aASPD
30	65114 51442	   	194.42	DCR|3VULN|3DMG|1AART	1MBVNT|289DMG|389LHND|4LWND|5BEXP|6RCR|789VULN|89BPWR|aAART
31	65112 51442	   	194.32	DCR|3VULN|3DMG|1AART	1MBVNT|289DMG|389LHND|4LWND|5DUST|6RCR|789VULN|89BPWR|aAART
32	33645 11312	   	193.87	DCR|2AART|2VULN|1DMG|2CDMG|2DUR	17DUR|2aAART|37VULN|4DMSP|57CDMG|6RCR|7BPWR|8DMG|9RCVC
33	33535 23231	 * 	192.91	ACR|2VULN|2DMG|1AART|1ZMB	1DUR|2AART|3RCR|4ASPD|59DMG|6aVULN|7ZMB|8BEXP
34	33535 23531	   	192.91	ACR|2VULN|2DMG|1AART|1ZMB	1DUR|2AART|3RCR|4ASPD|59DMG|6aVULN|7ZMB|8FEWX
35	33665 11211	   	192.11	DCR|4VULN|1AART|2CDMG|2DUR	17DUR|2AART|3478VULN|57CDMG|6RCR|7BPWR|9CGEN|aBELT
36	33665 11231	   	192.11	DCR|4VULN|1AART|2CDMG|2DUR	17DUR|2AART|3478VULN|57CDMG|6RCR|7BPWR|9MLV|aBELT
37	33645 11213	   	192.11	DCR|4VULN|1AART|2CDMG|2DUR	17DUR|2AART|378aVULN|4DMSP|57CDMG|6RCR|7BPWR|9CGEN
38	33665 11221	   	192.01	DCR|4VULN|1AART|2CDMG|2DUR	17DUR|2AART|3478VULN|57CDMG|6RCR|7BPWR|9ERES|aBELT
39	33665 11233	   	192.01	DCR|4VULN|1AART|2CDMG|2DUR	17DUR|2AART|3478VULN|57CDMG|6RCR|7BPWR|9MLV|aERES
40	33645 11223	   	192.01	DCR|4VULN|1AART|2CDMG|2DUR	17DUR|2AART|378aVULN|4DMSP|57CDMG|6RCR|7BPWR|9ERES
41	33521 14833	 * 	191.88	ACR|3VULN|1AART|1DMG|2ASPD|2DUR	18DUR|2AART|3RCR|4DUST|58ASPD|6MBVNT|78aVULN|8BPWR|9DMG
42	33535 23211	   	190.98	ACR|3VULN|1AART|1DMG|1ZMB	1DUR|2AART|3RCR|4ASPD|5DMG|69aVULN|7ZMB|8BEXP
43	33535 23511	   	190.98	ACR|3VULN|1AART|1DMG|1ZMB	1DUR|2AART|3RCR|4ASPD|5DMG|69aVULN|7ZMB|8FEWX
44	33533 61324	   	190.33	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|2DUR|1ZMB	18DUR|2AART|3RCR|4ASPD|5ZMB|6CDMG|7FLTHEA|9DMG|aVULN
45	33533 61343	   	190.33	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|2DUR|1ZMB	18DUR|2AART|3RCR|4ASPD|5ZMB|6CDMG|7FLTHEA|9VULN|aDMG
46	33331 22441	 * 	190.08	DCR|2AART|2DMG|2CDMG|3DUR|2ZMB	159DUR|23AART|4aZMB|6aCDMG|7RCR|8aDMG|aBPWR
47	66441 73222	   	189.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2CDMG|3AART|4FEWX|58aVULN|6RCR|7DMG|9ZMB
48	33645 11212	   	189.46	DCR|3VULN|2AART|2CDMG|2DUR	17DUR|2aAART|378VULN|4DMSP|57CDMG|6RCR|7BPWR|9CGEN
49	33645 11232	   	189.46	DCR|3VULN|2AART|2CDMG|2DUR	17DUR|2aAART|378VULN|4DMSP|57CDMG|6RCR|7BPWR|9MLV
50	33645 11222	   	189.36	DCR|3VULN|2AART|2CDMG|2DUR	17DUR|2aAART|378VULN|4DMSP|57CDMG|6RCR|7BPWR|9ERES
51	65233 37443	 * 	189.20	DCR|3DMG|2VULN|2CDMG	1MBVNT|29aDMG|3DUR|4aCDMG|5CGEN|6RCR|7ASPD|8aVULN|aBPWR
52	61132 68143	 * 	188.89	ACR|3DMG|2VULN|2CDMG|1ZMB	1MBVNT|2aVULN|3ZMB|4aCDMG|5RCR|6DUR|7CGEN|89aDMG|aBPWR
53	61126 43451	   	188.79	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2aVULN|3ZMB|4AART|59DMG|6DUR|7RCR|8ASPD
54	61544 42742	 * 	188.72	ACR|3DMG|2VULN|1AART|2DUR	1MBVNT|29VULN|3LEGI|4RCR|5FEWX|689DMG|79DUR|9BPWR|aAART
55	33645 11322	   	188.46	DCR|2VULN|1AART|3CDMG|1DMG|2DUR	17DUR|2AART|37VULN|4DMSP|579CDMG|6RCR|7BPWR|8DMG|aCGEN
56	33645 11321	   	188.36	DCR|2VULN|1AART|3CDMG|1DMG|2DUR	17DUR|2AART|37VULN|4DMSP|579CDMG|6RCR|7BPWR|8DMG|aERES
57	33515 61112	   	188.29	ACR|3DMG|1AART|3CDMG|3DUR	178DUR|2AART|3RCR|4ERES|578DMG|678CDMG|78BPWR|9DUST|aBEXP
58	33515 61121	   	188.29	ACR|3DMG|1AART|3CDMG|3DUR	178DUR|2AART|3RCR|4ERES|578DMG|678CDMG|78BPWR|9NUKE|aLIT
59	33515 61122	   	188.29	ACR|3DMG|1AART|3CDMG|3DUR	178DUR|2AART|3RCR|4ERES|578DMG|678CDMG|78BPWR|9NUKE|aBEXP
60	33515 61123	   	188.29	ACR|3DMG|1AART|3CDMG|3DUR	178DUR|2AART|3RCR|4ERES|578DMG|678CDMG|78BPWR|9NUKE|aFEWX
61	33515 61132	   	188.29	ACR|3DMG|1AART|3CDMG|3DUR	178DUR|2AART|3RCR|4ERES|578DMG|678CDMG|78BPWR|9MBVNT|aBEXP
62	33515 61134	   	188.29	ACR|3DMG|1AART|3CDMG|3DUR	178DUR|2AART|3RCR|4ERES|578DMG|678CDMG|78BPWR|9MBVNT|aRPLT
63	33535 23136	 * 	188.25	ACR|2DMG|1AART|1VULN|3ASPD|1ZMB	1DUR|2AART|3RCR|48aASPD|59DMG|6VULN|7ZMB
