0	Index      	 *	Score 	Summary	Detail	
1	62366 12111	 * 	195.95	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD|1DUR	1aDMG|2CGEN|3RPLT|4aVULN|5DUR|6CDMG|7RCR|8AART|9aASPD|aBPWR
28	61632 11263	   	179.51	DCR|2VULN|2DMG|2CDMG|2DUR|1ZMB	17DMG|2RCVC|34VULN|57CDMG|67DUR|7BPWR|8LIT|9RCR|aZMB
29	62222 37441	   	179.13	DCR|3DMG|2VULN|2CDMG|1ZMB	178DMG|24CGEN|3MBVNT|57VULN|67CDMG|7BPWR|9RCR|aZMB
30	65321 13362	   	178.90	DCR|3DMG|1AART|1VULN|2CDMG|1SELL	16aDMG|2SELL|38CGEN|4VULN|56CDMG|6BPWR|7RCR|9AART
31	61632 13252	   	178.83	DCR|3VULN|2DMG|1CDMG|1DUR	1aDMG|29RCVC|34aVULN|5CDMG|6DUR|7RCR|8aFEWX|aBPWR
32	65321 13314	   	178.30	DCR|3DMG|1AART|1VULN|2CDMG|1SELL	169DMG|2SELL|38CGEN|4VULN|56CDMG|6BPWR|7RCR|aAART
33	62212 37444	   	178.17	DCR|3DMG|2VULN|2CDMG|1ASPD	178DMG|2CGEN|3MBVNT|4RCVC|57VULN|67CDMG|7BPWR|9RCR|aASPD
34	63336 62112	 * 	177.62	DCR|4VULN|3DMG	139DMG|2LWND|4569VULN|7RCVC|89ERES|9BPWR|aRCR
35	13121 52521	   	177.54	DCR|2VULN|2DMG|1AART|2ASPD	1RPLT|27RCVC|38ASPD|48VULN|58DMG|6AART|8BPWR|9RCR|aLWND
36	13121 52522	   	177.54	DCR|2VULN|2DMG|1AART|2ASPD	1RPLT|27RCVC|38ASPD|48VULN|58DMG|6AART|8BPWR|9RCR|aLHND
37	13121 52524	   	177.54	DCR|2VULN|2DMG|1AART|2ASPD	1RPLT|27RCVC|38ASPD|48VULN|58DMG|6AART|8BPWR|9RCR|aMLV
38	13121 52525	   	177.54	DCR|2VULN|2DMG|1AART|2ASPD	1RPLT|27RCVC|38ASPD|48VULN|58DMG|6AART|8BPWR|9RCR|aRMIN
39	62212 13846	   	177.47	DCR|3VULN|2DMG|1AART	17DMG|2CGEN|3MBVNT|4RCVC|57aVULN|67BEXP|7BPWR|8RCR|9AART
40	13121 52523	   	177.44	DCR|2VULN|2DMG|1AART|2ASPD	1RPLT|27RCVC|38ASPD|48VULN|58DMG|6AART|8BPWR|9RCR|aTLV
41	13121 52526	   	177.44	DCR|2VULN|2DMG|1AART|2ASPD	1RPLT|27RCVC|38ASPD|48VULN|58DMG|6AART|8BPWR|9RCR|aDUST
42	61631 22352	 * 	177.32	DCR|4VULN|2DMG|1CDMG	19DMG|2RCVC|3459VULN|6FEWX|7CDMG|89CGEN|9BPWR|aRCR
43	24433 32243	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1BEXP|2CDMG|38VULN|4AART|59DMG|6DUST|7DUR|aRCR
44	34433 32243	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|2CDMG|38VULN|4AART|59DMG|6DUST|7DUR|aRCR
45	61632 34624	   	177.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2RCVC|348VULN|5CDMG|6MBVNT|7AART|9ASPD|aRCR
46	62251 43461	   	177.22	DCR|3VULN|3DMG|1ZMB	179DMG|27CGEN|3MBVNT|4LHND|5ZMB|67aVULN|7BPWR|8RCR
47	62273 23461	   	177.22	DCR|3VULN|3DMG|1ZMB	179DMG|27CGEN|3MBVNT|4ZMB|5BEXP|67aVULN|7BPWR|8RCR
48	34433 32533	 * 	176.66	DCR|2AART|2VULN|1DMG|1CDMG|2DUR	18LHND|2CDMG|38VULN|49AART|5DMG|6DUST|78DUR|8BPWR|aRCR
49	62273 23432	   	176.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	17DMG|27CGEN|3MBVNT|4ZMB|5BEXP|67VULN|7BPWR|8RCR|9AART|aASPD
50	62274 43432	   	176.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	17DMG|27CGEN|3MBVNT|4ZMB|5FEWX|67VULN|7BPWR|8RCR|9AART|aASPD
51	43323 22541	 * 	176.60	DCR|4VULN|3CDMG|2ASPD|2DUR	18DUR|2DMSP|356CDMG|458aVULN|58BPWR|78ASPD|9RCR
52	34323 21651	   	176.59	DCR|4VULN|3CDMG|1DMG	17LHND|256CDMG|3RCVC|457aVULN|57BPWR|8RCR|9DMG
53	61632 31124	   	176.37	DCR|3VULN|2DMG|2CDMG|1DUR	17DMG|2RCVC|347VULN|57CDMG|6MBVNT|7BPWR|8RPLT|9DUR|aRCR
54	62231 43313	 * 	176.27	DCR|3VULN|3DMG|2ZMB	179DMG|28CGEN|3MBVNT|467VULN|57ZMB|7BPWR|aRCR
55	62277 43313	   	176.27	DCR|3VULN|3DMG|2ZMB	179DMG|28CGEN|3MBVNT|47ZMB|567VULN|7BPWR|aRCR
56	23351 21254	 * 	175.79	ACR|2VULN|2DMG|1AART|2ZMB	17BEXP|2RMIN|39DMG|4RCR|57ZMB|67VULN|7BPWR|8DUST|aAART
57	63336 41323	   	175.62	DCR|4VULN|3DMG	137DMG|2LWND|4579VULN|67CGEN|7BPWR|8LHND|aRCR
58	62231 72142	   	175.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1aDMG|2CGEN|3MBVNT|4VULN|5ZMB|6DUR|7RCR|8AART|9CDMG
59	62222 37444	   	175.07	DCR|3DMG|2VULN|2CDMG|1ASPD	178DMG|24CGEN|3MBVNT|57VULN|67CDMG|7BPWR|9RCR|aASPD
60	42323 21416	 * 	174.88	DCR|3VULN|3CDMG|1DMG|3DUR|1SELL	127DUR|257BPWR|356CDMG|457VULN|8RCR|9SELL|aDMG
61	62232 83643	   	174.82	DCR|3VULN|2DMG|2CDMG|1DUR|1SELL	17DMG|2CGEN|3MBVNT|47aVULN|57CDMG|6SELL|7BPWR|8DUR|9RCR
62	23351 21533	 * 	174.55	ACR|3VULN|1AART|1DMG|2ZMB	17BEXP|2RMIN|3DMG|4RCR|57ZMB|67aVULN|7BPWR|8LWND|9AART
63	62231 43673	   	174.50	DCR|3VULN|2DMG|2ZMB|1ASPD|1DUR	17DMG|2CGEN|3MBVNT|467VULN|57ZMB|7BPWR|8DUR|9ASPD|aRCR
64	43323 21626	 * 	174.45	DCR|3VULN|3CDMG|1AART|2DUR	17DUR|2DMSP|356CDMG|457VULN|57BPWR|8RCR|9LHND|aAART
65	43323 21634	   	174.45	DCR|3VULN|3CDMG|1AART|2DUR	17DUR|29DMSP|356CDMG|457VULN|57BPWR|8RCR|aAART
66	62222 13846	   	174.37	DCR|3VULN|2DMG|1AART	17DMG|24CGEN|3MBVNT|57aVULN|67BEXP|7BPWR|8RCR|9AART
67	62263 23433	   	174.37	DCR|3VULN|2DMG|1AART	17DMG|2CGEN|3MBVNT|4RMIN|57BEXP|67aVULN|7BPWR|8RCR|9AART
68	62264 43433	   	174.37	DCR|3VULN|2DMG|1AART	17DMG|2CGEN|3MBVNT|4RMIN|57FEWX|67aVULN|7BPWR|8RCR|9AART
69	62267 13433	   	174.37	DCR|3VULN|2DMG|1AART	17DMG|2CGEN|3MBVNT|4RMIN|57aVULN|67BEXP|7BPWR|8RCR|9AART
70	62267 33433	   	174.37	DCR|3VULN|2DMG|1AART	17DMG|2CGEN|3MBVNT|4RMIN|57aVULN|67LWND|7BPWR|8RCR|9AART
71	62231 43424	 * 	174.27	DCR|3VULN|2DMG|2ZMB|1CDMG	17DMG|2CGEN|3MBVNT|467VULN|57ZMB|7BPWR|8CDMG|9RPLT|aRCR
72	62277 43424	   	174.27	DCR|3VULN|2DMG|2ZMB|1CDMG	17DMG|2CGEN|3MBVNT|47ZMB|567VULN|7BPWR|8CDMG|9RPLT|aRCR
73	62361 23334	   	173.98	DCR|2VULN|2DMG|1AART|2CDMG	17DMG|258CGEN|3RPLT|47VULN|67CDMG|7BPWR|9AART|aRCR
74	62231 73461	   	173.80	DCR|3DMG|2VULN|2DUR|1ZMB	179DMG|27CGEN|3MBVNT|4aVULN|5ZMB|67DUR|7BPWR|8RCR
75	23312 35333	   	173.33	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1BEXP|2RMIN|37DMG|4DUR|59CDMG|6RCR|8AART|aVULN
76	34436 33332	   	173.13	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2CDMG|356VULN|4AART|79ERES|8RCR|aDMG
77	61632 13432	 * 	173.12	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR	1DMG|2RCVC|348VULN|5CDMG|6DUR|7RCR|9TLV|aFLTHEA
78	61632 13116	   	173.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1DMG|2RCVC|34VULN|5CDMG|6aDUR|7RCR|8RMIN|9AART
79	62363 12324	   	172.83	DCR|3VULN|2DMG|2CDMG	1aDMG|2CGEN|3RPLT|49aVULN|5LEGI|6aCDMG|7RCR|8NUKE|aBPWR
80	23312 35413	   	172.73	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1BEXP|2RMIN|37DMG|4DUR|58CDMG|6RCR|9AART|aVULN
81	65321 13313	   	172.68	DCR|3DMG|2VULN|2CDMG|1SELL	169DMG|2SELL|38CGEN|4aVULN|56CDMG|6BPWR|7RCR
82	65431 13313	   	172.68	DCR|3DMG|2VULN|2CDMG|1SELL	169DMG|2SELL|3aVULN|48CGEN|56CDMG|6BPWR|7RCR
83	62273 22111	 * 	172.53	DCR|2DMG|1AART|1VULN|2ZMB|2ASPD	1aDMG|2CGEN|3MBVNT|4aZMB|5BEXP|6VULN|7RCR|8AART|9aASPD|aBPWR
84	62274 42111	   	172.53	DCR|2DMG|1AART|1VULN|2ZMB|2ASPD	1aDMG|2CGEN|3MBVNT|4aZMB|5FEWX|6VULN|7RCR|8AART|9aASPD|aBPWR
85	62277 12111	   	172.53	DCR|2DMG|1AART|1VULN|2ZMB|2ASPD	1aDMG|2CGEN|3MBVNT|4aZMB|5VULN|6BEXP|7RCR|8AART|9aASPD|aBPWR
86	23351 21652	 * 	172.43	ACR|2VULN|3ZMB|1AART|1DMG	17BEXP|2RMIN|3DMG|4RCR|578ZMB|67VULN|7BPWR|9AART|aCGEN
87	62276 42111	   	172.43	DCR|2DMG|1AART|1VULN|2ZMB|2ASPD	1aDMG|2CGEN|3MBVNT|4aZMB|5DUST|6VULN|7RCR|8AART|9aASPD|aBPWR
88	23351 21651	   	172.33	ACR|2VULN|3ZMB|1AART|1DMG	17BEXP|2RMIN|3DMG|4RCR|578ZMB|67VULN|7BPWR|9AART|aDUST
89	23351 21653	   	172.33	ACR|2VULN|3ZMB|1AART|1DMG	17BEXP|2RMIN|3DMG|4RCR|578ZMB|67VULN|7BPWR|9AART|aERES
90	61221 13134	   	172.27	DCR|2VULN|2DMG|1AART|1CDMG	16DMG|2RCVC|3ERES|4CGEN|56VULN|6BPWR|7AART|8TLV|9CDMG|aRCR
91	62251 42341	   	172.02	DCR|2VULN|2DMG|1AART|1ZMB	1aDMG|2aCGEN|3MBVNT|4LHND|5ZMB|6aVULN|7RCR|8NUKE|9AART|aBPWR
92	62432 12352	   	171.95	DCR|4VULN|2DMG|2DUR|1SELL	19DMG|23CGEN|4569VULN|7SELL|89DUR|9BPWR|aRCR
93	62365 23123	 * 	171.77	DCR|3VULN|2DMG|3CDMG	17DMG|2CGEN|3RPLT|457VULN|679CDMG|7BPWR|8MBVNT|aRCR
94	34653 32233	   	171.76	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LHND|2CDMG|39AART|4DMG|58VULN|6DUST|7DUR|aRCR
95	61623 13353	   	171.76	DCR|2VULN|2DMG|1AART|1ASPD	16DMG|2RCVC|3aVULN|4ASPD|56MLV|6BPWR|7RCR|8CGEN|9AART
96	21163 52243	   	171.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1BEXP|2DUR|3CDMG|4aVULN|5BELT|6ASPD|7RCR|8AART|9DMG
97	26423 12111	   	171.43	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1aBEXP|2RPLT|3DMG|4aVULN|5CGEN|6CDMG|7RCR|8AART|9aASPD|aBPWR
98	62325 12111	   	171.43	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1aDMG|2CGEN|3RPLT|4aFEWX|5VULN|6CDMG|7RCR|8AART|9aASPD|aBPWR
99	64322 22111	   	171.43	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1aDMG|2MLV|3RPLT|4aFEWX|5CDMG|6VULN|7RCR|8AART|9aASPD|aBPWR
100	26425 12111	   	171.33	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1aBEXP|2RPLT|3DMG|4aVULN|5ERES|6CDMG|7RCR|8AART|9aASPD|aBPWR
101	43323 21653	   	171.31	DCR|3VULN|3CDMG|1DMG|2DUR	17DUR|2DMSP|356CDMG|457VULN|57BPWR|8RCR|9DMG|aRMIN
102	62231 73432	   	171.30	DCR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	17DMG|27CGEN|3MBVNT|4VULN|5ZMB|67DUR|7BPWR|8RCR|9AART|aASPD
103	62212 37442	   	171.23	DCR|3DMG|2VULN|2CDMG	178DMG|2aCGEN|3MBVNT|4RCVC|57VULN|67CDMG|7BPWR|9RCR
104	62212 37446	   	171.23	DCR|3DMG|2VULN|2CDMG	178DMG|2CGEN|3MBVNT|4RCVC|57VULN|67CDMG|7BPWR|9RCR|aBELT
105	62212 37448	   	171.23	DCR|3DMG|2VULN|2CDMG	178DMG|2CGEN|3MBVNT|4RCVC|57VULN|67CDMG|7BPWR|9RCR|aFEWX
106	24434 31322	   	171.23	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	15BEXP|2CDMG|36VULN|4AART|79ASPD|8RCR|aDMG
107	62133 12111	   	171.23	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1aDMG|2CGEN|3aDUST|4VULN|5RPLT|6CDMG|7RCR|8AART|9aASPD|aBPWR
108	51524 21434	   	171.22	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2RCVC|3AART|48VULN|5DUR|6MBVNT|7RCR|9CDMG|aDMG
109	43323 21652	   	171.21	DCR|3VULN|3CDMG|1DMG|2DUR	17DUR|2DMSP|356CDMG|457VULN|57BPWR|8RCR|9DMG|aDUST
110	34433 32233	   	171.16	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LHND|2CDMG|38VULN|49AART|5DMG|6DUST|7DUR|aRCR
111	62212 37445	   	171.13	DCR|3DMG|2VULN|2CDMG	178DMG|2CGEN|3MBVNT|4RCVC|57VULN|67CDMG|7BPWR|9RCR|aDUST
112	61412 33252	   	171.11	DCR|3VULN|2DMG|2CDMG	19DMG|28RCVC|3LEGI|4ERES|579VULN|69CDMG|9BPWR|aRCR
113	63332 35361	   	171.06	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2aLWND|48VULN|5CGEN|6CDMG|7AART|9RCR
114	63333 35361	   	171.06	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2aLWND|48VULN|5MLV|6CDMG|7AART|9RCR
115	63333 35363	   	171.06	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2LWND|48VULN|5MLV|6CDMG|7AART|9RCR|aCGEN
116	63312 35361	   	170.96	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2aLWND|4ERES|58VULN|6CDMG|7AART|9RCR
117	63312 35363	   	170.96	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2LWND|4ERES|58VULN|6CDMG|7AART|9RCR|aCGEN
118	63332 35363	   	170.96	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2LWND|48VULN|5CGEN|6CDMG|7AART|9RCR|aERES
119	22132 36533	 * 	170.84	DCR|2AART|2DMG|2CDMG|1VULN	18BEXP|2LWND|38CDMG|49AART|5FEWX|6VULN|78DMG|8BPWR|aRCR
120	32134 36533	   	170.84	DCR|2AART|2DMG|2CDMG|1VULN	18LHND|2LWND|38CDMG|49AART|5BEXP|6VULN|78DMG|8BPWR|aRCR
121	32136 16533	   	170.84	DCR|2AART|2DMG|2CDMG|1VULN	18LHND|2LWND|38CDMG|49AART|5VULN|6BEXP|78DMG|8BPWR|aRCR
122	42323 21434	   	170.47	DCR|4VULN|3CDMG|3DUR	127DUR|257BPWR|356CDMG|4579VULN|8RCR|aRCVC
123	32134 36243	   	170.46	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2LWND|3CDMG|4AART|5BEXP|68VULN|79DMG|aRCR
124	32136 16243	   	170.46	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2LWND|3CDMG|4AART|58VULN|6BEXP|79DMG|aRCR
125	62532 12231	   	170.43	DCR|3DMG|2VULN|2CDMG	16aDMG|25aCGEN|3TLV|46VULN|6aBPWR|7RCVC|8aCDMG|9RCR
126	62212 34443	   	170.33	DCR|3DMG|1AART|1VULN|1CDMG	178DMG|2CGEN|3MBVNT|4RCVC|5VULN|6CDMG|9RCR|aAART
127	62233 74741	   	170.22	DCR|2VULN|2DMG|1AART|2ASPD|1SELL	1aDMG|2CGEN|3MBVNT|4aVULN|5RPLT|6aASPD|7SELL|8AART|9RCR|aBPWR
128	25242 23835	 * 	170.19	DCR|4VULN|1AART|2CDMG	1BEXP|2RCVC|3MBVNT|4679VULN|56CDMG|6BPWR|8AART|aRCR
129	62267 33434	 * 	170.16	DCR|2VULN|2DMG|2AART	17DMG|2CGEN|3MBVNT|4RMIN|57VULN|67LWND|7BPWR|8RCR|9aAART
130	65321 13523	   	170.01	DCR|2VULN|2DMG|3CDMG|1DUR|1SELL	16DMG|2SELL|3CGEN|4aVULN|569CDMG|6BPWR|7RCR|8DUR
131	62633 12153	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1DMG|2CGEN|39DUR|4aVULN|5RPLT|6CDMG|7RCR|8AART
132	53351 26111	 * 	169.80	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1MLV|2aLWND|3DMG|4RCR|5ZMB|6aVULN|7AART|8LHND|9aASPD|aBPWR
133	53351 26311	   	169.80	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1MLV|2aLWND|3DMG|4RCR|5ZMB|6aVULN|7AART|8BEXP|9aASPD|aBPWR
134	62273 23434	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5BEXP|67VULN|7BPWR|8RCR|9AART|aDMSP
135	62273 23435	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5BEXP|67VULN|7BPWR|8RCR|9AART|aMLV
136	62273 23436	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5BEXP|67VULN|7BPWR|8RCR|9AART|aLWND
137	62273 23437	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5BEXP|67VULN|7BPWR|8RCR|9AART|aLHND
138	62274 43434	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5FEWX|67VULN|7BPWR|8RCR|9AART|aDMSP
139	62274 43435	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5FEWX|67VULN|7BPWR|8RCR|9AART|aMLV
140	62274 43436	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5FEWX|67VULN|7BPWR|8RCR|9AART|aLWND
141	62274 43437	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5FEWX|67VULN|7BPWR|8RCR|9AART|aLHND
142	62231 13433	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4aVULN|5ZMB|67BEXP|7BPWR|8RCR|9AART
143	62231 33433	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4aVULN|5ZMB|67LWND|7BPWR|8RCR|9AART
144	62231 83433	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4aVULN|5ZMB|67FEWX|7BPWR|8RCR|9AART
145	62277 13433	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5aVULN|67BEXP|7BPWR|8RCR|9AART
146	62277 33433	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5aVULN|67LWND|7BPWR|8RCR|9AART
147	53351 26211	   	169.70	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1MLV|2aLWND|3DMG|4RCR|5ZMB|6aVULN|7AART|8DUST|9aASPD|aBPWR
148	24613 23125	 * 	169.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2CDMG|3AART|4MGNSTR|5RCR|6ZMB|7LHND|8aVULN|9DMG
149	62273 23431	   	169.62	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5BEXP|67VULN|7BPWR|8RCR|9AART|aERES
150	62274 43431	   	169.62	DCR|2VULN|2DMG|1AART|1ZMB	17DMG|27CGEN|3MBVNT|4ZMB|5FEWX|67VULN|7BPWR|8RCR|9AART|aERES
151	32515 11413	 * 	169.51	DCR|3VULN|2AART|1CDMG	1LHND|2LWND|378VULN|49AART|5CGEN|6RCR|aCDMG
152	61611 33252	   	169.43	DCR|3VULN|2DMG|2CDMG	19DMG|2RCVC|379VULN|4ERES|58FEWX|69CDMG|9BPWR|aRCR
153	61611 33352	   	169.43	DCR|3VULN|2DMG|2CDMG	19DMG|2RCVC|379VULN|4ERES|5FEWX|69CDMG|8DMSP|9BPWR|aRCR
154	61632 31223	   	169.43	DCR|3VULN|2DMG|2CDMG	17DMG|2RCVC|347VULN|57CDMG|6MBVNT|7BPWR|8LIT|9LWND|aRCR
155	61632 31263	   	169.43	DCR|3VULN|2DMG|2CDMG	17DMG|2RCVC|347VULN|57CDMG|6MBVNT|7BPWR|8LIT|9FEWX|aRCR
156	61632 31326	   	169.43	DCR|3VULN|2DMG|2CDMG	17DMG|2RCVC|347VULN|57CDMG|6MBVNT|7BPWR|89CGEN|aRCR
157	23351 22521	 * 	169.32	ACR|2VULN|2DMG|2ASPD|1ZMB|1DUR	18BEXP|2RMIN|38DMG|4RCR|5ZMB|6aVULN|78ASPD|8BPWR|9DUR
158	62633 12633	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1DMG|2CGEN|38DUR|4aVULN|5RPLT|6CDMG|7RCR|9AART
