0	Index      	 *	Score 	Summary	Detail	
1	53322 36241	 * 	199.63	ACR|3DMG|2VULN|3ZMB|2CDMG	178DMG|2aBEXP|3RCVC|47VULN|5RCR|67aZMB|7aBPWR|9aCDMG
29	53322 36262	   	179.47	ACR|3DMG|2VULN|3ZMB	178DMG|2aBEXP|3RCVC|47VULN|5RCR|67aZMB|7aBPWR|9aTLV
30	54323 51231	 * 	179.42	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1DMG|246VULN|3RCVC|56DUR|6BPWR|7ZMB|8RCR|9CGEN|aAART
31	44613 32221	   	179.24	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|279VULN|3RCR|45FEWX|6ZMB|8DMG|aAART
32	44622 12221	   	179.24	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|279VULN|3RCR|4ZMB|5FEWX|6DMSP|8DMG|aAART
33	44622 22221	   	179.24	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|279VULN|3RCR|4ZMB|56FEWX|8DMG|aAART
34	24524 32221	 * 	178.86	ACR|3VULN|1AART|2CDMG|1DMG	1MLV|279VULN|35CDMG|4RCR|6RPLT|8DMG|aAART
35	53623 22222	   	178.76	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	18DMG|28BEXP|3RCR|4ZMB|5RCVC|6DUR|78VULN|8BPWR|9ASPD|aCDMG
36	54623 23222	   	178.76	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	18DMG|28VULN|3RCR|4ZMB|5RCVC|6DUR|78FEWX|8BPWR|9ASPD|aCDMG
37	55623 22222	   	178.76	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	18DMG|28LWND|3RCR|4ZMB|5RCVC|6DUR|78VULN|8BPWR|9ASPD|aCDMG
38	63626 22222	   	178.76	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	18FEWX|28DMG|3RCR|4ZMB|5RCVC|6DUR|78VULN|8BPWR|9ASPD|aCDMG
39	53633 22242	   	178.76	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	18DMG|28BEXP|3RCR|4ASPD|5RCVC|6DUR|78VULN|8BPWR|9ZMB|aCDMG
40	54623 21222	   	178.56	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	18DMG|28VULN|3RCR|4ZMB|5RCVC|6DUR|78DUST|8BPWR|9ASPD|aCDMG
41	54623 22212	   	178.56	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD|1DUR	18DMG|27VULN|3RCR|4ZMB|5RCVC|6DUR|9CDMG|aASPD
42	56353 11312	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	16DMG|2RPLT|3RCR|4aVULN|5NUKE|7AART|8VENICY|9CDMG
43	53632 32262	   	178.48	ACR|3VULN|3DMG|1ASPD	168DMG|28BEXP|3RCR|4ASPD|5aFEWX|789VULN|8BPWR
44	43632 32242	 * 	178.43	ACR|2VULN|2DMG|2ASPD|1CDMG|1ZMB	18ASPD|28BEXP|3RCR|46DMG|5FEWX|78VULN|8BPWR|9ZMB|aCDMG
45	34134 11511	   	178.07	ACR|2VULN|2DMG|1AART|2DUR	1RMIN|2AART|3RCVC|4RCR|5aVULN|69DUR|7aDMG|8aLIT|aBPWR
46	53322 22121	   	177.54	ACR|4VULN|1AART|1DMG|1DUR	1DMG|2BEXP|3RCVC|4689VULN|5RCR|7DUR|aAART
47	54362 22121	   	177.54	ACR|4VULN|1AART|1DMG|1DUR	1DMG|2689VULN|3RCVC|4FEWX|5RCR|7DUR|aAART
48	63322 22121	   	177.54	ACR|4VULN|1AART|1DMG|1DUR	1FEWX|2DMG|3RCVC|4689VULN|5RCR|7DUR|aAART
49	54352 22121	   	177.44	ACR|4VULN|1AART|1DMG|1DUR	1DMG|2689VULN|3RCVC|4DUST|5RCR|7DUR|aAART
50	63632 22241	   	177.21	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	158FEWX|28DMG|3RCR|4ASPD|6DUR|78VULN|8BPWR|9TLV|aAART
51	53626 22211	   	177.12	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	18DMG|258BEXP|3RCR|4ZMB|69DUR|78VULN|8BPWR|aCDMG
52	53642 22232	   	177.12	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	18DMG|2BEXP|3RCR|4RCVC|5RMIN|68DUR|78VULN|8BPWR|9ZMB|aCDMG
53	63622 22211	   	177.12	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	158FEWX|28DMG|3RCR|4ZMB|69DUR|78VULN|8BPWR|aCDMG
54	55322 32225	   	176.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18DMG|2LWND|3RCVC|47VULN|5RCR|6ZMB|9AART|aDUR
55	55322 32226	   	176.97	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	18DMG|2LWND|3RCVC|47VULN|5RCR|6ZMB|9AART|aASPD
56	54323 51212	 * 	176.80	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	1DMG|246VULN|3RCVC|56DUR|6BPWR|7ZMB|8RCR|9CDMG|aASPD
57	53632 32223	   	176.47	ACR|3DMG|2VULN|1CDMG|1ASPD	168DMG|28BEXP|3RCR|4ASPD|5FEWX|78VULN|8BPWR|9MLV|aCDMG
58	53632 32233	   	176.47	ACR|3DMG|2VULN|1CDMG|1ASPD	168DMG|28BEXP|3RCR|4ASPD|5FEWX|78VULN|8BPWR|9CGEN|aCDMG
59	44321 51221	   	176.42	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|249VULN|3RCVC|5DMG|6ZMB|7RCR|8FEWX|aAART
60	44321 51321	   	176.42	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|249VULN|3RCVC|5DMG|6ZMB|7RCR|8LHND|aAART
61	56316 11321	 * 	176.37	ACR|3DMG|2VULN|2ASPD|1DUR	16aDMG|2RPLT|3RCR|4MLV|5aVULN|7DUR|8LHND|9aASPD|aBPWR
62	53632 32243	   	176.37	ACR|3DMG|2VULN|2ASPD|1DUR	168DMG|28BEXP|3RCR|49ASPD|5FEWX|78VULN|8BPWR|aDUR
63	43322 36226	 * 	176.00	ACR|4VULN|1DMG|2ZMB|2ASPD	17ASPD|2BEXP|3RCVC|479aVULN|5RCR|67ZMB|7BPWR|8DMG
64	54321 41231	   	175.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15DMG|24VULN|3RCVC|6DUR|7ZMB|8RCR|9CGEN|aAART
65	43632 32225	 * 	175.75	ACR|3DMG|2VULN|3ASPD	189ASPD|28BEXP|3RCR|46aDMG|5FEWX|78VULN|8BPWR
66	53623 21632	   	175.57	ACR|2VULN|2DMG|2ZMB|1CDMG|1DUR	19DMG|2BEXP|3RCR|49ZMB|5RCVC|6DUR|7DUST|89VULN|9BPWR|aCDMG
67	51611 14122	 * 	175.46	DCR|3DMG|2VULN|2ASPD|1CDMG	17aDMG|2CGEN|37VULN|4LIT|5FEWX|67ASPD|7BPWR|8CDMG|9RCR
68	54613 23121	   	175.40	ACR|4VULN|1AART|1DMG	1DMG|2689VULN|3RCR|45FEWX|7BEXP|aAART
69	44612 32121	   	174.85	ACR|3VULN|1AART|1DMG|2ASPD	17ASPD|289VULN|3RCR|4FEWX|5RMIN|6DMG|aAART
70	55322 13621	   	174.69	ACR|3VULN|2DMG|1AART	18DMG|2aLWND|3RCVC|478VULN|5RCR|68ERES|8BPWR|9AART
71	55322 13623	   	174.69	ACR|3VULN|2DMG|1AART	18DMG|2LWND|3RCVC|478VULN|5RCR|68ERES|8BPWR|9AART|aFEWX
72	53313 52242	 * 	174.65	DCR|2VULN|2DMG|3ZMB|1CDMG	18DMG|28BEXP|3RCVC|456ZMB|78VULN|8BPWR|9RCR|aCDMG
73	63313 52242	   	174.65	DCR|2VULN|2DMG|3ZMB|1CDMG	18FEWX|28DMG|3RCVC|456ZMB|78VULN|8BPWR|9RCR|aCDMG
74	55322 13622	   	174.59	ACR|3VULN|2DMG|1AART	18DMG|2LWND|3RCVC|478VULN|5RCR|68ERES|8BPWR|9AART|aBASHEA
75	24432 32221	   	174.44	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1MLV|279VULN|3DUR|4DMSP|5RCR|6ZMB|8DMG|aAART
76	24652 23221	   	174.44	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1MLV|269VULN|3ZMB|4CGEN|5RCR|7ASPD|8DMG|aAART
77	31616 22221	   	174.44	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2RCVC|379VULN|4ZMB|5RCR|6DUR|8DMG|aAART
78	32616 22221	   	174.44	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	12RMIN|379VULN|4ZMB|5RCR|6DUR|8DMG|aAART
79	43322 32221	   	174.44	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2BEXP|3RCVC|479VULN|5RCR|6ZMB|8DMG|aAART
80	44362 32221	   	174.44	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|279VULN|3RCVC|4FEWX|5RCR|6ZMB|8DMG|aAART
81	45322 32221	   	174.44	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2LWND|3RCVC|479VULN|5RCR|6ZMB|8DMG|aAART
82	53622 43221	   	174.34	ACR|2VULN|2DMG|1AART|1ZMB	18DMG|278BEXP|3RCR|4ZMB|5FEWX|68VULN|8BPWR|9ERES|aAART
83	54613 32231	   	174.24	ACR|2VULN|2DMG|1AART|1ZMB	18DMG|27VULN|3RCR|45FEWX|6ZMB|9CGEN|aAART
84	54622 12231	   	174.24	ACR|2VULN|2DMG|1AART|1ZMB	18DMG|27VULN|3RCR|4ZMB|5FEWX|6DMSP|9CGEN|aAART
85	54622 22231	   	174.24	ACR|2VULN|2DMG|1AART|1ZMB	18DMG|27VULN|3RCR|4ZMB|56FEWX|9CGEN|aAART
86	54622 32331	   	174.24	ACR|2VULN|2DMG|1AART|1ZMB	16DMG|27VULN|3RCR|4ZMB|5FEWX|8DMSP|9CGEN|aAART
87	62233 12522	   	174.15	DCR|3DMG|2VULN|1CDMG|2DUR	17FEWX|2LIT|37VULN|4CDMG|58aDMG|67DUR|7BPWR|9RCR
88	53322 36631	   	174.09	ACR|2VULN|2DMG|1AART|2ZMB	17DMG|2aBEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|8LSRICY|9AART
89	53322 36632	   	174.09	ACR|2VULN|2DMG|1AART|2ZMB	17DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|8LSRICY|9AART|aRPLT
90	53322 13631	   	174.09	ACR|3VULN|2DMG|1AART	18DMG|2BEXP|3RCVC|478VULN|5RCR|68ERES|8BPWR|9CGEN|aAART
91	53322 24631	   	174.09	ACR|3VULN|2DMG|1AART	18DMG|2BEXP|3RCVC|468VULN|5RCR|78ERES|8BPWR|9CGEN|aAART
92	53622 43213	   	173.83	ACR|3VULN|2DMG|1ZMB|1DUR	18DMG|278BEXP|3RCR|4ZMB|5FEWX|68aVULN|8BPWR|9DUR
93	53623 22252	   	173.83	ACR|3DMG|2VULN|1ZMB|1DUR	189DMG|28BEXP|3RCR|4ZMB|5RCVC|6DUR|78VULN|8BPWR|aFEWX
94	53626 22223	   	173.83	ACR|3VULN|2DMG|1ZMB|1DUR	18DMG|258BEXP|3RCR|4ZMB|6DUR|78aVULN|8BPWR|9FEWX
95	53626 22233	   	173.83	ACR|3VULN|2DMG|1ZMB|1DUR	18DMG|258BEXP|3RCR|4ZMB|6DUR|78aVULN|8BPWR|9LHND
96	63622 22223	   	173.83	ACR|3VULN|2DMG|1ZMB|1DUR	158FEWX|28DMG|3RCR|4ZMB|6DUR|78aVULN|8BPWR|9BEXP
97	63622 22233	   	173.83	ACR|3VULN|2DMG|1ZMB|1DUR	158FEWX|28DMG|3RCR|4ZMB|6DUR|78aVULN|8BPWR|9LHND
98	63622 22253	   	173.83	ACR|3VULN|2DMG|1ZMB|1DUR	158FEWX|28DMG|3RCR|4ZMB|6DUR|78aVULN|8BPWR|9LWND
99	53622 12253	   	173.83	ACR|3DMG|2VULN|1ZMB|1DUR	189DMG|28BEXP|3RCR|4ZMB|5FEWX|6DMSP|78VULN|8BPWR|aDUR
100	53622 22253	   	173.83	ACR|3DMG|2VULN|1ZMB|1DUR	189DMG|28BEXP|3RCR|4ZMB|56FEWX|78VULN|8BPWR|aDUR
101	53622 32213	   	173.83	ACR|3DMG|2VULN|1ZMB|1DUR	168DMG|28BEXP|3RCR|4ZMB|59FEWX|78VULN|8BPWR|aDUR
102	53622 32215	   	173.83	ACR|3DMG|2VULN|1ZMB|1ASPD	168DMG|28BEXP|3RCR|4ZMB|59FEWX|78VULN|8BPWR|aASPD
103	53622 32225	   	173.83	ACR|3DMG|2VULN|1ZMB|1DUR	168DMG|28BEXP|3RCR|4ZMB|5FEWX|78VULN|8BPWR|9MLV|aDUR
104	53622 32235	   	173.83	ACR|3DMG|2VULN|1ZMB|1DUR	168DMG|28BEXP|3RCR|4ZMB|5FEWX|78VULN|8BPWR|9CGEN|aDUR
105	53622 32242	   	173.83	ACR|3DMG|2VULN|1ZMB|1ASPD	168DMG|28BEXP|3RCR|4ZMB|5FEWX|78VULN|8BPWR|9ASPD|aLHND
106	51615 13211	 * 	173.77	DCR|3DMG|2VULN|1AART	167DMG|2CGEN|37VULN|457LIT|7BPWR|8RCR|9DUST|aAART
107	51615 13231	   	173.77	DCR|3DMG|2VULN|1AART	167DMG|2CGEN|37VULN|457LIT|7BPWR|8RCR|9LEGI|aAART
108	53623 22253	   	173.73	ACR|3DMG|2VULN|1ZMB|1DUR	189DMG|28BEXP|3RCR|4ZMB|5RCVC|6DUR|78VULN|8BPWR|aAIRHEA
109	53622 32241	   	173.73	ACR|3DMG|2VULN|1ZMB|1ASPD	168DMG|28BEXP|3RCR|4ZMB|5FEWX|78VULN|8BPWR|9ASPD|aDUST
110	54321 23621	 * 	173.67	DCR|3VULN|2DMG|1AART	15DMG|249VULN|3RCVC|6FEWX|7LHND|8RCR|aAART
111	56326 12231	 * 	173.64	ACR|3DMG|1VULN|2ZMB|2ASPD|1DUR	16aDMG|2RPLT|3RCR|4aZMB|5VULN|7DUR|8aASPD|9RMIN|aBPWR
112	56326 12321	   	173.63	ACR|3DMG|2VULN|1ZMB|1DUR	16aDMG|2RPLT|3RCR|4ZMB|5aVULN|7DUR|8LHND|9aERES|aBPWR
113	54622 31213	   	173.63	ACR|3DMG|2VULN|1ZMB|1DUR	168DMG|28VULN|3RCR|4ZMB|59FEWX|78DUST|8BPWR|aDUR
114	54622 31222	   	173.63	ACR|3DMG|2VULN|1ZMB|1ASPD	168DMG|28VULN|3RCR|4ZMB|5FEWX|78DUST|8BPWR|9MLV|aASPD
115	54622 31232	   	173.63	ACR|3DMG|2VULN|1ZMB|1ASPD	168DMG|28VULN|3RCR|4ZMB|5FEWX|78DUST|8BPWR|9CGEN|aASPD
116	54622 32222	   	173.63	ACR|3DMG|2VULN|1ZMB|1DUR	168DMG|27VULN|3RCR|4ZMB|5aFEWX|9DUR
117	54622 32223	   	173.63	ACR|3DMG|2VULN|1ZMB|1DUR	168DMG|27VULN|3RCR|4ZMB|5FEWX|9DUR|aRCVC
118	53332 12551	   	173.61	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	19DMG|29BEXP|3RCVC|4DUR|5RCR|6ERES|79VULN|8AART|9BPWR|aASPD
119	63332 12551	   	173.61	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	19FEWX|29DMG|3RCVC|4DUR|5RCR|6ERES|79VULN|8AART|9BPWR|aASPD
120	53622 32523	   	173.50	ACR|3DMG|1AART|1VULN|1ZMB	16aDMG|2BEXP|3RCR|4ZMB|5FEWX|7VULN|8AART|9LHND
121	53322 36331	   	173.49	ACR|2VULN|2DMG|1AART|2ZMB	17DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|8DMSP|9CGEN|aAART
122	63322 36231	   	173.49	ACR|2VULN|2DMG|1AART|2ZMB	17FEWX|28DMG|3RCVC|47VULN|5RCR|67ZMB|7BPWR|9CGEN|aAART
123	53322 36351	   	173.39	ACR|2VULN|2DMG|1AART|2ZMB	17DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|8DMSP|9ERES|aAART
124	63322 36251	   	173.39	ACR|2VULN|2DMG|1AART|2ZMB	17FEWX|28DMG|3RCVC|47VULN|5RCR|67ZMB|7BPWR|9ERES|aAART
125	54321 41212	   	173.34	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD|1DUR	15DMG|24VULN|3RCVC|6DUR|7ZMB|8RCR|9CDMG|aASPD
126	54632 13123	 * 	173.04	ACR|2VULN|2AART|1DMG|1CDMG	1DMG|2aVULN|3RCR|4LEGI|5RMIN|69AART|7CGEN|8CDMG
127	45322 23225	   	172.91	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1ASPD|2LWND|3RCVC|46VULN|5RCR|78DMG|9AART|aDUR
128	55322 23225	   	172.91	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	18DMG|2LWND|3RCVC|46VULN|5RCR|7ASPD|9AART|aDUR
129	53322 36222	   	172.88	ACR|3DMG|2VULN|2ZMB|1DUR	178DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|9DUR|aFEWX
130	53322 36224	   	172.88	ACR|3DMG|2VULN|2ZMB|1DUR	178DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|9DUR|aLHND
131	53622 33112	   	172.80	ACR|3DMG|1AART|1VULN|1ZMB	16aDMG|2BEXP|3RCR|4ZMB|5FEWX|7TLV|8VULN|9AART
132	53322 36223	   	172.78	ACR|3DMG|2VULN|2ZMB|1DUR	178DMG|2BEXP|3RCVC|47VULN|5RCR|67ZMB|7BPWR|9DUR|aAIRHEA
133	45322 23226	 * 	172.58	ACR|2VULN|2DMG|1AART|2ASPD	1aASPD|2LWND|3RCVC|46VULN|5RCR|78DMG|9AART
134	55322 23226	   	172.58	ACR|2VULN|2DMG|1AART|2ASPD	18DMG|2LWND|3RCVC|46VULN|5RCR|7aASPD|9AART
135	54333 13121	 * 	172.57	DCR|3VULN|2AART|1DMG|1ASPD	1DMG|278VULN|3RCVC|4ASPD|59AART|6LEGI|aRCR
136	24521 32221	   	172.55	ACR|3VULN|1AART|1DMG|1CDMG	1MLV|279VULN|3CDMG|4RCR|5RCVC|6RPLT|8DMG|aAART
137	53612 15122	   	172.20	ACR|3DMG|1AART|1VULN|1ZMB	189DMG|2BEXP|3RCR|4BELT|5ZMB|6VULN|7ERES|aAART
138	63612 13122	   	172.20	ACR|3DMG|1AART|1VULN|1ZMB	1FEWX|289DMG|3RCR|4BELT|5ZMB|6VULN|7ERES|aAART
139	56326 11121	   	172.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	16DMG|2RPLT|3RCR|4ZMB|5VULN|7AART|8CGEN|9DMSP|aCDMG
140	56326 11223	   	172.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	16DMG|2RPLT|3RCR|4ZMB|5VULN|7AART|8RCVC|9FEWX|aCDMG
141	56326 11233	   	172.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	16DMG|2RPLT|3RCR|4ZMB|5VULN|7AART|8RCVC|9LHND|aCDMG
142	53612 31633	 * 	172.02	ACR|2DMG|3ZMB|1AART|3DUR	1aDMG|2BEXP|3RCR|4BELT|59aZMB|68aDUR|7AART|aBPWR
143	56326 11113	   	172.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	16DMG|2RPLT|3RCR|4ZMB|5VULN|7AART|8CGEN|9ERES|aCDMG
144	56326 11133	   	172.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	16DMG|2RPLT|3RCR|4ZMB|5VULN|7AART|8CGEN|9TLV|aCDMG
145	56326 11311	   	172.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	16DMG|2RPLT|3RCR|4ZMB|5VULN|7AART|8VENICY|9CDMG|aBEXP
146	56326 11313	   	172.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	16DMG|2RPLT|3RCR|4ZMB|5VULN|7AART|8VENICY|9CDMG|aLIT
147	56326 31312	   	172.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|26RPLT|3RCR|4ZMB|5aVULN|7AART|8VENICY|9CDMG
148	53322 22522	   	171.87	ACR|2VULN|2DMG|1AART|2DUR	1aDMG|2BEXP|3RCVC|46VULN|5RCR|79DUR|8AART
149	63322 22522	   	171.87	ACR|2VULN|2DMG|1AART|2DUR	1FEWX|2aDMG|3RCVC|46VULN|5RCR|79DUR|8AART
150	53623 22212	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18DMG|28BEXP|3RCR|4ZMB|5RCVC|6DUR|78VULN|8BPWR|9RMIN|aCDMG
151	53623 22232	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18DMG|28BEXP|3RCR|4ZMB|5RCVC|6DUR|78VULN|8BPWR|9FEWX|aCDMG
152	54623 23212	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18DMG|28VULN|3RCR|4ZMB|5RCVC|6DUR|78FEWX|8BPWR|9RMIN|aCDMG
153	54623 23231	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18DMG|28VULN|3RCR|4ZMB|5RCVC|6DUR|789FEWX|8BPWR|aCDMG
154	55623 22212	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18DMG|28LWND|3RCR|4ZMB|5RCVC|6DUR|78VULN|8BPWR|9RMIN|aCDMG
155	55623 22232	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18DMG|28LWND|3RCR|4ZMB|5RCVC|6DUR|78VULN|8BPWR|9FEWX|aCDMG
156	63622 22121	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	15FEWX|2aDMG|3RCR|4ZMB|6DUR|7aVULN|8CDMG|9aBEXP|aBPWR
157	63622 22261	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	158FEWX|28DMG|3RCR|4ZMB|6DUR|78VULN|8BPWR|9CDMG|aCGEN
158	63622 22262	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	158FEWX|28DMG|3RCR|4ZMB|6DUR|78VULN|8BPWR|9CDMG|aLIT
159	63622 22263	   	171.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	158FEWX|28DMG|3RCR|4ZMB|6DUR|78VULN|8BPWR|9CDMG|aRPLT
