0	Index      	 *	Score 	Summary	Detail	
1	31261 43112	 * 	198.19	DCR|3VULN|3CDMG|1AART|1DMG|3DUR|1SELL	178VULN|257DUR|3SELL|457CDMG|57BPWR|6AART|9RCR|aDMG
18	33662 32631	   	186.02	DCR|3VULN|2DMG|1AART|1CDMG	135VULN|2TLV|46DMG|7CDMG|8AART|9RCR|aLHND
19	33631 32633	   	185.92	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|2TLV|56DMG|7CDMG|8AART|9RCR|aERES
20	33662 32633	   	185.92	DCR|3VULN|2DMG|1AART|1CDMG	135VULN|2TLV|46DMG|7CDMG|8AART|9RCR|aERES
21	31145 31413	   	185.40	DCR|3VULN|2DMG|1AART|2DUR	15aVULN|2aDUR|3TLV|4CGEN|6aDMG|7AART|8DMSP|9RCR|aBPWR
22	31115 31413	   	185.30	DCR|3VULN|2DMG|1AART|2DUR	15aVULN|2aDUR|3TLV|4ERES|6aDMG|7AART|8DMSP|9RCR|aBPWR
23	31145 31213	   	185.30	DCR|3VULN|2DMG|1AART|2DUR	15aVULN|2aDUR|38TLV|4CGEN|6aDMG|7AART|9RCR|aBPWR
24	31115 31213	   	185.20	DCR|3VULN|2DMG|1AART|2DUR	15aVULN|2aDUR|38TLV|4ERES|6aDMG|7AART|9RCR|aBPWR
25	31343 33636	 * 	185.13	ACR|4VULN|1AART|1DMG|2DUR	1789VULN|25DUR|3DUST|4RCR|6DMG|aAART
26	35215 31313	 * 	184.61	DCR|3VULN|2DMG|2AART	15aVULN|2aCGEN|3BEXP|4ERES|6aDMG|78AART|9RCR|aBPWR
27	33632 33541	 * 	184.53	ACR|5VULN|1AART|1DMG	13479VULN|2TLV|5RCR|6RPLT|8AART|aDMG
28	33632 46312	   	183.90	ACR|4VULN|1AART|1DMG|1ZMB	1347VULN|2TLV|5RCR|6AART|8ZMB|9LIT|aDMG
29	33631 32651	   	183.62	DCR|3VULN|2DMG|1AART|1CDMG	134VULN|2TLV|56DMG|7CDMG|8AART|9RCVC|aRCR
30	35631 31143	 * 	182.17	DCR|3VULN|3DMG|1CDMG	134VULN|2CGEN|56aDMG|7RCR|8BEXP|9CDMG
31	35631 31313	   	182.17	DCR|3VULN|3DMG|1CDMG	134VULN|2CGEN|56aDMG|7RCR|8CDMG|9RPLT
32	35631 31353	   	182.17	DCR|3VULN|3DMG|1CDMG	134VULN|2CGEN|56aDMG|7RCR|8CDMG|9BEXP
33	33631 31143	   	182.07	DCR|3VULN|3DMG|1CDMG	134VULN|2TLV|56aDMG|7RCR|8BEXP|9CDMG
34	33662 31143	   	182.07	DCR|3VULN|3DMG|1CDMG	135VULN|2TLV|46aDMG|7RCR|8BEXP|9CDMG
35	32178 33354	 * 	181.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	167VULN|2MBVNT|3TLV|4CDMG|5RCR|8ZMB|9AART|aDMG
36	34631 21326	   	180.97	DCR|4VULN|1DMG|1CDMG|1ZMB|1ASPD	1349VULN|2ZMB|5DMG|6DMSP|7RCR|8ASPD|aCDMG
37	33631 31336	   	180.74	DCR|4VULN|2DMG|1DUR|1ASPD	134aVULN|2TLV|56DMG|7RCR|8ASPD|9DUR
38	33662 31336	   	180.74	DCR|4VULN|2DMG|1DUR|1ASPD	135aVULN|2TLV|46DMG|7RCR|8ASPD|9DUR
39	35631 31153	   	180.62	DCR|4VULN|2DMG|1CDMG	1349VULN|2CGEN|56DMG|7RCR|8BEXP|aCDMG
40	35631 31316	   	180.62	DCR|4VULN|2DMG|1CDMG	134aVULN|2CGEN|56DMG|7RCR|8CDMG|9RPLT
41	33631 31144	   	180.52	DCR|4VULN|2DMG|1CDMG	134aVULN|2TLV|56DMG|7RCR|8BEXP|9CDMG
42	33631 31153	   	180.52	DCR|4VULN|2DMG|1CDMG	1349VULN|2TLV|56DMG|7RCR|8BEXP|aCDMG
43	33631 31226	   	180.52	DCR|4VULN|2DMG|1CDMG	1349VULN|2TLV|56DMG|7RCR|8CGEN|aCDMG
44	33631 31626	   	180.52	DCR|4VULN|2DMG|1CDMG	1349VULN|2TLV|56DMG|7RCR|8MLV|aCDMG
45	33662 31153	   	180.52	DCR|4VULN|2DMG|1CDMG	1359VULN|2TLV|46DMG|7RCR|8BEXP|aCDMG
46	33662 31226	   	180.52	DCR|4VULN|2DMG|1CDMG	1359VULN|2TLV|46DMG|7RCR|8CGEN|aCDMG
47	33631 31323	 * 	180.42	DCR|4VULN|2DMG|2ASPD	1349VULN|2TLV|56DMG|7RCR|8aASPD
48	33631 31426	   	180.42	DCR|4VULN|2DMG|1CDMG	1349VULN|2TLV|56DMG|7RCR|8ERES|aCDMG
49	33662 31323	   	180.42	DCR|4VULN|2DMG|2ASPD	1359VULN|2TLV|46DMG|7RCR|8aASPD
50	32221 37362	   	180.27	DCR|4VULN|2DMG|1CDMG|1SELL	158aVULN|2MBVNT|3SELL|45DMG|5BPWR|6AIRHEA|7RCR|9CDMG
51	34631 21321	   	180.15	DCR|5VULN|1DMG|1ZMB|1ASPD	1349aVULN|2ZMB|5DMG|6DMSP|7RCR|8ASPD
52	34662 21321	   	180.15	DCR|5VULN|1DMG|1ZMB|1ASPD	1359aVULN|2ZMB|4DMG|6DMSP|7RCR|8ASPD
53	34652 23321	 * 	180.04	DCR|4VULN|1DMG|2ZMB|1CDMG|1SELL	139aVULN|28ZMB|4CDMG|5DMG|6RCR|7SELL
54	34652 21113	   	179.92	DCR|3DMG|2VULN|1CDMG|1ZMB	13VULN|2ZMB|4CDMG|57aDMG|6RCR|8DMSP|9RPLT
55	34652 21133	   	179.92	DCR|3VULN|2DMG|1CDMG|1ZMB	139VULN|2ZMB|4CDMG|57DMG|6RCR|8DMSP|aBEXP
56	34652 21213	   	179.92	DCR|3DMG|2VULN|1CDMG|1ZMB	13VULN|2ZMB|4CDMG|57aDMG|6RCR|8RCVC|9RPLT
57	34652 21233	   	179.92	DCR|3VULN|2DMG|1CDMG|1ZMB	139VULN|2ZMB|4CDMG|57DMG|6RCR|8RCVC|aBEXP
58	32145 13624	 * 	179.84	ACR|4VULN|2DMG|2ZMB	146aVULN|2MBVNT|36TLV|5RCR|6aBPWR|7aDMG|8aZMB|9RPLT
59	33632 63624	   	179.84	ACR|4VULN|2DMG|2ZMB	134aVULN|2TLV|5RCR|6MBVNT|7aDMG|8aZMB|9RPLT|aBPWR
60	34652 21333	   	179.82	DCR|3VULN|2DMG|1CDMG|1ZMB	139VULN|2ZMB|4CDMG|57DMG|6RCR|8ERES|aBEXP
61	35631 31232	   	179.79	DCR|5VULN|2DMG	1349aVULN|28CGEN|56DMG|7RCR
62	35631 31532	   	179.79	DCR|5VULN|2DMG	1349aVULN|2CGEN|56DMG|7RCR|8RCVC
63	35631 31621	   	179.79	DCR|5VULN|2DMG	1349aVULN|2CGEN|56DMG|7RCR|8MLV
64	33632 14115	 * 	179.77	ACR|4VULN|1AART|1CDMG|1DUR|1ASPD	134aVULN|2TLV|5RCR|6ASPD|7AART|8CDMG|9DUR
65	34652 21331	   	179.72	DCR|3VULN|2DMG|1CDMG|1ZMB	139VULN|2ZMB|4CDMG|57DMG|6RCR|8aERES
66	33631 31221	   	179.69	DCR|5VULN|2DMG	1349aVULN|2TLV|56DMG|7RCR|8CGEN
67	33631 31621	   	179.69	DCR|5VULN|2DMG	1349aVULN|2TLV|56DMG|7RCR|8MLV
68	33662 31221	   	179.69	DCR|5VULN|2DMG	1359aVULN|2TLV|46DMG|7RCR|8CGEN
69	33662 31621	   	179.69	DCR|5VULN|2DMG	1359aVULN|2TLV|46DMG|7RCR|8MLV
70	35631 31421	   	179.69	DCR|5VULN|2DMG	1349aVULN|2CGEN|56DMG|7RCR|8ERES
71	33631 31421	   	179.59	DCR|5VULN|2DMG	1349aVULN|2TLV|56DMG|7RCR|8ERES
72	33662 31421	   	179.59	DCR|5VULN|2DMG	1359aVULN|2TLV|46DMG|7RCR|8ERES
73	12848 43324	 * 	179.54	DCR|2VULN|2AART|1DMG|2CDMG	1BEXP|2MBVNT|34CDMG|58AART|6RCR|79VULN|aDMG
74	11511 31525	 * 	179.26	ACR|2VULN|2DMG|2CDMG|2DUR|1ASPD	1BEXP|2aDUR|3RCR|48VULN|5ASPD|6aCDMG|7BASICY|9aDMG|aBPWR
75	21511 31525	   	179.26	ACR|2VULN|2DMG|2CDMG|2DUR|1ASPD	1LWND|2aDUR|3RCR|48VULN|5ASPD|6aCDMG|7BASICY|9aDMG|aBPWR
76	32145 11843	 * 	178.62	ACR|5VULN|1AART|1CDMG	1468aVULN|2MBVNT|36TLV|5RCR|6BPWR|7AART|9CDMG
77	33632 61843	   	178.62	ACR|5VULN|1AART|1CDMG	1348aVULN|2TLV|5RCR|6MBVNT|7AART|9CDMG
78	32241 57364	 * 	178.20	DCR|3VULN|1AART|1DMG|2CDMG|1SELL	157VULN|2MBVNT|3SELL|45CDMG|5BPWR|6AART|8RCR|9BEXP|aDMG
79	31261 43113	 * 	178.12	DCR|3VULN|3CDMG|1AART|3DUR|1SELL	178VULN|257DUR|3SELL|457CDMG|57BPWR|6AART|9RCR|aLWND
80	31261 43114	 * 	178.12	DCR|3VULN|3CDMG|1AART|3DUR|1SELL	178VULN|257DUR|3SELL|457CDMG|57BPWR|6AART|9RCR|aCGEN
81	31261 43116	 * 	178.12	DCR|3VULN|3CDMG|1AART|3DUR|1SELL	178VULN|257DUR|3SELL|457CDMG|57BPWR|6AART|9RCR|aLHND
82	34631 34123	   	177.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	134VULN|2ZMB|5DMG|6FEWX|7AART|8CDMG|9BELT|aRCR
83	34652 22232	 * 	177.71	DCR|2VULN|3ZMB|1DMG|1FLTHEA|1CDMG	13VULN|29aZMB|4CDMG|5DMG|6RCR|7LIT|8FLTHEA
84	35631 31141	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	134VULN|2CGEN|56DMG|7RCR|8BEXP|9CDMG|aZMB
85	35631 31311	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	134VULN|2CGEN|56DMG|7RCR|8CDMG|9RPLT|aZMB
86	35631 31351	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	134VULN|2CGEN|56DMG|7RCR|8CDMG|9BEXP|aZMB
87	33631 31141	   	177.42	DCR|3VULN|2DMG|1CDMG|1ZMB	134VULN|2TLV|56DMG|7RCR|8BEXP|9CDMG|aZMB
88	33662 31141	   	177.42	DCR|3VULN|2DMG|1CDMG|1ZMB	135VULN|2TLV|46DMG|7RCR|8BEXP|9CDMG|aZMB
89	33611 32635	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2TLV|4RCVC|56DMG|7CDMG|8AART|9RCR|aDUR
90	11515 33513	   	177.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2DUR|3RCR|49VULN|5DMG|6CDMG|7LHND|8ZMB|aAART
91	11141 31525	   	176.86	ACR|2VULN|2DMG|2CDMG|2DUR|1ASPD	1BEXP|2aDUR|38VULN|4RCR|5ASPD|6aCDMG|7BASICY|9aDMG|aBPWR
92	21141 31525	   	176.86	ACR|2VULN|2DMG|2CDMG|2DUR|1ASPD	1LWND|2aDUR|38VULN|4RCR|5ASPD|6aCDMG|7BASICY|9aDMG|aBPWR
93	31341 31525	   	176.76	ACR|2VULN|2DMG|2CDMG|2DUR|1ASPD	18VULN|2aDUR|3DUST|4RCR|5ASPD|6aCDMG|7BASICY|9aDMG|aBPWR
94	36313 43423	   	176.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13VULN|2VENICY|4DUR|5DUST|6RCR|7CDMG|8ZMB|9DMG|aAART
95	33632 46332	   	176.57	ACR|5VULN|1AART|1ZMB	1347aVULN|29TLV|5RCR|6AART|8ZMB
96	36332 61316	   	176.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	134VULN|2VENICY|5CDMG|6ZMB|7LWND|8DMG|9AART|aRCR
97	32221 37487	   	176.22	DCR|3VULN|2DMG|1AART|1SELL	15aVULN|2MBVNT|3SELL|45DMG|5BPWR|6AIRHEA|7RCR|8ERES|9AART
98	33632 34336	   	175.99	ACR|4VULN|2DMG|1ZMB	134aVULN|2aTLV|5RCR|6RPLT|7ZMB|8LHND|9aDMG|aBPWR
99	12882 16324	 * 	175.76	ACR|2AART|2VULN|1DMG|2CDMG	1BEXP|2MBVNT|37CDMG|48AART|5RCR|69VULN|aDMG
100	32221 37124	 * 	175.72	DCR|3DMG|2VULN|1AART|1SELL	15VULN|2MBVNT|3SELL|459DMG|5BPWR|6AIRHEA|7RCR|8LHND|aAART
101	32221 37314	   	175.72	DCR|3VULN|2DMG|1AART|1SELL	158VULN|2MBVNT|3SELL|45DMG|5BPWR|6AIRHEA|7RCR|9MLV|aAART
102	35631 31633	   	175.46	DCR|3VULN|3DMG|1DUR	134VULN|2CGEN|56aDMG|7RCR|8MLV|9DUR
103	33631 31233	   	175.36	DCR|3VULN|3DMG|1DUR	134VULN|2TLV|56aDMG|7RCR|8CGEN|9DUR
104	33662 31233	   	175.36	DCR|3VULN|3DMG|1DUR	135VULN|2TLV|46aDMG|7RCR|8CGEN|9DUR
105	35631 31433	   	175.36	DCR|3VULN|3DMG|1DUR	134VULN|2CGEN|56aDMG|7RCR|8ERES|9DUR
106	31345 33532	   	175.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2DUR|3DUST|4RCR|5DMG|6CDMG|7LHND|8ZMB|9AART
107	33633 23345	 * 	175.14	DCR|4VULN|1AART|1DMG|1SELL	134aVULN|2TLV|5DUST|6RCR|7DMG|8SELL|9AART
108	32221 37327	   	175.11	DCR|3VULN|3DMG|1ASPD|1SELL	158VULN|2MBVNT|3SELL|45aDMG|5BPWR|6AIRHEA|7RCR|9ASPD
109	22244 15632	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|3DMG|4aVULN|5CDMG|6DUR|7RCR|8ZMB|9AART
110	22823 15632	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|3CDMG|4aVULN|5DMG|6DUR|7RCR|8ZMB|9AART
111	11145 33513	   	174.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2DUR|39VULN|4RCR|5DMG|6CDMG|7LHND|8ZMB|aAART
112	31345 33513	   	174.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19VULN|2DUR|3DUST|4RCR|5DMG|6CDMG|7LHND|8ZMB|aAART
113	34632 13114	 * 	174.72	DCR|4VULN|2DMG|2ZMB	1349VULN|29ZMB|5RMIN|6LIT|7DUST|89DMG|9BPWR|aRCR
114	32145 13278	 * 	174.49	ACR|3VULN|2DMG|1AART	146VULN|2MBVNT|36TLV|5RCR|6BPWR|7aDMG|8RPLT|9AART
115	22278 15211	 * 	174.38	ACR|2VULN|2DMG|1AART|1CDMG	1LWND|2MBVNT|37DMG|4CDMG|5RCR|6AART|89VULN|aLIT
116	22278 15212	   	174.38	ACR|2VULN|2DMG|1AART|1CDMG	1LWND|2MBVNT|37DMG|4CDMG|5RCR|6AART|89VULN|aBEXP
117	22278 15214	   	174.38	ACR|2VULN|2DMG|1AART|1CDMG	1LWND|2MBVNT|37DMG|4CDMG|5RCR|6AART|89VULN|aLHND
118	36261 35233	   	174.34	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	167VULN|2VENICY|3ZMB|4DUR|5RCR|8DMG|9CGEN|aAART
119	11261 64123	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2DUR|3DMG|4CDMG|5LSRREG|6ZMB|7RCR|89VULN|aAART
120	22244 15613	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|3DMG|49VULN|5CDMG|6DUR|7RCR|8ZMB|aAART
121	22823 15613	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|3CDMG|49VULN|5DMG|6DUR|7RCR|8ZMB|aAART
122	22278 15213	   	174.28	ACR|2VULN|2DMG|1AART|1CDMG	1LWND|2MBVNT|37DMG|4CDMG|5RCR|6AART|89VULN|aERES
123	22254 17147	   	174.27	DCR|3VULN|2DMG|1AART	18LWND|2MBVNT|38DMG|4CGEN|5AART|6ERES|78aVULN|8BPWR|9RCR
124	22214 17147	   	174.27	DCR|3VULN|2DMG|1AART	18LWND|2MBVNT|38DMG|4ERES|5AART|6CGEN|78aVULN|8BPWR|9RCR
125	34631 21336	   	174.26	DCR|4VULN|1DMG|1ZMB|1DUR|1ASPD	134aVULN|2ZMB|5DMG|6DMSP|7RCR|8ASPD|9DUR
126	32221 37482	   	174.22	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	15VULN|2MBVNT|3SELL|45DMG|5BPWR|6AIRHEA|7RCR|8ERES|9AART|aCDMG
127	32221 37582	   	174.22	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	15VULN|2MBVNT|3SELL|45DMG|5BPWR|6AIRHEA|7RCR|8TLV|9AART|aCDMG
128	34631 21124	   	174.03	DCR|4VULN|1DMG|1CDMG|1ZMB	134aVULN|2ZMB|5DMG|6DMSP|7RCR|8BEXP|9CDMG
129	34631 21153	   	174.03	DCR|4VULN|1DMG|1CDMG|1ZMB	1349VULN|2ZMB|5DMG|6DMSP|7RCR|8BEXP|aCDMG
130	34631 21226	   	174.03	DCR|4VULN|1DMG|1CDMG|1ZMB	1349VULN|2ZMB|5DMG|6DMSP|7RCR|8CGEN|aCDMG
131	34631 21323	   	173.93	DCR|4VULN|1DMG|2ASPD|1ZMB	1349VULN|2ZMB|5DMG|6DMSP|7RCR|8aASPD
132	34662 21323	   	173.93	DCR|4VULN|1DMG|2ASPD|1ZMB	1359VULN|2ZMB|4DMG|6DMSP|7RCR|8aASPD
133	35631 31236	   	173.90	DCR|4VULN|2DMG|1DUR	1349VULN|28CGEN|56DMG|7RCR|aDUR
134	35631 31623	   	173.90	DCR|4VULN|2DMG|1ASPD	1349VULN|2CGEN|56DMG|7RCR|8MLV|aASPD
135	12884 43324	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1BEXP|2MBVNT|3CDMG|48AART|5RCVC|6RCR|79VULN|aDMG
136	33611 31321	   	173.80	DCR|4VULN|2DMG|1ASPD	139aVULN|2TLV|4RCVC|56DMG|7RCR|8ASPD
137	33631 31223	   	173.80	DCR|4VULN|2DMG|1ASPD	1349VULN|2TLV|56DMG|7RCR|8CGEN|aASPD
138	33631 31322	   	173.80	DCR|4VULN|2DMG|1ASPD	1349VULN|2TLV|56DMG|7RCR|8ASPD|aLHND
139	33631 31324	   	173.80	DCR|4VULN|2DMG|1ASPD	1349VULN|2TLV|56DMG|7RCR|8ASPD|aBELT
140	33631 31623	   	173.80	DCR|4VULN|2DMG|1ASPD	1349VULN|2TLV|56DMG|7RCR|8MLV|aASPD
141	33662 31223	   	173.80	DCR|4VULN|2DMG|1ASPD	1359VULN|2TLV|46DMG|7RCR|8CGEN|aASPD
142	33662 31322	   	173.80	DCR|4VULN|2DMG|1ASPD	1359VULN|2TLV|46DMG|7RCR|8ASPD|aLHND
143	33662 31324	   	173.80	DCR|4VULN|2DMG|1ASPD	1359VULN|2TLV|46DMG|7RCR|8ASPD|aBELT
144	33662 31623	   	173.80	DCR|4VULN|2DMG|1ASPD	1359VULN|2TLV|46DMG|7RCR|8MLV|aASPD
145	33664 31321	   	173.80	DCR|4VULN|2DMG|1ASPD	139aVULN|2TLV|46DMG|5DMSP|7RCR|8ASPD
146	35631 31423	   	173.80	DCR|4VULN|2DMG|1ASPD	1349VULN|2CGEN|56DMG|7RCR|8ERES|aASPD
147	33631 31423	   	173.70	DCR|4VULN|2DMG|1ASPD	1349VULN|2TLV|56DMG|7RCR|8ERES|aASPD
148	33662 31423	   	173.70	DCR|4VULN|2DMG|1ASPD	1359VULN|2TLV|46DMG|7RCR|8ERES|aASPD
149	32221 37328	   	173.56	DCR|4VULN|2DMG|1ASPD|1SELL	158aVULN|2MBVNT|3SELL|45DMG|5BPWR|6AIRHEA|7RCR|9ASPD
150	33611 31326	   	173.35	DCR|3VULN|2DMG|1CDMG|1ASPD	139VULN|2TLV|4RCVC|56DMG|7RCR|8ASPD|aCDMG
151	33631 31533	   	173.35	DCR|3VULN|2DMG|1CDMG|1DUR	134VULN|2TLV|56DMG|7RCR|8RCVC|9DUR|aCDMG
152	33662 31533	   	173.35	DCR|3VULN|2DMG|1CDMG|1DUR	135VULN|2TLV|46DMG|7RCR|8RCVC|9DUR|aCDMG
153	33632 43115	   	173.33	ACR|4VULN|1AART|1CDMG|1DUR	134aVULN|2TLV|5RCR|6AART|7ERES|8CDMG|9DUR
154	33632 43153	   	173.33	ACR|4VULN|1AART|1CDMG|1ASPD	134aVULN|2TLV|5RCR|6AART|7ERES|8CDMG|9ASPD
155	33652 32234	   	173.32	DCR|4VULN|2DMG|1CDMG	1369VULN|2TLV|4CDMG|56DMG|6BPWR|7CGEN|8DUST|aRCR
156	33652 34341	   	173.32	DCR|4VULN|2DMG|1CDMG	1369VULN|2TLV|4CDMG|56DMG|6BPWR|7LHND|8MBVNT|aRCR
157	33652 36341	   	173.32	DCR|4VULN|2DMG|1CDMG	1369VULN|2TLV|4CDMG|56DMG|6BPWR|7LWND|8MBVNT|aRCR
158	32221 25133	   	173.31	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1SELL	15VULN|2MBVNT|3SELL|45DMG|5BPWR|6LWND|7ZMB|8DUR|9RCR|aAART
159	32221 85132	   	173.31	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1SELL	15VULN|2MBVNT|3SELL|45DMG|5BPWR|6FEWX|7ZMB|8DUR|9RCR|aAART
160	33652 31134	   	173.22	DCR|4VULN|2DMG|1CDMG	1368VULN|2TLV|4CDMG|56DMG|6BPWR|7VENICY|9ERES|aRCR
161	32221 15132	   	173.21	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1SELL	15VULN|2MBVNT|3SELL|45DMG|5BPWR|6DUST|7ZMB|8DUR|9RCR|aAART
162	34631 21221	   	173.21	DCR|5VULN|1DMG|1ZMB	1349aVULN|2ZMB|5DMG|6DMSP|7RCR|8CGEN
163	34662 21221	   	173.21	DCR|5VULN|1DMG|1ZMB	1359aVULN|2ZMB|4DMG|6DMSP|7RCR|8CGEN
164	35635 21312	   	173.21	DCR|3VULN|2DMG|1ZMB|1DUR	134VULN|2CGEN|5LWND|6RCR|7DUR|89DMG|aZMB
165	11515 33313	   	173.17	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1BEXP|2DUR|3RCR|49VULN|5DMG|6CDMG|7LHND|8ASPD|aAART
166	21515 35313	   	173.17	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2DUR|3RCR|49VULN|5DMG|6CDMG|7BEXP|8ASPD|aAART
167	35215 31413	   	173.17	DCR|3VULN|2DMG|1AART	15aVULN|2aCGEN|3BEXP|4ERES|6aDMG|7AART|8DMSP|9RCR|aBPWR
168	34631 21421	   	173.11	DCR|5VULN|1DMG|1ZMB	1349aVULN|2ZMB|5DMG|6DMSP|7RCR|8ERES
169	32221 37361	   	173.11	DCR|3VULN|2DMG|1CDMG|1ASPD|1SELL	158VULN|2MBVNT|3SELL|45DMG|5BPWR|6AIRHEA|7RCR|9CDMG|aASPD
170	33635 21312	   	173.11	DCR|3VULN|2DMG|1ZMB|1DUR	134VULN|2TLV|5LWND|6RCR|7DUR|89DMG|aZMB
171	35633 23512	   	173.11	DCR|3VULN|2DMG|1ZMB|1DUR	134VULN|2CGEN|5DUST|6RCR|79DMG|8DUR|aZMB
172	11511 31523	   	173.07	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1BEXP|2DUR|3RCR|48VULN|5ASPD|6CDMG|7BASICY|9DMG|aAART
173	33245 31413	   	173.07	DCR|3VULN|2DMG|1AART	15aVULN|2aTLV|3BEXP|4CGEN|6aDMG|7AART|8DMSP|9RCR|aBPWR
174	33633 23512	   	173.01	DCR|3VULN|2DMG|1ZMB|1DUR	134VULN|2TLV|5DUST|6RCR|79DMG|8DUR|aZMB
175	33215 31413	   	172.97	DCR|3VULN|2DMG|1AART	15aVULN|2aTLV|3BEXP|4ERES|6aDMG|7AART|8DMSP|9RCR|aBPWR
176	33245 31213	   	172.97	DCR|3VULN|2DMG|1AART	15aVULN|28aTLV|3BEXP|4CGEN|6aDMG|7AART|9RCR|aBPWR
177	31145 33433	   	172.96	DCR|3VULN|3DMG|1DUR	159VULN|2DUR|3TLV|4CGEN|67aDMG|8RCR
178	34652 23323	 * 	172.88	DCR|3VULN|1DMG|2ZMB|1CDMG|1ASPD|1SELL	139VULN|28ZMB|4CDMG|5DMG|6RCR|7SELL|aASPD
