0	Index      	 *	Score 	Summary	Detail	
1	11352 61153	 * 	217.94	ACR|4VULN|3DMG|2CDMG|2DUR	158aVULN|2RPLT|3RCR|4MBVNT|68DUR|78aDMG|8aBPWR|9aCDMG
16	11312 51141	   	195.87	ACR|4VULN|2DMG|1CDMG|2DUR	158aVULN|2RPLT|3RCR|4BEXP|68DUR|78DMG|8BPWR|9CDMG
17	26312 51141	   	195.87	ACR|4VULN|2DMG|1CDMG|2DUR	1RPLT|258aVULN|3RCR|4BEXP|68DUR|78DMG|8BPWR|9CDMG
18	11352 61148	   	195.77	ACR|4VULN|2DMG|1FLTHEA|2DUR	158aVULN|2RPLT|3RCR|4MBVNT|68DUR|78DMG|8BPWR|9FLTHEA
19	11352 61151	   	195.77	ACR|4VULN|2DMG|1CDMG|2DUR	158aVULN|2RPLT|3RCR|4MBVNT|68DUR|78DMG|8BPWR|9CDMG
20	11362 51141	   	195.77	ACR|4VULN|2DMG|1CDMG|2DUR	158aVULN|2RPLT|3RCR|4DUST|68DUR|78DMG|8BPWR|9CDMG
21	11311 61143	   	194.40	ACR|3VULN|3DMG|2CDMG	18aVULN|2RPLT|3RCR|48BEXP|5RCVC|6LEGI|78aDMG|8aBPWR|9aCDMG
22	11351 81153	   	194.40	ACR|3VULN|3DMG|2CDMG	18aVULN|2RPLT|3RCR|4MBVNT|5RCVC|68LHND|78aDMG|8aBPWR|9aCDMG
23	26311 61143	   	194.40	ACR|3VULN|3DMG|2CDMG	1RPLT|28aVULN|3RCR|48BEXP|5RCVC|6LEGI|78aDMG|8aBPWR|9aCDMG
24	11357 12318	   	194.24	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	19VULN|2RPLT|3RCR|4MBVNT|5BEXP|6AART|79DMG|89ZMB|9BPWR|aCDMG
25	11351 71153	   	194.20	ACR|3VULN|3DMG|2CDMG	18aVULN|2RPLT|3RCR|4MBVNT|5RCVC|6LEGI|78aDMG|8aBPWR|9aCDMG
26	11361 61143	   	194.20	ACR|3VULN|3DMG|2CDMG	18aVULN|2RPLT|3RCR|48DUST|5RCVC|6LEGI|78aDMG|8aBPWR|9aCDMG
27	43536 31233	 * 	193.47	ACR|4VULN|2DMG|3ZMB	1NUKE|237ZMB|467aVULN|5RCR|7aBPWR|8RMIN|9aDMG
28	23352 12573	 * 	192.83	ACR|3VULN|2DMG|2AART	1RPLT|29FEWX|3RCR|4MBVNT|59aVULN|68AART|79DMG|9BPWR
29	11312 51145	   	192.77	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	158VULN|2RPLT|3RCR|4BEXP|68DUR|78DMG|8BPWR|9CDMG|aZMB
30	11352 61143	   	192.67	ACR|3VULN|2DMG|1FLTHEA|2DUR|1ZMB	158VULN|2RPLT|3RCR|4MBVNT|68DUR|78DMG|8BPWR|9FLTHEA|aZMB
31	26352 61143	   	192.67	ACR|3VULN|2DMG|1FLTHEA|2DUR|1ZMB	1RPLT|258VULN|3RCR|4MBVNT|68DUR|78DMG|8BPWR|9FLTHEA|aZMB
32	11356 33114	 * 	191.90	ACR|3VULN|2DMG|3ASPD|3DUR	18aVULN|2RPLT|3RCR|4MBVNT|58aASPD|678DUR|8aBPWR|9aDMG
33	26356 33114	   	191.90	ACR|3VULN|2DMG|3ASPD|3DUR	1RPLT|28aVULN|3RCR|4MBVNT|58aASPD|678DUR|8aBPWR|9aDMG
34	11312 61343	   	191.40	ACR|3VULN|3DMG|2CDMG	15aVULN|2RPLT|3RCR|4BEXP|6LEGI|78aDMG|9aCDMG|aBPWR
35	11352 81353	   	191.40	ACR|3VULN|3DMG|2CDMG	15aVULN|2RPLT|3RCR|4MBVNT|6LHND|78aDMG|9aCDMG|aBPWR
36	26312 61343	   	191.40	ACR|3VULN|3DMG|2CDMG	1RPLT|25aVULN|3RCR|4BEXP|6LEGI|78aDMG|9aCDMG|aBPWR
37	11352 71353	   	191.30	ACR|3VULN|3DMG|2CDMG	15aVULN|2RPLT|3RCR|4MBVNT|6LEGI|78aDMG|9aCDMG|aBPWR
38	11362 61343	   	191.30	ACR|3VULN|3DMG|2CDMG	15aVULN|2RPLT|3RCR|4DUST|6LEGI|78aDMG|9aCDMG|aBPWR
39	11311 51143	   	191.08	ACR|3VULN|2DMG|2CDMG|2DUR	18aVULN|2RPLT|3RCR|4aBEXP|5RCVC|68DUR|78DMG|8aBPWR|9aCDMG
40	26311 51143	   	191.08	ACR|3VULN|2DMG|2CDMG|2DUR	1RPLT|28aVULN|3RCR|4aBEXP|5RCVC|68DUR|78DMG|8aBPWR|9aCDMG
41	11361 51143	   	190.88	ACR|3VULN|2DMG|2CDMG|2DUR	18aVULN|2RPLT|3RCR|4aDUST|5RCVC|68DUR|78DMG|8aBPWR|9aCDMG
42	11312 33633	   	190.57	ACR|4VULN|2DMG|1CDMG	156aVULN|2RPLT|3RCR|4aBEXP|7DUR|8CDMG|9aDMG|aBPWR
43	26312 33633	   	190.57	ACR|4VULN|2DMG|1CDMG	1RPLT|256aVULN|3RCR|4aBEXP|7DUR|8CDMG|9aDMG|aBPWR
44	11362 33633	   	190.37	ACR|4VULN|2DMG|1CDMG	156aVULN|2RPLT|3RCR|4aDUST|7DUR|8CDMG|9aDMG|aBPWR
45	26362 33633	   	190.37	ACR|4VULN|2DMG|1CDMG	1RPLT|256aVULN|3RCR|4aDUST|7DUR|8CDMG|9aDMG|aBPWR
46	11312 61443	   	189.85	ACR|4VULN|2DMG|2CDMG	158aVULN|2RPLT|3RCR|4BEXP|6LEGI|7aDMG|9aCDMG|aBPWR
47	11352 38733	   	189.85	ACR|4VULN|2DMG|2CDMG	156aVULN|2RPLT|3RCR|4MBVNT|7LWND|8aCDMG|9aDMG|aBPWR
48	11312 35641	 * 	189.75	ACR|5VULN|2DMG	15679VULN|2RPLT|3RCR|49BEXP|89DMG|9BPWR|aASPD
49	11316 51143	   	188.28	ACR|3VULN|2DMG|2CDMG|2DUR	18aVULN|2RPLT|3RCR|45aBEXP|68DUR|78DMG|8aBPWR|9aCDMG
50	11352 63733	   	187.98	ACR|3VULN|2DMG|2CDMG|2DUR	15aVULN|2RPLT|3RCR|4MBVNT|67DUR|8aCDMG|9aDMG|aBPWR
