0	Index      	 *	Score 	Summary	Detail	
1	66222 25221	 * 	194.02	DCR|4VULN|3ZMB|3ASPD|3DUR	18aZMB|235DUR|48aASPD|689aVULN|7RCR|8aBPWR
14	56333 42232	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|237VULN|4CDMG|5aCGEN|6RCR|8AART|9DMG
15	56333 42233	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|237VULN|4CDMG|5CGEN|6RCR|8AART|9DMG|aFEWX
16	51135 42231	   	175.53	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|357VULN|4CGEN|6RCR|8AART|9DMG|aERES
17	56331 42211	   	175.53	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|237VULN|4CDMG|5TLV|6RCR|8AART|9MGNLIT|aDMG
18	56333 42231	   	175.53	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|237VULN|4CDMG|5CGEN|6RCR|8AART|9DMG|aERES
19	51424 11311	 * 	175.30	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1DUST|28CDMG|3RCVC|47DMG|5AART|6ZMB|9RCR|aVULN
20	66132 32212	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUR|3CGEN|4CDMG|5AART|6BELT|7aVULN|8RCR|9DMG
21	22222 24462	   	174.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2CDMG|3DUR|479VULN|5LIT|6AART|8DMG|aRCR
22	61523 24312	   	173.84	DCR|3VULN|1AART|1DMG|2ZMB	15ZMB|2DUST|3BEXP|46aVULN|7RCR|8DMG|9AART
23	66222 25223	   	173.40	DCR|3VULN|3ZMB|3DUR|2ASPD	18aZMB|235DUR|48ASPD|689VULN|7RCR|8BPWR
24	65223 24313	   	172.16	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD|1DUR	15ZMB|2BEXP|3DUR|46VULN|7RCR|8DMG|9AART|aASPD
25	25431 25231	 * 	171.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2ERES|3RCR|4CDMG|5AART|6DUR|7RCVC|8aVULN|9DMG
26	33224 24312	   	171.21	DCR|3VULN|1AART|1DMG|2DUR	1NUKE|2BEXP|35DUR|46aVULN|7RCR|8DMG|9AART
27	51424 11312	 * 	170.89	DCR|3DMG|1AART|2CDMG|1ZMB	1DUST|28CDMG|3RCVC|47aDMG|5AART|6ZMB|9RCR
28	53323 41125	 * 	170.05	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	17DUST|2LWND|37VULN|4RCR|57CDMG|6LEGI|7BPWR|8DUR|9DMG|aAART
29	52335 32114	   	169.53	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2LHND|357VULN|4CDMG|6DMG|8RCR|9LEGI|aAART
30	22522 26162	   	169.26	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|2CDMG|3BEXP|49VULN|5LIT|6AART|78DMG|aRCR
31	51424 11111	   	168.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	18DUST|2CDMG|3RCVC|47DMG|5AART|6ZMB|9RCR|aVULN
32	53133 31215	   	168.21	DCR|3VULN|1AART|1DMG|2DUR	15DUST|2LWND|36DUR|459VULN|5BPWR|7DMG|8RCR|aAART
33	53331 31215	   	168.21	DCR|3VULN|1AART|1DMG|2DUR	1DUST|2LWND|349VULN|56DUR|7DMG|8RCR|aAART
34	56131 11215	   	168.21	DCR|3VULN|1AART|1DMG|2DUR	1DUST|249VULN|35DUR|6LHND|7DMG|8RCR|aAART
35	51112 61511	   	168.19	DCR|2DMG|1AART|1VULN|2CDMG	19DUST|29CDMG|3VULN|4DMSP|5AART|6RCR|7FEWX|89DMG|9BPWR|aBEXP
36	51112 61512	   	168.19	DCR|2DMG|1AART|1VULN|2CDMG	19DUST|29CDMG|3VULN|4DMSP|5AART|6RCR|7FEWX|89DMG|9BPWR|aLIT
37	51112 61513	   	168.19	DCR|2DMG|1AART|1VULN|2CDMG	19DUST|29CDMG|3VULN|4DMSP|5AART|6RCR|7FEWX|89DMG|9BPWR|aCGEN
38	22443 34121	 * 	168.10	DCR|3VULN|3ASPD|1DMG|2CDMG	16RPLT|27CDMG|357ASPD|457VULN|57BPWR|8DMG|9ERES|aRCR
39	63132 32212	   	168.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3RMIN|4LHND|5AART|6BELT|7aVULN|8RCR|9DMG
40	63162 31212	   	168.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3RMIN|4aVULN|5AART|6BELT|7FEWX|8RCR|9DMG
41	64132 32212	   	168.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LWND|3CGEN|4CDMG|5AART|6BELT|7aVULN|8RCR|9DMG
42	56332 24333	 * 	168.08	DCR|2AART|2VULN|2CDMG|1ZMB	1DUST|23VULN|48CDMG|59AART|6MLV|7RCR|aZMB
43	53424 21223	 * 	167.62	DCR|3DMG|1AART|1VULN|1DUR	18DUST|2LWND|389DMG|4VULN|5DUR|6RCR|78ERES|8BPWR|aAART
44	21422 24262	   	167.33	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|2FEWX|3LIT|459VULN|6AART|7DMG|8CDMG|aRCR
45	56331 42232	 * 	166.91	DCR|3VULN|2AART|1CDMG	1DUST|237VULN|4CDMG|5TLV|6RCR|89AART|aCGEN
46	56331 42231	   	166.81	DCR|3VULN|2AART|1CDMG	1DUST|237VULN|4CDMG|5aTLV|6RCR|89AART
47	56331 42233	   	166.81	DCR|3VULN|2AART|1CDMG	1aDUST|237VULN|4CDMG|5TLV|6RCR|89AART
48	53123 52115	 * 	166.71	ACR|4VULN|1AART|1DUR|1ASPD	1DUST|2LWND|3DUR|4RCR|5679VULN|8ASPD|aAART
49	53322 52115	   	166.71	ACR|4VULN|1AART|1DUR|1ASPD	1DUST|2LWND|3679VULN|4RCR|5DUR|8ASPD|aAART
50	22623 14336	   	166.62	DCR|3VULN|2AART|1CDMG	1RPLT|2CDMG|347VULN|5aAART|6RCVC|8RCR|9CGEN
51	51135 42223	   	166.57	DCR|3VULN|1AART|1CDMG|1ZMB	1DUST|2CDMG|357VULN|49CGEN|6RCR|8AART|aZMB
52	56333 42223	   	166.57	DCR|3VULN|1AART|1CDMG|1ZMB	1DUST|237VULN|4CDMG|59CGEN|6RCR|8AART|aZMB
53	22236 43315	   	166.52	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2CDMG|3DUR|4RCVC|5DMG|6RMIN|7RCR|89VULN|aAART
54	22623 43513	   	166.41	DCR|3VULN|2AART|1CDMG	1RPLT|2CDMG|348VULN|5aAART|6AIRHEL|7RCR|9LIT
55	51134 42211	 * 	166.29	DCR|2VULN|1AART|1DMG|2CDMG	1DUST|25CDMG|37VULN|4CGEN|6RCR|8AART|9MGNLIT|aDMG
56	51134 42232	   	166.29	DCR|2VULN|1AART|1DMG|2CDMG	1DUST|25CDMG|37VULN|4aCGEN|6RCR|8AART|9DMG
57	51134 42233	   	166.29	DCR|2VULN|1AART|1DMG|2CDMG	1DUST|25CDMG|37VULN|4CGEN|6RCR|8AART|9DMG|aFEWX
58	51134 42231	   	166.19	DCR|2VULN|1AART|1DMG|2CDMG	1DUST|25CDMG|37VULN|4CGEN|6RCR|8AART|9DMG|aERES
59	22622 25362	   	166.13	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|2CDMG|346VULN|5LWND|7DMG|8AART|9LIT|aRCR
60	56332 24311	   	165.69	DCR|2VULN|1AART|2CDMG|1DMG	1DUST|23VULN|48CDMG|5AART|6MLV|7RCR|9MGNLIT|aDMG
61	34341 41221	 * 	165.64	ACR|2VULN|2DMG|1AART	1NUKE|2RCVC|38LSRHEA|4AART|5RCR|68DMG|78MLV|8BPWR|9aVULN
62	56122 62412	   	165.57	ACR|4VULN|1AART|2DUR	1DUST|278aVULN|35DUR|4RCR|6MBVNT|9AART
63	34341 41131	   	165.54	ACR|2VULN|2DMG|1AART	1NUKE|2RCVC|3LSRHEA|4AART|5RCR|69DMG|7MLV|8aVULN
64	34341 43221	   	165.44	ACR|2VULN|2DMG|1AART	1NUKE|2RCVC|38LSRHEA|4AART|5RCR|68DMG|78ERES|8BPWR|9aVULN
65	32165 14323	   	165.32	DCR|3DMG|1AART|1VULN|1DUR	1NUKE|2ERES|35BEXP|458DMG|5BPWR|6DUR|7RCR|9VULN|aAART
66	65223 24311	   	165.22	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	15ZMB|2BEXP|3DUR|46VULN|7RCR|8DMG|9AART|aLWND
67	32166 14323	   	165.22	DCR|3DMG|1AART|1VULN|1DUR	1NUKE|2ERES|3BEXP|458DMG|6DUR|7RCR|9VULN|aAART
68	22243 21362	   	165.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2CDMG|3DUR|4LIT|589VULN|6AART|7ZMB|aRCR
69	22222 24262	   	165.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2CDMG|3DUR|479VULN|5LIT|6AART|8ZMB|aRCR
70	22243 24262	   	165.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2CDMG|3DUR|4LIT|579VULN|6AART|8ZMB|aRCR
71	22632 24262	   	165.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2CDMG|379VULN|4DUR|5LIT|6AART|8ZMB|aRCR
72	22222 21362	   	165.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2CDMG|3DUR|489VULN|5LIT|6AART|7ZMB|aRCR
73	22632 21362	   	165.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2CDMG|389VULN|4DUR|5LIT|6AART|7ZMB|aRCR
74	61523 24313	   	165.12	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD	15ZMB|2DUST|3BEXP|46VULN|7RCR|8DMG|9AART|aASPD
75	65362 43342	   	164.72	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2BEXP|3LIT|47DMG|5MBVNT|68VULN|9AART|aRCR
76	51135 42321	   	164.48	DCR|3VULN|1DMG|2CDMG|1DUR	1DUST|28CDMG|357VULN|4CGEN|6RCR|9DMG|aDUR
77	56333 42321	   	164.48	DCR|3VULN|1DMG|2CDMG|1DUR	1DUST|237VULN|48CDMG|5CGEN|6RCR|9DMG|aDUR
78	51424 11112	   	164.47	DCR|3DMG|1AART|1CDMG|1ZMB	18DUST|2CDMG|3RCVC|47aDMG|5AART|6ZMB|9RCR
79	56331 42321	   	164.38	DCR|3VULN|1DMG|2CDMG|1DUR	1DUST|237VULN|48CDMG|5TLV|6RCR|9DMG|aDUR
80	66222 25211	 * 	164.18	DCR|2VULN|3ASPD|3DUR|2ZMB|1CDMG	18ZMB|235DUR|489ASPD|68VULN|7RCR|8BPWR|aCDMG
81	22165 13131	   	164.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RPLT|2CDMG|35CGEN|45DMG|5BPWR|6DUR|7RCR|8BEXP|9AART|aVULN
82	22165 13212	   	164.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RPLT|2CDMG|35CGEN|45DMG|5BPWR|6DUR|7RCR|8RMIN|9AART|aVULN
83	52335 32125	 * 	164.11	DCR|3VULN|2DMG|1CDMG	1aDUST|2aLHND|357VULN|4CDMG|6aDMG|8RCR|9BELT|aBPWR
