0	Index      	 *	Score 	Summary	Detail	
1	51621 15213	 * 	384.12	DCR|DCR|1MDPS|1VULN|1TLV|1DUR	1LWND|2DUR|3LSRREG|4TLV|5BBNT|69RCR|7VULN|8DUST|aMDPS
30	22411 11235	   	357.81	DCR|2MDPS|1VULN|1DUR	1DUR|2BBNT|3VULN|4AME|5VENFST|6RCR|7RAT|89MDPS|aLWND
31	22411 11236	   	357.81	DCR|2MDPS|1VULN|1DUR	1DUR|2BBNT|3VULN|4AME|5VENFST|6RCR|7RAT|89MDPS|aRMIN
32	22611 13213	   	357.81	DCR|DCR|1MDPS|1VULN|1DUR	1DUR|2BBNT|3ERES|4BEXP|5CANTOX|69RCR|7VULN|8DUST|aMDPS
33	22631 13413	   	357.81	DCR|DCR|1MDPS|1VULN|1DUR	1DUR|2BBNT|3ERES|4DUST|5CANTOX|69RCR|7VULN|8LHND|aMDPS
34	34146 11231	   	357.81	DCR|2MDPS|1VULN|1DUR	1AME|2TBNT|3FLTHEA|4VULN|5DUR|6RCR|7RAT|89MDPS|aBOSS
35	34146 11232	   	357.81	DCR|2MDPS|1VULN|1DUR	1AME|2TBNT|3FLTHEA|4VULN|5DUR|6RCR|7RAT|89MDPS|aDUST
36	34146 11233	   	357.81	DCR|2MDPS|2VULN|1DUR	1AME|2TBNT|3FLTHEA|4aVULN|5DUR|6RCR|7RAT|89MDPS
37	63116 13213	   	357.81	DCR|DCR|1MDPS|1VULN|1DUR	1ERES|2BBNT|3FLTHEA|4LWND|5DUR|69RCR|7VULN|8DUST|aMDPS
38	63136 13213	   	357.81	DCR|DCR|1MDPS|1VULN|1DUR	1ERES|2BBNT|3FLTHEA|4BEXP|5DUR|69RCR|7VULN|8DUST|aMDPS
39	63146 11231	   	357.81	DCR|2MDPS|1VULN|1DUR	1ERES|2BBNT|3FLTHEA|4VULN|5DUR|6RCR|7RAT|89MDPS|aBOSS
40	63146 11232	   	357.81	DCR|2MDPS|1VULN|1DUR	1ERES|2BBNT|3FLTHEA|4VULN|5DUR|6RCR|7RAT|89MDPS|aDUST
41	63146 11233	   	357.81	DCR|2MDPS|2VULN|1DUR	1ERES|2BBNT|3FLTHEA|4aVULN|5DUR|6RCR|7RAT|89MDPS
42	63166 13213	   	357.81	DCR|DCR|1MDPS|1VULN|1DUR	1ERES|2BBNT|3FLTHEA|4LHND|5DUR|69RCR|7VULN|8DUST|aMDPS
43	64116 13213	   	357.81	DCR|DCR|1MDPS|1VULN|1DUR	1ERES|2TBNT|3FLTHEA|4LWND|5DUR|69RCR|7VULN|8DUST|aMDPS
44	64136 13213	   	357.81	DCR|DCR|1MDPS|1VULN|1DUR	1ERES|2TBNT|3FLTHEA|4BEXP|5DUR|69RCR|7VULN|8DUST|aMDPS
45	23122 45623	 * 	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2AEBURN|37BOSS|4TLV|5LHND|6RCR|89VULN|aMDPS
46	26222 23233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2LIT|35VULN|4ERES|6DMSP|7AEFBLL|8TLV|9RCR|aMDPS
47	51621 13512	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2DUR|3LSRREG|4TLV|5BBNT|6RCR|7ERES|89VULN|aMDPS
