0	Index      	 *	Score 	Summary	Detail	
1	13143 12252	 * 	251.21	紫3基础对甲2伤害2攻速1全技能	179基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8a伤害
23	13143 32222	   	233.84	紫2基础对甲2攻速1伤害1全技能1基地爆炸	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8伤害9雷电a基地爆炸
24	13143 32231	   	233.84	紫2基础对甲2攻速1伤害1全技能1基地爆炸	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8伤害9随机矿a基地爆炸
25	13143 32242	   	233.84	紫2基础对甲2攻速1伤害1全技能1基地爆炸	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8伤害9平台a基地爆炸
26	13143 32212	   	233.74	紫2基础对甲2攻速1伤害1全技能1基地爆炸	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8伤害9挖尘a基地爆炸
27	13143 32383	   	233.74	紫2基础对甲2攻速1伤害1全技能1基地爆炸	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8加一9基地爆炸a伤害
28	13143 12251	   	233.62	紫3基础对甲2攻速1伤害1全技能	179基础对甲2掉矿37攻速4核5全技能67a金币生成7序列升级8伤害
29	13143 12253	   	233.62	紫3基础对甲2攻速1伤害1全技能	179基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8伤害a敌人爆炸
30	13143 12256	   	233.62	紫3基础对甲2攻速1伤害1全技能	179基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8伤害a最后敌人
31	13143 12254	   	233.52	紫3基础对甲2攻速1伤害1全技能	179基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8伤害a磁铁减费
32	13143 32251	   	233.42	紫3基础对甲2攻速1伤害1全技能	179基础对甲2掉矿37攻速4核5全技能67等级7序列升级8伤害a金币生成
33	13143 32252	   	233.42	紫3基础对甲2攻速1伤害1全技能	179基础对甲2掉矿37攻速4核5全技能67等级7序列升级8伤害a平台
34	13143 32253	   	233.42	紫3基础对甲2攻速1伤害1全技能	179基础对甲2掉矿37攻速4核5全技能67等级7序列升级8伤害a最后敌人
35	13143 32254	   	233.32	紫3基础对甲2攻速1伤害1全技能	179基础对甲2掉矿37攻速4核5全技能67等级7序列升级8伤害a火球减费
36	16141 43442	   	232.12	紫2基础对甲2伤害3易伤1基地爆炸	1a基础对甲29a易伤3磁铁减费4核5基地爆炸6加一7a伤害8立即金币a序列升级
37	11144 23362	 * 	230.72	紫2基础对甲3伤害2基地爆炸	1a基础对甲29低血量敌人36火球减费4核58a伤害7a基地爆炸a序列升级
38	15144 23322	   	230.72	紫2基础对甲3伤害2基地爆炸	1a基础对甲29时间36火球减费4核58a伤害7a基地爆炸a序列升级
39	13141 33346	   	230.13	紫1基础对甲2伤害2攻速1基地爆炸	1基础对甲2掉矿3a攻速4核5敌人爆炸6易伤78伤害9基地爆炸
40	13142 33346	   	230.13	紫1基础对甲2伤害2攻速1基地爆炸	1基础对甲2掉矿3a攻速4核5最后敌人6易伤78伤害9基地爆炸
41	13143 12121	 * 	229.63	紫2基础对甲3攻速1全技能1暴击	17基础对甲2掉矿37a攻速4核5全技能67金币生成7序列升级8暴击9时间
42	13143 12151	   	229.63	紫2基础对甲3攻速1全技能1暴击	17基础对甲2掉矿37a攻速4核5全技能67金币生成7序列升级8暴击9最后敌人
43	13143 12521	   	229.63	紫2基础对甲3攻速1全技能1暴击	17基础对甲2掉矿37a攻速4核5全技能67金币生成7序列升级8低血量敌人9暴击
44	13143 12621	   	229.63	紫2基础对甲3攻速1全技能1暴击	17基础对甲2掉矿37a攻速4核5全技能67金币生成7序列升级8敌人爆炸9暴击
45	11143 53362	   	229.53	紫2基础对甲3伤害1全技能1基地爆炸	19基础对甲2低血量敌人39火球减费4核5时间6基地爆炸789伤害9序列升级a全技能
46	13143 12321	   	229.53	紫2基础对甲3攻速1全技能1暴击	17基础对甲2掉矿37a攻速4核5全技能67金币生成7序列升级8加一9暴击
47	13342 53334	   	229.53	紫2基础对甲3伤害1全技能1基地爆炸	1a基础对甲2a掉矿3随机矿4核5最后敌人6基地爆炸78a伤害9全技能a序列升级
48	11141 23362	   	229.43	紫2基础对甲3伤害1全技能1基地爆炸	19基础对甲2低血量敌人39火球减费4核5基地爆炸6挖尘789伤害9序列升级a全技能
49	13143 32121	   	229.43	紫2基础对甲3攻速1全技能1暴击	17基础对甲2掉矿37a攻速4核5全技能67等级7序列升级8暴击9时间
50	13143 32151	   	229.43	紫2基础对甲3攻速1全技能1暴击	17基础对甲2掉矿37a攻速4核5全技能67等级7序列升级8暴击9最后敌人
51	13143 32521	   	229.43	紫2基础对甲3攻速1全技能1暴击	17基础对甲2掉矿37a攻速4核5全技能67等级7序列升级8低血量敌人9暴击
52	13143 32621	   	229.43	紫2基础对甲3攻速1全技能1暴击	17基础对甲2掉矿37a攻速4核5全技能67等级7序列升级8敌人爆炸9暴击
53	15141 23362	   	229.43	紫2基础对甲3伤害1全技能1基地爆炸	19基础对甲2时间39火球减费4核5基地爆炸6挖尘789伤害9序列升级a全技能
54	13143 32321	   	229.33	紫2基础对甲3攻速1全技能1暴击	17基础对甲2掉矿37a攻速4核5全技能67等级7序列升级8加一9暴击
55	46111 23122	   	228.70	紫2基础对甲2攻速1伤害1基地爆炸1技能	1a攻速2技能3伤害4核56a金币生成7狙击对毒8基地爆炸9a基础对甲a序列升级
56	46115 33122	   	228.70	紫2基础对甲2攻速1伤害1基地爆炸1技能	1a攻速2技能3伤害4核5双倍矿6a金币生成7狙击对毒8基地爆炸9a基础对甲a序列升级
57	13142 51123	   	228.60	紫2基础对甲2攻速2暴击1基地爆炸1技能	1a基础对甲2掉矿3a攻速4核5最后敌人6基地爆炸7a暴击8技能9立即金币a序列升级
58	13143 12211	   	228.60	紫2基础对甲2攻速1伤害1全技能1技能	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8伤害9挖尘a技能
59	46115 23122	   	228.50	紫2基础对甲2攻速1伤害1基地爆炸1技能	1a攻速2技能3伤害4核5双倍矿6a等级7狙击对毒8基地爆炸9a基础对甲a序列升级
60	13143 32211	   	228.40	紫2基础对甲2攻速1伤害1全技能1技能	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8伤害9挖尘a技能
61	13143 13221	   	227.68	紫1基础对甲2攻速2基地爆炸1全技能1暴击	1基础对甲2掉矿3a攻速4核5全技能6金币生成78基地爆炸9暴击
62	13143 12114	   	227.63	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8暴击9额外掉落a基地爆炸
63	13143 12125	   	227.63	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8暴击9时间a基地爆炸
64	13143 12155	   	227.63	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8暴击9最后敌人a基地爆炸
65	13143 12525	   	227.63	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8低血量敌人9暴击a基地爆炸
66	13143 12625	   	227.63	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8敌人爆炸9暴击a基地爆炸
67	13143 33221	   	227.58	紫1基础对甲2攻速2基地爆炸1全技能1暴击	1基础对甲2掉矿3a攻速4核5全技能6等级78基地爆炸9暴击
68	13141 53232	   	227.56	紫1基础对甲2攻速1伤害1基地爆炸1暴击1技能	1基础对甲2掉矿39攻速4核5敌人爆炸6基地爆炸7伤害8技能a暴击
69	13143 12326	   	227.53	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67金币生成7序列升级8加一9暴击a基地爆炸
70	13143 32114	   	227.43	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8暴击9额外掉落a基地爆炸
71	13143 32125	   	227.43	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8暴击9时间a基地爆炸
72	13143 32155	   	227.43	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8暴击9最后敌人a基地爆炸
73	13143 32462	   	227.43	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8额外掉落9基地爆炸a暴击
74	13143 32525	   	227.43	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8低血量敌人9暴击a基地爆炸
75	13143 32625	   	227.43	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8敌人爆炸9暴击a基地爆炸
76	13143 32326	   	227.33	紫2基础对甲2攻速1全技能1基地爆炸1暴击	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8加一9暴击a基地爆炸
77	13143 32112	 * 	226.23	紫2基础对甲2攻速2全技能1暴击	17基础对甲2掉矿37攻速4核5a全技能67等级7序列升级8暴击9额外掉落
78	13141 33342	   	226.20	紫1基础对甲2伤害1攻速1基地爆炸1暴击	1基础对甲2掉矿3攻速4核5敌人爆炸6易伤78伤害9基地爆炸a暴击
79	13142 33342	   	226.20	紫1基础对甲2伤害1攻速1基地爆炸1暴击	1基础对甲2掉矿3攻速4核5最后敌人6易伤78伤害9基地爆炸a暴击
80	46112 33145	   	224.71	紫1基础对甲2基地爆炸1伤害1攻速1全技能1技能	1攻速2技能3伤害4核5等级6加一7全技能8a基地爆炸9基础对甲
81	11144 43111	   	224.19	紫2基础对甲3伤害1暴击1技能	16基础对甲2低血量敌人3火球减费4核567伤害6序列升级8技能9敌人爆炸a暴击
82	11144 43131	   	224.19	紫2基础对甲3伤害1全技能1技能	16基础对甲2低血量敌人3火球减费4核567伤害6序列升级8技能9雷电a全技能
83	11141 23364	   	224.09	紫2基础对甲3伤害1基地爆炸1技能	19基础对甲2低血量敌人39火球减费4核5基地爆炸6挖尘789伤害9序列升级a技能
84	13142 53113	   	223.40	紫1基础对甲2伤害2攻速1基地爆炸	1基础对甲2掉矿3a攻速4核5a最后敌人6基地爆炸7a伤害8策反9敌人爆炸a序列升级
85	13142 53163	   	223.40	紫1基础对甲2伤害2攻速1基地爆炸	1基础对甲2掉矿3a攻速4核5a最后敌人6基地爆炸7a伤害8策反9时间a序列升级
86	13341 53533	   	223.30	紫1基础对甲2伤害2攻速1基地爆炸	1基础对甲2a掉矿3随机矿4核5敌人爆炸6基地爆炸7a伤害8最后敌人9a攻速a序列升级
87	13344 62123	   	223.27	紫2基础对甲2伤害2基地爆炸1技能	19基础对甲2掉矿3随机矿4核57伤害6技能8a基地爆炸
88	13141 53316	   	223.20	紫1基础对甲2伤害2攻速1基地爆炸	1基础对甲2掉矿3a攻速4核5敌人爆炸6基地爆炸78伤害9最后敌人
89	13141 53326	   	223.20	紫1基础对甲2伤害2攻速1基地爆炸	1基础对甲2掉矿3a攻速4核5敌人爆炸6基地爆炸78伤害9时间
90	13142 33541	   	222.92	紫1基础对甲2基地爆炸2易伤1伤害1攻速	1基础对甲2a掉矿3攻速4核58最后敌人6a易伤7伤害9a基地爆炸a序列升级
91	16141 63332	   	222.82	紫2基础对甲3伤害1基地爆炸	1a基础对甲2易伤3a磁铁减费4核5基地爆炸69敌人爆炸78a伤害a序列升级
92	16143 53322	   	222.82	紫2基础对甲3伤害1基地爆炸	1a基础对甲2易伤3a磁铁减费4核59时间6基地爆炸78a伤害a序列升级
93	13142 21143	   	222.69	紫2基础对甲2攻速2暴击2技能	1a基础对甲2掉矿3a攻速4核5最后敌人6挖尘7a暴击89技能a序列升级
94	13141 36311	   	222.26	紫1基础对甲1伤害1攻速1全技能1基地爆炸1暴击	1基础对甲2掉矿3攻速4核5敌人爆炸6易伤7基地爆炸8全技能9伤害a暴击
95	13142 36311	   	222.26	紫1基础对甲1伤害1攻速1全技能1基地爆炸1暴击	1基础对甲2掉矿3攻速4核5最后敌人6易伤7基地爆炸8全技能9伤害a暴击
96	13143 22511	   	222.26	紫1基础对甲1伤害1攻速1全技能1基地爆炸1暴击	1基础对甲2掉矿3攻速4核5全技能6时间7易伤8基地爆炸9伤害a暴击
97	13141 43338	 * 	222.20	紫2基础对甲3伤害1攻速	1a基础对甲2a掉矿3攻速4核59敌人爆炸6加一78a伤害a序列升级
98	13142 43318	   	222.20	紫2基础对甲3伤害1攻速	1a基础对甲2a掉矿3攻速4核59最后敌人6加一78a伤害a序列升级
99	13142 43338	   	222.20	紫2基础对甲3伤害1攻速	1a基础对甲2a掉矿3攻速4核5最后敌人6加一78a伤害9立即金币a序列升级
100	13142 43348	   	222.20	紫2基础对甲3伤害1攻速	1a基础对甲2a掉矿3攻速4核5最后敌人6加一78a伤害9双倍矿a序列升级
101	16143 43322	   	222.20	紫2基础对甲3伤害2易伤	1a基础对甲2a易伤3磁铁减费4核59时间6加一78a伤害a序列升级
102	13341 33341	   	222.11	紫2基础对甲2伤害2基地爆炸	1a基础对甲2掉矿3随机矿4核5a敌人爆炸6易伤78伤害9a基地爆炸a序列升级
103	13342 33341	   	222.11	紫2基础对甲2伤害2基地爆炸	1a基础对甲2掉矿3随机矿4核5a最后敌人6易伤78伤害9a基地爆炸a序列升级
104	16143 23332	   	222.10	紫2基础对甲3伤害2易伤	1a基础对甲29易伤3a磁铁减费4核5时间6挖尘78a伤害a序列升级
105	13143 32463	   	222.09	紫2基础对甲2攻速1全技能1基地爆炸1技能	17基础对甲2掉矿37攻速4核5全技能67等级7序列升级8额外掉落9基地爆炸a技能
106	16142 53333	   	221.79	紫3伤害1基础对甲1全技能1基地爆炸	1基础对甲2易伤3磁铁减费4核5最后敌人6基地爆炸78a伤害9全技能
107	13143 13225	 * 	221.36	紫1基础对甲3基地爆炸1攻速1全技能1暴击	1基础对甲2掉矿3攻速4核5全技能6金币生成78a基地爆炸9暴击
108	13143 33225	   	221.26	紫1基础对甲3基地爆炸1攻速1全技能1暴击	1基础对甲2掉矿3攻速4核5全技能6等级78a基地爆炸9暴击
