0	Index      	 *	Score 	Summary	Detail	
1	12232 66263	 * 	201.36	DCR|4VULN|3DMG|2DUR|1ZMB	1367VULN|23FEWX|37BPWR|478DMG|57DUR|9RCR|aZMB
18	14231 31352	 * 	184.82	DCR|4VULN|2DMG|1AART|1SELL	1389VULN|23BEXP|38BPWR|48DMG|5SELL|68LHND|7AART|aRCR
19	13623 61133	 * 	184.82	DCR|3DMG|2VULN|1AART|1CDMG	16VULN|2CGEN|3MBVNT|457DMG|8CDMG|9RCR|aAART
20	13623 53431	 * 	184.67	DCR|3VULN|3DMG|1CDMG	189VULN|2CGEN|3MBVNT|459DMG|6RCR|79LIT|9BPWR|aCDMG
21	15232 11164	 * 	184.54	DCR|2VULN|1AART|1DMG|2CDMG|3DUR|1ZMB	13VULN|235DUR|3BPWR|4DMG|68CDMG|7AART|9ZMB|aRCR
22	11113 61352	   	184.52	DCR|3VULN|2DMG|1AART|1CDMG	189VULN|2RCVC|38BEXP|4LHND|5CDMG|68DMG|7AART|8BPWR|aRCR
23	13623 61134	 * 	183.78	DCR|3VULN|3DMG|2CDMG	16aVULN|2aCGEN|3MBVNT|457DMG|8aCDMG|9RCR|aBPWR
24	15231 31362	   	182.96	DCR|3VULN|2DMG|1AART|2DUR|1SELL	138VULN|23DUR|38BPWR|48DMG|5SELL|689LHND|7AART|aRCR
25	45333 22522	 * 	182.17	DCR|3VULN|2AART|1DMG|1DUR	1DUST|2DUR|3LWND|4DMG|5aAART|6RCR|789VULN
26	12232 66131	   	181.64	DCR|4VULN|2DMG|2DUR|1ASPD	1367VULN|23FEWX|37BPWR|47DMG|57DUR|8ASPD|9RCR|aCGEN
27	12232 66132	   	181.64	DCR|4VULN|2DMG|2DUR|1ASPD	1367VULN|23FEWX|37BPWR|47DMG|57DUR|8ASPD|9RCR|aRCVC
28	12232 66133	   	181.64	DCR|4VULN|2DMG|2DUR|1ASPD	1367VULN|23FEWX|37BPWR|47DMG|57DUR|8ASPD|9RCR|aBEXP
29	12232 66134	   	181.64	DCR|4VULN|2DMG|2DUR|1ASPD	1367VULN|23FEWX|37BPWR|47DMG|57DUR|8ASPD|9RCR|aBELT
30	13622 47114	 * 	181.49	ACR|3VULN|3DMG|2ZMB	189VULN|2CGEN|3MBVNT|49aDMG|5RCR|6BELT|79ZMB|9BPWR
31	15115 31252	   	181.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|2DUR|3LIT|4BEXP|5AART|69DMG|7RCR|8ZMB
32	15125 31252	   	181.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|2DUR|3LIT|4FEWX|5AART|69DMG|7RCR|8ZMB
33	11513 61362	   	181.10	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	18VULN|2RCVC|38DUR|49LHND|5CDMG|68DMG|7AART|8BPWR|aRCR
34	13622 37821	   	180.74	ACR|4VULN|3DMG	1678VULN|28CGEN|3MBVNT|48aDMG|5RCR|8BPWR|9MLV
35	14231 12433	   	180.66	DCR|3VULN|2DMG|1AART|1DUR|1SELL	137VULN|23BEXP|37BPWR|47DMG|5SELL|67FEWX|8RCR|9DUR|aAART
36	14231 52431	 * 	180.22	DCR|3VULN|2DMG|3DUR|1CDMG|1SELL	137VULN|23BEXP|37BPWR|47DMG|5SELL|679DUR|8RCR|aCDMG
37	13672 44114	 * 	180.19	ACR|3VULN|3DMG|2ASPD	189VULN|2CGEN|3MBVNT|49ASPD|5RCR|6BELT|79aDMG|9BPWR
38	15213 11352	 * 	179.61	DCR|4VULN|1AART|2CDMG|2DUR	1389VULN|23DUR|38BPWR|48LHND|58CDMG|6RMIN|7AART|aRCR
39	13623 53335	   	179.57	DCR|3VULN|2DMG|1AART	19aVULN|2CGEN|3MBVNT|45DMG|6RCR|7LIT|8AART
40	61233 56133	 * 	179.55	DCR|3DMG|3ZMB|1VULN|2ASPD|1DUR	1DMSP|278DMG|37aZMB|4VULN|5DUR|67ASPD|7BPWR|9RCR
41	15232 43123	 * 	179.17	DCR|3VULN|1AART|1DMG|3DUR|1ASPD	137VULN|235DUR|3BPWR|4DMG|6ASPD|8RCR|9CGEN|aAART
42	15232 43113	   	179.07	DCR|3VULN|1AART|1DMG|3DUR|1ASPD	137VULN|235DUR|3BPWR|4DMG|6ASPD|8RCR|9ERES|aAART
43	15232 43163	   	179.07	DCR|3VULN|1AART|1DMG|3DUR|1ASPD	137VULN|235DUR|3BPWR|4DMG|6ASPD|8RCR|9TLV|aAART
44	13622 37824	   	178.74	ACR|4VULN|2DMG|1CDMG	1678VULN|28CGEN|3MBVNT|48DMG|5RCR|8BPWR|9MLV|aCDMG
45	15243 23162	   	178.23	DCR|3VULN|1AART|1DMG|3DUR	137VULN|239DUR|3BPWR|4MLV|5BEXP|6RCR|8AART|aDMG
46	13132 66252	 * 	178.21	ACR|5VULN|2DMG	1467aVULN|279CGEN|37aBEXP|5RCR|7aBPWR|8aDMG
47	12435 34312	 * 	178.18	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	17aVULN|2FEWX|3RCR|4LIT|5AART|6DMG|8ASPD|9DUR
48	42432 51212	 * 	177.98	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2FEWX|3RCR|47DMG|5LIT|6CDMG|8AART|9aVULN
49	13622 33437	   	177.91	ACR|5VULN|2DMG	1689aVULN|2CGEN|3MBVNT|49DMG|5RCR|79LIT|9BPWR
50	13622 34674	 * 	177.79	ACR|3VULN|2DMG|2CDMG|1DUR	16aVULN|2CGEN|3MBVNT|4aDMG|5RCR|7DUST|8DUR|9aCDMG|aBPWR
51	12231 22446	 * 	177.57	DCR|3VULN|2DMG|3DUR|1ZMB|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67aDUR|8RCR|9ZMB
52	11531 31352	   	177.56	DCR|3VULN|2DMG|1AART|1DUR|1SELL	189VULN|2RCVC|3DUR|48DMG|5SELL|68LHND|7AART|8BPWR|aRCR
53	15115 31352	   	177.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1aVULN|2DUR|3LIT|4BEXP|5AART|69DMG|7RCR|8ASPD
54	15125 31352	   	177.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1aVULN|2DUR|3LIT|4FEWX|5AART|69DMG|7RCR|8ASPD
55	42436 33133	   	177.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2FEWX|3RCR|4DMG|5ASPD|67VULN|8CDMG|9ZMB|aAART
56	12115 31642	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2FEWX|3LIT|4BEXP|5AART|69DMG|7RCR|8CDMG
57	16423 12121	   	176.88	ACR|2VULN|2DMG|1AART|1CDMG	16VULN|2LHND|3RCR|4LWND|5CDMG|79DMG|8CGEN|aAART
58	12231 22424	   	176.85	DCR|4VULN|2DMG|2DUR|1SELL	137aVULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9BEXP
59	12231 22435	   	176.85	DCR|4VULN|2DMG|2DUR|1SELL	137aVULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9RPLT
60	12231 22464	   	176.85	DCR|4VULN|2DMG|2DUR|1SELL	137aVULN|239FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR
61	15231 12424	   	176.85	DCR|4VULN|2DMG|2DUR|1SELL	137aVULN|23DUR|37BPWR|47DMG|5SELL|67FEWX|8RCR|9BEXP
62	15231 12435	   	176.85	DCR|4VULN|2DMG|2DUR|1SELL	137aVULN|23DUR|37BPWR|47DMG|5SELL|67FEWX|8RCR|9RPLT
63	15231 22424	   	176.65	DCR|4VULN|2DMG|2DUR|1SELL	137aVULN|23DUR|37BPWR|47DMG|5SELL|67DUST|8RCR|9BEXP
64	15231 22435	   	176.65	DCR|4VULN|2DMG|2DUR|1SELL	137aVULN|23DUR|37BPWR|47DMG|5SELL|67DUST|8RCR|9RPLT
65	12231 22433	   	176.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9RPLT|aCDMG
66	12231 22451	   	176.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9CDMG|aCGEN
67	12231 22452	   	176.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9CDMG|aRCVC
68	12231 22453	   	176.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9CDMG|aBEXP
69	12231 22454	   	176.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9CDMG|aBELT
70	12231 22461	   	176.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|239FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|aCDMG
71	14231 52421	   	176.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|239BEXP|37BPWR|47DMG|5SELL|67DUR|8RCR|aCDMG
72	15231 12433	   	176.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67FEWX|8RCR|9RPLT|aCDMG
73	15231 12451	   	176.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67FEWX|8RCR|9CDMG|aCGEN
74	15231 12452	   	176.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67FEWX|8RCR|9CDMG|aRCVC
75	15231 12453	   	176.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67FEWX|8RCR|9CDMG|aBEXP
76	15231 12461	   	176.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|679FEWX|8RCR|aCDMG
77	15231 22451	   	176.20	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67DUST|8RCR|9CDMG|aCGEN
78	15231 22452	   	176.20	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67DUST|8RCR|9CDMG|aRCVC
79	15231 22453	   	176.20	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67DUST|8RCR|9CDMG|aBEXP
80	11132 66261	   	176.15	DCR|3VULN|3DMG|2DUR	167VULN|2RCVC|3BEXP|478DMG|57DUR|7BPWR|9RCR|aCGEN
81	13622 37832	   	176.09	ACR|4VULN|2DMG|1ZMB	1678VULN|28aCGEN|3MBVNT|48DMG|5RCR|8BPWR|9ZMB
82	13622 37833	   	176.09	ACR|4VULN|2DMG|1ZMB	1678VULN|28CGEN|3MBVNT|48DMG|5RCR|8BPWR|9ZMB|aRPLT
83	11132 66262	   	176.05	DCR|3VULN|3DMG|2DUR	167VULN|2RCVC|3BEXP|478DMG|57DUR|7BPWR|9RCR|aDUST
84	13627 12534	   	176.05	DCR|3VULN|3DMG|2DUR	16aVULN|2CGEN|3MBVNT|47aDMG|5RPLT|8aDUR|9RCR|aBPWR
85	15232 61253	   	175.96	DCR|2VULN|2DMG|1AART|3DUR	13VULN|235DUR|3BPWR|49DMG|6LIT|7AART|8RCR|aFEWX
86	12233 66326	   	175.92	DCR|4VULN|3DMG	1379VULN|238FEWX|379BPWR|479DMG|579LWND|6DMSP|aRCR
87	13622 32681	   	175.89	ACR|4VULN|2DMG|1ZMB	1689VULN|2CGEN|3MBVNT|4aDMG|5RCR|7ZMB
88	15232 12152	 * 	175.66	DCR|3VULN|2DMG|3DUR|1CDMG	139VULN|235DUR|39BPWR|49DMG|6CDMG|7CGEN|89LIT|aRCR
89	15232 16152	   	175.56	DCR|3VULN|2DMG|3DUR|1CDMG	139VULN|235DUR|39BPWR|49DMG|6CDMG|7ERES|89LIT|aRCR
90	15232 36152	   	175.56	DCR|3VULN|2DMG|3DUR|1CDMG	139VULN|235DUR|39BPWR|49DMG|6ERES|7CDMG|89LIT|aRCR
91	12236 16253	   	175.52	DCR|4VULN|3DMG	1379VULN|23FEWX|37BPWR|478DMG|5RMIN|67ERES|aRCR
92	14132 22142	 * 	175.46	DCR|3VULN|2DMG|2ASPD|1CDMG	18aVULN|2BEXP|38LIT|46ASPD|5CDMG|78DMG|8BPWR|9RCR
93	15233 16126	   	175.36	DCR|3VULN|2DMG|3DUR|1CDMG	137VULN|239DUR|37BPWR|47DMG|567DUST|8CDMG|aRCR
94	13623 54474	   	175.23	DCR|3DMG|2VULN|2CDMG	1aVULN|2CGEN|3MBVNT|45aDMG|6RCR|7DUST|8BEXP|9aCDMG|aBPWR
95	42333 22522	   	175.23	DCR|3VULN|2AART|1DMG	1DUST|2FEWX|3LWND|4DMG|5aAART|6RCR|789VULN
96	15115 31242	   	175.22	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1aVULN|2DUR|3LIT|4BEXP|59AART|6DMG|7RCR|8ZMB
97	15125 31242	   	175.22	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1aVULN|2DUR|3LIT|4FEWX|59AART|6DMG|7RCR|8ZMB
98	13332 62453	 * 	175.19	ACR|4VULN|1AART|1CDMG|1ZMB	1469VULN|2CGEN|3FEWX|5RCR|7CDMG|8ZMB|aAART
99	14132 31142	   	175.17	DCR|3VULN|2DMG|2CDMG|1ASPD	18aVULN|2BEXP|38LIT|4ASPD|57CDMG|68DMG|8BPWR|9RCR
100	33633 25632	   	175.13	DCR|3VULN|1AART|1DMG|3DUR	17ERES|2BEXP|367DUR|479VULN|5AART|7BPWR|8RCR|aDMG
101	12233 66263	   	175.02	DCR|3VULN|3DMG|1ZMB	137VULN|23FEWX|37BPWR|478DMG|57LWND|6DMSP|9RCR|aZMB
102	45333 32412	   	174.97	DCR|3VULN|2AART|1DMG|1DUR	1DUST|2DUR|3LWND|4DMG|5aAART|678VULN|9RCR
103	61131 14135	   	174.97	DCR|3VULN|2AART|1DMG|1ASPD	1DMSP|2DMG|3TLV|456VULN|7ASPD|8RCR|9aAART
104	16423 12611	 * 	174.95	ACR|3VULN|1AART|1DMG|1CDMG	168VULN|2LHND|3RCR|4LWND|5CDMG|7DMG|9MLV|aAART
105	13623 52148	   	174.92	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2CGEN|3MBVNT|45DMG|6RCR|7ZMB|8AART|9MGNSTR
106	13623 53332	   	174.92	DCR|2VULN|2DMG|1AART|1ZMB	19VULN|2CGEN|3MBVNT|45DMG|6RCR|7LIT|8AART|aZMB
107	12236 16263	   	174.82	DCR|3VULN|3DMG|1ZMB	137VULN|23FEWX|37BPWR|478DMG|5RMIN|67ERES|9RCR|aZMB
108	42333 22524	   	174.78	DCR|3VULN|1AART|1DMG|1ZMB	1DUST|2FEWX|3LWND|4DMG|5AART|6RCR|789VULN|aZMB
109	32215 23652	   	174.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2CDMG|369VULN|4DMG|5AART|7MLV|8DUR|aRCR
110	12232 66531	   	174.70	DCR|4VULN|2DMG|2DUR	1367VULN|23FEWX|37BPWR|47DMG|57DUR|8aCGEN|9RCR
111	12232 66532	   	174.70	DCR|4VULN|2DMG|2DUR	1367VULN|23FEWX|37BPWR|47DMG|57DUR|8CGEN|9RCR|aLIT
112	12232 66533	   	174.70	DCR|4VULN|2DMG|2DUR	1367VULN|23FEWX|37BPWR|47DMG|57DUR|8CGEN|9RCR|aRMIN
113	13627 11134	   	174.50	DCR|4VULN|2DMG|2DUR	168aVULN|2CGEN|3MBVNT|4aDMG|5RPLT|7aDUR|9RCR|aBPWR
114	12463 32142	 * 	174.03	ACR|2VULN|3ZMB|1AART|2CDMG	17VULN|24FEWX|3RCR|57CDMG|679ZMB|7BPWR|8DUST|aAART
115	13622 44124	 * 	173.99	ACR|3VULN|2DMG|1AART	189VULN|2CGEN|3MBVNT|47DMG|5RCR|6BELT|aAART
116	15232 61263	   	173.93	DCR|3VULN|1AART|1DMG|3DUR	13aVULN|235DUR|3BPWR|4DMG|6LIT|7AART|8RCR|9ERES
117	12231 22421	   	173.76	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9BEXP|aZMB
118	12231 22441	   	173.76	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9ZMB|aLHND
119	12231 22444	   	173.76	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9ZMB|aLIT
120	12231 22445	   	173.76	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9ZMB|aLWND
121	12231 22465	   	173.76	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|239FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|aZMB
122	15231 12421	   	173.76	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67FEWX|8RCR|9BEXP|aZMB
123	15231 12441	   	173.76	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67FEWX|8RCR|9ZMB|aLHND
124	11132 66223	   	173.75	DCR|3VULN|3DMG|2DUR	167VULN|2RCVC|39BEXP|478DMG|57DUR|7BPWR|aRCR
125	12231 22442	   	173.66	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9ZMB|aDUST
126	12231 22443	   	173.66	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23FEWX|37BPWR|47DMG|5SELL|67DUR|8RCR|9ZMB|aLEGI
127	15231 12442	   	173.66	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67FEWX|8RCR|9ZMB|aDUST
128	15231 12443	   	173.66	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67FEWX|8RCR|9ZMB|aLEGI
129	15231 22421	   	173.56	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67DUST|8RCR|9BEXP|aZMB
130	15231 22441	   	173.56	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67DUST|8RCR|9ZMB|aLHND
131	15231 22461	   	173.56	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67DUST|8RCR|9FEWX|aZMB
132	11532 16253	   	173.55	DCR|3VULN|3DMG|2DUR	179VULN|2RCVC|35DUR|478DMG|67DUST|7BPWR|aRCR
133	14231 22423	   	173.52	DCR|3VULN|2DMG|1AART|1SELL	137VULN|23BEXP|37BPWR|47DMG|5SELL|67DUST|8RCR|9FEWX|aAART
134	12431 53334	   	173.50	ACR|3VULN|1AART|1DMG|1ZMB	19aVULN|2FEWX|3RCR|4LIT|5DMSP|6DMG|7ZMB|8AART
135	12432 53334	   	173.50	ACR|3VULN|1AART|1DMG|1ZMB	19aVULN|2FEWX|3RCR|4LIT|5RCVC|6DMG|7ZMB|8AART
136	15231 22443	   	173.46	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	137VULN|23DUR|37BPWR|47DMG|5SELL|67DUST|8RCR|9ZMB|aLEGI
137	11251 14183	   	173.45	DCR|3VULN|2DMG|2ASPD|1DUR	149VULN|23RCVC|59ASPD|6MBVNT|7RCR|89DMG|9BPWR|aDUR
138	14643 22223	   	173.43	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	179VULN|2BEXP|3ZMB|4RCR|5AART|6DUR|8LWND|aCDMG
139	15643 12223	   	173.43	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	179VULN|2DUR|3ZMB|4RCR|5AART|6BEXP|8LWND|aCDMG
140	12463 32251	 * 	173.11	ACR|3VULN|1DMG|2CDMG|2ZMB	179VULN|248FEWX|3RCR|57CDMG|67ZMB|7BPWR|aDMG
141	15234 22312	 * 	173.05	DCR|3VULN|2DMG|2ZMB|2DUR	139VULN|23DUR|39BPWR|49DMG|5MLV|6BEXP|79ZMB|8BELT|aRCR
142	15235 42312	   	173.05	DCR|3VULN|2DMG|2ZMB|2DUR	139VULN|23DUR|39BPWR|49DMG|5FEWX|6MLV|79ZMB|8BELT|aRCR
143	15221 31352	 * 	172.96	DCR|4VULN|1AART|2ASPD|2DUR|1SELL	1389VULN|23DUR|38BPWR|48ASPD|5SELL|68LHND|7AART|aRCR
144	15233 42312	   	172.95	DCR|3VULN|2DMG|2ZMB|2DUR	139VULN|23DUR|39BPWR|49DMG|5DUST|6MLV|79ZMB|8BELT|aRCR
145	16423 11124	   	172.79	ACR|4VULN|1DMG|1CDMG|1DUR	168aVULN|2LHND|3RCR|4LWND|5CDMG|7DUR|9DMG
146	16423 13224	   	172.79	ACR|4VULN|1DMG|1CDMG|1DUR	167aVULN|2LHND|3RCR|4LWND|5CDMG|8DUR|9DMG
147	16413 11124	   	172.69	ACR|4VULN|1DMG|1CDMG|1DUR	168aVULN|2LHND|3RCR|4DUST|5CDMG|7DUR|9DMG
148	16413 13224	   	172.69	ACR|4VULN|1DMG|1CDMG|1DUR	167aVULN|2LHND|3RCR|4DUST|5CDMG|8DUR|9DMG
149	11513 41352	 * 	172.65	DCR|3VULN|1AART|2ASPD|1CDMG|2DUR	189VULN|2RCVC|38DUR|4LHND|5CDMG|68ASPD|7AART|8BPWR|aRCR
150	12643 63212	 * 	172.65	ACR|2AART|2VULN|1DMG|2ZMB	19VULN|2FEWX|39ZMB|4RCR|5aAART|6DMG|7TLV|89LWND|9BPWR
151	61221 56133	   	172.61	DCR|3DMG|3ZMB|1VULN|2ASPD	1DMSP|278DMG|37aZMB|4FEWX|5VULN|67ASPD|7BPWR|9RCR
152	61211 56133	   	172.51	DCR|3DMG|3ZMB|1VULN|2ASPD	1DMSP|278DMG|37aZMB|4DUST|5VULN|67ASPD|7BPWR|9RCR
153	12232 66335	   	172.30	DCR|4VULN|2DMG|2DUR	1367VULN|238FEWX|37BPWR|47DMG|57DUR|9RPLT|aRCR
154	16412 63233	   	172.20	ACR|3VULN|1AART|1DMG|1ZMB	179VULN|2LHND|3RCR|4DUST|5ZMB|6DMG|8RPLT|aAART
155	12232 52663	   	172.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13VULN|23FEWX|3BPWR|4DMG|5DUR|6LHND|7ZMB|8RCR|9CDMG|aAART
156	15232 61212	   	172.03	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|235DUR|3BPWR|4DMG|6LIT|7AART|8RCR|9DMSP|aCDMG
157	15232 61232	   	172.03	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|235DUR|3BPWR|4DMG|69LIT|7AART|8RCR|aCDMG
158	13622 33438	   	172.02	ACR|4VULN|2DMG|1ASPD	1689VULN|2CGEN|3MBVNT|49DMG|5RCR|79LIT|9BPWR|aASPD
159	12232 12663	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13VULN|23FEWX|3BPWR|4DMG|5DUR|6DUST|7ZMB|8RCR|9CDMG|aAART
160	13622 32684	   	171.95	ACR|4VULN|1DMG|1CDMG|1ZMB	1689VULN|2CGEN|3MBVNT|4DMG|5RCR|7ZMB|aCDMG
161	15232 61262	   	171.93	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	13VULN|235DUR|3BPWR|4DMG|6LIT|7AART|8RCR|9ERES|aCDMG
162	32216 63423	   	171.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|2CDMG|3VULN|46DMG|5DUR|7ZMB|8RCR|9BEXP|aAART
163	13132 66611	 * 	171.90	ACR|5VULN|1AART|1ASPD	14679VULN|279CGEN|379BEXP|5RCR|79BPWR|8AART|aASPD
164	13332 66611	   	171.90	ACR|5VULN|1AART|1ASPD	14679VULN|279CGEN|379FEWX|5RCR|79BPWR|8AART|aASPD
165	42432 51213	 * 	171.84	ACR|2DMG|2AART|1VULN|1CDMG	1DUST|2FEWX|3RCR|47DMG|5LIT|6CDMG|8aAART|9VULN
166	16433 33421	 * 	171.81	ACR|3VULN|3ASPD|1DMG|1CDMG	178VULN|2LHND|3RCR|48LIT|568ASPD|8BPWR|9DMG|aCDMG
