0	Index      	 *	Score 	Summary	Detail	
1	53333 15123	 * 	183.43	ACR|3VULN|2DMG|1AART|1DUR	19DMG|2ERES|39LIT|4RCR|5DUST|6DUR|789VULN|9BPWR|aAART
35	51633 26323	   	170.50	ACR|2DMG|2AART|1VULN|1ZMB	15DMG|25LHND|3RCR|4RCVC|5BPWR|67AART|8ZMB|9TLV|aVULN
36	51116 53211	   	170.04	ACR|2VULN|2DMG|1AART|1ZMB	1aDMG|2LHND|3ZMB|4MLV|5RCR|67VULN|8BEXP|9AART
37	51116 53311	   	170.04	ACR|2VULN|2DMG|1AART|1ZMB	1aDMG|2LHND|3ZMB|4MLV|5RCR|67VULN|8LWND|9AART
38	11633 41232	 * 	169.33	ACR|3DMG|2VULN|1CDMG	157DUST|259DMG|3RCR|4RCVC|59BPWR|69CGEN|89VULN|aCDMG
39	51613 13126	 * 	169.33	ACR|3VULN|2DMG|2ASPD	1aDMG|2aLHND|3RCR|4TLV|579VULN|6aASPD|8RMIN|aBPWR
40	11633 31523	   	169.23	ACR|3DMG|2VULN|1CDMG	15aDUST|25aDMG|3RCR|4RCVC|5aBPWR|6MBVNT|7CDMG|8CGEN|9aVULN
41	54633 11123	   	169.23	ACR|3DMG|2VULN|1CDMG	16aDMG|2FEWX|3RCR|4RCVC|5aDUST|7CDMG|8TLV|9aVULN|aBPWR
42	15321 34153	 * 	169.14	ACR|3VULN|1AART|1CDMG|1FLTHEA	17DUST|2BELT|3RCR|4CDMG|578VULN|67CGEN|7BPWR|9AART|aFLTHEA
43	11656 22211	   	169.13	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|28DMG|3RCR|47BEXP|5AART|6ASPD|9CDMG|aVULN
44	11633 31123	   	169.13	ACR|3DMG|2VULN|1CDMG	15aDUST|25aDMG|3RCR|4RCVC|5aBPWR|6MBVNT|7CDMG|8TLV|9aVULN
45	15321 31153	   	169.04	ACR|3VULN|1AART|1CDMG|1FLTHEA	1DUST|2BELT|3RCR|4CDMG|578VULN|6CGEN|9AART|aFLTHEA
46	21631 13233	 * 	168.74	ACR|2VULN|2DMG|2ZMB|1CDMG	167FEWX|29DMG|3RCR|4RCVC|59ZMB|89VULN|9BPWR|aCDMG
47	54631 13233	   	168.74	ACR|2VULN|2DMG|2ZMB|1CDMG	19DMG|267FEWX|3RCR|4RCVC|59ZMB|89VULN|9BPWR|aCDMG
48	51633 22512	   	168.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	15DMG|25LHND|3RCR|4RCVC|5BPWR|6AART|7CGEN|8VULN|9CDMG|aDUR
49	51633 22513	   	168.73	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	15DMG|25LHND|3RCR|4RCVC|5BPWR|6AART|7CGEN|8VULN|9CDMG|aASPD
50	51633 23311	   	168.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	15DMG|25LHND|3RCR|4RCVC|5BPWR|6AART|7DUR|8CGEN|9CDMG|aVULN
51	31354 22411	   	168.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2LHND|3DMG|4RPLT|5AART|68VULN|7DUR|9RCR|aCDMG
52	36131 12464	 * 	168.32	DCR|2VULN|2DMG|3ASPD|1CDMG	16aASPD|2CDMG|3RPLT|4MBVNT|5LEGI|7aVULN|8RCR|9aDMG|aBPWR
53	36131 35464	 * 	168.32	DCR|2VULN|2DMG|2CDMG|2ASPD	1aASPD|27CDMG|3RPLT|4MBVNT|5LEGI|6aVULN|8RCR|9aDMG|aBPWR
54	21116 16311	   	168.10	ACR|3DMG|1AART|1VULN|1ZMB	1FEWX|26aDMG|3ZMB|4MLV|5RCR|7VULN|8LWND|9AART
55	11633 13532	   	168.04	ACR|3DMG|1AART|1VULN|1DUR	157DUST|259DMG|3RCR|4RCVC|5BPWR|6DUR|8VULN|aAART
56	11633 16532	   	168.04	ACR|3DMG|1AART|1VULN|1DUR	158DUST|259DMG|3RCR|4RCVC|5BPWR|6DUR|7VULN|aAART
57	11633 23532	   	168.04	ACR|3DMG|1AART|1VULN|1DUR	156DUST|259DMG|3RCR|4RCVC|5BPWR|7DUR|8VULN|aAART
58	11116 16311	   	168.00	ACR|3DMG|1AART|1VULN|1ZMB	1DUST|26aDMG|3ZMB|4MLV|5RCR|7VULN|8LWND|9AART
59	11116 16611	   	168.00	ACR|3DMG|1AART|1VULN|1ZMB	1DUST|26aDMG|3ZMB|4MLV|5RCR|7VULN|8LHND|9AART
60	21116 16411	   	168.00	ACR|3DMG|1AART|1VULN|1ZMB	1FEWX|26aDMG|3ZMB|4MLV|5RCR|7VULN|8LEGI|9AART
61	11116 16411	   	167.90	ACR|3DMG|1AART|1VULN|1ZMB	1DUST|26aDMG|3ZMB|4MLV|5RCR|7VULN|8LEGI|9AART
62	31336 61113	   	167.82	DCR|3DMG|1AART|1VULN|1ASPD	1ASPD|2LHND|347DMG|5LIT|6RCR|8VULN|9RCVC|aAART
63	31336 61133	   	167.82	DCR|3DMG|1AART|1VULN|1ASPD	1ASPD|2LHND|347DMG|5LIT|6RCR|8VULN|9DMSP|aAART
64	31336 61163	   	167.82	DCR|3DMG|1AART|1VULN|1ASPD	1ASPD|2LHND|347DMG|59LIT|6RCR|8VULN|aAART
65	31326 61253	   	167.82	DCR|3DMG|1AART|1VULN|1ASPD	1ASPD|24LHND|379DMG|5LIT|6RCR|8VULN|aAART
66	31336 63253	   	167.82	DCR|3DMG|1AART|1VULN|1ASPD	1ASPD|2LHND|349DMG|5LIT|6RCR|7RCVC|8VULN|aAART
67	11635 62331	 * 	167.81	ACR|2DMG|1AART|1VULN|2CDMG	1DUST|2aDMG|3RCR|4RCVC|5AIRHEA|6AART|79CDMG|8VULN
68	31336 65322	 * 	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2LHND|34DMG|5LIT|6RCR|7AART|8VULN|9MLV|aCDMG
69	21621 22363	 * 	167.43	ACR|2VULN|2DMG|2ASPD|1CDMG	1FEWX|2aDMG|3RCR|4LWND|5LIT|6aASPD|7RPLT|8CDMG|9aVULN|aBPWR
70	31353 52411	   	167.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2LHND|3DMG|4RPLT|58VULN|6DUR|7AART|9RCR|aCDMG
71	11643 14221	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2DMG|3RCR|4MLV|5aVULN|6ASPD|7BEXP|8AART|9CDMG
72	21643 11221	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2DMG|3RCR|4MLV|5aVULN|6ASPD|7DUST|8AART|9CDMG
73	15361 25231	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|24BELT|3RCR|59VULN|6CDMG|7DUR|8AART|aDMG
74	11621 22363	   	167.33	ACR|2VULN|2DMG|2ASPD|1CDMG	1DUST|2aDMG|3RCR|4LWND|5LIT|6aASPD|7RPLT|8CDMG|9aVULN|aBPWR
75	11613 14221	   	167.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2DMG|3RCR|4TLV|5aVULN|6ASPD|7BEXP|8AART|9CDMG
76	21613 11221	   	167.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2DMG|3RCR|4TLV|5aVULN|6ASPD|7DUST|8AART|9CDMG
77	54613 11221	   	167.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2FEWX|3RCR|4TLV|5aVULN|6ASPD|7DUST|8AART|9CDMG
78	53333 25125	 * 	166.93	ACR|3VULN|2DMG|1CDMG	19DMG|2ERES|39LIT|4RCR|5DUST|6LWND|789VULN|9BPWR|aCDMG
79	31136 11421	   	166.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ASPD|2LHND|3ZMB|46DMG|5RCR|7CDMG|8CGEN|9aVULN
80	31316 11621	   	166.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ASPD|2LHND|36DMG|4MLV|5RCR|7CDMG|8ZMB|9aVULN
81	34316 11621	   	166.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ASPD|2FEWX|36DMG|4MLV|5RCR|7CDMG|8ZMB|9aVULN
82	51136 11421	   	166.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	16DMG|2LHND|3ZMB|4ASPD|5RCR|7CDMG|8CGEN|9aVULN
83	31136 11121	   	166.72	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ASPD|2LHND|3ZMB|46DMG|5RCR|7CDMG|8TLV|9aVULN
84	31236 11621	   	166.72	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ASPD|2LHND|3TLV|46DMG|5RCR|7CDMG|8ZMB|9aVULN
85	31366 11621	   	166.72	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ASPD|2LHND|36DMG|4TLV|5RCR|7CDMG|8ZMB|9aVULN
86	33236 11621	   	166.72	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1ASPD|2ERES|3LHND|46DMG|5RCR|7CDMG|8ZMB|9aVULN
87	51136 11121	   	166.72	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	16DMG|2LHND|3ZMB|4ASPD|5RCR|7CDMG|8TLV|9aVULN
88	51236 11621	   	166.72	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	16DMG|2LHND|3TLV|4ASPD|5RCR|7CDMG|8ZMB|9aVULN
89	53236 11621	   	166.72	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	16DMG|2ERES|3LHND|4ASPD|5RCR|7CDMG|8ZMB|9aVULN
90	11116 54221	   	166.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2DMG|3ZMB|4MLV|5RCR|6aVULN|7BEXP|8AART|9CDMG
91	21116 51221	   	166.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2DMG|3ZMB|4MLV|5RCR|6aVULN|7DUST|8AART|9CDMG
92	11643 22433	   	166.59	ACR|3VULN|2DMG|1ZMB	1DUST|2aDMG|3RCR|46MLV|578VULN|9ZMB
93	11633 42431	   	166.59	ACR|3VULN|2DMG|1ZMB	15DUST|25DMG|3RCR|4RCVC|5BPWR|6CGEN|78aVULN|9ZMB
94	11633 42433	   	166.59	ACR|3DMG|2VULN|1ZMB	15DUST|25aDMG|3RCR|4RCVC|5BPWR|6CGEN|78VULN|9ZMB
95	51633 23533	   	166.53	ACR|2DMG|2AART|1VULN|1DUR	15DMG|25LHND|3RCR|49RCVC|5BPWR|68AART|7DUR|aVULN
96	51633 26133	   	166.53	ACR|2DMG|2AART|1VULN|1DUR	15DMG|25LHND|3RCR|49RCVC|5BPWR|67AART|8DUR|aVULN
97	51633 26231	   	166.53	ACR|2DMG|2AART|1VULN|1ASPD	15DMG|258LHND|3RCR|4RCVC|5BPWR|67AART|9ASPD|aVULN
98	14647 12443	   	166.44	ACR|3VULN|3DMG	138DUST|2MBVNT|4NUKE|5RCR|68aDMG|78aVULN|8aBPWR|9aLIT
99	14274 33321	 * 	166.02	DCR|3VULN|3DMG	19aDUST|2MBVNT|3AIRHEL|49aDMG|5FEWX|6LSRICY|79aVULN|8RCR|9aBPWR
100	31316 53211	   	165.97	ACR|2VULN|2DMG|1AART|1ASPD	1ASPD|2LHND|3aDMG|4MLV|5RCR|67VULN|8BEXP|9AART
101	31316 53311	   	165.97	ACR|2VULN|2DMG|1AART|1ASPD	1ASPD|2LHND|3aDMG|4MLV|5RCR|67VULN|8LWND|9AART
102	11351 43361	 * 	165.92	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|23DMG|4FEWX|5ZMB|6LWND|7AART|89VULN|aRCR
103	11361 13361	   	165.92	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|23DMG|4LWND|5ZMB|6FEWX|7AART|89VULN|aRCR
104	31354 22413	   	165.91	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2LHND|3DMG|4RPLT|5AART|68VULN|7DUR|9RCR|aZMB
105	31236 53211	   	165.87	ACR|2VULN|2DMG|1AART|1ASPD	1ASPD|2LHND|3TLV|4aDMG|5RCR|67VULN|8BEXP|9AART
106	31236 53311	   	165.87	ACR|2VULN|2DMG|1AART|1ASPD	1ASPD|2LHND|3TLV|4aDMG|5RCR|67VULN|8LWND|9AART
107	31366 53211	   	165.87	ACR|2VULN|2DMG|1AART|1ASPD	1ASPD|2LHND|3aDMG|4TLV|5RCR|67VULN|8BEXP|9AART
108	31366 53311	   	165.87	ACR|2VULN|2DMG|1AART|1ASPD	1ASPD|2LHND|3aDMG|4TLV|5RCR|67VULN|8LWND|9AART
109	51236 53211	   	165.87	ACR|2VULN|2DMG|1AART|1ASPD	1aDMG|2LHND|3TLV|4ASPD|5RCR|67VULN|8BEXP|9AART
110	51236 53311	   	165.87	ACR|2VULN|2DMG|1AART|1ASPD	1aDMG|2LHND|3TLV|4ASPD|5RCR|67VULN|8LWND|9AART
111	51661 32311	 * 	165.83	ACR|2VULN|2AART|1DMG|1ASPD	1DMG|2LHND|3RCR|4RPLT|5aVULN|6ASPD|78AART|9RMIN
112	21613 34511	 * 	165.81	ACR|2VULN|2DMG|1CDMG|2DUR	1FEWX|28DMG|3RCR|4TLV|5aVULN|69DUR|7CDMG
113	51621 32353	   	165.81	ACR|2DMG|1AART|1VULN|2CDMG	18DMG|28LHND|3RCR|4LWND|5LIT|68CDMG|7RPLT|8BPWR|9VULN|aAART
114	11613 34511	   	165.71	ACR|2VULN|2DMG|1CDMG|2DUR	1DUST|28DMG|3RCR|4TLV|5aVULN|69DUR|7CDMG
115	53333 15125	 * 	165.52	ACR|3VULN|2DMG|2DUR	19DMG|2ERES|39LIT|4RCR|5DUST|6aDUR|789VULN|9BPWR
116	31341 66221	 * 	165.35	DCR|2VULN|2DMG|2ASPD|2DUR|1SELL	18ASPD|25LHND|38DMG|4SELL|6RCR|78DUR|8BPWR|9aVULN
117	31336 65312	   	164.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|2LHND|34DMG|5LIT|6RCR|7AART|8VULN|9BEXP|aZMB
118	31336 65332	   	164.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|2LHND|34DMG|5LIT|6RCR|7AART|8VULN|9LWND|aZMB
119	21634 23235	   	164.93	ACR|2VULN|2DMG|1AART	1FEWX|2aDMG|3RCR|4RCVC|5LIT|6SNIHEL|7AART|89VULN
120	21635 23235	   	164.93	ACR|2VULN|2DMG|1AART	1FEWX|2aDMG|3RCR|4RCVC|5AIRHEA|6LIT|7AART|89VULN
121	11634 23235	   	164.83	ACR|2VULN|2DMG|1AART	1DUST|2aDMG|3RCR|4RCVC|5LIT|6SNIHEL|7AART|89VULN
122	11635 23235	   	164.83	ACR|2VULN|2DMG|1AART	1DUST|2aDMG|3RCR|4RCVC|5AIRHEA|6LIT|7AART|89VULN
123	21334 13232	   	164.73	ACR|3DMG|2VULN|1CDMG	167FEWX|239DMG|49CGEN|5RCR|89VULN|9BPWR|aCDMG
124	54334 13232	   	164.73	ACR|3DMG|2VULN|1CDMG	139DMG|267FEWX|49CGEN|5RCR|89VULN|9BPWR|aCDMG
125	31353 52413	   	164.71	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2LHND|3DMG|4RPLT|58VULN|6DUR|7AART|9RCR|aZMB
126	53532 52221	   	164.64	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	13DMG|23ERES|3BPWR|4ASPD|5MLV|6CDMG|7RCR|8DUR|9aVULN
127	22364 11333	   	164.63	ACR|3VULN|2DMG|1CDMG	146FEWX|2RMIN|39DMG|5RCR|789VULN|9BPWR|aCDMG
128	21314 13232	   	164.63	ACR|3DMG|2VULN|1CDMG	167FEWX|239DMG|4RMIN|5RCR|89VULN|9BPWR|aCDMG
129	54314 13232	   	164.63	ACR|3DMG|2VULN|1CDMG	139DMG|267FEWX|4RMIN|5RCR|89VULN|9BPWR|aCDMG
130	15321 46232	 * 	164.59	ACR|2VULN|1AART|2CDMG|1ZMB|1ASPD	1DUST|2BELT|3RCR|4aCDMG|59VULN|6ASPD|7ZMB|8AART
131	53533 52221	   	164.54	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	13DMG|23ERES|3BPWR|4ASPD|5TLV|6CDMG|7RCR|8DUR|9aVULN
132	21264 11333	   	164.53	ACR|3VULN|2DMG|1CDMG	146FEWX|29DMG|39TLV|5RCR|789VULN|9BPWR|aCDMG
133	11633 31721	   	164.48	ACR|2VULN|2DMG|1CDMG|1ZMB	15DUST|25DMG|3RCR|4RCVC|5BPWR|6MBVNT|7CDMG|8ZMB|9aVULN
134	53121 61315	   	164.26	DCR|2VULN|2DMG|1CDMG|1ZMB	17DMG|2aERES|3ZMB|4LIT|5aCGEN|6RCR|8CDMG|9aVULN|aBPWR
135	21643 62231	   	164.19	ACR|2VULN|2DMG|1AART|1SELL	1FEWX|2aDMG|3RCR|4MLV|59VULN|6SELL|7BELT|8AART
136	51661 33333	   	164.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DMG|2LHND|3RCR|4RPLT|5aVULN|6ASPD|7FEWX|8ZMB|9AART
137	53121 61314	   	164.16	DCR|2VULN|2DMG|1CDMG|1ZMB	17DMG|2ERES|3ZMB|4LIT|5CGEN|6RCR|8CDMG|9aVULN
138	11643 62231	   	164.09	ACR|2VULN|2DMG|1AART|1SELL	1DUST|2aDMG|3RCR|4MLV|59VULN|6SELL|7BELT|8AART
139	21613 62231	   	164.09	ACR|2VULN|2DMG|1AART|1SELL	1FEWX|2aDMG|3RCR|4TLV|59VULN|6SELL|7BELT|8AART
140	11613 62231	   	163.99	ACR|2VULN|2DMG|1AART|1SELL	1DUST|2aDMG|3RCR|4TLV|59VULN|6SELL|7BELT|8AART
141	21134 42233	   	163.98	DCR|3DMG|1AART|1VULN|1ZMB	1FEWX|256DMG|3ZMB|4MBVNT|7AART|8BEXP|9VULN|aRCR
142	54134 42233	   	163.98	DCR|3DMG|1AART|1VULN|1ZMB	156DMG|2FEWX|3ZMB|4MBVNT|7AART|8BEXP|9VULN|aRCR
143	53535 12331	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	13DMG|23ERES|3BPWR|4ASPD|5AART|6CDMG|7LHND|8RCR|9VULN|aLWND
144	53535 12332	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	13DMG|23ERES|3BPWR|4ASPD|5AART|6CDMG|7LHND|8RCR|9VULN|aCGEN
145	53535 12333	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	13DMG|23ERES|3BPWR|4ASPD|5AART|6CDMG|7LHND|8RCR|9VULN|aLIT
146	21134 42753	   	163.88	DCR|3DMG|1AART|1VULN|1ZMB	1FEWX|256DMG|3ZMB|4MBVNT|7AART|8DUST|9VULN|aRCR
147	11633 13215	 * 	163.88	ACR|3DMG|1VULN|1CDMG|2DUR	157DUST|258DMG|3RCR|4RCVC|58BPWR|68DUR|9VULN|aCDMG
148	11633 23215	   	163.88	ACR|3DMG|1VULN|1CDMG|2DUR	156DUST|258DMG|3RCR|4RCVC|58BPWR|78DUR|9VULN|aCDMG
149	51613 32111	 * 	163.88	ACR|3VULN|1DMG|1CDMG|2DUR	1DMG|2LHND|3RCR|4TLV|57aVULN|69DUR|8CDMG
150	21661 11533	   	163.83	ACR|2VULN|2DMG|1AART	1FEWX|28DMG|3RCR|4RPLT|5aVULN|6LHND|7BEXP|9AART
151	21661 21533	   	163.83	ACR|2VULN|2DMG|1AART	1FEWX|28DMG|3RCR|4RPLT|5aVULN|6LWND|7BEXP|9AART
152	51633 22261	   	163.80	ACR|3DMG|1AART|1VULN	158DMG|25LHND|3RCR|4RCVC|5BPWR|6AART|7CGEN|9VULN|aMGNLIT
153	51633 22263	   	163.80	ACR|3DMG|1AART|1VULN	158DMG|25LHND|3RCR|4RCVC|5BPWR|6AART|7CGEN|9VULN|aLWND
154	21661 13533	   	163.73	ACR|2VULN|2DMG|1AART	1FEWX|28DMG|3RCR|4RPLT|5aVULN|6LHND|7DUST|9AART
155	21661 23533	   	163.73	ACR|2VULN|2DMG|1AART	1FEWX|28DMG|3RCR|4RPLT|5aVULN|6LWND|7DUST|9AART
156	51613 23211	   	163.73	ACR|2VULN|2DMG|1AART	1aDMG|2LHND|3RCR|4TLV|57VULN|6MLV|8BEXP|9AART
157	51613 23311	   	163.73	ACR|2VULN|2DMG|1AART	1aDMG|2LHND|3RCR|4TLV|57VULN|6MLV|8LWND|9AART
158	51633 22126	   	163.70	ACR|3DMG|1AART|1VULN	15aDMG|25LHND|3RCR|4RCVC|5BPWR|6AART|7CGEN|8ERES|9VULN
159	51633 22262	   	163.70	ACR|3DMG|1AART|1VULN	158DMG|25LHND|3RCR|4RCVC|5BPWR|6AART|7CGEN|9VULN|aERES
160	51613 42311	   	163.63	ACR|2VULN|2DMG|1AART	1aDMG|2LHND|3RCR|4TLV|57VULN|6BEXP|8ERES|9AART
161	51613 53211	   	163.63	ACR|2VULN|2DMG|1AART	1aDMG|2LHND|3RCR|4TLV|57VULN|6ERES|8BEXP|9AART
162	51613 53311	   	163.63	ACR|2VULN|2DMG|1AART	1aDMG|2LHND|3RCR|4TLV|57VULN|6ERES|8LWND|9AART
163	51626 33111	   	163.63	ACR|2VULN|2DMG|1AART	1aDMG|2LHND|3RCR|4LWND|58DUST|67VULN|9AART
164	51621 14123	   	163.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2LHND|3RCR|4LWND|5LIT|6DUR|78VULN|9ZMB|aAART
165	11632 14433	   	163.49	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|26DMG|3RCR|4RCVC|5FEWX|7ASPD|8VULN|9ZMB|aAART
166	21633 14433	   	163.49	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1FEWX|26DMG|3RCR|4RCVC|5DUST|7ASPD|8VULN|9ZMB|aAART
