0	Index      	 *	Score 	Summary	Detail	
1	14111 25531	 * 	195.21	DCR|4VULN|2DMG|3ZMB|1SELL	16aZMB|2SNIHEL|3SELL|458aVULN|7RCR|9aDMG|aBPWR
22	52631 22422	   	175.13	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1FEWX|2aERES|3VULN|4DUR|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
23	52631 22622	   	175.13	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1FEWX|2aERES|3VULN|4DUR|5AART|6RCR|7aDMG|8BEXP|9aFLTHEA|aBPWR
24	52651 22122	   	175.13	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1FEWX|2aERES|3VULN|4BEXP|5AART|6RCR|7aDMG|8DUR|9aFLTHEA|aBPWR
25	42511 22122	   	175.03	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1BEXP|2aERES|3DUST|4VULN|5AART|6RCR|7aDMG|8DUR|9aFLTHEA|aBPWR
26	52511 22122	   	175.03	DCR|2DMG|1AART|1VULN|2FLTHEA|1DUR	1FEWX|2aERES|3DUST|4VULN|5AART|6RCR|7aDMG|8DUR|9aFLTHEA|aBPWR
27	12631 16334	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2LHND|36VULN|4DUR|5AART|7CDMG|8RCR|9CGEN|aDMG
28	31631 16336	   	173.61	DCR|4VULN|1AART|1CDMG|1DUR	1TLV|2FEWX|369aVULN|4DUR|5AART|7CDMG|8RCR
29	31631 13244	 * 	172.12	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2FEWX|369VULN|4DUR|5AART|7DMG|8ZMB|aRCR
30	15631 52131	 * 	171.35	3VULN|3DMG|3ZMB|1AART|1DUR	19aZMB|2LWND|39aVULN|4DUR|5AART|6DUST|79aDMG|8RCVC|9aBPWR
31	14111 25511	 * 	171.11	DCR|4VULN|3ZMB|2ASPD|1SELL	16aZMB|2SNIHEL|3SELL|458aVULN|7RCR|9aASPD|aBPWR
32	12631 16326	   	170.61	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|2LHND|36aVULN|4DUR|5AART|7CDMG|8RCR|9FEWX
33	61411 16333	   	170.61	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ASPD|2FEWX|3LWND|469VULN|5AART|7CDMG|8RCR|aZMB
34	61621 16333	   	170.61	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ASPD|2FEWX|369VULN|4LHND|5AART|7CDMG|8RCR|aZMB
35	11411 16331	 * 	169.98	DCR|3VULN|1AART|2CDMG|1ZMB	1ZMB|2FEWX|3LWND|469VULN|5AART|7aCDMG|8RCR
36	11621 16331	   	169.98	DCR|3VULN|1AART|2CDMG|1ZMB	1ZMB|2FEWX|369VULN|4LHND|5AART|7aCDMG|8RCR
37	11661 16331	   	169.98	DCR|3VULN|1AART|2CDMG|1ZMB	1ZMB|2FEWX|369VULN|4LWND|5AART|7aCDMG|8RCR
38	32661 22315	 * 	169.51	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1TLV|2LHND|3VULN|4DUR|5aAART|6RCR|7DMG|8ASPD|9CDMG
39	31111 22121	 * 	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1TLV|2FEWX|3BEXP|4aVULN|5AART|6RCR|7DMG|8DUR|9FLTHEA
40	31111 22313	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1TLV|2FEWX|3BEXP|4aVULN|5AART|6RCR|7DMG|8ASPD|9CDMG
41	31631 22421	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1TLV|2FEWX|3aVULN|4DUR|5AART|6RCR|7DMG|8LHND|9FLTHEA
42	31631 22621	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1TLV|2FEWX|3aVULN|4DUR|5AART|6RCR|7DMG|8BEXP|9FLTHEA
43	31651 22121	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1TLV|2FEWX|3aVULN|4BEXP|5AART|6RCR|7DMG|8DUR|9FLTHEA
44	31651 22313	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1TLV|2FEWX|3aVULN|4BEXP|5AART|6RCR|7DMG|8ASPD|9CDMG
45	32111 22313	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1TLV|2LHND|3BEXP|4aVULN|5AART|6RCR|7DMG|8ASPD|9CDMG
46	32651 22313	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1TLV|2LHND|3aVULN|4BEXP|5AART|6RCR|7DMG|8ASPD|9CDMG
47	32661 22221	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1TLV|2LHND|3aVULN|4DUR|5AART|6RCR|7DMG|8FEWX|9FLTHEA
48	35111 22313	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1TLV|2LWND|3BEXP|4aVULN|5AART|6RCR|7DMG|8ASPD|9CDMG
49	35651 22313	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1TLV|2LWND|3aVULN|4BEXP|5AART|6RCR|7DMG|8ASPD|9CDMG
50	35661 22221	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1TLV|2LWND|3aVULN|4DUR|5AART|6RCR|7DMG|8FEWX|9FLTHEA
51	41511 22121	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BEXP|2DUST|3MLV|4aVULN|5AART|6RCR|7DMG|8DUR|9FLTHEA
52	41511 22313	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2DUST|3MLV|4aVULN|5AART|6RCR|7DMG|8ASPD|9CDMG
53	42411 22313	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2ERES|3LWND|4aVULN|5AART|6RCR|7DMG|8ASPD|9CDMG
54	42631 22221	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BEXP|2ERES|3aVULN|4DUR|5AART|6RCR|7DMG|8FEWX|9FLTHEA
55	42631 22421	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BEXP|2ERES|3aVULN|4DUR|5AART|6RCR|7DMG|8LHND|9FLTHEA
56	51511 22121	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2DUST|3MLV|4aVULN|5AART|6RCR|7DMG|8DUR|9FLTHEA
57	52111 22121	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2ERES|3BEXP|4aVULN|5AART|6RCR|7DMG|8DUR|9FLTHEA
58	52111 22313	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2ERES|3BEXP|4aVULN|5AART|6RCR|7DMG|8ASPD|9CDMG
59	52631 22421	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2ERES|3aVULN|4DUR|5AART|6RCR|7DMG|8LHND|9FLTHEA
60	52631 22621	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2ERES|3aVULN|4DUR|5AART|6RCR|7DMG|8BEXP|9FLTHEA
61	52651 22121	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2ERES|3aVULN|4BEXP|5AART|6RCR|7DMG|8DUR|9FLTHEA
62	52651 22313	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2ERES|3aVULN|4BEXP|5AART|6RCR|7DMG|8ASPD|9CDMG
63	41254 38342	 * 	168.71	DCR|3VULN|2DMG|1CDMG	1BEXP|2DUST|3MBVNT|4CDMG|59aVULN|6RCR|78DMG
64	31511 22121	   	168.61	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1TLV|2FEWX|3DUST|4aVULN|5AART|6RCR|7DMG|8DUR|9FLTHEA
65	42511 22121	   	168.61	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BEXP|2ERES|3DUST|4aVULN|5AART|6RCR|7DMG|8DUR|9FLTHEA
66	42511 22313	   	168.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2ERES|3DUST|4aVULN|5AART|6RCR|7DMG|8ASPD|9CDMG
67	42621 22313	   	168.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2ERES|3aVULN|4LEGI|5AART|6RCR|7DMG|8ASPD|9CDMG
68	52511 22121	   	168.61	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2ERES|3DUST|4aVULN|5AART|6RCR|7DMG|8DUR|9FLTHEA
69	31111 22422	   	168.29	DCR|2DMG|1AART|1VULN|2FLTHEA	1TLV|2aFEWX|3BEXP|4VULN|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
70	31411 22422	   	168.29	DCR|2DMG|1AART|1VULN|2FLTHEA	1TLV|2aFEWX|3LWND|4VULN|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
71	31411 22622	   	168.29	DCR|2DMG|1AART|1VULN|2FLTHEA	1TLV|2aFEWX|3LWND|4VULN|5AART|6RCR|7aDMG|8BEXP|9aFLTHEA|aBPWR
72	31651 22422	   	168.29	DCR|2DMG|1AART|1VULN|2FLTHEA	1TLV|2aFEWX|3VULN|4BEXP|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
73	32111 22222	   	168.29	DCR|2DMG|1AART|1VULN|2FLTHEA	1TLV|2aLHND|3BEXP|4VULN|5AART|6RCR|7aDMG|8FEWX|9aFLTHEA|aBPWR
74	32651 22222	   	168.29	DCR|2DMG|1AART|1VULN|2FLTHEA	1TLV|2aLHND|3VULN|4BEXP|5AART|6RCR|7aDMG|8FEWX|9aFLTHEA|aBPWR
75	35111 22222	   	168.29	DCR|2DMG|1AART|1VULN|2FLTHEA	1TLV|2aLWND|3BEXP|4VULN|5AART|6RCR|7aDMG|8FEWX|9aFLTHEA|aBPWR
76	35111 22422	   	168.29	DCR|2DMG|1AART|1VULN|2FLTHEA	1TLV|2aLWND|3BEXP|4VULN|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
77	35651 22222	   	168.29	DCR|2DMG|1AART|1VULN|2FLTHEA	1TLV|2aLWND|3VULN|4BEXP|5AART|6RCR|7aDMG|8FEWX|9aFLTHEA|aBPWR
78	31511 22422	   	168.19	DCR|2DMG|1AART|1VULN|2FLTHEA	1TLV|2aFEWX|3DUST|4VULN|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
79	31511 22622	   	168.19	DCR|2DMG|1AART|1VULN|2FLTHEA	1TLV|2aFEWX|3DUST|4VULN|5AART|6RCR|7aDMG|8BEXP|9aFLTHEA|aBPWR
80	32511 22222	   	168.19	DCR|2DMG|1AART|1VULN|2FLTHEA	1TLV|2aLHND|3DUST|4VULN|5AART|6RCR|7aDMG|8FEWX|9aFLTHEA|aBPWR
81	42621 22222	 * 	168.19	DCR|2VULN|1AART|1DMG|2FLTHEA	1aBEXP|2ERES|3aVULN|4LEGI|5AART|6RCR|7DMG|8FEWX|9aFLTHEA|aBPWR
82	42621 22422	   	168.19	DCR|2VULN|1AART|1DMG|2FLTHEA	1aBEXP|2ERES|3aVULN|4LEGI|5AART|6RCR|7DMG|8LHND|9aFLTHEA|aBPWR
83	52621 22422	   	168.19	DCR|2VULN|1AART|1DMG|2FLTHEA	1aFEWX|2ERES|3aVULN|4LEGI|5AART|6RCR|7DMG|8LHND|9aFLTHEA|aBPWR
84	52621 22622	   	168.19	DCR|2VULN|1AART|1DMG|2FLTHEA	1aFEWX|2ERES|3aVULN|4LEGI|5AART|6RCR|7DMG|8BEXP|9aFLTHEA|aBPWR
85	41511 22422	   	168.19	DCR|2DMG|1AART|1VULN|2FLTHEA	1BEXP|2aDUST|3MLV|4VULN|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
86	42411 22222	   	168.19	DCR|2DMG|1AART|1VULN|2FLTHEA	1BEXP|2aERES|3LWND|4VULN|5AART|6RCR|7aDMG|8FEWX|9aFLTHEA|aBPWR
87	42411 22422	   	168.19	DCR|2DMG|1AART|1VULN|2FLTHEA	1BEXP|2aERES|3LWND|4VULN|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
88	51511 22422	   	168.19	DCR|2DMG|1AART|1VULN|2FLTHEA	1FEWX|2aDUST|3MLV|4VULN|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
89	52111 22422	   	168.19	DCR|2DMG|1AART|1VULN|2FLTHEA	1FEWX|2aERES|3BEXP|4VULN|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
90	52411 22422	   	168.19	DCR|2DMG|1AART|1VULN|2FLTHEA	1FEWX|2aERES|3LWND|4VULN|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
91	52411 22622	   	168.19	DCR|2DMG|1AART|1VULN|2FLTHEA	1FEWX|2aERES|3LWND|4VULN|5AART|6RCR|7aDMG|8BEXP|9aFLTHEA|aBPWR
92	31621 22422	   	168.09	DCR|2VULN|1AART|1DMG|2FLTHEA	1aTLV|2FEWX|3aVULN|4LEGI|5AART|6RCR|7DMG|8LHND|9aFLTHEA|aBPWR
93	31621 22622	   	168.09	DCR|2VULN|1AART|1DMG|2FLTHEA	1aTLV|2FEWX|3aVULN|4LEGI|5AART|6RCR|7DMG|8BEXP|9aFLTHEA|aBPWR
94	42511 22422	   	168.09	DCR|2DMG|1AART|1VULN|2FLTHEA	1BEXP|2aERES|3DUST|4VULN|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
95	52511 22422	   	168.09	DCR|2DMG|1AART|1VULN|2FLTHEA	1FEWX|2aERES|3DUST|4VULN|5AART|6RCR|7aDMG|8LHND|9aFLTHEA|aBPWR
96	52511 22622	   	168.09	DCR|2DMG|1AART|1VULN|2FLTHEA	1FEWX|2aERES|3DUST|4VULN|5AART|6RCR|7aDMG|8BEXP|9aFLTHEA|aBPWR
97	12111 16332	   	168.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LHND|3BEXP|46VULN|5AART|7CDMG|8RCR|9CGEN|aDMG
98	15111 16332	   	168.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LWND|3BEXP|46VULN|5AART|7CDMG|8RCR|9CGEN|aDMG
99	65613 22223	   	167.50	DCR|3VULN|1AART|1ZMB|1DUR|1ASPD	1ASPD|2LWND|34aVULN|5BEXP|6RCR|7AART|8ZMB|9DUR
100	13123 26124	 * 	167.12	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2ERES|39VULN|4LSRICY|5AART|68DMG|7CGEN|aRCR
101	13163 26124	   	167.02	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2ERES|39VULN|4BASHEA|5AART|68DMG|7CGEN|aRCR
102	36362 33352	 * 	166.83	ACR|3VULN|2DMG|1CDMG	1TLV|2DMSP|3CGEN|4RCR|578VULN|6CDMG|9aDMG
103	31111 16336	   	166.67	DCR|4VULN|1AART|1CDMG	1TLV|2FEWX|3BEXP|469aVULN|5AART|7CDMG|8RCR
104	31411 16336	   	166.67	DCR|4VULN|1AART|1CDMG	1TLV|2FEWX|3LWND|469aVULN|5AART|7CDMG|8RCR
105	43116 22411	   	166.62	DCR|2VULN|2DMG|1AART	12aBEXP|2aBPWR|3aVULN|4LEGI|5aDMG|6RCR|7AART|8RCVC|9RMIN
106	31621 16336	   	166.57	DCR|4VULN|1AART|1CDMG	1TLV|2FEWX|369aVULN|4LEGI|5AART|7CDMG|8RCR
107	12631 16333	 * 	166.40	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1ZMB|2LHND|36VULN|4DUR|5aAART|7CDMG|8RCR|9CGEN
108	15631 16333	   	166.40	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1ZMB|2LWND|36VULN|4DUR|5aAART|7CDMG|8RCR|9CGEN
109	54214 72422	   	166.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2aVULN|3MBVNT|4DMG|5CDMG|6RCR|7ASPD|8LIT|9AART
110	41254 27342	   	166.31	DCR|3VULN|2DMG|1CDMG	1BEXP|2DUST|3MBVNT|4CDMG|59aVULN|68DMG|7RCR
111	35611 22152	   	166.25	DCR|3VULN|2DMG|1CDMG|1ASPD	17TLV|2LWND|347VULN|5BELT|67DMG|7BPWR|8ASPD|9CDMG|aRCR
112	61411 16331	   	165.92	DCR|3VULN|1AART|2CDMG|1ASPD	1ASPD|2FEWX|3LWND|469VULN|5AART|7aCDMG|8RCR
113	61621 16331	   	165.92	DCR|3VULN|1AART|2CDMG|1ASPD	1ASPD|2FEWX|369VULN|4LHND|5AART|7aCDMG|8RCR
114	31631 16331	   	165.82	DCR|3VULN|1AART|2CDMG|1DUR	1TLV|2FEWX|369VULN|4DUR|5AART|7aCDMG|8RCR
115	12531 12354	 * 	165.68	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1ZMB|2aLHND|3DUST|4LWND|5AART|6aVULN|7DMG|8aASPD|9RCR|aBPWR
116	41254 38313	   	165.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUST|3MBVNT|4CDMG|5VULN|6RCR|78DMG|9DUR|aAART
117	31631 23256	 * 	165.51	DCR|3VULN|1AART|2ZMB|1DUR	1aTLV|2FEWX|37aVULN|4DUR|5AART|6RCR|8DUST|9aZMB|aBPWR
