0	Index      	 *	Score 	Summary	Detail	
1	25111 15335	 * 	194.95	DCR|3DMG|2AART|2VULN|1DUR	14AART|256DMG|3AIRHEL|7aVULN|8DUR|9RCR
34	25111 32235	 * 	183.98	DCR|3DMG|2AART|1VULN|1CDMG	14AART|25aDMG|3AIRHEL|6VULN|7CDMG|8ERES|9RCR
35	25114 32235	   	183.98	DCR|3DMG|2AART|1VULN|1CDMG	14AART|25aDMG|35AIRHEL|5BPWR|6VULN|7CDMG|8ERES|9RCR
36	21241 23636	   	183.83	DCR|3VULN|2AART|1DMG|1ZMB	12AART|3DUST|469VULN|5ZMB|7LIT|8RCR|aDMG
37	12132 21113	 * 	183.82	DCR|3DMG|2VULN|1AART|2ASPD	17ASPD|279DMG|3LWND|45VULN|67LIT|7BPWR|8AART|aRCR
38	12232 21113	   	183.82	DCR|3DMG|2VULN|1AART|2ASPD	17ASPD|279DMG|3LHND|45VULN|67LIT|7BPWR|8AART|aRCR
39	12236 51113	   	183.82	DCR|3DMG|2VULN|1AART|2ASPD	17ASPD|279DMG|3LHND|46VULN|57LIT|7BPWR|8AART|aRCR
40	12332 21413	   	183.72	DCR|3DMG|2VULN|1AART|2ASPD	17ASPD|279DMG|3DUST|45VULN|67LIT|7BPWR|8AART|aRCR
41	12336 51413	   	183.72	DCR|3DMG|2VULN|1AART|2ASPD	17ASPD|279DMG|3DUST|46VULN|57LIT|7BPWR|8AART|aRCR
42	12543 32631	   	182.90	DCR|2AART|2VULN|2DMG|1ASPD	1ASPD|29DMG|38AART|45VULN|6DUST|7RCR|aRPLT
43	12543 32632	   	182.90	DCR|2AART|2VULN|2DMG|1ASPD	1ASPD|29DMG|38AART|45VULN|6DUST|7RCR|aLHND
44	12543 32633	   	182.90	DCR|2AART|2VULN|2DMG|1ASPD	1ASPD|29DMG|38AART|45VULN|6DUST|7RCR|aLWND
45	21622 13432	   	182.66	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	12AART|3MLV|4RPLT|5DUR|6RCR|7DMG|89VULN|aCDMG
46	21622 13452	   	182.66	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	12AART|3MLV|4RPLT|5DUR|6RCR|79DMG|8VULN|aCDMG
47	25432 26223	   	182.22	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|27DMG|3DUR|4RMIN|5VULN|6RCR|8FEWX|9CDMG|aZMB
48	25432 26323	   	182.22	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|27DMG|3DUR|4RMIN|5VULN|6RCR|8LHND|9CDMG|aZMB
49	12133 12426	 * 	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|36LWND|48aVULN|5AART|7RCR|9CDMG
50	12133 42426	   	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3LWND|48aVULN|5AART|6DMSP|7RCR|9CDMG
51	12233 42426	   	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3LHND|48aVULN|5AART|6DMSP|7RCR|9CDMG
52	12333 32446	   	181.87	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|36DUST|48aVULN|5AART|7RCR|9CDMG
53	25113 12121	   	181.70	DCR|2AART|2DMG|2VULN|1DUR	14AART|2aDMG|3AIRHEL|5DUR|69VULN|7LWND|8RCR
54	25113 14121	   	181.70	DCR|2AART|2DMG|2VULN|1DUR	14AART|2aDMG|3AIRHEL|5DUR|69VULN|7LHND|8RCR
55	25113 25121	   	181.70	DCR|2AART|2VULN|2DMG|1DUR	14AART|2aDMG|3AIRHEL|5DUR|6FEWX|79VULN|8RCR
56	25115 13121	   	181.70	DCR|2AART|2DMG|2VULN|1DUR	14AART|2aDMG|3AIRHEL|5LWND|69VULN|7DUR|8RCR
57	23262 17251	   	181.67	DCR|3VULN|2DMG|1AART	1AART|2BELT|369BEXP|4MBVNT|569VULN|69BPWR|7RCR|89DMG|aDMSP
58	23262 17252	   	181.67	DCR|3VULN|2DMG|1AART	1AART|2BELT|369BEXP|4MBVNT|569VULN|69BPWR|7RCR|89DMG|aLHND
59	23262 17253	   	181.57	DCR|3VULN|2DMG|1AART	1AART|2BELT|369BEXP|4MBVNT|569VULN|69BPWR|7RCR|89DMG|aTLV
60	21241 52134	 * 	181.37	DCR|2AART|2VULN|1DMG|2ZMB|1ASPD	12AART|3DUST|4aVULN|58ZMB|6ASPD|7RCR|9DMG
61	25215 51113	   	181.21	DCR|3DMG|2VULN|1AART|1ASPD	1AART|259DMG|3LWND|47VULN|6ASPD|8LIT|aRCR
62	25261 51113	   	181.21	DCR|3DMG|2VULN|1AART|1ASPD	1AART|249DMG|3LWND|57VULN|6ASPD|8LIT|aRCR
63	42262 26223	   	180.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2TLV|3AART|47DMG|5VULN|6RCR|8FEWX|9CDMG|aZMB
64	42262 26323	   	180.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2TLV|3AART|47DMG|5VULN|6RCR|8LHND|9CDMG|aZMB
65	26242 13312	 * 	180.65	ACR|3VULN|1AART|1DMG|3DUR	1AART|289DUR|3BEXP|4RCR|589VULN|689LIT|7MBVNT|89BPWR|aDMG
66	25211 22165	 * 	180.57	DCR|2VULN|2DMG|1AART|2ZMB	1AART|2aDMG|3LWND|4aVULN|569ERES|7RCR|8aZMB|aBPWR
67	12541 23126	 * 	180.49	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1ASPD|2DMG|3AART|4aVULN|5RCR|6RMIN|78ZMB|9CDMG
68	12543 32114	   	180.42	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2DMG|3AART|45aVULN|69DUST|7RCR|8ZMB
69	25413 32631	   	180.26	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1aAART|29DMG|3DUR|4VULN|5FEWX|6LHND|7RCR|8CDMG
70	25412 32631	   	180.16	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1aAART|29DMG|3DUR|4VULN|5DUST|6LHND|7RCR|8CDMG
71	26342 23433	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3FEWX|4RCR|5ERES|6CDMG|7DMG|89VULN|aZMB
72	12133 12424	 * 	180.06	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	1ASPD|2DMG|36LWND|48VULN|5AART|7RCR|9CDMG|aFLTHEA
73	12133 42424	   	180.06	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	1ASPD|2DMG|3LWND|48VULN|5AART|6DMSP|7RCR|9CDMG|aFLTHEA
74	12233 42424	   	180.06	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	1ASPD|2DMG|3LHND|48VULN|5AART|6DMSP|7RCR|9CDMG|aFLTHEA
75	12542 63213	   	180.01	DCR|3DMG|2VULN|1AART|1ASPD	1ASPD|269DMG|3AART|48VULN|5LIT|7BEXP|aRCR
76	12333 32444	   	179.86	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	1ASPD|2DMG|36DUST|48VULN|5AART|7RCR|9CDMG|aFLTHEA
77	25461 12131	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|24DMG|3DUR|5VULN|6aCGEN|7RCR|8ZMB|9CDMG
78	25461 12132	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|24DMG|3DUR|5VULN|6CGEN|7RCR|8ZMB|9CDMG|aLWND
79	25461 12223	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|24DMG|3DUR|5VULN|6CGEN|7RCR|8FEWX|9CDMG|aZMB
80	25461 12323	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|24DMG|3DUR|5VULN|6CGEN|7RCR|8LHND|9CDMG|aZMB
81	25215 12623	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|25DMG|3LWND|4VULN|6CGEN|7RCR|8DUR|9CDMG|aZMB
82	25261 12623	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|24DMG|3LWND|5VULN|6CGEN|7RCR|8DUR|9CDMG|aZMB
83	25211 32623	   	179.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DMG|3LWND|46VULN|5ERES|7RCR|8DUR|9CDMG|aZMB
84	25215 32623	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|25DMG|3LWND|4VULN|6TLV|7RCR|8DUR|9CDMG|aZMB
85	25242 32623	   	179.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DMG|3LWND|4ERES|56VULN|7RCR|8DUR|9CDMG|aZMB
86	25261 32623	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|24DMG|3LWND|5VULN|6TLV|7RCR|8DUR|9CDMG|aZMB
87	25461 12133	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|24DMG|3DUR|5VULN|6CGEN|7RCR|8ZMB|9CDMG|aDUST
88	25461 32223	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|24DMG|3DUR|5VULN|6TLV|7RCR|8FEWX|9CDMG|aZMB
89	25461 32323	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|24DMG|3DUR|5VULN|6TLV|7RCR|8LHND|9CDMG|aZMB
90	23113 56121	   	179.56	DCR|2VULN|2DMG|1AART|2ASPD	1AART|2BELT|3aASPD|4aVULN|5CGEN|6FEWX|7RCR|8RMIN|9aDMG|aBPWR
91	23112 26121	   	179.46	DCR|2VULN|2DMG|1AART|2ASPD	1AART|2BELT|3aASPD|4aVULN|5BEXP|6ERES|7RCR|8RMIN|9aDMG|aBPWR
92	23113 46121	   	179.46	DCR|2VULN|2DMG|1AART|2ASPD	1AART|2BELT|3aASPD|4aVULN|5CGEN|6DUST|7RCR|8RMIN|9aDMG|aBPWR
93	23163 66121	   	179.46	DCR|2VULN|2DMG|1AART|2ASPD	1AART|2BELT|3aASPD|4CGEN|5aVULN|6LEGI|7RCR|8RMIN|9aDMG|aBPWR
94	23111 26121	   	179.36	DCR|2VULN|2DMG|1AART|2ASPD	1AART|2BELT|3aASPD|4aVULN|5DUST|6ERES|7RCR|8RMIN|9aDMG|aBPWR
95	22636 13121	   	179.32	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2FEWX|3VENICY|469VULN|5ZMB|7DUR|8RCR|aDMG
96	21413 54121	   	179.31	DCR|3AART|2VULN|1DMG|2CDMG	123AART|47LHND|57CDMG|67VULN|7BPWR|8BEXP|9RCR|aDMG
97	21423 54121	   	179.31	DCR|3AART|2VULN|1DMG|2CDMG	123AART|47FEWX|57CDMG|67VULN|7BPWR|8BEXP|9RCR|aDMG
98	25263 13113	   	179.13	DCR|3DMG|2AART|1VULN|1ZMB	16AART|249DMG|3LWND|5ZMB|7VULN|8LIT|aRCR
99	25164 12121	   	178.97	DCR|3DMG|2VULN|1AART	1AART|25aDMG|3AIRHEL|4LHND|69VULN|7LWND|8RCR
100	12233 41532	   	178.81	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|29DMG|3LHND|478VULN|5AART|6DMSP|aRCR
101	12542 53333	   	178.72	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	18ASPD|28DMG|3AART|4VULN|5LIT|68LWND|7RCR|8BPWR|9DUR|aZMB
102	13451 11251	 * 	178.18	ACR|3VULN|2DMG|2ASPD|1CDMG	19ASPD|2RCVC|389VULN|4DUST|5RCR|6LHND|79DMG|9BPWR|aCDMG
103	25432 26221	   	178.15	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1AART|27DMG|3DUR|4RMIN|5VULN|6RCR|8FEWX|9CDMG|aASPD
104	25432 26321	   	178.15	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1AART|27DMG|3DUR|4RMIN|5VULN|6RCR|8LHND|9CDMG|aASPD
105	25211 32435	 * 	177.88	DCR|4VULN|1AART|1DMG	1AART|2DMG|3LWND|468aVULN|5ERES|7RCR|9CGEN
106	25211 32463	   	177.88	DCR|4VULN|1AART|1DMG	1AART|2DMG|3LWND|468aVULN|5ERES|7RCR|9LIT
107	25211 32414	   	177.78	DCR|4VULN|1AART|1DMG	1AART|2DMG|3LWND|468aVULN|5ERES|7RCR|9DUST
108	12332 21322	 * 	177.76	DCR|3VULN|2DMG|2ASPD|1CDMG	17ASPD|27DMG|3DUST|45aVULN|67LIT|7BPWR|8RCR|9CDMG
109	12332 21323	 * 	177.76	DCR|3DMG|2VULN|2ASPD|1CDMG	17ASPD|27aDMG|3DUST|45VULN|67LIT|7BPWR|8RCR|9CDMG
110	12336 51322	   	177.76	DCR|3VULN|2DMG|2ASPD|1CDMG	17ASPD|27DMG|3DUST|46aVULN|57LIT|7BPWR|8RCR|9CDMG
111	12336 51323	   	177.76	DCR|3DMG|2VULN|2ASPD|1CDMG	17ASPD|27aDMG|3DUST|46VULN|57LIT|7BPWR|8RCR|9CDMG
112	25113 25126	   	177.76	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	14AART|2DMG|3AIRHEL|5DUR|6FEWX|79VULN|8RCR|aCDMG
113	12333 32646	   	177.66	DCR|2VULN|2AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|36DUST|4aVULN|58AART|7RCR|9CDMG
114	25113 11146	   	177.66	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	14AART|2aDMG|3AIRHEL|5DUR|6VULN|7DUST|8RCR|9CDMG
115	25211 32426	   	177.64	DCR|4VULN|1AART|1DMG|1SELL	1AART|2DMG|3LWND|468aVULN|5ERES|7RCR|9SELL
116	25215 52121	   	177.62	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1aAART|25DMG|3LWND|4VULN|6ASPD|7RCR|8ZMB|9CGEN
117	25215 52131	   	177.62	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1aAART|25DMG|3LWND|4VULN|6ASPD|7RCR|8ZMB|9RPLT
118	25261 52121	   	177.62	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1aAART|24DMG|3LWND|5VULN|6ASPD|7RCR|8ZMB|9CGEN
119	25261 52131	   	177.62	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1aAART|24DMG|3LWND|5VULN|6ASPD|7RCR|8ZMB|9RPLT
120	25432 26222	 * 	177.53	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1AART|27DMG|3DUR|4RMIN|5VULN|6RCR|8FEWX|9aCDMG
121	25432 26322	   	177.53	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1AART|27DMG|3DUR|4RMIN|5VULN|6RCR|8LHND|9aCDMG
122	21243 21434	   	177.53	DCR|3VULN|2AART|1DMG	12AART|37DUST|48aVULN|5BEXP|6RCR|9DMG
123	21241 52432	   	177.52	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	12AART|3DUST|48VULN|5ZMB|6ASPD|7RCR|9DMG|aRMIN
124	21241 52433	   	177.52	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	12AART|3DUST|48VULN|5ZMB|6ASPD|7RCR|9DMG|aLIT
125	22242 34431	   	177.44	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2aFEWX|3BEXP|4RCR|5aVULN|6ZMB|7BELT|8LHND|9aDMG|aBPWR
126	25211 32441	   	177.43	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2DMG|3LWND|468VULN|5ERES|7RCR|9CDMG|aFEWX
127	25211 32442	   	177.43	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2DMG|3LWND|468VULN|5ERES|7RCR|9CDMG|aMLV
128	21241 52431	   	177.42	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	12AART|3DUST|48VULN|5ZMB|6ASPD|7RCR|9DMG|aTLV
129	25111 15332	   	177.37	DCR|3DMG|2AART|1VULN|1DUR	14AART|256DMG|3AIRHEL|7VULN|8DUR|9RCR|aCGEN
130	25111 15334	   	177.37	DCR|3DMG|2AART|1VULN|1DUR	14AART|256DMG|3AIRHEL|7VULN|8DUR|9RCR|aRCVC
131	25114 15332	   	177.37	DCR|3DMG|2AART|1VULN|1DUR	14AART|256DMG|35AIRHEL|5BPWR|7VULN|8DUR|9RCR|aCGEN
132	22242 36434	   	177.34	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2aFEWX|3BEXP|4RCR|5aVULN|6ZMB|7CGEN|8MBVNT|9aDMG|aBPWR
133	25211 32443	   	177.33	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2DMG|3LWND|468VULN|5ERES|7RCR|9CDMG|aDUST
134	25111 15333	   	177.27	DCR|3DMG|2AART|1VULN|1DUR	14AART|256DMG|3AIRHEL|7VULN|8DUR|9RCR|aDUST
135	25114 15333	   	177.27	DCR|3DMG|2AART|1VULN|1DUR	14AART|256DMG|35AIRHEL|5BPWR|7VULN|8DUR|9RCR|aDUST
136	24134 13121	   	177.19	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1AART|2CGEN|3LSRREG|49VULN|5aDMG|6DUR|7ASPD|8RCR
137	24136 16121	   	177.19	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1AART|2CGEN|3LSRREG|49VULN|5ASPD|6DUR|7aDMG|8RCR
138	25215 12411	   	177.16	DCR|2AART|2DMG|2VULN	1aAART|25DMG|3LWND|48VULN|6CGEN|7RCR|9DUST
139	25261 12411	   	177.16	DCR|2AART|2DMG|2VULN	1aAART|24DMG|3LWND|58VULN|6CGEN|7RCR|9DUST
140	25215 32411	   	177.06	DCR|2AART|2VULN|2DMG	1aAART|25DMG|3LWND|48VULN|6TLV|7RCR|9DUST
141	25261 32411	   	177.06	DCR|2AART|2VULN|2DMG	1aAART|24DMG|3LWND|58VULN|6TLV|7RCR|9DUST
142	25211 12123	   	176.92	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2aDMG|36LWND|4aVULN|5ERES|7RCR|8ZMB|9aCGEN|aBPWR
143	25214 32123	   	176.92	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2aDMG|35LWND|4aVULN|6TLV|7RCR|8ZMB|9aCGEN|aBPWR
144	25221 32123	   	176.92	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2aDMG|34LWND|5aVULN|6TLV|7RCR|8ZMB|9aCGEN|aBPWR
145	25652 32123	   	176.92	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2aDMG|3ERES|4aLWND|56VULN|7RCR|8ZMB|9aCGEN|aBPWR
146	42262 26221	   	176.85	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|2TLV|3AART|47DMG|5VULN|6RCR|8FEWX|9CDMG|aASPD
147	42262 26321	   	176.85	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|2TLV|3AART|47DMG|5VULN|6RCR|8LHND|9CDMG|aASPD
148	25211 22123	   	176.82	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2aDMG|3LWND|4aVULN|56ERES|7RCR|8ZMB|9aCGEN|aBPWR
149	25214 12163	   	176.82	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2aDMG|35LWND|4aVULN|6CGEN|7RCR|8ZMB|9aERES|aBPWR
150	25221 12163	   	176.82	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2aDMG|34LWND|5aVULN|6CGEN|7RCR|8ZMB|9aERES|aBPWR
151	25242 32123	   	176.82	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2aDMG|3LWND|4aERES|56VULN|7RCR|8ZMB|9aCGEN|aBPWR
152	25214 32163	   	176.72	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2aDMG|35LWND|4aVULN|6TLV|7RCR|8ZMB|9aERES|aBPWR
153	25215 32124	   	176.72	DCR|2VULN|2DMG|1AART|1ZMB	1AART|25DMG|3LWND|4aVULN|6TLV|7RCR|8ZMB|9CGEN
154	25221 32163	   	176.72	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2aDMG|34LWND|5aVULN|6TLV|7RCR|8ZMB|9aERES|aBPWR
155	25261 32124	   	176.72	DCR|2VULN|2DMG|1AART|1ZMB	1AART|24DMG|3LWND|5aVULN|6TLV|7RCR|8ZMB|9CGEN
156	12541 23421	   	176.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3AART|48VULN|5RCR|6RMIN|7ZMB|9CDMG|aFEWX
157	12541 23422	   	176.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3AART|48VULN|5RCR|6RMIN|7ZMB|9CDMG|aMLV
158	25461 21232	   	176.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|24DMG|3DUR|56VULN|7ZMB|8FEWX|9CGEN|aRCR
159	25461 21332	   	176.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|24DMG|3DUR|56VULN|7ZMB|8LHND|9CGEN|aRCR
160	12541 23124	 * 	176.55	ACR|1AART|1VULN|1DMG|2ZMB|1CDMG|1FLTHEA|1ASPD	1ASPD|2DMG|3AART|4VULN|5RCR|6RMIN|78ZMB|9CDMG|aFLTHEA
161	25632 21234	   	176.31	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1AART|29DMG|3ERES|49DUR|5VULN|6RCR|7DUST|89TLV|9BPWR|aCDMG
162	42262 26222	   	176.23	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUR|2TLV|3AART|47DMG|5VULN|6RCR|8FEWX|9aCDMG
163	42262 26322	   	176.23	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUR|2TLV|3AART|47DMG|5VULN|6RCR|8LHND|9aCDMG
