0	Index      	 *	Score 	Summary	Detail	
1	36121 14215	 * 	220.74	ACR|3VULN|3DMG|1AART|3CDMG	169DMG|2AART|3LWND|49aVULN|5RCR|789CDMG|9BPWR
16	36121 14312	   	199.05	ACR|3DMG|2VULN|1AART|2CDMG	169DMG|2AART|38LWND|49VULN|5RCR|79CDMG|9BPWR|aLIT
17	36121 14311	   	198.95	ACR|3DMG|2VULN|1AART|2CDMG	169DMG|2AART|38LWND|49VULN|5RCR|79CDMG|9BPWR|aDUST
18	36121 14313	   	198.95	ACR|3DMG|2VULN|1AART|2CDMG	169DMG|2AART|38LWND|49VULN|5RCR|79CDMG|9BPWR|aERES
19	36313 21613	   	198.67	DCR|2VULN|2DMG|1AART|2CDMG|2ASPD	19DMG|2AART|39VULN|4DUR|5RMIN|67CDMG|89ASPD|9BPWR|aRCR
20	31623 23611	   	198.45	ACR|3DMG|2VULN|1AART|2CDMG	139DMG|23aMLV|3aBPWR|4RCR|5DLOT|6aCDMG|7AART|8aVULN
21	36311 14612	   	197.51	ACR|3DMG|1AART|1VULN|2CDMG|3DUR	169DMG|2AART|3VULN|489DUR|5RCR|79CDMG|9BPWR|aMLV
22	36311 14613	   	197.51	ACR|3DMG|1AART|1VULN|2CDMG|3DUR	169DMG|2AART|3VULN|489DUR|5RCR|79CDMG|9BPWR|aCGEN
23	36311 12111	   	196.83	ACR|3DMG|2VULN|1AART|1ZMB	16aDMG|2AART|38VULN|4DUR|5RCR|7ZMB|9RPLT
24	36311 12132	   	196.83	ACR|3DMG|2VULN|1AART|1ZMB	169DMG|2AART|38VULN|4DUR|5RCR|7ZMB|aCGEN
25	36311 12134	   	196.83	ACR|3DMG|2VULN|1AART|1ZMB	169DMG|2AART|38VULN|4DUR|5RCR|7ZMB|aLWND
26	36311 12144	   	196.83	ACR|3DMG|2VULN|1AART|1ZMB	16aDMG|2AART|38VULN|4DUR|5RCR|7ZMB|9BEXP
27	36311 12146	   	196.83	ACR|3VULN|2DMG|1AART|1ZMB	16DMG|2AART|38aVULN|4DUR|5RCR|7ZMB|9BEXP
28	36311 12133	   	196.73	ACR|3DMG|2VULN|1AART|1ZMB	169DMG|2AART|38VULN|4DUR|5RCR|7ZMB|aERES
29	33153 13511	   	196.34	ACR|3VULN|3DMG|2ASPD|1CDMG	189DMG|2aLIT|3CDMG|4RCR|56aVULN|7aASPD|aBPWR
30	36311 11635	   	196.05	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	16DMG|2AART|38VULN|47DUR|5RCR|9ASPD|aCDMG
31	36121 12635	 * 	195.27	ACR|2AART|2VULN|2DMG|1CDMG	16DMG|27AART|3LWND|48VULN|5RCR|9ASPD|aCDMG
32	36326 23335	 * 	194.85	DCR|2AART|2VULN|2DMG|1CDMG	19DMG|25AART|34VULN|6CGEN|7DUR|8RCR|aCDMG
33	36311 12116	   	194.82	ACR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	16DMG|2AART|38VULN|4DUR|5RCR|7ZMB|9RPLT|aFLTHEA
34	36632 25213	   	194.31	DCR|2AART|2VULN|2DMG|1CDMG|1ZMB	19DMG|23AART|49FEWX|5RMIN|6CDMG|7ZMB|89VULN|9BPWR|aRCR
35	36531 51231	   	194.27	DCR|3DMG|2VULN|1AART|1ZMB	19aDMG|2AART|3ZMB|4RPLT|5FEWX|6RCR|78VULN
36	36532 52231	   	194.27	DCR|3DMG|2VULN|1AART|1ZMB	19aDMG|2AART|3ZMB|4RPLT|58VULN|6RCR|7LHND
37	36532 53231	   	194.27	DCR|3DMG|2VULN|1AART|1ZMB	19aDMG|2AART|3ZMB|4RPLT|58VULN|6RCR|7LWND
38	36533 51231	   	194.17	DCR|3DMG|2VULN|1AART|1ZMB	19aDMG|2AART|3ZMB|4RPLT|5DUST|6RCR|78VULN
39	36124 14213	   	193.73	DCR|3DMG|2VULN|1AART|2CDMG	169DMG|2AART|39LWND|48VULN|5DUST|79CDMG|9BPWR|aRCR
40	11125 43135	   	193.72	DCR|3VULN|2DMG|1AART|1CDMG	1LEGI|25ERES|3AART|458VULN|5BPWR|69DMG|7RCR|aCDMG
41	31625 11432	   	192.74	ACR|3VULN|2DMG|1AART|1CDMG	13DMG|23MLV|3BPWR|4RCR|56aVULN|7CDMG|8RCVC|9AART
42	36121 14116	   	192.44	ACR|3DMG|2VULN|1AART|1CDMG	16aDMG|2AART|3LWND|4aVULN|5RCR|7CDMG|8DUST|9aERES|aBPWR
43	36121 14126	   	192.44	ACR|3DMG|2VULN|1AART|1CDMG	16aDMG|2AART|3LWND|4aVULN|5RCR|7CDMG|8DUST|9aTLV|aBPWR
44	53353 62213	   	191.71	DCR|3VULN|2DMG|1AART|1ZMB	16LIT|2ZMB|34DMG|569VULN|6BPWR|7ASPD|8RCR|aAART
45	36324 12134	   	191.61	DCR|3VULN|2DMG|1AART|1ZMB	19DMG|2AART|348VULN|5DUR|6FEWX|7ZMB|aRCR
46	36324 32134	   	191.61	DCR|3VULN|2DMG|1AART|1ZMB	19DMG|2AART|348VULN|5DUR|6LHND|7ZMB|aRCR
47	36314 32134	   	191.51	DCR|3VULN|2DMG|1AART|1ZMB	19DMG|2AART|368VULN|4DUR|5DUST|7ZMB|aRCR
48	36311 11163	   	191.12	ACR|3DMG|2VULN|1AART|2DUR	16aDMG|2AART|39VULN|47DUR|5RCR|8BEXP
49	36311 11643	   	191.12	ACR|3DMG|2VULN|1AART|2DUR	16aDMG|2AART|38VULN|47DUR|5RCR|9BEXP
50	36311 35363	   	191.12	ACR|3DMG|2VULN|1AART|2DUR	17aDMG|2AART|39VULN|48DUR|5RCR|6FEWX
51	36361 11363	   	191.12	ACR|3DMG|2VULN|1AART|2DUR	16aDMG|2AART|39VULN|4FEWX|5RCR|78DUR
52	36532 51332	 * 	190.78	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2AART|3ZMB|4RPLT|5789VULN|6RCR|aMLV
