0	Index      	 *	Score 	Summary	Detail	
1	21131 16264	 * 	195.57	DCR|3VULN|2DMG|3CDMG|1AART	158CDMG|2DMSP|348VULN|68DMG|7MBVNT|8BPWR|9AART|aRCR
31	21123 11252	   	170.33	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMSP|36aVULN|4DMG|5RPLT|7FEWX|8RCR|9AART
32	21134 13653	   	170.33	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1aCDMG|2DMSP|34VULN|5DUR|6RPLT|7RCR|8DMG|9AART
33	12441 85223	 * 	170.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2MBVNT|3FEWX|4RCR|5ZMB|6AART|7CDMG|8aVULN|9DMG
34	21133 23612	   	169.73	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMSP|348VULN|5LIT|6AART|7FEWX|9RCR|aDMG
35	21133 24612	   	169.73	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMSP|348VULN|5LIT|6AART|7LHND|9RCR|aDMG
36	21133 25212	   	169.73	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMSP|347VULN|5LIT|6AART|8LHND|9RCR|aDMG
37	21124 62612	   	169.63	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|2DMSP|3VULN|47aDMG|5ERES|6AART|8LIT|9RCR
38	21132 65512	   	169.63	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMSP|347VULN|5DUST|6AART|8LIT|9RCR|aDMG
39	21133 21612	   	169.63	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMSP|348VULN|5LIT|6AART|7LEGI|9RCR|aDMG
40	21537 72422	   	169.63	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMSP|3MBVNT|45aVULN|6AART|7DMG|8RPLT|9RCR
41	42543 14447	   	169.18	DCR|3DMG|1AART|1VULN|1ZMB	149DMG|2LEGI|3MBVNT|4BPWR|5ZMB|6VULN|7RCR|8DUST|aAART
42	23151 15223	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LHND|3TLV|45VULN|67DMG|8RMIN|9RCR|aAART
43	23351 15223	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LHND|3ERES|45VULN|67DMG|8RMIN|9RCR|aAART
44	24151 15223	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LWND|3TLV|45VULN|67DMG|8RMIN|9RCR|aAART
45	24351 15223	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LWND|3ERES|45VULN|67DMG|8RMIN|9RCR|aAART
46	21132 62253	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|34VULN|5DUST|6AART|78DMG|9BELT|aRCR
47	21135 16353	   	168.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|34VULN|59DMG|6BELT|7AART|8LWND|aRCR
48	22252 53523	   	168.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|3BEXP|4aVULN|5NUKE|6LWND|7RCR|8AART|9DMG
49	21135 16243	   	168.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DMSP|34VULN|58DMG|6BELT|7AART|9DUST|aRCR
50	22121 31334	 * 	168.03	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2ZMB|3LIT|4FEWX|5RCR|689VULN|7ASPD|aAART
51	41413 61312	   	167.92	DCR|3DMG|1AART|1VULN|1ASPD	159DMG|2RCVC|3BELT|45CGEN|5BPWR|6AART|7RCR|8VULN|aASPD
52	21133 16343	 * 	167.88	5VULN|3DMG|3CDMG|1ASPD	19aCDMG|2DMSP|3489aVULN|5LIT|6ASPD|79aDMG|9aBPWR
53	41423 61312	   	167.72	DCR|3DMG|1AART|1VULN|1ASPD	159DMG|2RCVC|3BELT|45ERES|5BPWR|6AART|7RCR|8VULN|aASPD
54	22335 52138	 * 	167.68	DCR|3DMG|1AART|2CDMG|1ZMB	1aCDMG|2ZMB|3RCVC|4aCGEN|57aDMG|6MBVNT|8RCR|9AART|aBPWR
55	21123 36523	   	167.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMSP|3aVULN|4DMG|57RPLT|6AART|8RCR|9ZMB
56	21135 13536	   	167.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMSP|34VULN|5DMG|6BELT|7RCR|8ZMB|9LWND|aAART
57	12441 81426	 * 	167.34	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	18ERES|2MBVNT|3FEWX|4RCR|58ZMB|6AART|78VULN|8BPWR|9DMG|aDUR
58	42523 43217	   	167.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2LEGI|3MBVNT|4CDMG|5ERES|6RCR|7AART|8aVULN|9DUR
59	42523 43233	   	167.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2LEGI|3MBVNT|4CDMG|5ERES|6RCR|7AART|8aVULN|9ASPD
60	42523 43223	   	167.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	19DMG|2LEGI|3MBVNT|4CDMG|5ERES|6RCR|7AART|8VULN|aDUR
61	23351 42223	   	167.23	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LHND|3ERES|456VULN|7DMG|8RMIN|9RCR|aAART
62	24351 42223	   	167.23	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LWND|3ERES|456VULN|7DMG|8RMIN|9RCR|aAART
63	21123 13236	   	167.21	DCR|2VULN|2DMG|2CDMG|2DUR	1aCDMG|2DMSP|36VULN|4aDMG|57RPLT|8RCR|9aDUR|aBPWR
64	22145 36212	   	167.12	DCR|2VULN|2DMG|3CDMG|1ZMB	149CDMG|2ZMB|39LIT|5LSRREG|68VULN|79DMG|9BPWR|aRCR
65	16323 43314	   	166.84	DCR|3VULN|2DMG|1DUR|1ASPD	1ERES|2aLHND|3ASPD|4DUR|59aVULN|6MLV|7RCR|8aDMG|aBPWR
66	42543 14643	   	166.67	DCR|3DMG|1VULN|1CDMG|1ZMB|1ASPD	149DMG|2LEGI|3MBVNT|4BPWR|5ZMB|6VULN|7RCR|8CDMG|aASPD
67	21135 13511	   	166.24	DCR|3VULN|1DMG|2CDMG|1ZMB	1aCDMG|2DMSP|349VULN|5DMG|6BELT|7RCR|8ZMB
68	21135 13553	   	166.24	DCR|3VULN|1DMG|2CDMG|1ZMB	19CDMG|2DMSP|34aVULN|5DMG|6BELT|7RCR|8ZMB
69	43542 13327	   	166.02	DCR|2VULN|2DMG|1AART|1ZMB	14DMG|24LHND|3MBVNT|4BPWR|5MLV|68VULN|7AART|9ZMB|aRCR
70	21517 41228	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2DMSP|3MBVNT|4LHND|58VULN|6AART|7RCR|9ASPD|aDMG
71	21536 41228	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2DMSP|3MBVNT|48VULN|5LWND|6AART|7RCR|9ASPD|aDMG
