0	Index      	 *	Score 	Summary	Detail	
1	54123 23311	 * 	207.54	ACR|4VULN|2DMG|1AART|2ASPD	138aVULN|2aASPD|4RCR|5AART|68LHND|78LIT|8aBPWR|9aDMG
21	51122 64323	   	184.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	135VULN|2TLV|4RCR|6DMG|7ERES|8AART|9ZMB|aCDMG
22	53122 42352	   	184.53	ACR|3VULN|2DMG|1AART|1ASPD	135VULN|2MLV|4RCR|6ERES|7aDMG|8AART|9ASPD
23	51122 42352	   	184.43	ACR|3VULN|2DMG|1AART|1ASPD	135VULN|2TLV|4RCR|6ERES|7aDMG|8AART|9ASPD
24	54123 32413	   	183.34	ACR|4VULN|1AART|2ASPD|1CDMG	138aVULN|2aASPD|4RCR|5AART|6CDMG|7LIT|9aLWND|aBPWR
25	53132 21234	 * 	183.03	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	139VULN|2MLV|4DUST|5CDMG|6DMG|7RCR|8ZMB|aAART
26	51132 21234	   	182.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	139VULN|2TLV|4DUST|5CDMG|6DMG|7RCR|8ZMB|aAART
27	54123 32163	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	13aVULN|2ASPD|4RCR|5AART|6CDMG|79LIT|8DMG
28	54123 32411	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	138VULN|2ASPD|4RCR|5AART|6CDMG|7LIT|9LWND|aDMG
29	54123 32431	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	138VULN|2ASPD|4RCR|5AART|6CDMG|7LIT|9LHND|aDMG
30	54123 23413	   	182.22	ACR|2AART|2VULN|2DMG|1ASPD	13VULN|2ASPD|4RCR|58AART|6LHND|7LIT|9aDMG
31	53122 65331	 * 	180.07	ACR|5VULN|2DMG|1SELL	13589VULN|2aMLV|4RCR|6aDMG|7SELL|aBPWR
32	54123 23343	   	180.04	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	138VULN|2ASPD|4RCR|5AART|68LHND|78LIT|8BPWR|9ZMB|aDMG
33	54123 33421	   	180.04	ACR|3VULN|1AART|2ASPD|1CDMG|1ZMB	13aVULN|28ASPD|4RCR|5AART|6CDMG|7BEXP|9ZMB
34	51122 65331	 * 	179.87	ACR|5VULN|2DMG|1SELL	13589VULN|2aTLV|4RCR|6aDMG|7SELL|aBPWR
35	53132 21364	   	178.97	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	139VULN|2MLV|4DUST|5CDMG|6DMG|7RCR|8ASPD|aAART
36	51132 21364	   	178.87	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	139VULN|2TLV|4DUST|5CDMG|6DMG|7RCR|8ASPD|aAART
37	54122 42332	   	178.39	ACR|3VULN|2AART|1DMG|1ASPD	135VULN|2ASPD|4RCR|6ERES|7DMG|8aAART|9LIT
38	54123 32112	   	178.28	ACR|2VULN|2AART|1DMG|1CDMG|1ASPD	13VULN|2ASPD|4RCR|5aAART|6CDMG|7LIT|8DMG|9BEXP
39	54123 32122	   	178.28	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	13VULN|2ASPD|4RCR|5aAART|6CDMG|7LIT|8DMG|9LWND
40	53123 16363	   	178.28	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	13VULN|2MLV|4RCR|5aAART|6RMIN|7CDMG|8DMG|9DUR
41	54123 32152	   	178.18	ACR|2VULN|2AART|1DMG|1CDMG|1ASPD	13VULN|2ASPD|4RCR|5aAART|6CDMG|7LIT|8DMG|9DUST
42	53122 42322	   	177.94	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	135VULN|2MLV|4RCR|6ERES|7DMG|8AART|9ZMB|aASPD
43	53122 64322	   	177.94	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	135VULN|2MLV|4RCR|6DMG|7ERES|8AART|9ZMB|aASPD
44	54122 42321	   	177.94	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	135VULN|2ASPD|4RCR|6ERES|7DMG|8AART|9ZMB|aLWND
45	54122 42323	   	177.94	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	135VULN|2ASPD|4RCR|6ERES|7DMG|8AART|9ZMB|aLHND
46	51122 42322	   	177.84	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	135VULN|2TLV|4RCR|6ERES|7DMG|8AART|9ZMB|aASPD
47	51122 64322	   	177.84	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	135VULN|2TLV|4RCR|6DMG|7ERES|8AART|9ZMB|aASPD
48	54123 32142	   	177.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	13VULN|2ASPD|4RCR|5AART|6CDMG|7LIT|8DMG|9ZMB|aCGEN
49	54123 32241	   	177.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	13VULN|2ASPD|4RCR|5AART|6CDMG|7LIT|8CGEN|9ZMB|aDMG
50	53123 16322	   	177.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13VULN|2MLV|4RCR|5AART|6RMIN|7CDMG|8DMG|9ZMB|aDUR
51	53123 46322	   	177.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13VULN|2MLV|4RCR|5AART|6ERES|7CDMG|8DMG|9ZMB|aDUR
52	54123 33243	   	177.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	13VULN|2ASPD|4RCR|5AART|6CDMG|7BEXP|8MBVNT|9DMG|aZMB
53	53123 26163	   	177.65	ACR|3VULN|1AART|1DMG|1CDMG	137VULN|27MLV|4RCR|5AART|67LHND|7BPWR|8RCVC|9DMG|aCDMG
54	51123 46322	   	177.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13VULN|2TLV|4RCR|5AART|6ERES|7CDMG|8DMG|9ZMB|aDUR
55	54123 31243	   	177.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	13VULN|2ASPD|4RCR|5AART|6CDMG|7DUST|8MBVNT|9DMG|aZMB
56	53122 42336	   	177.59	ACR|3VULN|2DMG|1AART	135VULN|2MLV|4RCR|6ERES|7aDMG|8AART|9LIT
57	53122 42362	   	177.59	ACR|3VULN|2DMG|1AART	135VULN|2MLV|4RCR|6ERES|79DMG|8AART|aLHND
58	53122 42363	   	177.59	ACR|3VULN|2DMG|1AART	135VULN|2MLV|4RCR|6ERES|79DMG|8AART|aFEWX
