0	Index      	 *	Score 	Summary	Detail	
1	22365 34123	 * 	334.92	ACR|ACR|2TLV|2VULN|1AEFBLL|1CDMG|1SELL	1CDMG|23RCR|4BASICY|57VULN|6SELL|8AEFBLL|9aTLV
12	22323 31343	   	321.38	ACR|ACR|2TLV|1VULN|1AEFBLL|2CDMG	14CDMG|23RCR|4BPWR|5AAC|6AEFBLL|7DUR|89TLV|aVULN
13	22323 36643	   	321.38	ACR|ACR|2TLV|1VULN|1AEFBLL|2CDMG	14CDMG|23RCR|4BPWR|5AAC|6AEFBLL|79TLV|8DUR|aVULN
14	22316 13135	 * 	320.53	ACR|ACR|3VULN|1TLV|1CDMG	1CDMG|23RCR|4LWND|57aVULN|6ZMB|8MDPS|9TLV
15	22361 35315	   	319.90	ACR|ACR|3VULN|1TLV|2CDMG	16CDMG|23RCR|46BASICY|5RCVC|6BPWR|789VULN|aTLV
16	22351 36343	   	319.86	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD|1CDMG	1CDMG|23RCR|4ZMB|5RCVC|6AEFBLL|7TLV|8ASPD|9DMG|aVULN
17	22322 36343	   	319.23	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|2CDMG|1ASPD	14CDMG|23RCR|4BPWR|5RMIN|6AEFBLL|7TLV|8ASPD|9DMG|aVULN
18	22322 36463	   	319.23	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|2CDMG|1ASPD	14CDMG|23RCR|4BPWR|5RMIN|6AEFBLL|7TLV|8DMG|9ASPD|aVULN
19	22323 36343	   	319.23	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|2CDMG|1ASPD	14CDMG|23RCR|4BPWR|5AAC|6AEFBLL|7TLV|8ASPD|9DMG|aVULN
20	22323 36463	   	319.23	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|2CDMG|1ASPD	14CDMG|23RCR|4BPWR|5AAC|6AEFBLL|7TLV|8DMG|9ASPD|aVULN
21	22346 22315	   	318.96	ACR|ACR|2TLV|1VULN|1AEPOI|1CDMG|1ASPD	1CDMG|23RCR|4AEPOI|5BELT|6ERES|7aTLV|8VULN|9ASPD
22	22341 63631	   	318.62	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5DUST|6DUR|7TLV|8BELT|9aVULN
23	22365 21324	   	318.52	ACR|ACR|2VULN|1TLV|1DMG|1CDMG	1CDMG|23RCR|4BASICY|58VULN|6DMG|7DUR|9ERES|aTLV
24	22365 11135	   	315.90	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1CDMG|23RCR|4BASICY|5aVULN|6FEWX|7RAT|8AEPOI|9TLV
25	22346 22326	   	315.37	ACR|ACR|2VULN|1TLV|2AEPOI|2CDMG	1aCDMG|23RCR|4aAEPOI|5BELT|6ERES|7TLV|8aVULN|9RMIN|aBPWR
26	22341 33535	   	315.27	ACR|ACR|2VULN|1TLV|1AEPOI|2CDMG	19CDMG|23RCR|4AEPOI|5DUST|6FEWX|7TLV|8aVULN
27	22342 31343	   	315.07	ACR|ACR|2TLV|1VULN|1AEFBLL|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5RMIN|6AEFBLL|7DUR|89TLV|aVULN
28	22343 31343	   	315.07	ACR|ACR|2TLV|1VULN|1AEFBLL|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5AAC|6AEFBLL|7DUR|89TLV|aVULN
29	22365 35123	   	315.06	ACR|ACR|2VULN|1TLV|2CDMG|1SELL	18CDMG|23RCR|4BASICY|58VULN|6SELL|78ZMB|8BPWR|9DUR|aTLV
30	22316 63135	   	313.59	ACR|ACR|3VULN|1TLV|1CDMG	1CDMG|23RCR|4LWND|57aVULN|6AAC|8MDPS|9TLV
31	22331 23611	   	312.92	ACR|ACR|1TLV|1VULN|1DMG|1AEPOI|1ASPD|1CDMG	1CDMG|23RCR|4RPLT|5CGEN|6AEPOI|7ASPD|8DMG|9VULN|aTLV
32	22331 33611	   	312.92	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD|1CDMG	1CDMG|23RCR|4RPLT|5CGEN|6AEFBLL|7ASPD|8DMG|9VULN|aTLV
33	22342 36343	   	312.92	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1AEPOI|1ASPD|1CDMG	1CDMG|23RCR|4AEPOI|5RMIN|6AEFBLL|7TLV|8ASPD|9DMG|aVULN
34	22343 36343	   	312.92	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1AEPOI|1ASPD|1CDMG	1CDMG|23RCR|4AEPOI|5AAC|6AEFBLL|7TLV|8ASPD|9DMG|aVULN
35	22351 36243	   	312.35	ACR|ACR|2TLV|1VULN|1AEFBLL|1CDMG	1CDMG|23RCR|4ZMB|5RCVC|6AEFBLL|79TLV|8LHND|aVULN
36	22341 52343	   	312.15	ACR|ACR|2TLV|1VULN|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|57DUST|6ZMB|89TLV|aVULN
37	22322 36243	   	311.72	ACR|ACR|2TLV|1VULN|1AEFBLL|2CDMG	14CDMG|23RCR|4BPWR|5RMIN|6AEFBLL|79TLV|8LHND|aVULN
38	22323 36243	   	311.72	ACR|ACR|2TLV|1VULN|1AEFBLL|2CDMG	14CDMG|23RCR|4BPWR|5AAC|6AEFBLL|79TLV|8LHND|aVULN
39	22316 33536	   	311.62	ACR|ACR|2TLV|1VULN|1AEFBLL|2CDMG	19CDMG|23RCR|4LWND|5VULN|6AEFRZ|7aTLV|8AEFBLL
40	22346 22316	 * 	311.62	ACR|ACR|1TLV|1VULN|2ASPD|2CDMG|1AEPOI	1aCDMG|23RCR|4AEPOI|5BELT|6aERES|7TLV|8VULN|9aASPD|aBPWR
41	22365 32123	   	311.38	ACR|ACR|2TLV|1VULN|1AEFBLL|2CDMG|1SELL	17CDMG|23RCR|4BASICY|5VULN|6SELL|8AEFBLL|9aTLV
42	22312 33515	   	309.06	ACR|ACR|2VULN|1TLV|1AEFBLL|1CDMG	1CDMG|23RCR|4LWND|59BEXP|6AEFBLL|7TLV|8aVULN
43	22312 33631	   	309.06	ACR|ACR|2VULN|1TLV|1AEFBLL|1CDMG	1CDMG|23RCR|4LWND|5BEXP|6AEFBLL|7TLV|8BELT|9aVULN
44	22344 33631	   	309.06	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5BEXP|6FEWX|7TLV|8BELT|9aVULN
45	22345 33631	   	309.06	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5LWND|6FEWX|7TLV|8BELT|9aVULN
46	22316 22435	   	308.96	ACR|ACR|2VULN|1TLV|1AEFBLL|1CDMG	1CDMG|23RCR|4LWND|5aVULN|6MDPS|7AEFBLL|8MLV|9TLV
47	22316 24135	   	308.96	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1CDMG|23RCR|4LWND|5aVULN|6MDPS|7MLV|8AEPOI|9TLV
48	22316 33515	   	308.96	ACR|ACR|2VULN|1TLV|1AEFBLL|1CDMG	1CDMG|23RCR|4LWND|5aVULN|6AEFRZ|7TLV|8AEFBLL|9LHND
49	22316 33615	   	308.96	ACR|ACR|2VULN|1TLV|1DMG|1CDMG	1CDMG|23RCR|4LWND|5aVULN|6AEFRZ|7TLV|8DMG|9CGEN
50	22316 33662	   	308.96	ACR|ACR|2VULN|1TLV|1DMG|1CDMG	1CDMG|23RCR|4LWND|59VULN|6AEFRZ|7TLV|8DMG|aFEWX
51	22326 61613	   	308.96	ACR|ACR|2VULN|1TLV|2CDMG|1ASPD	14CDMG|23RCR|4BPWR|5BELT|6aVULN|7AME|8TLV|9ASPD
52	22341 33631	   	308.96	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5DUST|6FEWX|7TLV|8BELT|9aVULN
53	22342 26135	   	308.96	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5RMIN|6BEXP|7aVULN|8MDPS|9TLV
54	22343 26135	   	308.96	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5AAC|6BEXP|7aVULN|8MDPS|9TLV
55	22346 22323	   	308.96	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5BELT|6ERES|7TLV|8aVULN|9RMIN
56	22316 33661	   	308.86	ACR|ACR|2VULN|1TLV|1DMG|1CDMG|1MSE	1CDMG|23RCR|4LWND|59VULN|6AEFRZ|7TLV|8DMG|aMSE
57	22316 33663	   	308.86	ACR|ACR|2VULN|1TLV|1DMG|1CDMG|1SELL	1CDMG|23RCR|4LWND|59VULN|6AEFRZ|7TLV|8DMG|aSELL
58	22326 22313	   	308.86	ACR|ACR|2VULN|1TLV|2CDMG|1ASPD	14CDMG|23RCR|4BPWR|5BELT|6ERES|7TLV|8aVULN|9ASPD
59	22342 16135	   	308.86	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5RMIN|6LEGI|7aVULN|8MDPS|9TLV
60	22343 16135	   	308.86	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5AAC|6LEGI|7aVULN|8MDPS|9TLV
61	22333 53526	   	308.82	ACR|ACR|2VULN|1TLV|2CDMG|2RAT|1SELL	1aCDMG|23RCR|4RPLT|5SELL|6AAC|7TLV|8aVULN|9aRAT|aBPWR
62	22365 34121	   	308.72	ACR|ACR|2VULN|1TLV|1AEFBLL|1CDMG|1SELL	1CDMG|23RCR|4BASICY|57VULN|6SELL|8AEFBLL|9TLV|aLIT
63	22316 13133	   	306.84	ACR|ACR|2VULN|1TLV|1CDMG|1AART	1CDMG|23RCR|4LWND|57VULN|6ZMB|8MDPS|9TLV|aAART
64	22331 25611	   	306.21	ACR|ACR|1TLV|1VULN|1DMG|1AEPOI|1CDMG	1CDMG|23RCR|4RPLT|5CGEN|6AEPOI|7ZMB|8DMG|9VULN|aTLV
65	22331 35611	   	306.21	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1CDMG	1CDMG|23RCR|4RPLT|5CGEN|6AEFBLL|7ZMB|8DMG|9VULN|aTLV
66	22316 11535	   	305.60	ACR|ACR|2VULN|1TLV|1CDMG	1CDMG|23RCR|4LWND|5aVULN|6ZMB|7LHND|8TLV|9DUR
67	22312 13535	   	305.60	ACR|ACR|2VULN|1TLV|1CDMG	1CDMG|23RCR|4LWND|5BEXP|6ZMB|7DUR|8aVULN|9TLV
68	22316 11435	   	305.60	ACR|ACR|2VULN|1TLV|1CDMG	1CDMG|23RCR|4LWND|5aVULN|6ZMB|7LHND|8DUR|9TLV
69	22352 33535	   	305.60	ACR|ACR|2VULN|1TLV|1CDMG	1CDMG|23RCR|4ZMB|5LWND|6LHND|7DUR|8aVULN|9TLV
70	22316 13131	   	305.50	ACR|ACR|2VULN|1TLV|1CDMG	1CDMG|23RCR|4LWND|57VULN|6ZMB|8MDPS|9TLV|aDUR
71	22365 11531	   	305.50	ACR|ACR|2VULN|1TLV|1CDMG	1CDMG|23RCR|4BASICY|58VULN|6FEWX|7RAT|9TLV|aDUR
72	22342 21343	   	305.41	ACR|ACR|2TLV|1VULN|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5RMIN|67BEXP|89TLV|aVULN
73	22342 36243	   	305.41	ACR|ACR|2TLV|1VULN|1AEFBLL|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5RMIN|6AEFBLL|79TLV|8LHND|aVULN
74	22343 21343	   	305.41	ACR|ACR|2TLV|1VULN|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5AAC|67BEXP|89TLV|aVULN
75	22343 36243	   	305.41	ACR|ACR|2TLV|1VULN|1AEFBLL|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5AAC|6AEFBLL|79TLV|8LHND|aVULN
76	22341 23365	   	305.31	ACR|ACR|2TLV|1VULN|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5DUST|6LHND|7aTLV|8MLV|9VULN
77	22341 33365	   	305.31	ACR|ACR|2TLV|1VULN|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5DUST|6FEWX|7aTLV|8MLV|9VULN
78	22341 33525	   	305.31	ACR|ACR|2TLV|1VULN|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5DUST|6FEWX|7aTLV|8VULN|9RMIN
79	22342 25343	   	305.31	ACR|ACR|2TLV|1VULN|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5RMIN|6BEXP|7AEFRZ|89TLV|aVULN
80	22343 25343	   	305.31	ACR|ACR|2TLV|1VULN|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5AAC|6BEXP|7AEFRZ|89TLV|aVULN
81	22346 22325	   	305.31	ACR|ACR|2TLV|1VULN|1AEPOI|1CDMG	1CDMG|23RCR|4AEPOI|5BELT|6ERES|7aTLV|8VULN|9RMIN
82	22365 35133	   	305.30	ACR|ACR|2VULN|1TLV|2CDMG|1SELL	18CDMG|23RCR|4BASICY|58VULN|6SELL|78ZMB|8BPWR|9AETHUN|aTLV
83	22316 33635	   	305.21	ACR|ACR|2TLV|1VULN|1DMG|1CDMG	1CDMG|23RCR|4LWND|5VULN|6AEFRZ|7aTLV|8DMG|9DUST
84	22326 22315	   	305.21	ACR|ACR|2TLV|1VULN|2CDMG|1ASPD	14CDMG|23RCR|4BPWR|5BELT|6ERES|7aTLV|8VULN|9ASPD
85	22131 43324	 * 	305.21	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	1CDMG|2aRCR|3MDPS|4AEFRZ|5RPLT|6VULN|7DMG|89TLV
86	22324 63631	   	304.97	ACR|ACR|2VULN|1TLV|2CDMG	14CDMG|23RCR|4BPWR|5BEXP|6DUR|7TLV|8BELT|9aVULN
87	22365 33123	   	304.96	ACR|ACR|2TLV|1VULN|1AEFBLL|1CDMG|1SELL	1CDMG|23RCR|4BASICY|5VULN|6SELL|7AEWIND|8AEFBLL|9aTLV
