0	Index      	 *	Score 	Summary	Detail	
1	51346 11321	 * 	345.45	DCR|5VULN|3TLV|3ASPD	189ASPD|2489aVULN|345TLV|489BPWR|689CGEN|7RCR
37	54333 41223	   	318.21	ACR|3VULN|2TLV|2DMG|2ASPD	18ASPD|2aDMG|38TLV|4RCR|578VULN|6LEGI|8BPWR|9AME
38	55333 41233	   	318.21	ACR|3VULN|2TLV|2DMG|2ASPD	18ASPD|2AAC|38TLV|4RCR|578VULN|6LEGI|8BPWR|9aDMG
39	51322 41212	   	318.21	ACR|3VULN|2TLV|2DMG|2ASPD	18ASPD|27aVULN|38TLV|48DMG|5RCR|6LEGI|8BPWR|9BEXP
40	54333 41231	   	318.11	ACR|3VULN|2TLV|2DMG|2ASPD	18ASPD|29DMG|38TLV|4RCR|578VULN|6LEGI|8BPWR|aAETHUN
41	54333 41233	   	318.11	ACR|3VULN|2TLV|2DMG|2ASPD|1MSE	18ASPD|29DMG|38TLV|4RCR|578VULN|6LEGI|8BPWR|aMSE
42	51322 13511	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9CGEN|aRPLT
43	51322 13513	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9CGEN|aBEXP
44	51322 13514	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9CGEN|aRMIN
45	51322 13516	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9CGEN|aLWND
46	51322 13531	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9FEWX|aAAC
47	51322 13532	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9FEWX|aRPLT
48	51322 13533	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9FEWX|aAME
49	51322 13541	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9FRZFST|aAAC
50	51322 13561	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9AME|aRPLT
51	51322 13563	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9AME|aBEXP
52	54333 13511	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2DMG|37TLV|48RCR|5VULN|9CGEN|aRPLT
53	54333 13513	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2DMG|37TLV|48RCR|5VULN|9CGEN|aBEXP
54	54333 13531	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2DMG|37TLV|48RCR|5VULN|9FEWX|aAAC
55	54333 13532	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2DMG|37TLV|48RCR|5VULN|9FEWX|aRPLT
56	54333 13533	   	317.86	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2DMG|37TLV|48RCR|5VULN|9FEWX|aAME
57	51322 13515	   	317.76	ACR|DCR|2TLV|1VULN|2ASPD|1DMG|1MSE	16ASPD|2VULN|37TLV|4DMG|58RCR|9CGEN|aMSE
58	51322 13521	   	317.76	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9LEGI|aAAC
59	51322 13522	   	317.76	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9LEGI|aRPLT
60	51322 13523	   	317.76	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9LEGI|aAME
61	51322 13535	   	317.76	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9FEWX|aERES
62	51322 13542	   	317.76	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9FRZFST|aDUST
63	54333 13521	   	317.76	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2DMG|37TLV|48RCR|5VULN|9LEGI|aAAC
64	54333 13522	   	317.76	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2DMG|37TLV|48RCR|5VULN|9LEGI|aRPLT
65	54333 13523	   	317.76	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2DMG|37TLV|48RCR|5VULN|9LEGI|aAME
66	51322 13525	   	317.66	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2VULN|37TLV|4DMG|58RCR|9LEGI|aERES
67	61166 21233	   	315.52	ACR|3VULN|2TLV|2DMG|1ASPD	18MLV|278VULN|3aDMG|4DUR|5RCR|68TLV|8BPWR|9ASPD
68	51346 11313	   	315.46	DCR|4VULN|3TLV|2ASPD	18ASPD|248aVULN|345TLV|48BPWR|68CGEN|7RCR|9AME
69	51346 11333	   	315.46	DCR|4VULN|3TLV|2ASPD	18ASPD|248aVULN|345TLV|48BPWR|68CGEN|7RCR|9RMIN
