0	Index      	 *	Score 	Summary	Detail	
1	34461 33211	 * 	316.88	DCR|2TLV|2VULN|3DMG|1AEBURN|1ASPD	19FEWX|269DMG|34TLV|5ASPD|79VULN|8RCR|9BPWR|aAEBURN
19	34461 23212	   	293.62	DCR|2TLV|2VULN|2DMG|2ASPD	19FEWX|29DMG|34TLV|56ASPD|79VULN|8RCR|9BPWR|aAAC
20	12322 16532	   	291.75	ACR|DCR|2VULN|1TLV	1LIT|2aRCR|3FRZICY|45VULN|6TLV|7DUR|8DUST|9MBVNT
21	12322 22251	   	289.12	ACR|DCR|2VULN|1TLV	1LIT|29RCR|3FRZICY|45VULN|6SPLJET|7RMIN|8TLV|aZMB
22	12322 32251	   	289.12	ACR|DCR|2VULN|1TLV	1LIT|29RCR|3FRZICY|45VULN|6MSLTOX|7RMIN|8TLV|aZMB
23	12215 61632	   	289.00	ACR|ACR|2VULN|1TLV|1ASPD	1LIT|25RCR|3LHND|4BEXP|6aVULN|7BELT|8ASPD|9TLV
24	12333 65252	   	288.99	ACR|DCR|1TLV|1VULN|1DMG	1LIT|2aRCR|3FRZICY|4ZMB|5LEGI|6TLV|7DUR|8VULN|9DMG
25	12324 22252	   	288.90	ACR|DCR|2VULN|1TLV|2FRZICY	1LIT|29RCR|35FRZICY|45VULN|5BPWR|6SPLJET|7RMIN|8TLV|aFEWX
26	12324 22256	   	288.90	ACR|DCR|2VULN|1TLV|2FRZICY	1LIT|29RCR|35FRZICY|45VULN|5BPWR|6SPLJET|7RMIN|8TLV|aAAC
27	12324 32252	   	288.90	ACR|DCR|2VULN|1TLV|2FRZICY	1LIT|29RCR|35FRZICY|45VULN|5BPWR|6MSLTOX|7RMIN|8TLV|aFEWX
28	12324 32256	   	288.90	ACR|DCR|2VULN|1TLV|2FRZICY	1LIT|29RCR|35FRZICY|45VULN|5BPWR|6MSLTOX|7RMIN|8TLV|aAAC
29	12324 15432	   	288.80	ACR|DCR|2VULN|1TLV|2FRZICY	1LIT|2aRCR|35FRZICY|45VULN|5BPWR|6TLV|7DUST|8BEXP|9MBVNT
30	12324 22253	   	288.80	ACR|DCR|2VULN|1TLV|2FRZICY	1LIT|29RCR|35FRZICY|45VULN|5BPWR|6SPLJET|7RMIN|8TLV|aMDPS
31	12324 22255	   	288.80	ACR|DCR|2VULN|1TLV|2FRZICY	1LIT|29RCR|35FRZICY|45VULN|5BPWR|6SPLJET|7RMIN|8TLV|aERES
32	12324 32253	   	288.80	ACR|DCR|2VULN|1TLV|2FRZICY	1LIT|29RCR|35FRZICY|45VULN|5BPWR|6MSLTOX|7RMIN|8TLV|aMDPS
33	12324 32255	   	288.80	ACR|DCR|2VULN|1TLV|2FRZICY	1LIT|29RCR|35FRZICY|45VULN|5BPWR|6MSLTOX|7RMIN|8TLV|aERES
