0	Index      	 *	Score 	Summary	Detail	
1	12361 33346	 * 	290.26	DCR|3LIT|3VULN|2DMG	1RMIN|28aLIT|37aVULN|4LWND|5DUST|6RCR|9aDMG|aBPWR
18	12662 32216	 * 	271.79	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1RMIN|2LIT|34DMG|5CDMG|69VULN|7RCR|8CRUSTR|aMLV
19	12662 32113	   	271.69	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1RMIN|2LIT|34DMG|5CDMG|69VULN|7RCR|8DUST|aMLV
20	12662 32316	   	271.69	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1RMIN|2LIT|34DMG|5CDMG|69VULN|7RCR|8BLAICY|aMLV
21	12662 32613	   	271.69	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG|1DUR	1RMIN|2LIT|34DMG|5CDMG|69VULN|7RCR|8DUR|aMLV
22	26112 32253	   	271.20	DCR|3LIT|3VULN|1CDMG	168ERES|289VULN|3ZMB|4CDMG|58aLIT|7RCR|8BPWR
23	25353 32253	   	270.72	DCR|2LIT|3VULN|2DMG|1SELL	128ERES|28BPWR|3aLIT|48DMG|5SELL|689VULN|7RCR
24	12143 62342	 * 	270.71	DCR|3LIT|2VULN|1MLV|1ASPD	1RMIN|27aLIT|3FEWX|45VULN|6MLV|8ASPD|9RCR
25	35323 11213	 * 	270.71	ACR|2LIT|3VULN|1MLV|3CDMG	1DMSP|2RCR|389CDMG|4MLV|58LIT|68aVULN|7RMIN|8BPWR
26	33612 33145	 * 	270.49	DCR|2LIT|2MLV|2VULN|1ASPD|1DUR	1DMSP|27MLV|3DUR|47LHND|57VULN|6RCR|7BPWR|8ASPD|9aLIT
27	26251 21326	 * 	270.42	DCR|2LIT|2VULN|1FLTARM|1DMG	1ERES|28VULN|3FLTARM|45LIT|6ZMB|7DMG|9DUST|aRCR
28	33612 33142	 * 	269.39	DCR|2MLV|3VULN|1LIT|1ASPD|1DUR	1DMSP|27MLV|3DUR|47LHND|57aVULN|6RCR|7BPWR|8ASPD|9LIT
29	33642 33142	   	269.39	DCR|2MLV|3VULN|1LIT|1ASPD|1DUR	1DMSP|27MLV|3DUR|47BEXP|57aVULN|6RCR|7BPWR|8ASPD|9LIT
30	53122 23366	   	268.86	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1LWND|2RCVC|3ERES|45VULN|6MLV|7DMG|8LIT|9FLTARM|aRCR
31	12662 32423	 * 	268.46	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	1RMIN|28LIT|34DMG|5CDMG|6VULN|7RCR|9LWND|aMLV
32	12662 32433	   	268.36	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	1RMIN|28LIT|34DMG|5CDMG|6VULN|7RCR|9DUST|aMLV
33	12361 31146	   	268.12	DCR|3LIT|2VULN|2DMG	18RMIN|27aLIT|3aVULN|4LWND|5DUST|6RCR|9aDMG|aBPWR
34	12361 31246	   	268.12	DCR|3LIT|2VULN|2DMG	1RMIN|27aLIT|3aVULN|48LWND|5DUST|6RCR|9aDMG|aBPWR
35	26112 32256	   	267.55	DCR|2LIT|3VULN|1ASPD|1CDMG	168ERES|289VULN|3ZMB|4CDMG|58LIT|7RCR|8BPWR|aASPD
36	12141 31362	   	267.20	DCR|2LIT|3VULN|1MLV	1RMIN|27LIT|3FEWX|49aVULN|5DUST|6RCR|8MLV
37	12243 31362	   	267.20	DCR|2LIT|3VULN|1MLV	1RMIN|27LIT|3DUST|49aVULN|5FEWX|6RCR|8MLV
38	12141 33365	   	267.20	DCR|2LIT|3VULN|1MLV	1RMIN|2aLIT|3FEWX|479VULN|5DUST|6RCR|8MLV
39	12243 33365	   	267.20	DCR|2LIT|3VULN|1MLV	1RMIN|2aLIT|3DUST|479VULN|5FEWX|6RCR|8MLV
40	25354 32223	   	267.02	DCR|2LIT|3VULN|1DMG|1CDMG	128ERES|28BPWR|38LIT|4DMG|5CDMG|68aVULN|7RCR|9FEWX
41	33612 33542	   	266.20	DCR|2MLV|3VULN|1LIT|1DUR	1DMSP|27MLV|3DUR|47LHND|57aVULN|6RCR|7BPWR|8ZMB|9LIT
42	35323 11212	 * 	265.86	ACR|3LIT|2VULN|1MLV|3CDMG	1DMSP|2RCR|389CDMG|4MLV|58aLIT|68VULN|7RMIN|8BPWR
43	12553 63333	 * 	265.81	DCR|2LIT|2MLV|2DMG|1VULN	13RMIN|26LIT|45DMG|78MLV|9RCR|aVULN
44	12661 13333	   	265.81	DCR|2LIT|2MLV|2DMG|1VULN	1RMIN|27LIT|34DMG|58MLV|6DMSP|9RCR|aVULN
45	63362 32112	   	265.65	DCR|2LIT|2VULN|1MLV|1ASPD|1DUR	1BEXP|2DUR|3ZMB|4ASPD|57VULN|6RCR|8MLV|9aLIT
46	12662 32131	 * 	265.55	DCR|1LIT|2DMG|1VULN|1MLV|1NUKE|1CDMG	1RMIN|2LIT|34DMG|5CDMG|6VULN|7RCR|8DUST|9MLV|aNUKE
47	12662 32631	   	265.55	DCR|1LIT|2DMG|1VULN|1MLV|1NUKE|1CDMG|1DUR	1RMIN|2LIT|34DMG|5CDMG|6VULN|7RCR|8DUR|9MLV|aNUKE
48	33553 22432	   	265.50	DCR|2LIT|3VULN|1MLV	1DMSP|2MLV|356VULN|49CGEN|7RCR|8aLIT
49	12141 16362	   	265.40	DCR|2LIT|3VULN|1MLV	1RMIN|26LIT|3FEWX|49aVULN|5DUST|7RCR|8MLV
50	12243 16362	   	265.40	DCR|2LIT|3VULN|1MLV	1RMIN|26LIT|3DUST|49aVULN|5FEWX|7RCR|8MLV
51	25354 32222	 * 	264.95	DCR|2LIT|2VULN|1DMG|1NUKE|1CDMG	128ERES|28BPWR|38LIT|4DMG|5CDMG|68VULN|7RCR|9FEWX|aNUKE
52	63362 32113	   	264.92	DCR|3VULN|1LIT|1MLV|1ASPD|1DUR	1BEXP|2DUR|3ZMB|4ASPD|57aVULN|6RCR|8MLV|9LIT
53	35323 11254	   	264.67	ACR|2LIT|3VULN|1MLV|2CDMG	1DMSP|2RCR|38CDMG|4MLV|58LIT|68aVULN|7RMIN|8BPWR|9BELT
54	12143 23525	   	263.60	DCR|2LIT|3VULN|1MLV	1RMIN|2aLIT|3FEWX|459VULN|6VENICY|7MLV|8RCR
55	12331 63524	   	263.60	DCR|2LIT|3VULN|1MLV	1RMIN|25LIT|39aVULN|4BLAICY|6FEWX|7MLV|8RCR
56	12141 33362	   	263.50	DCR|4VULN|1LIT|1MLV	1RMIN|2LIT|3FEWX|479aVULN|5DUST|6RCR|8MLV
57	12243 33362	   	263.50	DCR|4VULN|1LIT|1MLV	1RMIN|2LIT|3DUST|479aVULN|5FEWX|6RCR|8MLV
58	46351 21123	 * 	263.41	DCR|2LIT|2FLTARM|1VULN|2CDMG	1RPLT|2LSRREG|38CDMG|45LIT|6RCR|7VULN|9aFLTARM
59	15123 22426	 * 	262.81	DCR|2LIT|4VULN|2ZMB	1RMIN|256aVULN|34ZMB|7RCR|8aLIT|9aDUST|aBPWR
60	33521 22453	 * 	262.70	DCR|3VULN|1LIT|1MLV|1NUKE	1DMSP|2MLV|346VULN|5RMIN|7RCR|8LIT|9LWND|aNUKE
61	33533 22432	   	262.70	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9CGEN|aTLV
62	33533 22434	   	262.70	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9CGEN|aCRUSTR
63	33533 22451	   	262.70	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9LWND|aTLV
64	33533 22452	   	262.70	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9LWND|aRCVC
65	33521 22413	   	262.60	DCR|3VULN|1LIT|1MLV|1NUKE	1DMSP|2MLV|346VULN|5RMIN|7RCR|8LIT|9DUST|aNUKE
66	33533 22411	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9DUST|aTLV
67	33533 22412	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9DUST|aRCVC
68	33533 22414	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9DUST|aLHND
69	33533 22415	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9DUST|aCGEN
70	33533 22416	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9DUST|aLWND
71	33533 22433	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9CGEN|aERES
72	33533 22436	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9CGEN|aDUST
73	33533 22441	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9MULARM|aCGEN
74	33533 22442	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9MULARM|aFEWX
75	33553 22413	   	262.60	DCR|3VULN|1LIT|1MLV|1NUKE	1DMSP|2MLV|356VULN|4CGEN|7RCR|8LIT|9DUST|aNUKE
76	33525 22413	   	262.50	DCR|3VULN|1LIT|1MLV|1NUKE	1DMSP|2MLV|346VULN|5ERES|7RCR|8LIT|9DUST|aNUKE
77	33526 32413	   	262.50	DCR|3VULN|1LIT|1MLV|1NUKE	1DMSP|2MLV|345VULN|6ERES|7RCR|8LIT|9DUST|aNUKE
78	33331 33533	   	262.49	DCR|2LIT|2MLV|2VULN|1ASPD	1DMSP|27MLV|3RPLT|47LIT|57VULN|6AART|7BPWR|8LHND|9RCR|aASPD
79	33533 22453	   	262.45	DCR|3VULN|1LIT|1MLV|1DMG|1SELL	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9LWND|aSELL
80	12141 31365	   	262.36	DCR|3LIT|2VULN|1MLV	1RMIN|27aLIT|3FEWX|49VULN|5DUST|6RCR|8MLV
81	12243 31365	   	262.36	DCR|3LIT|2VULN|1MLV	1RMIN|27aLIT|3DUST|49VULN|5FEWX|6RCR|8MLV
82	33533 22515	   	262.35	DCR|3VULN|1LIT|1MLV|1DMG|1DUR|1SELL	1DMSP|2MLV|356VULN|4DMG|7RCR|8DUR|9SELL|aLIT
83	33533 22413	   	262.35	DCR|3VULN|1LIT|1MLV|1DMG|1SELL	1DMSP|2MLV|356VULN|4DMG|7RCR|8LIT|9DUST|aSELL
84	23522 22635	   	262.13	DCR|2LIT|2FLTARM|1VULN|1CDMG	19ERES|2TSLARM|39FLTARM|4CDMG|5ZMB|6AART|7RCR|89LIT|9BPWR|aVULN
85	14322 23512	   	261.89	DCR|2LIT|2MLV|2VULN|1DUR	1RMIN|27FEWX|37MLV|4ZMB|5DUR|67VULN|7BPWR|8RCR|9aLIT
86	55322 23512	   	261.89	DCR|2LIT|2MLV|2VULN|1DUR	17LWND|2RMIN|37MLV|4ZMB|5DUR|67VULN|7BPWR|8RCR|9aLIT
87	64322 23512	   	261.89	DCR|2LIT|2MLV|2VULN|1DUR	17BEXP|2CGEN|37MLV|4ZMB|5DUR|67VULN|7BPWR|8RCR|9aLIT
88	65322 23512	   	261.89	DCR|2LIT|2MLV|2VULN|1DUR	17BEXP|2RMIN|37MLV|4ZMB|5DUR|67VULN|7BPWR|8RCR|9aLIT
89	12662 32212	   	261.84	DCR|3VULN|1LIT|2DMG|1CDMG	1RMIN|2LIT|34DMG|5CDMG|69aVULN|7RCR|8CRUSTR
90	12143 63142	   	261.80	DCR|2LIT|3VULN|1MLV	1RMIN|2aLIT|3FEWX|457VULN|6MLV|8ERES|9RCR
91	35122 14324	 * 	261.80	ACR|3LIT|3VULN|1MLV	1DMSP|2RCR|3aERES|45aVULN|6CGEN|7MLV|89aLIT|aBPWR
92	33521 22431	   	261.80	DCR|4VULN|1LIT|1MLV	1DMSP|2MLV|346aVULN|5RMIN|7RCR|8LIT|9CGEN
93	22326 23512	   	261.74	DCR|2LIT|2MLV|2VULN	17ERES|2FEWX|37MLV|4ZMB|5BEXP|67VULN|7BPWR|8RCR|9aLIT
94	12662 32312	   	261.74	DCR|3VULN|1LIT|2DMG|1CDMG	1RMIN|2LIT|34DMG|5CDMG|69aVULN|7RCR|8BLAICY
95	12141 26362	   	261.70	DCR|4VULN|1LIT|1MLV	1RMIN|2LIT|3FEWX|469aVULN|5DUST|7RCR|8MLV
96	12243 26362	   	261.70	DCR|4VULN|1LIT|1MLV	1RMIN|2LIT|3DUST|469aVULN|5FEWX|7RCR|8MLV
97	33525 22431	   	261.70	DCR|4VULN|1LIT|1MLV	1DMSP|2MLV|346aVULN|5ERES|7RCR|8LIT|9CGEN
98	33526 32431	   	261.70	DCR|4VULN|1LIT|1MLV	1DMSP|2MLV|345aVULN|6ERES|7RCR|8LIT|9CGEN
99	24234 23512	 * 	261.63	DCR|2LIT|2VULN|1MLV|1DMG	17ERES|2DMG|37FEWX|4BEXP|5MLV|67VULN|7BPWR|8RCR|9aLIT
100	21326 23512	   	261.59	DCR|2LIT|2MLV|2VULN|1DUR	17ERES|2DUR|37MLV|4ZMB|5BEXP|67VULN|7BPWR|8RCR|9aLIT
101	22322 23512	   	261.59	DCR|2LIT|2MLV|2VULN|1DUR	17ERES|2FEWX|37MLV|4ZMB|5DUR|67VULN|7BPWR|8RCR|9aLIT
102	12611 63122	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1RMIN|2aLIT|3DMG|4DUST|5LHND|69VULN|7MLV|8RCR
103	12631 63122	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1RMIN|2aLIT|3DMG|4DUR|5LHND|69VULN|7MLV|8RCR
104	24234 23513	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	17ERES|2DMG|37FEWX|4BEXP|5MLV|67aVULN|7BPWR|8RCR|9LIT
105	14322 23513	   	260.80	DCR|2MLV|3VULN|1LIT|1DUR	1RMIN|27FEWX|37MLV|4ZMB|5DUR|67aVULN|7BPWR|8RCR|9LIT
106	55322 23513	   	260.80	DCR|2MLV|3VULN|1LIT|1DUR	17LWND|2RMIN|37MLV|4ZMB|5DUR|67aVULN|7BPWR|8RCR|9LIT
107	64322 23513	   	260.80	DCR|2MLV|3VULN|1LIT|1DUR	17BEXP|2CGEN|37MLV|4ZMB|5DUR|67aVULN|7BPWR|8RCR|9LIT
108	65322 23513	   	260.80	DCR|2MLV|3VULN|1LIT|1DUR	17BEXP|2RMIN|37MLV|4ZMB|5DUR|67aVULN|7BPWR|8RCR|9LIT
109	12611 63123	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	1RMIN|2LIT|3DMG|4DUST|5LHND|69aVULN|7MLV|8RCR
110	12631 63123	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1RMIN|2LIT|3DMG|4DUR|5LHND|69aVULN|7MLV|8RCR
111	22326 23513	   	260.65	DCR|2MLV|3VULN|1LIT	17ERES|2FEWX|37MLV|4ZMB|5BEXP|67aVULN|7BPWR|8RCR|9LIT
112	21326 23513	   	260.50	DCR|2MLV|3VULN|1LIT|1DUR	17ERES|2DUR|37MLV|4ZMB|5BEXP|67aVULN|7BPWR|8RCR|9LIT
113	22322 23513	   	260.50	DCR|2MLV|3VULN|1LIT|1DUR	17ERES|2FEWX|37MLV|4ZMB|5DUR|67aVULN|7BPWR|8RCR|9LIT
114	46351 21222	   	260.34	DCR|2LIT|2VULN|1NUKE|1ASPD|1CDMG	1RPLT|2LSRREG|3CDMG|45LIT|6RCR|79VULN|8ASPD|aNUKE
115	26133 54333	 * 	260.31	DCR|2LIT|3VULN|1NUKE	1ERES|289VULN|3ZMB|4BEXP|56LIT|7RCR|aNUKE
