0	Index      	 *	Score 	Summary	Detail	
1	56333 16323	 * 	274.01	DCR|3LIT|2DMG|1VULN|1MLV	138LHND|28DMG|4DUST|5MLV|6RCR|78aLIT|8BPWR|9VULN
27	25414 24633	   	249.76	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1SNITOX|2LHND|3MBVNT|4MLV|5LIT|6RCR|7DMG|8BEXP|9FLTARM|aVULN
28	54414 24133	   	249.76	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1LHND|2SNITOX|3MBVNT|4MLV|5LIT|6RCR|7DMG|8LWND|9FLTARM|aVULN
29	25414 24333	   	249.66	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1SNITOX|2LHND|3MBVNT|4MLV|5LIT|6RCR|7DMG|8LEGI|9FLTARM|aVULN
30	54414 24333	   	249.66	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1LHND|2SNITOX|3MBVNT|4MLV|5LIT|6RCR|7DMG|8LEGI|9FLTARM|aVULN
31	42433 13632	   	249.29	DCR|1LIT|2VULN|1MLV|1DMG	12BEXP|39VULN|4ZMB|5MLV|6RCR|7DMG|8LIT|aTLV
32	46623 12121	   	249.20	DCR|1LIT|2VULN|1MLV|1DMG	1BEXP|2DMG|3BELT|4ZMB|58VULN|6RCR|7DLOT|9LIT|aMLV
33	56623 12121	   	249.20	DCR|1LIT|2VULN|1MLV|1DMG	1LHND|2DMG|3BELT|4ZMB|58VULN|6RCR|7DLOT|9LIT|aMLV
34	42433 13631	   	249.19	DCR|1LIT|2VULN|1MLV|1DMG|1DUR	12BEXP|39VULN|4ZMB|5MLV|6RCR|7DMG|8LIT|aDUR
35	42365 11312	 * 	249.06	DCR|2LIT|3VULN|1CDMG	128BEXP|34RMIN|58aVULN|6RCR|78LIT|8BPWR|9CDMG
36	33111 61532	   	248.96	DCR|2LIT|3VULN|1ASPD	1aCGEN|2AART|35aVULN|4MBVNT|6RCR|7LHND|8ASPD|9aLIT|aBPWR
37	33111 65532	   	248.96	DCR|2LIT|3VULN|1ASPD	1aCGEN|2AART|35aVULN|4MBVNT|6RCR|7LWND|8ASPD|9aLIT|aBPWR
38	21362 15253	 * 	248.71	DCR|3LIT|3VULN	19SNITOX|23AART|459LIT|69aVULN|7LEGI|8RCR|9BPWR
39	21362 41253	   	248.71	DCR|3LIT|3VULN	19SNITOX|23AART|459LIT|6LEGI|79aVULN|8RCR|9BPWR
40	31444 31443	   	248.30	DCR|2LIT|1VULN|1MLV|2ASPD	1CGEN|25ASPD|3VULN|4MLV|6MBVNT|7aLIT|8RCR|9ZMB
41	25414 22345	 * 	247.23	DCR|2LIT|2MLV|1VULN|1DMG	1SNITOX|2LHND|3MBVNT|47MLV|59LIT|6RCR|8VULN|aDMG
42	42365 11333	 * 	246.99	DCR|2LIT|2VULN|1DMG|1ASPD	128BEXP|34RMIN|58VULN|6RCR|78LIT|8BPWR|9DMG|aASPD
43	21362 15252	 * 	246.63	DCR|3LIT|2VULN|1DMG	19SNITOX|23AART|459LIT|69VULN|7LEGI|8RCR|9BPWR|aDMG
44	21362 41252	   	246.63	DCR|3LIT|2VULN|1DMG	19SNITOX|23AART|459LIT|6LEGI|79VULN|8RCR|9BPWR|aDMG
45	31521 56221	   	246.42	DCR|2LIT|2DMG|1MLV|1ASPD|1CDMG	1CGEN|2ASPD|38DMG|4BEXP|5CDMG|67LIT|9RCR|aMLV
46	31531 56221	   	246.32	DCR|2LIT|2DMG|1MLV|1ASPD|1CDMG	1CGEN|2ASPD|38DMG|4DUST|5CDMG|67LIT|9RCR|aMLV
47	32111 24511	   	245.99	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD	16CGEN|2CDMG|35VULN|4LHND|7ASPD|8RCR|9LIT|aMLV
48	25222 42321	   	245.89	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG	1SNITOX|2LHND|36VULN|4LIT|5RMIN|7CDMG|8RCR|9ASPD|aMLV
49	54222 42321	   	245.89	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG	1LHND|2SNITOX|36VULN|4LIT|5RMIN|7CDMG|8RCR|9ASPD|aMLV
50	25414 24842	   	245.85	DCR|1LIT|1VULN|1MLV|1DMG|1AART|1CDMG	1SNITOX|2LHND|3MBVNT|4MLV|5LIT|6RCR|7DMG|8CDMG|9VULN|aAART
51	45333 23621	   	245.47	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BEXP|2ASPD|3LHND|4MLV|58LIT|6DMG|7RMIN|9VULN|aRCR
52	45333 31241	   	245.47	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BEXP|2ASPD|3LHND|4MLV|59LIT|6VULN|7RMIN|8DMG|aRCR
53	52432 33241	   	245.47	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1LHND|2BEXP|3CGEN|4MLV|59LIT|6VULN|7ASPD|8DMG|aRCR
54	31113 21621	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1CGEN|2ASPD|3FEWX|4DUR|58LIT|6DMG|7MLV|9VULN|aRCR
55	31413 21141	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1CGEN|2ASPD|3VULN|4DUR|59LIT|6DMG|7MLV|8BEXP|aRCR
56	31413 21631	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1CGEN|2ASPD|3VULN|4DUR|58LIT|6DMG|7MLV|9LWND|aRCR
57	31413 22541	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1CGEN|2ASPD|3VULN|4DUR|58LIT|6DMG|7LHND|9MLV|aRCR
58	31633 21621	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1CGEN|2ASPD|3DUR|4LWND|58LIT|6DMG|7MLV|9VULN|aRCR
59	34132 33241	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1CGEN|2BEXP|3DUST|4MLV|59LIT|6VULN|7ASPD|8DMG|aRCR
60	43132 33241	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BEXP|2CGEN|3DUST|4MLV|59LIT|6VULN|7ASPD|8DMG|aRCR
61	45213 21621	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1BEXP|2ASPD|3CGEN|4DUR|58LIT|6DMG|7MLV|9VULN|aRCR
62	55213 21621	   	245.37	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1LHND|2ASPD|3CGEN|4DUR|58LIT|6DMG|7MLV|9VULN|aRCR
63	31413 21614	   	245.27	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1CGEN|2ASPD|3VULN|4DUR|58LIT|6DMG|7MLV|9ERES|aRCR
64	55333 16321	   	245.16	DCR|2LIT|1VULN|1MLV|2ASPD	138LHND|28ASPD|4DUST|5MLV|6RCR|78LIT|8BPWR|9VULN|aRMIN
65	55333 16322	   	245.16	DCR|2LIT|1VULN|1MLV|2ASPD	138LHND|28ASPD|4DUST|5MLV|6RCR|78LIT|8BPWR|9VULN|aLWND
66	21116 26252	   	245.16	DCR|2LIT|3VULN|1ASPD	16SNITOX|2AART|3TLV|4ASPD|567VULN|6BPWR|8RCR|9aLIT
67	55333 16312	   	245.06	DCR|2LIT|1VULN|1MLV|2ASPD	138LHND|28ASPD|4DUST|5MLV|6RCR|78LIT|8BPWR|9ERES|aVULN
68	22233 81375	   	244.72	DCR|2LIT|2VULN|1MLV|1SELL	1SNITOX|2FEWX|39VULN|4MBVNT|5SELL|6RCR|7MLV|8aLIT
69	31362 24452	 * 	244.70	DCR|1LIT|2VULN|1MLV|2ASPD	1CGEN|26ASPD|3RMIN|4LIT|5MBVNT|7aVULN|8RCR|9MLV
70	33112 17838	   	244.70	DCR|1LIT|2VULN|1MLV|2ASPD	1CGEN|2AART|37VULN|4MBVNT|59ASPD|6MLV|8RCR|aLIT
71	32513 31315	   	244.58	DCR|2LIT|2DMG|1MLV|1ASPD|1CDMG|1SELL	18CGEN|2CDMG|38DMG|4RPLT|5MLV|6ASPD|78LIT|8BPWR|9SELL|aRCR
72	25414 28313	   	244.13	DCR|3VULN|1LIT|1MLV	1SNITOX|2LHND|3MBVNT|4MLV|5LIT|6RCR|7ERES|89aVULN
