0	Index      	 *	Score 	Summary	Detail	
1	12116 33521	 * 	321.71	DCR|2LIT|2MLV|2VULN|2DMG|1ASPD	1aVULN|2ASPD|3aFEWX|47DMG|59MLV|6aLIT|8RCR|aBPWR
39	41246 13131	   	296.97	DCR|3LIT|3VULN|2ASPD|1DMG	136LIT|239VULN|39BPWR|4LWND|59ERES|7RCR|89ASPD|aDMG
40	41256 13131	   	296.97	DCR|3LIT|3VULN|2ASPD|1DMG	136LIT|239VULN|39BPWR|4FEWX|59ERES|7RCR|89ASPD|aDMG
41	41226 13131	   	296.87	DCR|3LIT|3VULN|2ASPD|1DMG	136LIT|239VULN|39BPWR|4DUR|59ERES|7RCR|89ASPD|aDMG
42	41221 13236	   	296.45	DCR|3LIT|3VULN|1MLV|1ASPD	136LIT|238VULN|3BPWR|4DUR|5RMIN|7RCR|9ASPD|aMLV
43	41246 13133	 * 	296.07	DCR|3LIT|4VULN|2ASPD	136LIT|239aVULN|39BPWR|4LWND|59ERES|7RCR|89ASPD
44	41256 13133	   	296.07	DCR|3LIT|4VULN|2ASPD	136LIT|239aVULN|39BPWR|4FEWX|59ERES|7RCR|89ASPD
45	41226 13133	   	295.97	DCR|3LIT|4VULN|2ASPD	136LIT|239aVULN|39BPWR|4DUR|59ERES|7RCR|89ASPD
46	11122 16534	   	294.95	DCR|2LIT|2MLV|3VULN	123VULN|4RMIN|5aLIT|6ZMB|79MLV|8RCR
47	11323 62121	 * 	294.90	ACR|2LIT|3VULN|2DMG|1MLV|1AART	127VULN|3LWND|4RCR|57DMG|67LIT|7BPWR|8LEGI|9MLV|aAART
48	41241 13153	   	294.47	DCR|3LIT|2VULN|1MLV|1DMG|1ASPD	136LIT|23VULN|3BPWR|4LWND|5RMIN|7RCR|8ASPD|9DMG|aMLV
49	41221 13153	   	294.37	DCR|3LIT|2VULN|1MLV|1DMG|1ASPD	136LIT|23VULN|3BPWR|4DUR|5RMIN|7RCR|8ASPD|9DMG|aMLV
50	41225 13153	   	294.37	DCR|3LIT|2VULN|1MLV|1DMG|1ASPD	136LIT|23VULN|3BPWR|4DUR|5CGEN|7RCR|8ASPD|9DMG|aMLV
51	41226 13153	   	294.27	DCR|3LIT|2VULN|1MLV|1DMG|1ASPD	136LIT|23VULN|3BPWR|4DUR|5ERES|7RCR|8ASPD|9DMG|aMLV
52	41336 51331	 * 	294.21	ACR|3LIT|2MLV|3VULN|1CDMG	167LIT|28aVULN|3CDMG|46MLV|5RCR|6BPWR|9LWND
53	41336 51321	   	294.06	ACR|3LIT|2MLV|3VULN|1CDMG	167LIT|28aVULN|3CDMG|46MLV|5RCR|6BPWR|9DUST
54	12133 26112	   	294.00	DCR|4VULN|1LIT|3ASPD|1MLV	1479VULN|279ASPD|3FEWX|5MLV|679LWND|79BPWR|8RCR|aLIT
55	12433 26112	   	294.00	DCR|4VULN|1LIT|3ASPD|1MLV	1379VULN|279ASPD|4FEWX|5MLV|679LWND|79BPWR|8RCR|aLIT
56	41265 31133	   	292.92	DCR|2LIT|4VULN|1MLV|1ASPD	13LIT|2369VULN|3BPWR|4FLTHEA|5DUR|7ASPD|8MLV|aRCR
57	41266 31133	   	292.92	DCR|2LIT|4VULN|1MLV|1ASPD	13LIT|2369VULN|3BPWR|4FLTHEA|5DUST|7ASPD|8MLV|aRCR
58	44113 32531	   	292.82	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG|1SELL	1aLIT|2SELL|3MLV|4aFEWX|56DMG|7CDMG|8RCR|9aVULN|aBPWR
59	41215 31133	   	292.82	DCR|2LIT|4VULN|1MLV|1ASPD	13LIT|2369VULN|3BPWR|4BASICY|5DUR|7ASPD|8MLV|aRCR
60	11323 62122	   	292.31	ACR|2LIT|3VULN|2DMG|1MLV|1ASPD	127VULN|3LWND|4RCR|57DMG|67LIT|7BPWR|8LEGI|9MLV|aASPD
61	41216 31134	 * 	291.98	ACR|2LIT|4VULN|1MLV|1DMG|1ASPD	13LIT|2369VULN|3BPWR|4BASICY|5RCR|7ASPD|8MLV|aDMG
