0	Index      	 *	Score 	Summary	Detail	
1	61611 14212	 * 	304.02	DCR|3LIT|4VULN|2DMG	178LIT|247aVULN|3LEGI|57DMG|6RMIN|7BPWR|9RCR
15	61411 14212	   	284.96	DCR|3LIT|3VULN|2DMG	178LIT|24aVULN|37LHND|57DMG|6RMIN|7BPWR|9RCR
16	61511 14212	   	284.96	DCR|3LIT|3VULN|2DMG	178LIT|24aVULN|37LWND|57DMG|6RMIN|7BPWR|9RCR
17	61611 14211	   	284.86	DCR|3LIT|3VULN|2DMG	178LIT|247VULN|3LEGI|57DMG|6RMIN|7BPWR|9RCR|aRCVC
18	61611 14213	   	284.86	DCR|3LIT|3VULN|2DMG	178LIT|247VULN|3LEGI|57DMG|6RMIN|7BPWR|9RCR|aRPLT
19	61311 14212	   	284.76	DCR|3LIT|3VULN|2DMG|2DUR	178LIT|24aVULN|37DUR|57DMG|6RMIN|7BPWR|9RCR
20	44212 62231	   	283.74	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG|1ASPD	16DMG|2LIT|3CDMG|46VULN|5AART|6BPWR|7LHND|8RCR|9ASPD|aMLV
21	64221 12521	   	282.35	ACR|2LIT|3VULN|2DMG|1MLV	17LIT|2RCR|3FEWX|4RPLT|578VULN|67DMG|7BPWR|9MLV|aBEXP
22	64121 12521	   	282.25	ACR|2LIT|3VULN|2DMG|1MLV	17LIT|2RCR|3RPLT|4DUST|578VULN|67DMG|7BPWR|9MLV|aBEXP
23	64221 12522	   	282.25	ACR|2LIT|3VULN|2DMG|1MLV	17LIT|2RCR|3FEWX|4RPLT|578VULN|67DMG|7BPWR|9MLV|aCANARM
24	64321 12521	   	282.25	ACR|2LIT|3VULN|2DMG|1MLV	17LIT|2RCR|3DUR|4RPLT|578VULN|67DMG|7BPWR|9MLV|aBEXP
25	64131 12521	   	282.25	ACR|2LIT|3VULN|2DMG|1MLV	17LIT|2RCR|3RPLT|4LEGI|578VULN|67DMG|7BPWR|9MLV|aBEXP
26	64121 12522	   	282.15	ACR|2LIT|3VULN|2DMG|1MLV	17LIT|2RCR|3RPLT|4DUST|578VULN|67DMG|7BPWR|9MLV|aCANARM
27	64321 12522	   	282.15	ACR|2LIT|3VULN|2DMG|1MLV	17LIT|2RCR|3DUR|4RPLT|578VULN|67DMG|7BPWR|9MLV|aCANARM
28	64131 12522	   	282.15	ACR|2LIT|3VULN|2DMG|1MLV	17LIT|2RCR|3RPLT|4LEGI|578VULN|67DMG|7BPWR|9MLV|aCANARM
29	62141 24212	   	281.02	DCR|3LIT|3VULN|1DMG|1ASPD	178LIT|2RMIN|37aVULN|4ASPD|5DMG|67CGEN|7BPWR|9RCR
30	61134 12314	   	279.41	DCR|2LIT|3VULN|2DMG|1CDMG	17LIT|279VULN|3RPLT|4DUR|5FEWX|67DMG|7BPWR|8CDMG|aRCR
31	61136 12314	   	279.31	DCR|2LIT|3VULN|2DMG|1CDMG	17LIT|279VULN|3RPLT|4DUR|5DUST|67DMG|7BPWR|8CDMG|aRCR
32	44212 62223	   	279.31	DCR|4VULN|1LIT|2DMG|1CDMG	16DMG|2LIT|3CDMG|469aVULN|5AART|6BPWR|7LHND|8RCR
33	44153 13111	   	278.31	DCR|1LIT|2VULN|2DMG|1MLV|2CDMG	1aDMG|2LIT|3aVULN|4RMIN|5LHND|6BELT|7RCR|8MLV|9aCDMG|aBPWR
34	62121 34212	   	277.60	DCR|3LIT|3VULN|1DMG|2ZMB	178LIT|2RMIN|37aVULN|4CGEN|5DMG|67ZMB|7BPWR|9RCR
35	64221 12161	   	277.51	ACR|3LIT|2VULN|2DMG|1MLV	17aLIT|2RCR|3FEWX|4RPLT|57VULN|67DMG|7BPWR|8CGEN|9MLV
36	64121 12161	   	277.41	ACR|3LIT|2VULN|2DMG|1MLV	17aLIT|2RCR|3RPLT|4DUST|57VULN|67DMG|7BPWR|8CGEN|9MLV
37	64131 12161	   	277.41	ACR|3LIT|2VULN|2DMG|1MLV	17aLIT|2RCR|3RPLT|4LEGI|57VULN|67DMG|7BPWR|8CGEN|9MLV
38	64321 12161	   	277.41	ACR|3LIT|2VULN|2DMG|1MLV	17aLIT|2RCR|3DUR|4RPLT|57VULN|67DMG|7BPWR|8CGEN|9MLV
39	64221 42311	 * 	276.52	ACR|2LIT|2MLV|3VULN|1CDMG	17LIT|2RCR|3FEWX|4RPLT|579VULN|67MLV|7BPWR|8CDMG|aLHND
40	64221 42312	   	276.52	ACR|2LIT|2MLV|3VULN|1CDMG	17LIT|2RCR|3FEWX|4RPLT|579VULN|67MLV|7BPWR|8CDMG|aCGEN
41	64121 42311	   	276.37	ACR|2LIT|2MLV|3VULN|1CDMG	17LIT|2RCR|3RPLT|4DUST|579VULN|67MLV|7BPWR|8CDMG|aLHND
42	64121 42312	   	276.37	ACR|2LIT|2MLV|3VULN|1CDMG	17LIT|2RCR|3RPLT|4DUST|579VULN|67MLV|7BPWR|8CDMG|aCGEN
43	24141 14212	   	276.27	DCR|3LIT|2VULN|2DMG|1ASPD	17ERES|278LIT|3aVULN|4ASPD|57DMG|6RMIN|7BPWR|9RCR
44	62211 23361	 * 	275.37	DCR|2LIT|2VULN|1FLTARM|1MLV|1SELL	15LIT|2RMIN|3SELL|47VULN|6ERES|8MLV|9FLTARM|aRCR
45	62261 33361	 * 	275.37	DCR|2LIT|2VULN|1FLTARM|1MLV|1SELL	15LIT|2RMIN|3SELL|45ERES|5BPWR|67VULN|8MLV|9FLTARM|aRCR
46	61211 61312	 * 	274.88	DCR|3VULN|1LIT|2DMG|1MLV	1LIT|248VULN|3FEWX|57DMG|6BELT|9MLV|aRCR
47	62161 24212	   	274.31	DCR|3LIT|3VULN|1DMG	178LIT|2RMIN|37aVULN|4ZMB|5DMG|67CGEN|7BPWR|9RCR
