0	Index      	 *	Score 	Summary	Detail	
1	23232 33466	 * 	251.38	ACR|DCR|2VULN|1DMG|1MLV|1DUR	1DUST|2ASPD|3LWND|4DMG|59RCR|6aVULN|7DUR|8MLV
35	16241 33332	 * 	223.26	DCR|2VULN|2DUR|1TLV|1AART|1CDMG|1SELL	18TSLFST|28VULN|3TLV|4CDMG|58DUR|6SELL|7AART|8BPWR|9RCR|aTBNT
36	16241 33335	 * 	223.26	DCR|2VULN|2DUR|1TLV|1AART|1CDMG|1SELL	18TSLFST|28VULN|3TLV|4CDMG|58DUR|6SELL|7AART|8BPWR|9RCR|aCANARM
37	62232 42141	 * 	222.81	DCR|DCR|2AART|1TLV|1SELL	1RPLT|2SELL|3TBNT|4FEWX|58AART|6RCVC|7aRCR|9TLV
38	62241 32141	 * 	222.81	DCR|DCR|2AART|1TLV|1SELL	1RPLT|2SELL|3TBNT|4RCVC|58AART|6BEXP|7aRCR|9TLV
39	16331 35433	 * 	222.70	DCR|DCR|1VULN|1DMG	1TSLFST|2VULN|3BOSS|4BELT|5MDPS|6ZMB|7DMG|8aRCR|9AEFRZ
40	62252 21141	 * 	222.61	DCR|DCR|2AART|1TLV|1SELL	1RPLT|2SELL|3TBNT|47DUST|58AART|6aRCR|9TLV
41	23232 34266	   	222.12	ACR|DCR|2VULN|1DMG	1DUST|2ASPD|3LWND|4DMG|59RCR|6aVULN|7CGEN|8BEXP
42	23232 35266	   	222.12	ACR|DCR|2VULN|1DMG	1DUST|2ASPD|3LWND|4DMG|59RCR|6aVULN|7BEXP|8RMIN
43	23332 34266	   	222.12	ACR|DCR|2VULN|1DMG	1DUST|2ASPD|3FEWX|4DMG|59RCR|6aVULN|7CGEN|8BEXP
44	23332 35266	   	222.12	ACR|DCR|2VULN|1DMG	1DUST|2ASPD|3FEWX|4DMG|59RCR|6aVULN|7BEXP|8RMIN
45	23232 34166	   	222.02	ACR|DCR|2VULN|1DMG	1DUST|2ASPD|3LWND|4DMG|59RCR|6aVULN|7CGEN|8AETHUN
46	23332 31266	   	222.02	ACR|DCR|2VULN|1DMG	1DUST|2ASPD|3FEWX|4DMG|59RCR|6aVULN|7AETHUN|8RMIN
47	23332 34166	   	222.02	ACR|DCR|2VULN|1DMG	1DUST|2ASPD|3FEWX|4DMG|59RCR|6aVULN|7CGEN|8AETHUN
