0	Index      	 *	Score 	Summary	Detail	
1	13365 22335	 * 	288.96	DCR|DCR|2VULN|1TLV|1DMG|1AART	1LWND|2DMG|36VULN|4MDPS|5RMIN|7AART|8aRCR|9TLV
14	13461 23152	   	269.69	DCR|DCR|2VULN|1DMG|1DUR	1LWND|2DMG|3CGEN|4ASPD|5AEFRZ|68VULN|7DUR|9aRCR
15	13523 23152	   	269.69	DCR|DCR|2VULN|1DMG|1DUR	1LWND|2DMG|3ASPD|4RCVC|5ERES|68VULN|7DUR|9aRCR
16	13535 13152	   	269.69	DCR|DCR|2VULN|1DMG|1DUR	1LWND|2DMG|3ASPD|48VULN|5RCVC|6ERES|7DUR|9aRCR
17	12365 22335	   	268.79	DCR|DCR|2VULN|1TLV|1AART|1NUKE	1LWND|2NUKE|36VULN|4MDPS|5RMIN|7AART|8aRCR|9TLV
18	13313 41152	   	266.79	DCR|DCR|2VULN|2DMG|1AAC	1LWND|27DMG|38VULN|4LHND|5CGEN|6AAC|9aRCR
19	13315 41152	   	266.69	DCR|DCR|2VULN|2DMG|1AAC	1LWND|27DMG|38VULN|4LHND|5ERES|6AAC|9aRCR
20	13312 56262	   	262.75	DCR|DCR|2VULN|1DMG|1DUR|1AAC	1LWND|2DMG|37VULN|4LHND|5LEGI|6AAC|8aRCR|9DUR
21	12411 23152	   	262.65	DCR|DCR|2VULN|1DMG|1DUR|1NUKE	1LWND|2NUKE|3CGEN|4DMG|5AEFRZ|68VULN|7DUR|9aRCR
22	13365 22325	   	262.65	DCR|DCR|2VULN|1DMG|1AART	1LWND|2DMG|36VULN|4MDPS|5RMIN|7AART|8aRCR|9ERES
23	13411 23152	   	262.65	DCR|DCR|2VULN|1DMG|1DUR|1NUKE	1LWND|2DMG|3CGEN|4NUKE|5AEFRZ|68VULN|7DUR|9aRCR
24	36411 23152	   	262.65	DCR|DCR|2VULN|1DMG|1DUR|1AAC	1ERES|2AAC|3LWND|4DMG|5AEFRZ|68VULN|7DUR|9aRCR
25	21216 33315	 * 	262.55	DCR|DCR|1VULN|2DUR|1DMG|1AART	12DUR|3MDPS|4AEFRZ|5BEXP|6aRCR|7AART|8DMG|9VULN
26	13322 53252	   	261.18	DCR|DCR|2DMG|1VULN|1DUR	17LWND|27DMG|3VULN|4DMSP|5ASPD|67AME|7BPWR|8aRCR|9DUR
27	13322 33452	   	261.18	DCR|DCR|2DMG|1VULN|1DUR	1LWND|26DMG|3VULN|4DMSP|5ASPD|7DUR|8CGEN|9aRCR
28	13322 33162	   	261.08	DCR|DCR|2DMG|1VULN|1DUR	1LWND|26DMG|3VULN|4DMSP|5ASPD|7DUR|8MDPS|9aRCR
29	13322 33652	   	261.08	DCR|DCR|2DMG|1VULN|1DUR	1LWND|26DMG|3VULN|4DMSP|5ASPD|7DUR|8ERES|9aRCR
30	13322 36252	   	261.08	DCR|DCR|2DMG|1VULN|1DUR	1LWND|26DMG|3VULN|4DMSP|5ASPD|7ERES|8aRCR|9DUR
31	13345 33162	   	261.08	DCR|DCR|2DMG|1VULN|1DUR	1LWND|26DMG|3VULN|4ASPD|5RCVC|7DUR|8MDPS|9aRCR
32	13535 33162	   	261.08	DCR|DCR|2DMG|1VULN|1DUR	1LWND|26DMG|3ASPD|4VULN|5RCVC|7DUR|8MDPS|9aRCR
33	13342 52252	   	260.98	DCR|DCR|2DMG|1VULN|1DUR	1LWND|25DMG|3VULN|4ASPD|67AME|8aRCR|9DUR
34	13532 52252	   	260.98	DCR|DCR|2DMG|1VULN|1DUR	1LWND|25DMG|3ASPD|4VULN|67AME|8aRCR|9DUR
