0	Index      	 *	Score 	Summary	Detail	
1	36413 22251	 * 	255.14	DCR|DCR|1VULN|2DUR|1TLV	1ERES|2LHND|38DUR|4LWND|5BOSS|6TLV|7aRCR|9VULN
13	23235 27161	   	238.83	DCR|DCR|1VULN|1MLV|1AART	1DUST|2AART|3DMSP|4MBVNT|5MLV|6VULN|7aRCR|8TBNT|9ASPD
14	13652 22213	 * 	236.55	DCR|DCR|1VULN|1DMG|1AART	1FEWX|2AART|3RAT|4DMG|5AME|6LIT|7RCVC|8aRCR|9VULN
15	13652 23213	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1FEWX|2AART|3RAT|4DMG|5AME|6LIT|7AEFBLL|8aRCR|9VULN
16	13652 25213	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1FEWX|2AART|3RAT|4DMG|5AME|6LIT|7AEBURN|8aRCR|9VULN
17	23652 22213	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1DUST|2AART|3RAT|4DMG|5AME|6LIT|7RCVC|8aRCR|9VULN
18	23652 23213	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1DUST|2AART|3RAT|4DMG|5AME|6LIT|7AEFBLL|8aRCR|9VULN
19	23652 25213	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1DUST|2AART|3RAT|4DMG|5AME|6LIT|7AEBURN|8aRCR|9VULN
20	23234 28731	   	231.89	DCR|DCR|1VULN|1MLV|1AART|1AAC	1DUST|2AART|3DMSP|4MBVNT|5AAC|6VULN|7MLV|8aRCR|9BBNT
21	45411 11121	   	229.94	DCR|DCR|1VULN|1AART|1CDMG	1RPLT|2CDMG|3AART|4AEBURN|5VULN|6TBNT|7ERES|8aRCR|9LWND
22	45432 21121	   	229.94	DCR|DCR|1VULN|1AART|1CDMG	1RPLT|2CDMG|3AART|4BBNT|5AEPOI|6VULN|7ERES|8aRCR|9LWND
23	36533 22351	   	229.04	DCR|DCR|1VULN|1TLV	1ERES|28LHND|3LIT|4LWND|5FEWX|6TLV|7aRCR|9VULN
24	13542 22333	 * 	229.01	DCR|2VULN|2DMG|2CDMG|1DUR|1AART	1FEWX|2AART|39CDMG|4LHND|5DUR|69VULN|7VENFST|89DMG|9BPWR|aRCR
25	13543 63333	   	229.01	DCR|2VULN|2DMG|2CDMG|1DUR|1AART	1FEWX|2AART|39CDMG|4LHND|5AIRHEA|69VULN|7DUR|89DMG|9BPWR|aRCR
26	15114 22311	   	228.94	DCR|DCR|1VULN|1TLV	1FEWX|2ERES|3VULN|48LHND|5BOSS|6TLV|7aRCR|9DUST
27	25114 22321	   	228.94	DCR|DCR|1VULN|1TLV	1DUST|2ERES|3VULN|48LHND|5BOSS|6TLV|7aRCR|9BEXP
28	32344 22311	   	228.94	DCR|DCR|1VULN|1TLV	1ERES|2DMSP|3VULN|4MDPS|59BOSS|6TLV|7aRCR|8LHND
29	36134 22321	   	228.94	DCR|DCR|1VULN|1TLV	1ERES|28LHND|3VULN|4DUST|5BOSS|6TLV|7aRCR|9BEXP
30	36535 22311	   	228.94	DCR|DCR|1VULN|1TLV	1ERES|28LHND|3LIT|4LWND|5VULN|6TLV|7aRCR|9DUST
31	36563 22311	   	228.94	DCR|DCR|1VULN|1TLV	1ERES|28LHND|3LIT|4VULN|5FEWX|6TLV|7aRCR|9DUST
32	32433 12351	   	228.84	DCR|DCR|1VULN|1TLV	13ERES|2DMSP|4BOSS|5BEXP|6VULN|7aRCR|8MDPS|9TLV
33	32463 12351	   	228.84	DCR|DCR|1VULN|1TLV	13ERES|2DMSP|4LIT|5BEXP|6VULN|7aRCR|8MDPS|9TLV
34	13531 32634	   	227.15	DCR|3VULN|1DMG|1DUR|1AART|1CDMG	1FEWX|2AART|3CDMG|4RPLT|5DMG|678VULN|9RCR|aDUR
35	23531 32634	   	227.05	DCR|3VULN|1DMG|1DUR|1AART|1CDMG	1DUST|2AART|3CDMG|4RPLT|5DMG|678VULN|9RCR|aDUR
36	23256 33161	   	227.05	DCR|3VULN|1DMG|1DUR|1AART|1CDMG	1DUST|2AART|3DMSP|4DUR|569VULN|7CDMG|8RCR|aDMG
37	11244 22211	   	226.20	DCR|DCR|1TLV|1MLV|1DUR	12FEWX|2BPWR|3MLV|4MDPS|59BOSS|6TLV|7aRCR|8DUR
38	12244 22211	   	226.20	DCR|DCR|1TLV|1MLV|1DUR	1FEWX|2RCVC|3MLV|4MDPS|59BOSS|6TLV|7aRCR|8DUR
39	53244 22211	   	226.20	DCR|DCR|1TLV|1MLV|1DUR	1RCVC|2LHND|3MLV|4MDPS|59BOSS|6TLV|7aRCR|8DUR
40	22244 22211	   	226.10	DCR|DCR|1TLV|1MLV|1DUR	1DUST|2RCVC|3MLV|4MDPS|59BOSS|6TLV|7aRCR|8DUR
41	34244 22211	   	226.10	DCR|DCR|1TLV|1MLV|1DUR	1ERES|2RMIN|3MLV|4MDPS|59BOSS|6TLV|7aRCR|8DUR
42	21244 22211	   	226.00	DCR|DCR|1TLV|1MLV|1DUR	12DUST|2BPWR|3MLV|4MDPS|59BOSS|6TLV|7aRCR|8DUR
