0	Index      	 *	Score 	Summary	Detail	
1	21226 62336	 * 	277.28	DCR|DCR|3VULN|1TLV	18AEWIND|28MULHEA|3LHND|4BOSS|5TLV|689VULN|7aRCR|8BPWR
18	21222 62536	   	258.19	DCR|DCR|2VULN|1MLV|1DUR	1AEWIND|2MULHEA|3LHND|4BOSS|5MLV|69VULN|7aRCR|8DUR
19	21122 55136	   	258.09	DCR|DCR|2VULN|1MLV|1DUR	1AEWIND|2MULHEA|39VULN|4BOSS|5MLV|6DUR|7LEGI|8aRCR
20	13564 33122	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1TLV|2AEFBLL|3CDMG|4TBNT|5DUR|6VULN|7aRCR|8BELT|9AEWIND
21	13564 33132	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1TLV|2AEFBLL|3CDMG|4TBNT|5DUR|6VULN|7aRCR|8BELT|9AEBURN
22	12231 13345	 * 	256.04	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2VULN|3FEWX|4LWND|5ASPD|6BOSS|7BBNT|8aRCR|9DMG
23	12532 13345	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2VULN|3ASPD|4AETHUN|5FEWX|6BOSS|7TBNT|8aRCR|9DMG
24	12353 62236	   	255.24	DCR|DCR|2VULN|1TLV	1TLV|29VULN|3LHND|4BOSS|5AEWIND|6MGNSTR|7aRCR|8BEXP
25	12253 12436	   	255.14	DCR|DCR|2VULN|1TLV	1TLV|29VULN|3FEWX|4BOSS|5AEWIND|6FRZFST|7aRCR|8LHND
26	12253 12536	   	255.14	DCR|DCR|2VULN|1TLV	1TLV|29VULN|3FEWX|4BOSS|5AEWIND|6FRZFST|7aRCR|8LWND
27	12353 12236	   	255.14	DCR|DCR|2VULN|1TLV	1TLV|29VULN|3LHND|4BOSS|5AEWIND|6FRZFST|7aRCR|8BEXP
28	21226 62236	   	255.14	DCR|DCR|2VULN|1TLV	1AEWIND|2MULHEA|3LHND|4BOSS|5TLV|69VULN|7aRCR|8BEXP
29	12225 32415	   	255.04	DCR|DCR|2VULN|1TLV	1TLV|26VULN|3FEWX|4BBNT|5RMIN|7TBNT|8aRCR|9MBVNT
30	12226 32415	   	255.04	DCR|DCR|2VULN|1TLV	1TLV|26VULN|3FEWX|4BBNT|5CGEN|7TBNT|8aRCR|9MBVNT
31	12253 15136	   	255.04	DCR|DCR|2VULN|1TLV	1TLV|29VULN|3FEWX|4BOSS|5AEWIND|6FRZFST|7LEGI|8aRCR
32	12325 32415	   	255.04	DCR|DCR|2VULN|1TLV	1TLV|26VULN|3LHND|4BBNT|5RMIN|7TBNT|8aRCR|9MBVNT
33	12326 32415	   	255.04	DCR|DCR|2VULN|1TLV	1TLV|26VULN|3LHND|4BBNT|5CGEN|7TBNT|8aRCR|9MBVNT
34	12224 32415	   	254.94	DCR|DCR|2VULN|1TLV	1TLV|26VULN|3FEWX|4BBNT|5ERES|7TBNT|8aRCR|9MBVNT
35	12324 32415	   	254.94	DCR|DCR|2VULN|1TLV	1TLV|26VULN|3LHND|4BBNT|5ERES|7TBNT|8aRCR|9MBVNT
36	21126 52336	   	254.94	DCR|DCR|2VULN|2DUR	18AEWIND|28MULHEA|39VULN|4BOSS|5AME|68DUR|7aRCR|8BPWR
37	11126 51333	 * 	253.90	ACR|DCR|3VULN|2TLV	1aTLV|26RCR|3aLWND|4LSRICY|5MDPS|7ZMB|89aVULN|aBPWR
38	11321 55262	 * 	251.82	ACR|DCR|2VULN|2TLV|1DMG	1aTLV|29RCR|3BELT|48VULN|5RPLT|6DMG|7ZMB
39	11341 35532	   	250.48	ACR|DCR|2VULN|1TLV|1MLV|1CDMG	1TLV|2aRCR|3BELT|4CDMG|5MLV|68ERES|79VULN
40	11321 55162	 * 	249.86	ACR|DCR|3TLV|2DMG|1VULN	18aTLV|29RCR|3BELT|4VULN|5RPLT|68DMG|78ZMB|8BPWR
41	12311 13535	   	249.63	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1TLV|2VULN|3LHND|4DUR|5ASPD|6BOSS|7BBNT|8AAC|9aRCR
