0	Index      	 *	Score 	Summary	Detail	
1	55321 12233	 * 	245.44	DCR|DCR|1VULN|1DMG|1MLV	1ZMB|2MLV|3LIT|4MSLFST|5DMG|6VULN|7LHND|8ASPD|9aRCR
14	12613 35243	   	228.94	DCR|DCR|2VULN	1TBNT|2LIT|36VULN|4LHND|5LWND|7AME|8FEWX|9aRCR
15	63225 33116	   	228.88	DCR|3VULN|2TLV|2DUR	17TLV|239BEXP|47DUR|567VULN|7BPWR|8ERES|aRCR
16	12611 35243	   	228.84	DCR|DCR|2VULN	1TBNT|2LIT|35VULN|4LHND|6AME|7DUST|8FEWX|9aRCR
17	12612 21443	   	228.84	DCR|DCR|2VULN	1TBNT|2LIT|38VULN|4LHND|5AME|6DUST|7FEWX|9aRCR
18	12612 23443	   	228.84	DCR|DCR|2VULN	1TBNT|2LIT|38VULN|4LHND|5AME|6DUST|7BEXP|9aRCR
19	34144 61223	 * 	228.74	DCR|DCR|1VULN|1TLV	1LEGI|2FEWX|3TLV|4MBVNT|5VULN|6aRCR|7BBNT|8BLASTR|9RAT
20	34144 61323	   	228.74	DCR|DCR|1VULN|1TLV	1LEGI|2FEWX|3TLV|4MBVNT|5VULN|6aRCR|7BBNT|8RAT|9FRZFST
21	33142 11462	   	228.70	DCR|DCR|1VULN|1TLV|1SELL	1LEGI|2CGEN|3SELL|48LWND|5DLOT|69RCR|7TLV|aVULN
22	33132 11563	   	228.60	DCR|DCR|2VULN|1SELL	1LEGI|2CGEN|3SELL|48VULN|5DLOT|69RCR|7AME|aFEWX
23	33132 11564	   	228.60	DCR|DCR|2VULN|1SELL	1LEGI|2aCGEN|3SELL|48VULN|5DLOT|69RCR|7AME
24	33122 11362	   	228.60	DCR|DCR|1VULN|1TLV|1SELL	1LEGI|2CGEN|3SELL|4DUST|5DLOT|69RCR|7TLV|8DMSP|aVULN
25	33132 11561	   	228.50	DCR|DCR|2VULN|1SELL|1MSE	1LEGI|2CGEN|3SELL|48VULN|5DLOT|69RCR|7AME|aMSE
26	33132 11562	   	228.50	DCR|DCR|2VULN|1SELL	1LEGI|2CGEN|3SELL|48VULN|5DLOT|69RCR|7AME|aAEFBLL
27	33132 11565	   	228.50	DCR|DCR|2VULN|1SELL	1LEGI|2CGEN|3SELL|48VULN|5DLOT|69RCR|7AME|aDUST
28	33132 11566	   	228.50	DCR|DCR|2VULN|1SELL	1LEGI|2CGEN|3SELL|48VULN|5DLOT|69RCR|7AME|aBBNT
29	33122 11162	   	228.50	DCR|DCR|1VULN|1TLV|1SELL	1LEGI|2CGEN|3SELL|48DUST|5DLOT|69RCR|7TLV|aVULN
30	62433 13422	 * 	226.95	DCR|DCR|3TLV|1AART|1SELL	147TLV|247ERES|3AART|47BPWR|57CANSTR|6aRCR|8MDPS|9SELL
31	11523 35532	   	226.10	DCR|DCR|1TLV|1MLV|1CDMG	1TBNT|27RAT|3MLV|4TLV|5BELT|6CANTOX|8CDMG|9aRCR
32	11523 33532	   	226.00	DCR|DCR|1TLV|1MLV|1CDMG	1TBNT|2RAT|3MLV|4TLV|5BELT|6CANTOX|7AEFRZ|8CDMG|9aRCR
33	45132 15232	   	223.18	DCR|DCR|1VULN|1DUR|1SELL	1LWND|2RMIN|3SELL|4VULN|5DLOT|69RCR|7ZMB|8ASPD|aDUR
34	33132 15232	   	223.08	DCR|DCR|1VULN|1DUR|1SELL	1LEGI|2CGEN|3SELL|4VULN|5DLOT|69RCR|7ZMB|8ASPD|aDUR
35	31162 15232	   	222.98	DCR|DCR|1VULN|1DUR|1SELL	1LEGI|2ERES|3SELL|4VULN|5DLOT|69RCR|7ZMB|8ASPD|aDUR
36	62634 21223	 * 	222.91	DCR|DCR|1FLTARM|1TLV|1SELL	1TLV|2ERES|3SELL|4CGEN|5RPLT|6aRCR|7BOSS|8FLTARM|9LHND
37	52316 12433	   	222.80	DCR|DCR|1VULN|1DMG|1AAC	1ZMB|2ERES|3LIT|4LHND|5VULN|6aRCR|7DMG|8AAC|9SPLARM
38	66313 42333	   	222.64	DCR|3VULN|2TLV|1DMG	17TLV|2MDPS|37AME|4DMG|5FEWX|678VULN|7BPWR|9RCR|aDMSP
39	66313 42332	   	222.54	DCR|3VULN|2TLV|1DMG	17TLV|2MDPS|37aAME|4DMG|5FEWX|678VULN|7BPWR|9RCR
40	63131 15431	 * 	222.03	DCR|2VULN|2TLV|2MLV|1CDMG|1SELL	1aTLV|2aBEXP|3SELL|46VULN|5BELT|7RCR|8CDMG|9aMLV|aBPWR
41	33335 36121	   	221.49	DCR|3VULN|1TLV|1MLV|1AART	1LEGI|2CGEN|3MLV|4TLV|568VULN|7RCVC|9AART|aRCR
42	31335 36121	   	221.39	DCR|3VULN|1TLV|1MLV|1AART	1LEGI|2ERES|3MLV|4TLV|568VULN|7RCVC|9AART|aRCR
43	64225 31113	 * 	221.30	DCR|2VULN|2DMG|1TLV|1AART	1TLV|2CANTOX|38DMG|4ERES|5FEWX|6RCR|7AART|9aVULN
44	65225 31113	   	221.30	DCR|2VULN|2DMG|1TLV|1AART	1TLV|2BASHEA|38DMG|4ERES|5FEWX|6RCR|7AART|9aVULN
45	11223 33532	 * 	220.73	DCR|DCR|2TLV|1CDMG	1TBNT|2RAT|3AME|47TLV|5BELT|6CANTOX|8CDMG|9aRCR
46	62431 25123	   	220.19	DCR|2VULN|2TLV|2DUR|1AART	14TLV|24ERES|3AART|4BPWR|57DUR|6FEWX|89VULN|aRCR
47	53225 31334	   	219.64	DCR|3VULN|1TLV|1DUR|1CDMG	1ZMB|23BEXP|4DUR|568VULN|7TLV|9CDMG|aRCR
48	53325 31334	   	219.64	DCR|3VULN|1TLV|1DUR|1CDMG	1ZMB|2BEXP|3RCVC|4DUR|568VULN|7TLV|9CDMG|aRCR
49	62316 11211	   	219.54	DCR|3VULN|1TLV|1CDMG|1DUR	1TLV|2ERES|3LIT|4LHND|59aVULN|6RCR|7DUR|8CDMG
50	65233 23633	 * 	219.32	DCR|1VULN|2DUR|1TLV|1DMG|1MLV|1CDMG	1TLV|2BASHEA|3DMG|49DUR|5CDMG|6BEXP|7VULN|8MLV|aRCR
51	31325 31536	   	219.22	DCR|2VULN|1TLV|1DMG|1MLV|2ASPD	1LEGI|2ERES|3MLV|4aASPD|56VULN|7TLV|8DMG|9RCR
52	31335 32533	   	219.22	DCR|2VULN|1TLV|1DMG|1MLV|1AART	1LEGI|2ERES|3MLV|4TLV|56VULN|7AME|8DMG|9RCR|aAART
53	33213 62636	   	218.99	DCR|DCR|1VULN|1MSLTOX	1LEGI|26CGEN|3BEXP|4BELT|5MDPS|7aRCR|8VULN|9MSLTOX
54	32235 33434	   	218.18	DCR|3VULN|2TLV|1MLV	1LEGI|27AEFBLL|39LHND|47TLV|567VULN|7BPWR|8MLV|aRCR
55	31335 32532	 * 	217.86	DCR|2VULN|2MLV|1TLV|1DMG	1LEGI|2ERES|3aMLV|4TLV|56VULN|7AME|8DMG|9RCR
56	62316 11213	   	217.46	DCR|2VULN|1TLV|1DMG|1CDMG|1DUR	1TLV|2ERES|3LIT|4LHND|59VULN|6RCR|7DUR|8CDMG|aDMG
57	24243 33233	   	217.36	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2CANTOX|3DMG|47VULN|5CDMG|6LHND|8TLV|9DUR|aRCR
58	24244 23233	   	217.36	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2CANTOX|3DMG|47VULN|5LHND|6CDMG|8TLV|9DUR|aRCR
59	25243 33233	   	217.36	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2BASHEA|3DMG|47VULN|5CDMG|6LHND|8TLV|9DUR|aRCR
60	25244 23233	   	217.36	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2BASHEA|3DMG|47VULN|5LHND|6CDMG|8TLV|9DUR|aRCR
61	65233 21353	   	217.20	DCR|2TLV|1VULN|1DMG|1MLV|1DUR|1CDMG	17TLV|2BASHEA|3DMG|4DUR|5CDMG|6BEXP|8MLV|9VULN|aRCR
62	65233 31353	   	217.20	DCR|2TLV|1VULN|1DMG|1MLV|1DUR|1CDMG	17TLV|2BASHEA|3DMG|4DUR|5CDMG|6LHND|8MLV|9VULN|aRCR
63	42165 33221	   	216.52	DCR|3VULN|2TLV|1AART	17LWND|248LHND|37TLV|567VULN|7BPWR|9AART|aRCR
64	12612 32243	   	216.39	DCR|DCR|1VULN|1DUR	1TBNT|26LIT|3VULN|4LHND|5AME|7DUR|8FEWX|9aRCR
65	12612 52243	   	216.39	DCR|DCR|1VULN|1DUR	1TBNT|2LIT|3VULN|46LHND|5AME|7DUR|8FEWX|9aRCR
66	12615 32243	   	216.39	DCR|DCR|1VULN|1DUR	1TBNT|2LIT|3VULN|4LHND|5RCVC|6AME|7DUR|8FEWX|9aRCR
67	12652 32343	   	216.39	DCR|DCR|1VULN|1DUR	1TBNT|2LIT|3VULN|4RCVC|5LWND|6AME|7DUR|8LHND|9aRCR
68	61225 33326	   	216.32	DCR|3VULN|2TLV|1DUR	17TLV|27AEPOI|3FEWX|4DUR|567VULN|7BPWR|8BEXP|9RPLT|aRCR
69	66144 22332	   	216.32	DCR|3VULN|2TLV|1AART	17TLV|2MDPS|3RCVC|4MBVNT|578VULN|67LHND|7BPWR|9RCR|aAART
70	61225 33114	   	216.22	DCR|3VULN|2TLV|1DUR	17TLV|27AEPOI|3FEWX|4DUR|567VULN|7BPWR|8ERES|9BEXP|aRCR
71	66244 22332	   	216.22	DCR|3VULN|2TLV|1AART	17TLV|2MDPS|3AEFBLL|4MBVNT|578VULN|67LHND|7BPWR|9RCR|aAART
72	12612 22443	   	216.19	DCR|DCR|1VULN|1DUR	1TBNT|2LIT|3VULN|4LHND|5AME|67DUST|8DUR|9aRCR
73	33535 31121	   	216.12	DCR|3VULN|2TLV|1AART	1LEGI|2CGEN|3AME|47TLV|568VULN|9AART|aRCR
74	61225 33124	   	216.12	DCR|3VULN|2TLV|1DUR	17TLV|27AEPOI|3FEWX|4DUR|567VULN|7BPWR|8ERES|9DUST|aRCR
75	62235 31121	   	216.12	DCR|3VULN|2TLV|1AART	17TLV|2ERES|3LHND|4AME|568VULN|9AART|aRCR
76	33132 15236	   	216.04	DCR|DCR|1VULN|2ASPD|1SELL	1LEGI|2CGEN|3SELL|4VULN|5DLOT|69RCR|7ZMB|8aASPD
77	31535 31121	   	216.02	DCR|3VULN|2TLV|1AART	1LEGI|2ERES|3AME|47TLV|568VULN|9AART|aRCR
78	31162 15236	   	215.94	DCR|DCR|1VULN|2ASPD|1SELL	1LEGI|2ERES|3SELL|4VULN|5DLOT|69RCR|7ZMB|8aASPD
