0	Index      	 *	Score 	Summary	Detail	
1	45431 32111	 * 	246.03	ACR|2VULN|1BASARM|2BEXP|1DMG|1AART|1CDMG	18VULN|2BASARM|3RCR|4AART|5RPLT|68DUST|78BEXP|8BPWR|9DMG|aCDMG
12	45433 21223	   	235.38	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6AAC|78ASPD|9CDMG|aRMIN
13	45433 21213	   	235.28	ACR|1BASARM|2ASPD|1VULN|2BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5aBEXP|6AAC|78ASPD|9RPLT
14	45433 22213	 * 	235.28	ACR|1BASARM|2DMG|1VULN|2BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5aBEXP|6AAC|7RPLT|89DMG
15	45433 21221	   	235.28	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5BEXP|6AAC|78ASPD|9CDMG|aAIRHEL
16	45433 11231	   	235.13	ACR|1BASARM|2VULN|2ASPD|1AART|1BEXP	1aVULN|2BASARM|3RCR|4AART|5BEXP|6CGEN|78ASPD|9RMIN
17	45433 33112	   	235.13	ACR|1BASARM|2VULN|2ASPD|1BEXP|1AART	1aVULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|79ASPD|8DUR
18	45433 33212	   	235.13	ACR|1BASARM|2VULN|2ASPD|1AART|1BEXP	1aVULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|79ASPD|8LWND
19	45433 31323	 * 	235.09	ACR|1BASARM|2VULN|3BEXP|1AART|1CDMG	1aVULN|2BASARM|3RCR|4AART|58aBEXP|6FEWX|7CDMG|9aLIT|aBPWR
20	45433 21231	   	235.03	ACR|1BASARM|2VULN|2ASPD|1BEXP|1AART	1aVULN|2BASARM|3RCR|4AART|5BEXP|6AAC|78ASPD|9RMIN
21	45431 31333	 * 	233.43	ACR|2BASARM|2VULN|3BEXP|1AART	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUST|7BPWR|89aBEXP
22	45431 11211	   	232.23	ACR|2BASARM|2VULN|1DMG|1AART|1CDMG	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUR|7BPWR|8DMG|9DUST|aCDMG
23	45433 31233	   	231.44	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5aBEXP|6FEWX|7CDMG|8DMG|9RMIN
24	45433 31223	   	231.34	ACR|1BASARM|1VULN|2BEXP|1DMG|1CDMG|1AART	1VULN|2BASARM|3RCR|4AART|5aBEXP|6FEWX|7CDMG|8DMG|9ERES
25	45423 42313	 * 	231.23	ACR|2BASARM|2VULN|2ASPD|1BEXP	1aVULN|2aBASARM|3RCR|4MBVNT|5AAC|6BEXP|7FEWX|8MDPS|9aASPD|aBPWR
26	45423 43313	   	231.23	ACR|2BASARM|2VULN|2ASPD|1BEXP	1aVULN|2aBASARM|3RCR|4MBVNT|5AAC|6BEXP|7LWND|8MDPS|9aASPD|aBPWR
27	45433 33122	 * 	231.10	ACR|2VULN|1BASARM|2AART|1ASPD|1BEXP	1aVULN|2BASARM|3RCR|49AART|5BEXP|6FEWX|7ASPD|8DUR
28	45433 33222	   	231.10	ACR|2VULN|1BASARM|2AART|1ASPD|1BEXP	1aVULN|2BASARM|3RCR|49AART|5BEXP|6FEWX|7ASPD|8LWND
29	45433 31212	   	231.09	ACR|1BASARM|2VULN|1DMG|1BEXP|1AART|1CDMG	1aVULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|7CDMG|8DMG|9DUST
30	45431 32311	 * 	230.31	ACR|1BASARM|1VULN|2AART|1DMG|1BEXP|1CDMG	1VULN|2BASARM|3RCR|48AART|5RPLT|6DUST|7BEXP|9DMG|aCDMG
31	45431 32112	   	230.03	ACR|2VULN|1BASARM|2BEXP|1DMG|1AART	18VULN|2BASARM|3RCR|4AART|5RPLT|68DUST|78BEXP|8BPWR|9DMG|aRMIN
32	45431 11312	   	229.98	ACR|2BASARM|2VULN|1DMG|1AART|1BEXP	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUR|7BPWR|8BEXP|9DMG|aRMIN
33	45431 11233	   	229.98	ACR|2BASARM|2VULN|1DMG|1AART|1BEXP	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUR|7BPWR|8DMG|9RMIN|aBEXP
34	45431 32113	   	229.93	ACR|2VULN|1BASARM|2BEXP|1DMG|1AART	18VULN|2BASARM|3RCR|4AART|5RPLT|68aDUST|78BEXP|8BPWR|9DMG
35	45431 11313	   	229.88	ACR|2BASARM|2VULN|1DMG|1AART|1BEXP	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUR|7BPWR|8BEXP|9DMG|aDUST
36	45431 11223	   	229.88	ACR|2BASARM|2VULN|1DMG|1AART|1BEXP	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUR|7BPWR|8DMG|9ERES|aBEXP
37	45431 31233	   	229.78	ACR|2BASARM|2VULN|1DMG|1AART|1BEXP	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUST|7BPWR|8DMG|9RMIN|aBEXP
38	45431 31312	   	229.78	ACR|2BASARM|2VULN|1DMG|1AART|1BEXP	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUST|7BPWR|8BEXP|9DMG|aRMIN
39	45431 31223	   	229.68	ACR|2BASARM|2VULN|1DMG|1AART|1BEXP	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUST|7BPWR|8DMG|9ERES|aBEXP
40	45431 31313	   	229.68	ACR|2BASARM|2VULN|1DMG|1AART|1BEXP	17VULN|27BASARM|3RCR|4AART|5RPLT|67aDUST|7BPWR|8BEXP|9DMG
41	45433 13221	 * 	227.45	ACR|3VULN|1BASARM|1ASPD|1BEXP|1AART	19aVULN|2BASARM|3RCR|4AART|5BEXP|6CGEN|7ERES|8ASPD
42	45433 21321	   	227.45	ACR|3VULN|1BASARM|1ASPD|1BEXP|1AART	19aVULN|2BASARM|3RCR|4AART|5BEXP|6AAC|7ASPD|8CGEN
43	45433 23221	   	227.35	ACR|3VULN|1BASARM|1ASPD|1AART|1BEXP	19aVULN|2BASARM|3RCR|4AART|5BEXP|6AAC|7ERES|8ASPD
44	45424 44221	 * 	225.16	ACR|4VULN|1BASARM|1ASPD|1AART	179aVULN|2BASARM|3RCR|4MBVNT|5AART|6LWND|8ASPD
45	45423 33413	 * 	224.99	ACR|3VULN|2BASARM|1ASPD|1CDMG	189VULN|27BASARM|3RCR|4MBVNT|5AAC|6CDMG|aASPD
46	45432 31121	   	224.68	ACR|2VULN|1BASARM|2AART|1BEXP|1CDMG	18VULN|2BASARM|3RCR|47AART|56FEWX|9BEXP|aCDMG
47	45424 11344	   	223.85	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	19VULN|2BASARM|3RCR|4MBVNT|5AART|68CGEN|7ASPD|aDMG
48	45424 44242	   	223.85	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	17VULN|2BASARM|3RCR|4MBVNT|5AART|6LWND|8ASPD|9BELT|aDMG
49	45424 11444	   	223.75	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	19VULN|2BASARM|3RCR|4MBVNT|5AART|6CGEN|7ASPD|8AEFBLL|aDMG
50	45431 32121	   	223.62	ACR|2VULN|1BASARM|2BEXP|1CDMG|1AART	18VULN|2BASARM|3RCR|4AART|5RPLT|68DUST|78BEXP|8BPWR|9MLV|aCDMG
51	45431 11321	   	223.57	ACR|2BASARM|2VULN|1BEXP|1AART|1CDMG	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUR|7BPWR|8BEXP|9MLV|aCDMG
52	45431 31321	   	223.37	ACR|2BASARM|2VULN|1BEXP|1CDMG|1AART	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUST|7BPWR|8BEXP|9MLV|aCDMG
53	45431 31331	   	222.07	ACR|2BASARM|2VULN|2BEXP|1AART	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUST|7BPWR|89BEXP|aAEMAG
54	45431 31332	   	222.07	ACR|2BASARM|2VULN|2BEXP|1AART	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUST|7BPWR|89BEXP|aAEFBLL
55	45424 21123	   	222.07	ACR|2BASARM|2VULN|2BEXP|1AART	1aVULN|2aBASARM|3RCR|4MBVNT|5AART|6MDPS|7AME|8LWND|9aBEXP|aBPWR
56	45432 11222	   	221.83	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5FEWX|6CGEN|78ASPD|9CDMG|aRPLT
57	45432 11223	   	221.83	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5FEWX|6CGEN|78ASPD|9CDMG|aRMIN
58	45424 11222	   	221.73	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6CGEN|78ASPD|9CDMG|aRPLT
59	45424 11223	   	221.73	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6CGEN|78ASPD|9CDMG|aRMIN
60	45424 11224	   	221.73	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6CGEN|78ASPD|9CDMG|aLIT
61	45432 11221	   	221.73	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5FEWX|6CGEN|78ASPD|9CDMG|aFLTARM
62	45432 21222	   	221.73	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5FEWX|6AAC|78ASPD|9CDMG|aRPLT
63	45432 21223	   	221.73	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5FEWX|6AAC|78ASPD|9CDMG|aRMIN
64	45424 11242	   	221.70	ACR|2VULN|1BASARM|2ASPD|1AART	19VULN|2BASARM|3RCR|4MBVNT|5AART|6CGEN|78ASPD|aRCVC
65	45424 11221	   	221.63	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6CGEN|78ASPD|9CDMG|aFLTARM
66	45432 21221	   	221.63	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5FEWX|6AAC|78ASPD|9CDMG|aAIRHEL
67	45432 11231	   	221.48	ACR|1BASARM|2VULN|2ASPD|1AART	1aVULN|2BASARM|3RCR|4AART|5FEWX|6CGEN|78ASPD|9RMIN
68	45424 11241	   	221.38	ACR|2VULN|1BASARM|2ASPD|1AART	19VULN|2BASARM|3RCR|4MBVNT|5AART|6CGEN|78ASPD|aRPLT
69	45424 11211	   	221.38	ACR|1BASARM|2VULN|2ASPD|1AART	1aVULN|2BASARM|3RCR|4MBVNT|5AART|6CGEN|78ASPD|9ZMB
70	45424 11231	   	221.38	ACR|1BASARM|2VULN|2ASPD|1AART	1aVULN|2BASARM|3RCR|4MBVNT|5AART|6CGEN|78ASPD|9RMIN
71	45424 33112	   	221.38	ACR|1BASARM|2VULN|2ASPD|1AART	1aVULN|2BASARM|3RCR|4MBVNT|5AART|6FEWX|79ASPD|8DUR
72	45424 33212	   	221.38	ACR|1BASARM|2VULN|2ASPD|1AART	1aVULN|2BASARM|3RCR|4MBVNT|5AART|6FEWX|79ASPD|8LWND
73	45432 21231	   	221.38	ACR|1BASARM|2VULN|2ASPD|1AART	1aVULN|2BASARM|3RCR|4AART|5FEWX|6AAC|78ASPD|9RMIN
74	45433 31333	   	221.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|58aBEXP|6FEWX|7CDMG|9DUST
75	45424 11214	 * 	220.59	ACR|1BASARM|2ASPD|1VULN|2AART	1VULN|2BASARM|3RCR|4MBVNT|5aAART|6CGEN|78ASPD|9ZMB
76	45424 11234	   	220.59	ACR|1BASARM|2ASPD|1VULN|2AART	1VULN|2BASARM|3RCR|4MBVNT|5aAART|6CGEN|78ASPD|9RMIN
77	45432 11213	   	220.54	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5FEWX|6CGEN|78ASPD|9RPLT|aBEXP
78	45433 11232	   	220.54	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6CGEN|78ASPD|9RMIN|aZMB
79	45433 11233	   	220.54	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1VULN|2BASARM|3RCR|4AART|5BEXP|6aCGEN|78ASPD|9RMIN
80	45433 33111	   	220.54	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1VULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|79ASPD|8DUR|aCGEN
81	45433 33113	   	220.54	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1VULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|79ASPD|8DUR|aLIT
82	45433 33211	   	220.54	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|79ASPD|8LWND|aCGEN
83	45433 33213	   	220.54	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1VULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|79ASPD|8LWND|aLIT
84	45432 21213	   	220.44	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5FEWX|6AAC|78ASPD|9RPLT|aBEXP
85	45432 22213	   	220.44	ACR|1BASARM|2DMG|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5FEWX|6AAC|7RPLT|89DMG|aBEXP
86	45433 11211	   	220.44	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6CGEN|78ASPD|9RPLT|aAEMAG
87	45433 11212	   	220.44	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6CGEN|78ASPD|9RPLT|aAEFBLL
88	45433 21232	   	220.44	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6AAC|78ASPD|9RMIN|aZMB
89	45433 21233	   	220.44	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6AAC|78ASPD|9RMIN|aCGEN
90	45433 21211	   	220.34	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6AAC|78ASPD|9RPLT|aAEMAG
91	45433 21212	   	220.34	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6AAC|78ASPD|9RPLT|aAEFBLL
92	45433 22211	   	220.34	ACR|1BASARM|2DMG|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6AAC|7RPLT|89DMG|aAEMAG
93	45433 22212	   	220.34	ACR|1BASARM|2DMG|1VULN|1BEXP|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6AAC|7RPLT|89DMG|aAEFBLL
94	45431 32333	 * 	220.14	ACR|1BASARM|3BEXP|1VULN|2AART	1VULN|2BASARM|3RCR|48AART|5RPLT|6DUST|79aBEXP
95	45431 32131	   	218.85	ACR|2VULN|1BASARM|3BEXP|1AART	18VULN|2BASARM|3RCR|4AART|5RPLT|68DUST|789BEXP|8BPWR|aCGEN
96	45431 32132	   	218.75	ACR|2VULN|1BASARM|3BEXP|1AART	18VULN|2BASARM|3RCR|4AART|5RPLT|68DUST|789BEXP|8BPWR|aTLV
97	45431 32133	   	218.75	ACR|2VULN|1BASARM|3BEXP|1AART	18VULN|2BASARM|3RCR|4AART|5RPLT|68aDUST|789BEXP|8BPWR
98	45423 12313	   	217.58	ACR|2BASARM|2VULN|2ASPD	1aVULN|2aBASARM|3RCR|4MBVNT|5AAC|6LHND|7FEWX|8MDPS|9aASPD|aBPWR
99	45423 22313	   	217.58	ACR|2BASARM|2VULN|2ASPD	1aVULN|2aBASARM|3RCR|4MBVNT|5AAC|6DUR|7FEWX|8MDPS|9aASPD|aBPWR
100	45424 33122	   	217.34	ACR|2VULN|1BASARM|2AART|1ASPD	1aVULN|2BASARM|3RCR|4MBVNT|59AART|6FEWX|7ASPD|8DUR
101	45424 33222	   	217.34	ACR|2VULN|1BASARM|2AART|1ASPD	1aVULN|2BASARM|3RCR|4MBVNT|59AART|6FEWX|7ASPD|8LWND
102	45424 13224	   	217.24	ACR|2VULN|1BASARM|2AART|1ASPD	19VULN|2BASARM|3RCR|4MBVNT|5aAART|6CGEN|7ERES|8ASPD
103	45431 13311	   	216.61	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5RPLT|6DUR|7DMSP|8BEXP|9DMG|aCDMG
104	45431 22212	   	216.61	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1VULN|2BASARM|3RCR|4AART|5RPLT|67LIT|8ASPD|9BEXP|aCDMG
105	45433 11322	   	216.61	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5BEXP|68CGEN|7ASPD|9CDMG|aRPLT
106	45433 11323	   	216.61	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5BEXP|68CGEN|7ASPD|9CDMG|aRMIN
107	45433 31111	   	216.61	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1VULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|7CDMG|8LIT|9LHND|aASPD
108	45433 31121	   	216.61	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1VULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|7CDMG|8LIT|9LWND|aASPD
109	45424 31233	   	216.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART	1VULN|2BASARM|3RCR|4MBVNT|5AART|6FEWX|7CDMG|8DMG|9RMIN|aBEXP
110	45424 31243	   	216.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6FEWX|7CDMG|8DMG|9MLV|aBEXP
111	45424 31311	   	216.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART	1VULN|2BASARM|3RCR|4MBVNT|5AART|6FEWX|7CDMG|8BEXP|9DMG|aRPLT
112	45424 31312	   	216.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART	1VULN|2BASARM|3RCR|4MBVNT|5AART|6FEWX|7CDMG|8BEXP|9DMG|aRMIN
113	45424 31314	   	216.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6FEWX|7CDMG|8BEXP|9DMG|aLHND
114	45424 41233	   	216.51	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6LWND|7CDMG|8DMG|9RMIN|aBEXP
115	45424 41243	   	216.51	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6LWND|7CDMG|8DMG|9MLV|aBEXP
116	45424 41311	   	216.51	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6LWND|7CDMG|8BEXP|9DMG|aRPLT
117	45424 41312	   	216.51	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6LWND|7CDMG|8BEXP|9DMG|aRMIN
118	45424 41314	   	216.51	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6LWND|7CDMG|8BEXP|9DMG|aLHND
119	45431 33311	   	216.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5RPLT|6DUST|7DMSP|8BEXP|9DMG|aCDMG
120	45433 11321	   	216.51	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5BEXP|68CGEN|7ASPD|9CDMG|aFLTARM
121	45433 12111	   	216.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5BEXP|6CGEN|7RPLT|8TLV|9DMG|aCDMG
122	45433 12311	   	216.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6CGEN|7RPLT|8ERES|9DMG|aCDMG
123	45433 22221	   	216.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6AAC|7RPLT|8DMG|9CGEN|aCDMG
124	45433 31213	   	216.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|7CDMG|8DMG|9DUST|aRMIN
125	45433 31231	   	216.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|7CDMG|8DMG|9RMIN|aAEMAG
126	45433 31232	   	216.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|7CDMG|8DMG|9RMIN|aAEFBLL
127	45433 11313	   	216.50	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	1VULN|2BASARM|3RCR|4AART|5aBEXP|68CGEN|7ASPD|9RPLT
128	45433 33231	   	216.50	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	1VULN|2BASARM|3RCR|4AART|5aBEXP|6FEWX|7ASPD|8LWND|9DUR
129	45424 31214	   	216.41	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6FEWX|7CDMG|8DMG|9DUST|aBEXP
130	45424 31223	   	216.41	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6FEWX|7CDMG|8DMG|9ERES|aBEXP
131	45424 31313	   	216.41	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6FEWX|7CDMG|8BEXP|9DMG|aDUST
132	45424 41214	   	216.41	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6LWND|7CDMG|8DMG|9DUST|aBEXP
133	45424 41223	   	216.41	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6LWND|7CDMG|8DMG|9ERES|aBEXP
134	45424 41313	   	216.41	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1VULN|2BASARM|3RCR|4MBVNT|5AART|6LWND|7CDMG|8BEXP|9DMG|aDUST
135	45431 32211	   	216.41	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5RPLT|68DUST|7BEXP|9DMG|aCDMG
136	45433 31211	   	216.41	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1VULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|7CDMG|8DMG|9DUST|aMBVNT
137	45433 31221	   	216.41	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|7CDMG|8DMG|9ERES|aAEMAG
138	45433 31222	   	216.41	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AART	1VULN|2BASARM|3RCR|4AART|5BEXP|6FEWX|7CDMG|8DMG|9ERES|aAEFBLL
139	45431 11111	   	216.33	ACR|2BASARM|2VULN|1ASPD|1AART	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUR|7BPWR|8LIT|9LHND|aASPD
140	45431 11121	   	216.33	ACR|2BASARM|2VULN|1ASPD|1AART	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUR|7BPWR|8LIT|9LWND|aASPD
141	45424 23342	   	216.30	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	1VULN|2BASARM|3RCR|4MBVNT|5AART|6MDPS|7ASPD|8CGEN|9aBEXP
142	45431 11212	   	216.23	ACR|2BASARM|2VULN|1DMG|1AART	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUR|7BPWR|8DMG|9DUST|aRMIN
143	45431 11231	   	216.23	ACR|2BASARM|2VULN|1DMG|1AART	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUR|7BPWR|8DMG|9RMIN|aAEMAG
144	45431 11232	   	216.23	ACR|2BASARM|2VULN|1DMG|1AART	17VULN|27BASARM|3RCR|4AART|5RPLT|67DUR|7BPWR|8DMG|9RMIN|aAEFBLL
