0	Index      	 *	Score 	Summary	Detail	
1	56212 53122	 * 	233.51	ACR|3DMG|1BASARM|2ASPD|1AAC	1ERES|236DMG|4RCR|57ASPD|8LWND|9AAC|aBASARM
40	56212 21352	   	205.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1ERES|23DMG|4RCR|5ASPD|6DUR|7RMIN|8DUST|9BEXP|aBASARM
41	56212 22252	   	205.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1ERES|23DMG|4RCR|5ASPD|6DUR|7DUST|8RMIN|9BEXP|aBASARM
42	56214 34142	   	205.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1ERES|23DMG|4RCR|5RMIN|6MBVNT|7ASPD|8LWND|9BEXP|aBASARM
43	21411 11321	   	205.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	12TLV|2BPWR|3ERES|4RCR|5LHND|6BEXP|7AART|8BASARM|9DMG|aASPD
44	21413 11321	   	205.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	12TLV|2BPWR|3ERES|4RCR|5LWND|6BEXP|7AART|8BASARM|9DMG|aASPD
45	56212 31332	   	205.41	ACR|1BASARM|2DMG|1ASPD|1CDMG	1ERES|23DMG|4RCR|5ASPD|6RPLT|7AEFBLL|8MDPS|9CDMG|aBASARM
46	56612 31332	   	205.41	ACR|1BASARM|2DMG|1ASPD|1CDMG	13ERES|23DMG|3BPWR|4RCR|5ASPD|6RPLT|7AEFBLL|8MDPS|9CDMG|aBASARM
47	26212 32621	   	205.22	ACR|3DMG|2VULN|1ASPD|1BEXP	1TLV|239DMG|4RCR|5ASPD|6RPLT|78VULN|aBEXP
48	56212 32621	   	205.22	ACR|3DMG|2VULN|1ASPD|1BEXP	1ERES|239DMG|4RCR|5ASPD|6RPLT|78VULN|aBEXP
49	26213 15353	   	205.22	ACR|3DMG|2VULN|1ASPD|1BEXP	1TLV|23aDMG|4RCR|5LWND|6BEXP|7ASPD|89VULN
50	26213 15233	   	204.26	ACR|3DMG|2ASPD|1CDMG|1BEXP	1TLV|23aDMG|4RCR|5LWND|6BEXP|7aASPD|8CDMG|9aMLV|aBPWR
51	56213 15233	   	204.26	ACR|3DMG|2ASPD|1BEXP|1CDMG	1ERES|23aDMG|4RCR|5LWND|6BEXP|7aASPD|8CDMG|9aMLV|aBPWR
52	64311 61321	   	204.07	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1LWND|2MLV|3RCVC|4BEXP|5RCR|6ERES|7AART|8BASARM|9DMG|aASPD
53	23311 61321	   	203.97	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1TLV|2LHND|3RCVC|4BEXP|5RCR|6ERES|7AART|8BASARM|9DMG|aASPD
54	26212 32353	   	203.60	ACR|3VULN|2ASPD|2DMG	1aTLV|23DMG|4RCR|5aASPD|6RPLT|79aVULN|8RMIN|aBPWR
55	56212 32353	   	203.60	ACR|3VULN|2ASPD|2DMG	1aERES|23DMG|4RCR|5aASPD|6RPLT|79aVULN|8RMIN|aBPWR
