0	Index      	 *	Score 	Summary	Detail	
1	63112 31532	 * 	234.10	ACR|1BASARM|1DMG|2CDMG|1VULN|1AART|1BEXP	1RCR|2AART|3LWND|47CDMG|5MDPS|6DMG|8BASARM|9BEXP|aVULN
44	66531 33322	   	219.01	ACR|3ASPD|2BEXP|1DMG|1VULN	1RCR|25BEXP|389ASPD|4DMG|6LIT|7DUR|aVULN
45	66521 12322	   	218.91	ACR|3ASPD|2BEXP|1DMG|1VULN	1RCR|24BEXP|349ASPD|4BPWR|5AAC|6ERES|7DMG|8LIT|aVULN
46	66533 12313	   	218.44	ACR|2ASPD|2DMG|2BEXP|1AART	1RCR|2aBEXP|37ASPD|4aDMG|5AME|6FEWX|8AART|9aLWND|aBPWR
47	61531 41111	   	218.34	ACR|2ASPD|2DMG|2BEXP|1CDMG	1RCR|27DUR|38ASPD|47DMG|57BEXP|6MBVNT|7BPWR|9AEFBLL|aCDMG
48	66532 22331	   	218.29	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	1RCR|29BEXP|37ASPD|4DMG|5VULN|6CGEN|8AART|aLWND
49	66532 22333	   	218.29	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	1RCR|29BEXP|37ASPD|4DMG|5VULN|6CGEN|8AART|aZMB
50	63532 12412	   	218.27	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG|1AART	1RCR|2AART|3BEXP|4AME|58ASPD|6CGEN|7CDMG|9DMG|aVULN
51	66232 52331	   	218.19	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	1RCR|29BEXP|3TLV|4DMG|5VULN|67ASPD|8AART|aLWND
52	66232 52333	   	218.19	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	1RCR|29BEXP|3TLV|4DMG|5VULN|67ASPD|8AART|aZMB
53	66533 22331	   	218.19	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART	1RCR|29BEXP|37ASPD|4DMG|5AME|6VULN|8AART|aLWND
54	66533 22333	   	218.19	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART	1RCR|29BEXP|37ASPD|4DMG|5AME|6VULN|8AART|aZMB
55	61332 11144	 * 	217.86	ACR|1BASARM|2BEXP|1ASPD|2CDMG	1RCR|27DUR|37BEXP|4RPLT|57CDMG|6AAC|7BPWR|8ASPD|9ERES|aBASARM
56	63332 62143	   	217.04	ACR|1BASARM|3AART|1ASPD|1BEXP	1RCR|267AART|3FEWX|4AME|5ASPD|8TLV|9BASARM|aBEXP
57	61231 41128	   	217.00	ACR|2DMG|2BEXP|1ASPD|1VULN|1CDMG	1RCR|27DUR|3TLV|47DMG|57BEXP|6MBVNT|7BPWR|8ASPD|9CDMG|aVULN
58	63112 31533	   	216.90	ACR|1BASARM|1DMG|2CDMG|1AART|1BEXP	1RCR|2AART|3LWND|47CDMG|5MDPS|6DMG|8BASARM|9BEXP|aRCVC
59	63332 35163	 * 	216.69	ACR|1BASARM|2ASPD|1VULN|1AART	1RCR|2AART|3FEWX|4AME|57ASPD|6VULN|8DUR|9ERES|aBASARM
60	63332 35363	   	216.69	ACR|1BASARM|2ASPD|1VULN|1AART	1RCR|2AART|3FEWX|4AME|57ASPD|6VULN|8ERES|9DUR|aBASARM
61	21452 32613	 * 	216.68	ACR|2VULN|1BASARM|2DMG|1AART	17DMG|27LIT|36RMIN|4RCR|57VULN|7BPWR|8AART|9MLV|aBASARM
62	66232 22151	 * 	216.65	ACR|2VULN|2ASPD|1DMG|1BEXP|1CDMG	1RCR|2BEXP|3TLV|4DMG|59VULN|6CGEN|78ASPD|aCDMG
63	21452 32633	   	216.58	ACR|2VULN|1BASARM|2DMG|1AART	17DMG|27LIT|36RMIN|4RCR|57VULN|7BPWR|8AART|9TLV|aBASARM
64	63112 31523	   	216.57	ACR|1BASARM|1DMG|2CDMG|1AART|1BEXP	1RCR|2AART|3LWND|47CDMG|5MDPS|6DMG|8BASARM|9LHND|aBEXP
65	63112 31531	   	216.57	ACR|1BASARM|1DMG|2CDMG|1AART|1BEXP	1RCR|2AART|3LWND|47CDMG|5MDPS|6DMG|8BASARM|9BEXP|aBELT
66	63112 31534	   	216.57	ACR|1BASARM|1DMG|2CDMG|1AART|1BEXP	1RCR|2AART|3LWND|47CDMG|5MDPS|6DMG|8BASARM|9BEXP|aLHND
67	63112 31535	   	216.57	ACR|1BASARM|1DMG|2CDMG|1AART|1BEXP	1RCR|2AART|3LWND|47CDMG|5MDPS|6DMG|8BASARM|9BEXP|aDUR
68	63112 31553	   	216.57	ACR|1BASARM|1DMG|2CDMG|1AART|1BEXP	1RCR|2AART|3LWND|47CDMG|5MDPS|6DMG|8BASARM|9DUR|aBEXP
69	63112 11536	   	216.47	ACR|1BASARM|1DMG|2CDMG|1AART|1BEXP	1RCR|2AART|3LWND|47CDMG|5MDPS|6AAC|8BASARM|9BEXP|aDMG
70	63112 31536	   	216.47	ACR|1BASARM|1DMG|2CDMG|1AART|1BEXP	1RCR|2AART|3LWND|47CDMG|5MDPS|6DMG|8BASARM|9BEXP|aNUKE
71	63536 31323	   	216.31	ACR|3ASPD|2BEXP|1DMG|1AART	1RCR|2AART|3aBEXP|4AME|5aDUST|6DMG|7LHND|89aASPD|aBPWR
72	63512 11611	   	216.28	ACR|1BASARM|2BEXP|2AART|1CDMG	1RCR|28AART|37BEXP|4CDMG|5DLOT|6DUR|9BASARM|aRPLT
73	63512 11613	   	216.28	ACR|1BASARM|2BEXP|2AART|1CDMG	1RCR|28AART|37BEXP|4CDMG|5DLOT|6DUR|9BASARM|aLWND
74	63512 11612	   	216.18	ACR|1BASARM|2BEXP|2AART|1CDMG	1RCR|28AART|37BEXP|4CDMG|5DLOT|6DUR|9BASARM|aERES
75	61231 54332	 * 	215.71	ACR|2DMG|2BASICY|1ASPD|1VULN|1BEXP	1RCR|28DUR|3TLV|48DMG|5BEXP|6ASPD|78BASICY|8BPWR|9AME|aVULN
76	61231 54321	 * 	215.69	ACR|2DMG|2BEXP|2BASICY|1ASPD	1RCR|28DUR|3TLV|48DMG|59BEXP|6ASPD|78BASICY|8BPWR|aLHND
77	61231 54322	   	215.69	ACR|2DMG|2BEXP|2BASICY|1ASPD	1RCR|28DUR|3TLV|48DMG|59BEXP|6ASPD|78BASICY|8BPWR|aLIT
78	61231 54323	   	215.69	ACR|2DMG|2BEXP|2BASICY|1ASPD	1RCR|28DUR|3TLV|48DMG|59BEXP|6ASPD|78BASICY|8BPWR|aMLV
79	63511 62323	   	215.02	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART|1CDMG	1RCR|2AART|3BEXP|4CDMG|5LWND|67VULN|8DUST|9ASPD|aDMG
80	63521 52323	   	215.02	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART|1CDMG	1RCR|2AART|3BEXP|47VULN|5LWND|6CDMG|8DUST|9ASPD|aDMG
81	63522 52323	   	215.02	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART|1CDMG	1RCR|2AART|3BEXP|47VULN|5DUR|6CDMG|8DUST|9ASPD|aDMG
82	63511 22123	   	214.35	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART|1CDMG	1RCR|2AART|38BEXP|4CDMG|5LWND|6DUR|7VULN|9ASPD|aDMG
83	61251 23352	   	214.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1RCR|2DUR|3TLV|4BEXP|5LIT|6DMSP|78ASPD|9CDMG|aBASARM
84	61251 33352	   	214.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1RCR|27DUR|3TLV|4BEXP|5LIT|68ASPD|9CDMG|aBASARM
85	61341 33352	   	214.19	ACR|1BASARM|2ASPD|1CDMG|1BEXP	1RCR|27DUR|3BEXP|4ERES|5LIT|68ASPD|9CDMG|aBASARM
86	61511 11352	   	214.19	ACR|1BASARM|2ASPD|1CDMG|1BEXP	1RCR|26DUR|38ASPD|4ERES|5BEXP|7LIT|9CDMG|aBASARM
87	61511 33352	   	214.19	ACR|1BASARM|2ASPD|1CDMG|1BEXP	1RCR|27DUR|38ASPD|4ERES|5BEXP|6LIT|9CDMG|aBASARM
88	23611 15352	   	214.13	ACR|1BASARM|2DMG|2BEXP|1CDMG	17DMG|26DUR|37TLV|4RCR|57BEXP|7BPWR|8LIT|9CDMG|aBASARM
89	61251 32352	   	214.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1RCR|2DUR|3TLV|4BEXP|5LIT|68ASPD|7AEMAG|9CDMG|aBASARM
90	61341 13352	   	214.09	ACR|1BASARM|2ASPD|1CDMG|1BEXP	1RCR|2DUR|3BEXP|46ERES|5LIT|78ASPD|9CDMG|aBASARM
91	61341 32352	   	214.09	ACR|1BASARM|2ASPD|1CDMG|1BEXP	1RCR|2DUR|3BEXP|4ERES|5LIT|68ASPD|7AEMAG|9CDMG|aBASARM
92	61511 32352	   	214.09	ACR|1BASARM|2ASPD|1CDMG|1BEXP	1RCR|2DUR|38ASPD|4ERES|5BEXP|6LIT|7AEMAG|9CDMG|aBASARM
93	64321 32352	   	214.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1RCR|2LHND|3BEXP|4TLV|5LIT|68ASPD|7AEMAG|9CDMG|aBASARM
94	61552 22213	   	214.00	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	1RCR|2DUR|3ASPD|47BEXP|59VULN|6RPLT|8AART|aDMG
95	63521 15313	   	214.00	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	1RCR|2AART|36BEXP|49VULN|5LWND|7ASPD|8RPLT|aDMG
96	63522 15313	   	214.00	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	1RCR|2AART|36BEXP|49VULN|5DUR|7ASPD|8RPLT|aDMG
97	63532 33511	   	213.98	ACR|3ASPD|1VULN|2BEXP|1AART	1RCR|2AART|3aBEXP|4AME|59aASPD|6VULN|7LIT|8aCGEN|aBPWR
98	61523 22521	   	213.98	ACR|3ASPD|2BEXP|1VULN|1AART	1RCR|24DUR|349ASPD|4BPWR|5LWND|6VULN|7aBEXP|8AART
99	66533 23331	   	213.90	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	1RCR|29BEXP|3ASPD|4DMG|5AME|67VULN|8AART|aLWND
100	66533 23333	   	213.90	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	1RCR|29BEXP|3ASPD|4DMG|5AME|67VULN|8AART|aZMB
101	66232 53331	   	213.90	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	1RCR|29BEXP|3TLV|4DMG|57VULN|6ASPD|8AART|aLWND
102	66232 53333	   	213.90	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	1RCR|29BEXP|3TLV|4DMG|57VULN|6ASPD|8AART|aZMB
103	63532 33111	   	213.78	ACR|3ASPD|1VULN|2BEXP|1AART	1RCR|2AART|3aBEXP|4AME|59aASPD|6VULN|7LIT|8aERES|aBPWR
104	63562 33111	   	213.78	ACR|3ASPD|1VULN|2BEXP|1AART	1RCR|2AART|3aBEXP|4TLV|59aASPD|6VULN|7LIT|8aERES|aBPWR
105	63122 14125	 * 	213.71	ACR|2VULN|2DMG|1ASPD|1AART|1AAC	1RCR|2AART|38LWND|48VULN|5AME|6SNIFST|78DMG|8BPWR|9AAC|aASPD
106	63113 13563	   	213.46	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG|1AAC	1RCR|2AART|3LWND|4CDMG|5RMIN|6DUST|7BEXP|8BASARM|9VULN|aAAC
107	66523 13313	 * 	213.42	ACR|3BEXP|2ASPD|1DMG|1VULN	1RCR|246BEXP|34ASPD|4BPWR|5LWND|7DMSP|8DMG|9MLV|aVULN
108	66523 13333	   	213.32	ACR|3BEXP|2ASPD|1DMG|1VULN	1RCR|246BEXP|34ASPD|4BPWR|5LWND|7DMSP|8DMG|9ERES|aVULN
109	66532 13311	   	213.29	ACR|1VULN|2AART|1ASPD|1DMG|1BEXP|1CDMG	1RCR|2BEXP|3ASPD|4DMG|5VULN|67DUR|8aAART|9CDMG
110	66363 22132	 * 	213.12	ACR|3BEXP|2DMG|1VULN|1ASPD	1RCR|239BEXP|4AEMAG|5FLTARM|67DMG|8VULN|aASPD
111	66532 23332	   	213.11	ACR|1VULN|2BEXP|2AART|1ASPD|1DMG	1RCR|29BEXP|3ASPD|4DMG|5VULN|6CGEN|7AEFBLL|8aAART
112	63124 61213	 * 	213.06	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|2AART|35LWND|457VULN|5BPWR|6CDMG|8ERES|9aDMG
113	63315 43212	   	212.86	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1RCR|2AART|3FEWX|4CDMG|5LIT|6ERES|7VULN|8LWND|9BASARM|aASPD
114	63315 53212	   	212.86	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1RCR|2AART|3FEWX|4CDMG|5LIT|6TLV|7VULN|8LWND|9BASARM|aASPD
115	63113 13562	   	212.76	ACR|1BASARM|1VULN|2CDMG|1AART|1BEXP	1RCR|2AART|3LWND|4aCDMG|5RMIN|6DUST|7BEXP|8BASARM|9VULN
116	63112 11532	   	212.66	ACR|1BASARM|2CDMG|1VULN|1AART|1BEXP	1RCR|2AART|3LWND|47CDMG|5MDPS|6AAC|8BASARM|9BEXP|aVULN
117	61536 13331	   	212.55	ACR|3BEXP|2ASPD|1DMG|1AART	1RCR|27DUR|37ASPD|4DMG|5CGEN|679BEXP|7BPWR|8AART|aRCVC
118	61535 13331	   	212.45	ACR|3BEXP|2ASPD|1DMG|1AART	1RCR|27DUR|37ASPD|4DMG|5AME|679BEXP|7BPWR|8AART|aRCVC
119	63524 13312	   	212.25	ACR|3VULN|2BEXP|1DMG|1AART|1AAC	1RCR|2AART|35BEXP|458VULN|5BPWR|6CGEN|7AEMAG|9DMG|aAAC
120	63524 33312	   	212.25	ACR|3VULN|2BEXP|1DMG|1AART|1AAC	1RCR|2AART|35BEXP|458VULN|5BPWR|6MLV|7AEFBLL|9DMG|aAAC
121	63531 53122	   	212.15	ACR|3VULN|2BEXP|1DMG|1AART|1AAC	1RCR|2AART|38BEXP|48AME|5MSLFST|6DMG|78aVULN|8BPWR|9AAC
122	61523 12336	   	212.12	ACR|3BEXP|2ASPD|1DMG|1AART	1RCR|24DUR|34ASPD|4BPWR|5LWND|679BEXP|8AART|aDMG
123	61536 13333	   	212.12	ACR|3BEXP|2ASPD|1DMG|1AART	1RCR|27DUR|37ASPD|4DMG|5CGEN|679BEXP|7BPWR|8AART|aDUST
124	61536 32321	   	212.12	ACR|3BEXP|2DMG|1ASPD|1AART	1RCR|28DUR|3ASPD|48DMG|5CGEN|6MSLREG|789BEXP|8BPWR|aAART
125	66523 13321	   	212.12	ACR|3BEXP|2ASPD|1DMG|1CDMG	1RCR|246BEXP|34ASPD|4BPWR|5LWND|7aDMSP|8DMG|9CDMG
126	66523 13322	   	212.12	ACR|3BEXP|2ASPD|1DMG|1CDMG	1RCR|246BEXP|34ASPD|4BPWR|5aLWND|7DMSP|8DMG|9CDMG
127	66523 13323	   	212.12	ACR|3BEXP|2ASPD|1DMG|1CDMG	1RCR|246BEXP|34ASPD|4BPWR|5LWND|7DMSP|8DMG|9CDMG|aCGEN
128	61535 13333	   	212.02	ACR|3BEXP|2ASPD|1DMG|1AART	1RCR|27DUR|37ASPD|4DMG|5AME|679BEXP|7BPWR|8AART|aDUST
129	66531 13313	   	212.02	ACR|3BEXP|2ASPD|1DMG|1AART	1RCR|25aBEXP|3aASPD|4DMG|6ERES|7LEGI|8AART|9aLWND|aBPWR
130	66533 32321	   	212.02	ACR|3BEXP|2DMG|1ASPD|1AART	1RCR|289BEXP|3ASPD|48DMG|5AME|6MSLREG|78DUR|8BPWR|aAART
131	64531 22332	   	212.00	ACR|2ASPD|2BEXP|2AART|1DMG	1RCR|2LHND|37ASPD|4DMG|59BEXP|6CGEN|8aAART
132	61231 52336	   	211.92	ACR|3BEXP|2DMG|1ASPD|1AART	1RCR|2DUR|3TLV|4aDMG|579BEXP|6ASPD|8AART
133	64231 52332	   	211.90	ACR|2ASPD|2BEXP|2AART|1DMG	1RCR|2LHND|3TLV|4DMG|59BEXP|67ASPD|8aAART
134	63532 33413	   	211.65	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP|1AAC	1RCR|2AART|3BEXP|4AME|59ASPD|6VULN|7LIT|8DMG|aAAC
135	61235 11343	   	211.56	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RCR|27DUR|3TLV|4DMG|5MLV|6BEXP|8AART|9VULN|aBASARM
136	61235 21533	   	211.56	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RCR|27DUR|3TLV|4DMG|5MLV|6VULN|8AART|9BEXP|aBASARM
137	61236 11343	   	211.56	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RCR|27DUR|3TLV|4DMG|5CGEN|6BEXP|8AART|9VULN|aBASARM
138	61331 32535	   	211.56	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RCR|2DUR|3BEXP|4RPLT|5LHND|6ERES|7VULN|8DMG|9AART|aBASARM
139	66233 21343	   	211.46	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RCR|2BEXP|3TLV|4DMG|5AME|67DUR|8AART|9VULN|aBASARM
140	61231 14343	   	211.46	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1RCR|26DUR|3TLV|4DMG|5BEXP|7ERES|8AART|9VULN|aBASARM
141	61231 61343	   	211.46	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1RCR|27DUR|3TLV|4DMG|5BEXP|6ERES|8AART|9VULN|aBASARM
142	61233 15343	   	211.46	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1RCR|25DUR|3TLV|4DMG|6ERES|7BEXP|8AART|9VULN|aBASARM
143	61231 11452	   	211.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	1RCR|26DUR|3TLV|4DMG|58BEXP|7LIT|9CDMG|aBASARM
144	61231 33452	   	211.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	1RCR|27DUR|3TLV|4DMG|58BEXP|6LIT|9CDMG|aBASARM
145	63531 53133	 * 	211.42	ACR|2VULN|2DMG|2BEXP|1AART	1RCR|2AART|38BEXP|48AME|5MSLFST|69DMG|78VULN|8BPWR|aDUR
146	23615 12343	   	211.40	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1DMG|2DUR|3TLV|4RCR|5MLV|67BEXP|8AART|9VULN|aBASARM
147	23615 22533	   	211.40	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1DMG|2DUR|3TLV|4RCR|5MLV|6VULN|79BEXP|8AART|aBASARM
148	23616 12343	   	211.40	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1DMG|2DUR|3TLV|4RCR|5CGEN|67BEXP|8AART|9VULN|aBASARM
149	23616 22533	   	211.40	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1DMG|2DUR|3TLV|4RCR|5CGEN|6VULN|79BEXP|8AART|aBASARM
150	61231 32452	   	211.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1RCR|2DUR|3TLV|4DMG|58BEXP|6LIT|7AEMAG|9CDMG|aBASARM
151	63531 53131	   	211.32	ACR|2VULN|2DMG|2BEXP|1AART	1RCR|2AART|38BEXP|48AME|5MSLFST|69DMG|78VULN|8BPWR|aDUST
152	63531 53132	   	211.32	ACR|2VULN|2DMG|2BEXP|1AART	1RCR|2AART|38BEXP|48AME|5MSLFST|69DMG|78VULN|8BPWR|aERES
153	23611 62343	   	211.30	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1DMG|2DUR|3TLV|4RCR|57BEXP|6ERES|8AART|9VULN|aBASARM
154	64531 11311	   	211.01	ACR|2ASPD|2AART|1DMG|1CDMG|1BEXP	1RCR|27LHND|37ASPD|4DMG|5BEXP|67DUR|7BPWR|8aAART|9CDMG
155	33333 23543	   	210.72	ACR|1BASARM|3AART|1VULN|2BEXP	128AART|34BEXP|5RCR|6VULN|7AAC|9BASARM|aFEWX
