0	Index      	 *	Score 	Summary	Detail	
1	32153 35136	 * 	253.13	ACR|3VULN|1BASARM|2DMG|2BEXP	1RCR|2BELT|378VULN|4AME|57BEXP|67DMG|7BPWR|9LIT|aBASARM
31	34116 32263	   	229.75	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1RCR|2FEWX|3ERES|4CDMG|579ASPD|6MBVNT|8BEXP|aBASARM
32	33116 31521	   	228.93	ACR|1BASARM|2VULN|2DMG|1CDMG	1RCR|2MLV|3VENICY|4aDMG|5aAEFBLL|6BASARM|7aVULN|8CDMG|9AEMAG|aBPWR
33	33411 22336	 * 	228.85	ACR|4VULN|1BASARM|1AART|1CDMG	1RCR|2MLV|3BELT|4678VULN|5AART|9CDMG|aBASARM
34	32151 22336	   	228.75	ACR|4VULN|1BASARM|1AART|1CDMG	1RCR|2BELT|3678VULN|4AME|5AART|9CDMG|aBASARM
35	31431 31513	 * 	227.92	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP	1RCR|2LWND|3BEXP|4DUR|5aAART|6DMG|7MDPS|8ASPD|9BASARM
36	31461 31513	   	227.92	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP	1RCR|2LWND|3BEXP|4FEWX|5aAART|6DMG|7MDPS|8ASPD|9BASARM
37	31661 31413	   	227.82	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP	1RCR|2LWND|3MBVNT|4BEXP|5aAART|6DMG|7MDPS|8ASPD|9BASARM
38	35122 63323	 * 	226.85	ACR|1BASARM|3BEXP|2ASPD	1RCR|2LEGI|378BEXP|4CGEN|579LHND|67ASPD|7BPWR|aBASARM
39	35122 63353	   	226.85	ACR|1BASARM|3BEXP|2ASPD	1RCR|2LEGI|378BEXP|4CGEN|57LHND|67ASPD|7BPWR|9DMSP|aBASARM
40	35114 63323	   	226.65	ACR|1BASARM|3BEXP|2ASPD	1RCR|2LEGI|378BEXP|49LHND|57ERES|67ASPD|7BPWR|aBASARM
41	35125 11333	 * 	226.65	ACR|1BASARM|3BEXP|2DMG	1RCR|2LEGI|389BEXP|4CGEN|56DMG|7LWND|aBASARM
42	35125 12333	   	226.65	ACR|1BASARM|3BEXP|2DMG	1RCR|2LEGI|389BEXP|4CGEN|56DMG|7DUR|aBASARM
43	35121 61333	   	226.65	ACR|1BASARM|3BEXP|2ASPD	1RCR|2LEGI|378BEXP|4CGEN|5LWND|69ASPD|aBASARM
44	35125 25333	   	226.55	ACR|1BASARM|3BEXP|2DMG	1RCR|2LEGI|389BEXP|4CGEN|57DMG|6DUST|aBASARM
45	31414 61333	   	226.55	ACR|1BASARM|3BEXP|2ASPD	1RCR|2LWND|378BEXP|4LEGI|5ERES|69ASPD|aBASARM
46	62316 31511	   	226.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1MDPS|2RCR|3DMG|4LWND|5aBEXP|6AART|7LHND|8ASPD|9BASARM
47	62316 36411	   	226.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1MDPS|2RCR|3DMG|4LWND|5aBEXP|6AART|7MBVNT|8ASPD|9BASARM
48	32113 36514	 * 	226.39	ACR|2VULN|2DMG|2BEXP|3CDMG	1RCR|2BELT|3aVULN|4CGEN|5aBEXP|6aDMG|789CDMG|aBPWR
49	33146 31531	 * 	226.19	ACR|1BASARM|2ASPD|1VULN|2CDMG	1RCR|29aMLV|3VENICY|4RCVC|5aASPD|6BASARM|7VULN|8aCDMG|aBPWR
50	32153 35151	   	224.85	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|2BELT|378VULN|4AME|57BEXP|67DMG|7BPWR|9AART|aLWND
51	32153 35153	   	224.85	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|2BELT|378VULN|4AME|57BEXP|67DMG|7BPWR|9AART|aCGEN
52	32153 35121	   	224.75	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|2BELT|378VULN|4AME|57BEXP|67DMG|7BPWR|9ERES|aAART
53	32153 35152	   	224.75	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|2BELT|378VULN|4AME|57BEXP|67DMG|7BPWR|9AART|aERES
54	53612 31511	 * 	223.54	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	1DMG|27VULN|3RCR|4CDMG|5LHND|6RCVC|8BASARM|9ERES|aASPD
