0	Index      	 *	Score 	Summary	Detail	
1	34653 21321	 * 	239.20	ACR|1BASARM|2DMG|2BEXP|1ASPD|1AART	1ASPD|29DMG|3RCR|4BASARM|5CGEN|6MLV|7AART|8aBEXP
112	34651 13233	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8AEMAG|9LIT|aZMB
113	34651 13312	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8ERES|9LHND|aRPLT
114	34651 13321	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8ERES|9RMIN|aLWND
115	34651 13322	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8ERES|9RMIN|aDUR
116	34651 23221	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6aLWND|8AEMAG|9MBVNT
117	34651 23232	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8AEMAG|9LIT|aMDPS
118	34651 23312	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8ERES|9LEGI|aMLV
119	34651 23313	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8ERES|9LEGI|aRPLT
120	34651 23321	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8ERES|9LIT|aDUST
121	34651 23322	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8ERES|9LIT|aMBVNT
122	34651 23323	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8aERES|9LIT
123	34651 33121	   	210.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1ASPD|29DMG|3RCR|4BASARM|5BEXP|6NUKE|7LIT|8DUR|aDUST
124	34652 13113	   	210.51	ACR|1BASARM|2ASPD|1DMG|1AART	17ASPD|2DMG|3RCR|4BASARM|5DUR|6DUST|8LHND|9AART|aMDPS
125	34652 23224	   	210.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5DUR|6LWND|8AEMAG|9MBVNT|aBEXP
126	34651 23132	   	210.46	ACR|1BASARM|2ASPD|1DMG|1BEXP|1SELL	17ASPD|2DMG|3RCR|4BASARM|5BEXP|69LWND|8LHND|aSELL
127	34651 13221	   	210.41	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8AEMAG|9MBVNT|aLWND
128	34651 13222	   	210.41	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8AEMAG|9MBVNT|aDUR
129	34651 13232	   	210.41	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8AEMAG|9LIT|aMDPS
130	34651 13311	   	210.41	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6aDUST|8ERES|9LHND
131	34651 13323	   	210.41	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8ERES|9RMIN|aTLV
132	34651 23223	   	210.41	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8AEMAG|9MBVNT|aDUST
133	34651 23311	   	210.41	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8ERES|9LEGI|aDUST
134	34651 13223	   	210.31	ACR|1BASARM|2ASPD|1DMG|1BEXP	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6DUST|8AEMAG|9MBVNT|aTLV
135	34651 23222	   	210.26	ACR|1BASARM|2ASPD|1DMG|1BEXP|1SELL	17ASPD|2DMG|3RCR|4BASARM|5BEXP|6LWND|8AEMAG|9MBVNT|aSELL
