0	Index      	 *	Score 	Summary	Detail	
1	22152 24361	 * 	207.47	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|2ZMB	19ZMB|2CGEN|39ASPD|4DMG|5DUST|6MDPS|79VULN|8AART|9BPWR|aRCR
44	25623 42223	   	192.19	DCR|2VULN|2ASPD|1AART|1ZMB	1ZMB|2RCVC|38VULN|4AME|5MLV|6RCR|7AART|9aASPD
45	25532 42223	   	192.09	DCR|2VULN|2ASPD|1AART|1ZMB	1ZMB|2RCVC|3CGEN|4ERES|58VULN|6RCR|7AART|9aASPD
46	25621 42223	   	192.09	DCR|2VULN|2ASPD|1AART|1ZMB	1ZMB|2RCVC|38VULN|4AME|5ERES|6RCR|7AART|9aASPD
47	44112 22161	   	191.84	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1ERES|2ZMB|3ASPD|4AAC|57VULN|6DMG|8LWND|9RCR|aAART
48	44112 22261	   	191.84	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1ERES|2ZMB|3ASPD|4AAC|57VULN|6DMG|8BEXP|9RCR|aAART
49	41234 22111	   	191.82	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1ERES|2LHND|38AART|4MDPS|5ASPD|6RCR|7aVULN|9DUR
50	41235 22111	 * 	191.82	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	1ERES|2LHND|38AART|4MDPS|5DMG|6RCR|7aVULN|9DUR
51	63234 22111	   	191.72	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1LEGI|2ERES|38AART|4MDPS|5ASPD|6RCR|7aVULN|9DUR
52	63235 22111	   	191.72	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	1LEGI|2ERES|38AART|4MDPS|5DMG|6RCR|7aVULN|9DUR
53	66236 32212	   	191.71	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1LEGI|2MDPS|3DMG|4DUR|59VULN|6ASPD|7TSLFST|8RCR|aAART
54	44112 21311	   	191.70	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1ERES|2ZMB|3ASPD|4AAC|5VULN|6DMG|7RCR|8LWND|9AART|aCDMG
55	44152 21311	 * 	191.70	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1ZMB	1ERES|2ZMB|3ASPD|4DMG|5VULN|6NUKE|7RCR|8LWND|9AART|aCDMG
56	62314 56221	 * 	191.54	DCR|2VULN|2DMG|1ASPD|1NUKE|1ZMB	1LEGI|2MBVNT|3aDUST|4aVULN|5ZMB|6RCR|7NUKE|8ASPD|9aDMG|aBPWR
57	42112 32436	 * 	191.53	DCR|2VULN|2DMG|2ASPD|1AAC	1aERES|2CGEN|3aASPD|4AAC|57VULN|6TLV|8RCR|9aDMG|aBPWR
58	66221 12213	 * 	191.43	DCR|2VULN|2DMG|1MDPS|2ASPD	1LEGI|2MDPS|3aDMG|4aASPD|59VULN|6DUST|7aTSLFST|8RCR|aBPWR
59	22154 42332	   	191.31	DCR|2DMG|2ASPD|1AART|2ZMB|1DUR	16ZMB|2CGEN|3aASPD|46DMG|5AART|6BPWR|7LIT|8DUR|9RCR
60	62215 32437	   	191.22	DCR|3VULN|1AART|2CDMG|1ZMB	1LEGI|2MBVNT|347VULN|57CDMG|6AART|7BPWR|8TLV|9ZMB|aRCR
61	44632 11232	 * 	191.14	DCR|2DMG|1VULN|2CDMG|1ASPD|1ZMB	17ERES|2ZMB|37CDMG|4MLV|5BEXP|67DMG|7BPWR|8RCR|9VULN|aASPD
62	22133 42163	 * 	190.90	DCR|3ASPD|2DMG|3ZMB	18aZMB|2CGEN|38aASPD|458BEXP|6RCR|7DMSP|8aBPWR|9aDMG
63	66236 32213	   	190.86	DCR|2VULN|2DMG|1MDPS|1ASPD|2DUR	1LEGI|2MDPS|3aDMG|4aDUR|59VULN|6ASPD|7aTSLFST|8RCR|aBPWR
64	62232 52811	   	190.38	DCR|2VULN|2DMG|3DUR|1ZMB	1LEGI|2MBVNT|38VULN|478DUR|58DMG|6RCR|8BPWR|9LHND|aZMB
65	62232 52841	   	190.38	DCR|2VULN|2DMG|3DUR|1ZMB	1LEGI|2MBVNT|38VULN|478DUR|58DMG|6RCR|8BPWR|9BEXP|aZMB
66	62234 52221	   	190.38	DCR|2VULN|2DMG|3DUR|1ZMB	1LEGI|2MBVNT|3aVULN|47aDUR|5ZMB|6RCR|8BEXP|9aDMG|aBPWR
67	62241 52811	   	190.38	DCR|2VULN|2DMG|3DUR|1ZMB	1LEGI|2MBVNT|38VULN|48DMG|578DUR|6RCR|8BPWR|9LHND|aZMB
68	62241 52841	   	190.38	DCR|2VULN|2DMG|3DUR|1ZMB	1LEGI|2MBVNT|38VULN|48DMG|578DUR|6RCR|8BPWR|9BEXP|aZMB
69	62234 52621	   	190.28	DCR|2VULN|2DMG|3DUR|1ZMB	1LEGI|2MBVNT|3aVULN|47aDUR|5ZMB|6RCR|8DUST|9aDMG|aBPWR
70	41632 22226	   	189.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ERES|2LHND|3ZMB|4DMSP|58VULN|6DMG|7AART|9ASPD|aRCR
71	44112 21214	 * 	189.89	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1ERES|2ZMB|3ASPD|4AAC|59aVULN|6DMG|7RCR|8RPLT
72	44112 21342	   	189.89	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1ERES|2ZMB|3ASPD|4AAC|59aVULN|6DMG|7RCR|8LWND
73	63632 22226	   	189.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LEGI|2ERES|3ZMB|4DMSP|58VULN|6DMG|7AART|9ASPD|aRCR
74	62225 52421	   	189.82	DCR|2VULN|2DMG|1ASPD|1DUR	1LEGI|2MBVNT|3aVULN|4aBEXP|5ASPD|6RCR|7DUR|8RCVC|9aDMG|aBPWR
75	24362 51343	   	189.76	DCR|2VULN|2DMG|3ZMB|1DUR	128ZMB|3MBVNT|48DMG|5DUST|6LIT|78VULN|8BPWR|9RCR|aDUR
76	41234 22142	 * 	189.71	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1ZMB	1ERES|2LHND|38AART|4MDPS|5ASPD|6RCR|7VULN|9ZMB|aCDMG
77	41235 22142	 * 	189.71	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG|1ZMB	1ERES|2LHND|38AART|4MDPS|5DMG|6RCR|7VULN|9ZMB|aCDMG
78	13615 13612	   	189.69	DCR|4VULN|1MDPS|1ASPD|1CDMG	1aFEWX|2CDMG|3MDPS|4ASPD|5679VULN|8RCR
79	36212 23614	 * 	189.69	DCR|4VULN|1DMG|1CDMG	1DUST|2FEWX|3BEXP|479aVULN|5DMG|6CDMG|8RCR
80	44112 21151	   	189.64	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB	1ERES|2ZMB|3ASPD|4AAC|59VULN|6aDMG|7RCR|8RMIN
81	62232 56311	   	189.62	DCR|3VULN|1ASPD|1DMG|1DUR|1SELL	1LEGI|2MBVNT|39aVULN|4DUR|5DMG|6RCR|7SELL|8ASPD
82	62241 56311	   	189.62	DCR|3VULN|1ASPD|1DMG|1DUR|1SELL	1LEGI|2MBVNT|39aVULN|4DMG|5DUR|6RCR|7SELL|8ASPD
83	62315 52421	   	189.62	DCR|2VULN|2DMG|1ASPD|1DUR	1LEGI|2MBVNT|3aDUST|4aVULN|5ASPD|6RCR|7DUR|8RCVC|9aDMG|aBPWR
84	63234 22142	   	189.61	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1ZMB	1LEGI|2ERES|38AART|4MDPS|5ASPD|6RCR|7VULN|9ZMB|aCDMG
85	63235 22142	   	189.61	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG|1ZMB	1LEGI|2ERES|38AART|4MDPS|5DMG|6RCR|7VULN|9ZMB|aCDMG
86	41232 32263	 * 	189.60	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1ERES|2LHND|3AART|4MDPS|578VULN|6ZMB|9RCR|aASPD
87	35212 23614	   	189.59	DCR|4VULN|1DMG|1CDMG	1DUST|2LEGI|3BEXP|479aVULN|5DMG|6CDMG|8RCR
88	63232 62263	   	189.50	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1LEGI|2ERES|3AART|4MDPS|578VULN|6ZMB|9RCR|aASPD
89	62215 32742	   	189.19	DCR|3VULN|1AART|2CDMG|1DUR	1LEGI|2MBVNT|347VULN|57CDMG|6AART|7BPWR|8DUR|9MSLREG|aRCR
90	32151 52411	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUST|2RCVC|3ASPD|46DMG|5ERES|7VULN|8RCR|9DUR|aAART
91	24364 32821	   	188.96	DCR|2VULN|2DMG|1ASPD|2ZMB	12ZMB|3MBVNT|4aDMG|57VULN|6AME|8ASPD|9RCR
92	66236 31111	   	188.75	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|2DUR	1LEGI|2MDPS|3DMG|49DUR|5VULN|6ASPD|78AART|aRCR
93	25311 23441	   	188.56	ACR|3DMG|2VULN|3ZMB|2DUR	157ZMB|2RCVC|3MBVNT|4RCR|57aBPWR|67aDMG|8aVULN|9aDUR
94	62241 52721	   	188.55	DCR|2VULN|2DMG|2DUR|2ZMB	1LEGI|2MBVNT|3aVULN|4aDMG|57DUR|6RCR|8LHND|9aZMB|aBPWR
95	13615 13632	 * 	188.06	DCR|3VULN|1MDPS|2ASPD|1CDMG	1FEWX|2CDMG|3MDPS|4aASPD|567VULN|8RCR|9LWND
96	62212 27731	   	188.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5DMG|6CDMG|7ZMB|8AART|9RCR|aRMIN
97	62212 27733	   	188.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5DMG|6CDMG|7ZMB|8AART|9RCR|aLWND
98	62212 27734	   	188.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5DMG|6CDMG|7ZMB|8AART|9RCR|aCGEN
99	62214 21731	   	188.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5ZMB|6CDMG|7ASPD|8AART|9RCR|aRMIN
100	62214 21733	   	188.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5ZMB|6CDMG|7ASPD|8AART|9RCR|aLWND
101	62214 21734	   	188.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5ZMB|6CDMG|7ASPD|8AART|9RCR|aCGEN
102	62214 21735	   	188.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5ZMB|6CDMG|7ASPD|8AART|9RCR|aSNIFST
103	62214 21737	   	188.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5ZMB|6CDMG|7ASPD|8AART|9RCR|aFEWX
104	62214 21738	   	188.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5ZMB|6CDMG|7ASPD|8AART|9RCR|aRPLT
105	62215 11731	   	188.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5CDMG|6ZMB|7ASPD|8AART|9RCR|aRMIN
106	62215 11733	   	188.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5CDMG|6ZMB|7ASPD|8AART|9RCR|aLWND
107	62215 11734	   	188.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5CDMG|6ZMB|7ASPD|8AART|9RCR|aCGEN
108	62247 31732	   	188.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LEGI|2MBVNT|3aVULN|4DMG|5LHND|6ZMB|7CDMG|8AART|9RCR
109	13615 13622	   	187.96	DCR|3VULN|1MDPS|2ASPD|1CDMG	1FEWX|2CDMG|3MDPS|4aASPD|567VULN|8RCR|9DUST
110	23166 32216	 * 	187.96	DCR|1MDPS|2ASPD|1AART|1VULN|1CDMG|1ZMB	1ZMB|2LIT|3CDMG|48ASPD|5MDPS|6RCR|7RCVC|9VULN|aAART
111	23166 33216	   	187.96	DCR|1MDPS|2ASPD|1AART|1VULN|1CDMG|1ZMB	1ZMB|27LIT|3CDMG|48ASPD|5MDPS|6RCR|9VULN|aAART
112	62212 27732	   	187.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5DMG|6CDMG|7ZMB|8AART|9RCR|aERES
113	62214 21732	   	187.92	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5ZMB|6CDMG|7ASPD|8AART|9RCR|aERES
114	62215 11732	   	187.92	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|2MBVNT|34VULN|5CDMG|6ZMB|7ASPD|8AART|9RCR|aERES
115	45122 22226	   	187.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ERES|2RCVC|3AME|4DUR|58VULN|6DMG|7AART|9ASPD|aRCR
116	22123 33436	   	187.87	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	1ZMB|2CGEN|37ASPD|4AME|5MLV|6VULN|8RCR|9DMG|aAART
117	22133 33436	   	187.87	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	1ZMB|2CGEN|37ASPD|45BEXP|6VULN|8RCR|9DMG|aAART
118	21251 53232	   	187.81	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1ZMB|2LHND|35AART|4MBVNT|6LIT|7RCR|8VULN|9CDMG|aASPD
119	22163 33436	   	187.77	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	1ZMB|2CGEN|37ASPD|4TLV|5MLV|6VULN|8RCR|9DMG|aAART
120	22216 26241	   	187.71	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1ZMB|2CGEN|34DUR|59VULN|6RCR|7RPLT|8CDMG|aAART
121	41234 22114	   	187.69	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1ERES|2LHND|38AART|4MDPS|5ASPD|6RCR|7VULN|9DUR|aCDMG
122	41235 22114	   	187.69	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG|1DUR	1ERES|2LHND|38AART|4MDPS|5DMG|6RCR|7VULN|9DUR|aCDMG
123	41234 22143	 * 	187.68	DCR|2AART|1MDPS|2ASPD|1VULN|1ZMB	1ERES|2LHND|38AART|4MDPS|5aASPD|6RCR|7VULN|9ZMB
124	24331 61281	 * 	187.64	DCR|2VULN|3ZMB|1AART|1DMG	125ZMB|3MBVNT|45LHND|5BPWR|6AART|7DMG|8aVULN|9RCR
125	43212 55323	   	187.62	DCR|2VULN|2DMG|1ASPD|1DUR	18ERES|2LIT|38DUST|4ASPD|5DUR|68VULN|7RCR|8BPWR|9aDMG
126	24385 43141	 * 	187.60	DCR|2ASPD|3ZMB|1VULN|1CDMG|2DUR	127ZMB|3MBVNT|4AELBLL|57ASPD|67DUR|7BPWR|8CDMG|9RCR|aVULN
127	13246 51232	 * 	187.59	DCR|3VULN|1ASPD|1NUKE|1CDMG|2ZMB	17FEWX|2CDMG|3NUKE|47ZMB|5RCVC|679VULN|7BPWR|8RCR|aASPD
128	13615 13251	 * 	187.59	DCR|4VULN|1MDPS|1ASPD|1NUKE|1CDMG	1FEWX|2CDMG|3MDPS|4ASPD|567aVULN|8NUKE|9RCR
129	63234 22114	   	187.59	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1LEGI|2ERES|38AART|4MDPS|5ASPD|6RCR|7VULN|9DUR|aCDMG
130	63235 22114	   	187.59	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG|1DUR	1LEGI|2ERES|38AART|4MDPS|5DMG|6RCR|7VULN|9DUR|aCDMG
131	63234 22143	   	187.58	DCR|2AART|1MDPS|2ASPD|1VULN|1ZMB	1LEGI|2ERES|38AART|4MDPS|5aASPD|6RCR|7VULN|9ZMB
132	62247 34812	   	187.56	DCR|2VULN|2DMG|1AART|1ZMB	1LEGI|2MBVNT|38VULN|48DMG|5LHND|6ZMB|78CGEN|8BPWR|9AART|aRCR
133	32156 21241	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1DUST|2RCVC|3ASPD|4DMG|59VULN|6RCR|7LHND|8ERES|aAART
134	32156 22241	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1DUST|2RCVC|3ASPD|4DMG|59VULN|6RCR|7LWND|8ERES|aAART
135	32156 23341	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1DUST|2RCVC|3ASPD|4DMG|59VULN|6RCR|7TLV|8LWND|aAART
136	62244 34812	   	187.46	DCR|2VULN|2DMG|1AART|1ZMB	1LEGI|2MBVNT|38VULN|48DMG|5DUST|6ZMB|78CGEN|8BPWR|9AART|aRCR
137	24322 21751	   	187.30	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	12ZMB|3MBVNT|4ERES|59VULN|6DMG|7RCR|8DUR|aAART
138	25626 11232	   	187.29	DCR|4VULN|1ASPD|2ZMB	17ZMB|2RCVC|3579VULN|47AME|6RPLT|7BPWR|8RCR|aASPD
139	64631 32222	 * 	186.78	DCR|3ASPD|2VULN|1AART	1LEGI|259ASPD|3DMSP|45BEXP|5BPWR|68VULN|7AART|aRCR
140	66224 31212	   	186.64	DCR|3ASPD|1MDPS|1VULN|1DMG|1CDMG	1LEGI|2MDPS|3DMG|45aASPD|6RCR|7CDMG|8ERES|9VULN
141	62211 42477	   	186.61	DCR|4VULN|1AART|2DUR	1LEGI|2MBVNT|3479VULN|58DUR|6AART|aRCR
142	62231 42477	   	186.61	DCR|4VULN|1AART|2DUR	1LEGI|2MBVNT|3579VULN|48DUR|6AART|aRCR
143	33652 22152	 * 	186.38	DCR|2VULN|2AART|3CDMG	139DUST|239CDMG|39BPWR|46AART|5LIT|7CGEN|89VULN|aRCR
144	33652 23152	   	186.38	DCR|2VULN|2AART|3CDMG	139DUST|239CDMG|39BPWR|46AART|5LIT|7AME|89VULN|aRCR
145	63413 41133	 * 	186.28	DCR|2ASPD|2CDMG|1AART|1DMG|1SPLREG	1LEGI|2aERES|3LIT|4aASPD|5SPLREG|6DMG|7RCR|8aCDMG|9AART|aBPWR
146	44112 22162	   	185.89	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1ERES|2ZMB|3ASPD|4AAC|57aVULN|6DMG|8LWND|9RCR
147	44112 22262	   	185.89	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1ERES|2ZMB|3ASPD|4AAC|57aVULN|6DMG|8BEXP|9RCR
148	21565 13331	 * 	185.76	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LHND|3RCR|4RPLT|567VULN|8CDMG|9DMG|aAART
149	42124 23421	   	185.75	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	1ERES|2CGEN|37ASPD|4AME|5DUR|6DMG|8RCR|9VULN|aAART
150	42122 23411	   	185.75	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	1ERES|2CGEN|37ASPD|4AME|5VULN|6DMG|8RCR|9DUR|aAART
151	25364 32821	   	185.74	DCR|2VULN|2DMG|1ASPD|1ZMB	1ZMB|2RCVC|3MBVNT|4aDMG|57VULN|6AME|8ASPD|9RCR
152	32156 13411	   	185.65	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	1DUST|2RCVC|37ASPD|4DMG|5VULN|6ERES|8RCR|9DUR|aAART
153	32151 52412	   	185.62	DCR|2VULN|2DMG|1ASPD|1DUR	1DUST|2RCVC|3ASPD|46DMG|5ERES|7aVULN|8RCR|9DUR
154	62211 88221	   	185.59	DCR|3VULN|2DMG|1DUR	1LEGI|2MBVNT|34aVULN|5DUR|6RMIN|7RCR|8aBEXP|9aDMG|aBPWR
