0	Index      	 *	Score 	Summary	Detail	
1	31632 33163	 * 	223.64	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2FEWX|34aVULN|5ZMB|67DMG|8CDMG|9RCR
25	36332 33166	   	209.55	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCVC|3LWND|4aVULN|5ZMB|67DMG|8CDMG|9RCR
26	31137 32526	 * 	209.47	DCR|4VULN|1AART|1ASPD|1CDMG	1AART|2FEWX|3MBVNT|4578VULN|6ASPD|9CDMG|aRCR
27	33344 13261	 * 	209.33	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	15AART|2RPLT|3ASPD|49VULN|6RCR|7CDMG|8RMIN|aMDPS
28	33331 13316	   	209.29	DCR|3ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2RPLT|358ASPD|4DUR|6RCR|7CDMG|9ZMB|aVULN
29	31632 35163	   	209.27	DCR|3VULN|1AART|1DMG|1CDMG|2ZMB	1AART|2FEWX|34aVULN|57ZMB|6DMG|8CDMG|9RCR
30	31514 33163	   	209.03	DCR|2VULN|2DMG|1AART|1CDMG|2ZMB	1AART|2FEWX|34ZMB|5aVULN|67DMG|8CDMG|9RCR
31	62212 31343	 * 	208.84	DCR|3VULN|3ASPD|1DMG|1AAC	149VULN|2RCVC|349LIT|49BPWR|569ASPD|7AAC|8RCR|aDMG
32	33361 32436	   	208.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2RPLT|3ASPD|4CDMG|5DUST|6DMG|7aVULN|8ZMB|9RCR
33	33362 32547	   	208.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2RPLT|3ASPD|4CDMG|5MBVNT|6DMG|7aVULN|8ZMB|9RCR
34	36431 13342	   	208.08	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1AART|2RCVC|3BELT|4DUR|5ASPD|69VULN|7RCR|8ZMB|aDMG
35	36234 21221	   	207.86	DCR|2VULN|1AART|2CDMG|1DMG|3DUR	1AART|2RCVC|367DUR|47VULN|57CDMG|7BPWR|8DMG|9RCR|aAME
36	36234 21226	   	207.86	DCR|2VULN|1AART|2CDMG|1DMG|3DUR	1AART|2RCVC|367DUR|47VULN|57CDMG|7BPWR|8DMG|9RCR|aFEWX
37	33362 44837	 * 	207.84	DCR|2VULN|2ASPD|1AART|2CDMG|1DUR	1AART|2RPLT|36ASPD|46CDMG|5MBVNT|6BPWR|7DUR|8aVULN|9RCR
38	36234 21223	   	207.76	DCR|2VULN|1AART|2CDMG|1DMG|3DUR|1MSE	1AART|2RCVC|367DUR|47VULN|57CDMG|7BPWR|8DMG|9RCR|aMSE
39	36234 21224	   	207.76	DCR|2VULN|1AART|2CDMG|1DMG|3DUR	1AART|2RCVC|367DUR|47VULN|57CDMG|7BPWR|8DMG|9RCR|aMBVNT
40	61213 46232	   	207.75	DCR|3VULN|2DMG|1ASPD|1DUR	145VULN|2DMSP|34LIT|4BPWR|6RCR|7DUR|89DMG|aASPD
41	33341 13261	 * 	207.47	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1AART|2RPLT|35ASPD|49VULN|6RCR|7CDMG|8RMIN|aMDPS
42	33341 12364	   	207.43	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1AART|2RPLT|35ASPD|4VULN|6RCR|7FEWX|8aDMG|9DUR
43	62213 46231	   	207.08	DCR|3VULN|3DMG|1DUR	145VULN|2RCVC|34LIT|4BPWR|6RCR|7DUR|89aDMG
44	33453 53211	 * 	206.94	DCR|3AART|2VULN|1ASPD|1DMG	156AART|2RPLT|38VULN|4MBVNT|7RCR|9ASPD|aDMG
45	33331 12646	   	206.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1AART|2RPLT|35ASPD|4DUR|6RCR|7FEWX|8CDMG|9aVULN
46	33331 13264	   	206.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1AART|2RPLT|35ASPD|4DUR|6RCR|7CDMG|8RMIN|9aVULN
47	33341 12643	   	206.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1AART|2RPLT|35ASPD|49VULN|6RCR|7FEWX|8CDMG|aDUR
48	22343 32211	 * 	206.26	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2CDMG|3aASPD|4DUR|5BELT|6DMG|7AART|8RCR|9VULN
49	31632 33161	   	206.14	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2FEWX|34VULN|5ZMB|67DMG|8CDMG|9RCR|aRCVC
50	33344 12361	 * 	205.92	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	15AART|2RPLT|3aASPD|4VULN|6RCR|7FEWX|8DMG|9DUR
51	36222 33166	   	205.91	DCR|2VULN|2AART|1ASPD|1CDMG|1AAC|1DUR	15AART|2RCVC|3DUR|4ASPD|6AAC|7aVULN|8CDMG|9RCR
52	33341 15374	   	205.82	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	1aAART|2RPLT|35ASPD|4VULN|6RCR|7MBVNT|8DMG|9DUR
53	31632 33162	   	205.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2FEWX|34VULN|5ZMB|67DMG|8CDMG|9RCR|aBELT
54	31632 33164	   	205.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2FEWX|34VULN|5ZMB|67DMG|8CDMG|9RCR|aBEXP
55	31632 33165	   	205.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2FEWX|34VULN|5ZMB|67DMG|8CDMG|9RCR|aMULARM
56	61212 31343	   	205.10	DCR|3VULN|3ASPD|1DMG|1AAC	149VULN|2DMSP|349LIT|49BPWR|569ASPD|7AAC|8RCR|aDMG
57	31634 21331	 * 	203.93	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1AART|2FEWX|347VULN|5CDMG|6DUR|8MDPS|9RCR|aASPD
58	31634 21334	 * 	203.93	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1AART|2FEWX|347VULN|5CDMG|6DUR|8MDPS|9RCR|aDMG
59	33363 53234	   	203.76	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|2DUR	1AART|2RPLT|39ASPD|4CDMG|5MDPS|6RMIN|79VULN|89DUR|9BPWR|aRCR
60	61213 46231	   	203.34	DCR|3VULN|3DMG|1DUR	145VULN|2DMSP|34LIT|4BPWR|6RCR|7DUR|89aDMG
61	33462 22411	   	203.16	DCR|4VULN|1AART|1CDMG|2DUR	1AART|2RPLT|3578VULN|45DUR|5BPWR|6CDMG|9FEWX|aRCR
62	33462 22431	   	203.16	DCR|4VULN|1AART|1CDMG|2DUR	1AART|2RPLT|3578VULN|45DUR|5BPWR|6CDMG|9BEXP|aRCR
63	32136 38245	   	203.09	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2DUST|3MBVNT|4aVULN|5CGEN|69DMG|7RCR|8ASPD
64	62213 43232	   	203.08	DCR|3VULN|2DMG|1ASPD	145VULN|2RCVC|34LIT|4BPWR|6RCR|7MBVNT|89DMG|aASPD
65	32131 38245	   	202.99	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2DUST|3MBVNT|4aVULN|5ERES|69DMG|7RCR|8ASPD
66	33344 22234	 * 	202.96	DCR|3ASPD|2VULN|2AART	15AART|2RPLT|369ASPD|46VULN|6BPWR|7LHND|8LWND|aRCR
67	33341 12361	 * 	202.77	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1AART|2RPLT|35aASPD|4VULN|6RCR|7FEWX|8DMG|9DUR
68	33341 14361	   	202.67	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1AART|2RPLT|35aASPD|4VULN|6RCR|7DUST|8DMG|9DUR
69	33341 15371	   	202.67	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1AART|2RPLT|35aASPD|4VULN|6RCR|7MBVNT|8DMG|9DUR
70	31132 67345	 * 	202.55	DCR|2MDPS|2VULN|2AART|1ASPD	15AART|2FEWX|3MBVNT|47VULN|6RCR|8ASPD|9aMDPS
71	22343 32213	   	202.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2CDMG|3ASPD|4DUR|5BELT|6DMG|7AART|8RCR|9VULN|aZMB
72	31132 67363	   	202.25	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	15AART|2FEWX|3MBVNT|47VULN|6RCR|8ASPD|9ZMB|aDUR
73	32132 66511	 * 	202.23	DCR|3AART|2DMG|1VULN|1CDMG	159AART|2DUST|3MBVNT|4VULN|6RCR|7CDMG|8aDMG
74	33344 13323	   	202.11	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LWND|aDUR
75	33344 13333	   	202.11	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LHND|aDUR
76	33341 12653	   	202.11	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	19AART|2RPLT|35ASPD|4VULN|6RCR|7FEWX|8CDMG|aDUR
77	33344 13313	   	202.01	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LEGI|aDUR
78	33365 33163	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|5aVULN|6DMG|7RCR|8LIT|9RMIN
79	33365 33324	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|5aVULN|6DMG|7RCR|8MLV|9AME
80	33365 33342	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|59VULN|6DMG|7RCR|8MLV|aBEXP
81	33365 33343	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|59VULN|6DMG|7RCR|8MLV|aCGEN
82	33365 33611	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|58VULN|6DMG|7RCR|9LWND|aMLV
83	33365 33612	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|58VULN|6DMG|7RCR|9LWND|aDMSP
84	33365 33613	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|58VULN|6DMG|7RCR|9LWND|aBEXP
85	33365 33622	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|58VULN|6DMG|7RCR|9AME|aBEXP
86	33365 33623	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|58VULN|6DMG|7RCR|9AME|aCGEN
87	33341 12345	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG	1AART|2RPLT|35ASPD|4aVULN|6RCR|7FEWX|8DMG|9CGEN
88	31125 42826	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2FEWX|3MBVNT|4CDMG|5MLV|6DMG|7RCR|8ASPD|9aVULN
89	33365 33111	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|5aVULN|6DMG|7RCR|8LIT|9BASFIG
90	33365 33341	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|59VULN|6DMG|7RCR|8MLV|aDUST
91	33365 33621	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RPLT|3ASPD|4CDMG|58VULN|6DMG|7RCR|9AME|aDUST
92	33341 15336	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1AART|2RPLT|35ASPD|4aVULN|6RCR|7MBVNT|8DMG|9RMIN
93	31127 42826	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2FEWX|3MBVNT|4CDMG|5ERES|6DMG|7RCR|8ASPD|9aVULN
94	32125 42826	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2DUST|3MBVNT|4CDMG|5MLV|6DMG|7RCR|8ASPD|9aVULN
95	33365 33631	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1MSE	1AART|2RPLT|3ASPD|4CDMG|58VULN|6DMG|7RCR|9MSE|aMLV
96	33365 33632	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1MSE	1AART|2RPLT|3ASPD|4CDMG|58VULN|6DMG|7RCR|9MSE|aLEGI
97	33365 33633	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1MSE	1AART|2RPLT|3ASPD|4CDMG|58VULN|6DMG|7RCR|9MSE|aRCVC
98	33341 15346	   	201.72	DCR|2VULN|2ASPD|1AART|1DMG	1AART|2RPLT|35ASPD|4aVULN|6RCR|7MBVNT|8DMG|9ERES
99	32124 42826	   	201.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2DUST|3MBVNT|4CDMG|5ERES|6DMG|7RCR|8ASPD|9aVULN
100	33365 33116	 * 	201.53	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1AART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8LIT|9BASFIG|aNUKE
101	31132 67315	   	201.45	DCR|3VULN|2AART|1ASPD	15AART|2FEWX|3MBVNT|47aVULN|6RCR|8ASPD|9LWND
102	33341 13265	   	201.45	DCR|2VULN|2ASPD|1AART|1CDMG|1AAC	1AART|2RPLT|35ASPD|49VULN|6RCR|7CDMG|8RMIN|aAAC
103	32137 66424	   	201.42	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2DUST|3MBVNT|459VULN|6RCR|7CDMG|8CANARM|aDMG
104	33362 32246	 * 	201.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2RPLT|3ASPD|4CDMG|5MBVNT|69DMG|7VULN|8DUR|aRCR
105	62213 43262	 * 	201.34	DCR|4VULN|1ASPD|1DMG	1459VULN|2RCVC|34LIT|4BPWR|6RCR|7MBVNT|8DMG|aASPD
106	14242 11431	   	201.26	DCR|3VULN|2DMG|1AART	1aMLV|2aDMG|3LIT|4LHND|5AART|68aVULN|7RCR|9RPLT|aBPWR
107	33341 13311	   	200.99	DCR|3ASPD|1AART|1VULN|1CDMG|1ZMB	1AART|2RPLT|358ASPD|4VULN|6RCR|7CDMG|9ZMB|aCGEN
108	33341 13312	   	200.99	DCR|3ASPD|1VULN|1AART|1CDMG|1ZMB	1AART|2RPLT|358ASPD|4VULN|6RCR|7CDMG|9ZMB|aBEXP
109	33341 13313	   	200.99	DCR|3ASPD|1VULN|1AART|1CDMG|1ZMB	1AART|2RPLT|358ASPD|4VULN|6RCR|7CDMG|9ZMB|aFEWX
110	33341 13314	   	200.99	DCR|3ASPD|1VULN|1AART|1CDMG|1ZMB	1AART|2RPLT|358ASPD|4VULN|6RCR|7CDMG|9ZMB|aRMIN
111	33341 13315	   	200.99	DCR|3ASPD|1VULN|1AART|1CDMG|1ZMB	1AART|2aRPLT|358ASPD|4VULN|6RCR|7CDMG|9ZMB
112	33344 12324	 * 	200.88	DCR|2AART|2DMG|1VULN|1ASPD	15AART|2RPLT|3ASPD|4VULN|6RCR|7FEWX|8aDMG|9DUST
113	33344 15314	   	200.88	DCR|2AART|2DMG|1VULN|1ASPD	15AART|2RPLT|3ASPD|4VULN|6RCR|7MBVNT|8aDMG|9SPLJET
114	66261 13231	 * 	200.64	DCR|3DMG|2VULN|1AART|1SELL	19VULN|29DUST|349DMG|5SELL|6RCR|7RPLT|8AART|9BPWR|aRMIN
115	66261 13232	 * 	200.64	DCR|3DMG|2VULN|1AART|1SELL	19VULN|29DUST|349DMG|5SELL|6RCR|7RPLT|8AART|9BPWR|aCGEN
116	66261 13233	 * 	200.64	DCR|3DMG|2VULN|1AART|1SELL	19VULN|29DUST|349DMG|5SELL|6RCR|7RPLT|8AART|9BPWR|aLWND
117	66241 13232	 * 	200.54	DCR|3DMG|2VULN|1AART|1SELL	19VULN|249DUST|39aDMG|5SELL|6RCR|7RPLT|8AART|9BPWR
118	33365 33143	   	200.21	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8LIT|9DUR|aZMB
119	33365 33251	   	200.21	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8DUR|9ZMB|aLIT
120	33365 33252	   	200.21	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8DUR|9ZMB|aCGEN
121	33365 33253	   	200.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8DUR|9ZMB|aLWND
122	33344 13114	   	199.96	DCR|2VULN|2AART|1ASPD|1CDMG	15AART|2RPLT|3ASPD|4aVULN|6RCR|7CDMG|8CGEN|9LWND
123	33344 13214	   	199.96	DCR|2VULN|2AART|1ASPD|1CDMG	15AART|2RPLT|3ASPD|4aVULN|6RCR|7CDMG|8RMIN|9LWND
124	33344 13262	   	199.96	DCR|2VULN|2AART|1ASPD|1CDMG	15AART|2RPLT|3ASPD|49VULN|6RCR|7CDMG|8RMIN|aCGEN
125	33344 13263	   	199.86	DCR|2VULN|2AART|1ASPD|1CDMG	15AART|2RPLT|3ASPD|49VULN|6RCR|7CDMG|8RMIN|aLEGI
126	32133 12646	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	1AART|29DUST|3MBVNT|49VULN|5LIT|6FEWX|7RCR|89ASPD|9BPWR|aDMG
127	32135 42646	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	1AART|29DUST|3MBVNT|49VULN|5LHND|6LIT|7RCR|89ASPD|9BPWR|aDMG
128	33343 15315	   	199.78	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2RPLT|3ASPD|4aVULN|5CGEN|6LWND|7DMG|8RCR
129	32132 66522	 * 	199.76	DCR|2VULN|2AART|1DMG|1CDMG	15AART|2DUST|3MBVNT|49VULN|6RCR|7CDMG|8DMG|aCGEN
130	32132 66424	   	199.66	DCR|2VULN|2AART|1DMG|1CDMG	15AART|2DUST|3MBVNT|49VULN|6RCR|7CDMG|8CANARM|aDMG
131	32132 66425	   	199.66	DCR|2VULN|2AART|1ASPD|1CDMG	15AART|2DUST|3MBVNT|49VULN|6RCR|7CDMG|8CANARM|aASPD
132	32132 66521	   	199.66	DCR|2VULN|2AART|1DMG|1CDMG	15AART|2aDUST|3MBVNT|49VULN|6RCR|7CDMG|8DMG
133	32132 66523	   	199.66	DCR|2VULN|2AART|1DMG|1CDMG	15AART|2DUST|3MBVNT|49VULN|6RCR|7CDMG|8DMG|aERES
134	32132 66524	   	199.66	DCR|2VULN|2AART|1DMG|1CDMG|1MSE	15AART|2DUST|3MBVNT|49VULN|6RCR|7CDMG|8DMG|aMSE
135	33452 23714	   	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|2RPLT|358VULN|4MBVNT|5BPWR|6CDMG|7RCR|9LWND|aASPD
136	31137 67314	   	199.59	DCR|3VULN|2ASPD|1AART	1AART|2FEWX|3MBVNT|457VULN|6RCR|8aASPD|9LWND
137	36334 61222	   	199.59	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1AART|2RCVC|367LWND|47VULN|57CDMG|7BPWR|8DMG|9RCR|aZMB
138	33362 41837	   	199.54	DCR|2VULN|2ASPD|1AART|2CDMG	1AART|2RPLT|36ASPD|46CDMG|5MBVNT|6BPWR|7BEXP|8aVULN|9RCR
139	22343 32214	 * 	199.47	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1RCVC|2aCDMG|3ASPD|4DUR|5BELT|6DMG|7AART|8RCR|9VULN
140	61213 43232	   	199.34	DCR|3VULN|2DMG|1ASPD	145VULN|2DMSP|34LIT|4BPWR|6RCR|7MBVNT|89DMG|aASPD
141	62213 43238	   	199.27	DCR|3VULN|2DMG|1CDMG	145VULN|2RCVC|34LIT|4BPWR|6RCR|7MBVNT|89DMG|aCDMG
142	62213 43146	 * 	199.25	DCR|5VULN|1AART	1458aVULN|2RCVC|34LIT|4BPWR|6RCR|7MBVNT|9AART
143	33341 24352	   	199.22	DCR|3ASPD|2VULN|1AART|1ZMB	1AART|2RPLT|356ASPD|46VULN|6BPWR|7ZMB|8BEXP|9RCR|aCGEN
144	33341 24353	   	199.22	DCR|3ASPD|2VULN|1AART|1ZMB	1AART|2RPLT|356ASPD|46VULN|6BPWR|7ZMB|8aBEXP|9RCR
145	33365 33135	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2RPLT|3ASPD|4CDMG|5VULN|6aDMG|7RCR|8LIT|9LHND
146	33341 24351	   	199.12	DCR|3ASPD|2VULN|1AART|1ZMB	1AART|2RPLT|356ASPD|46VULN|6BPWR|7ZMB|8BEXP|9RCR|aDUST
147	62213 43224	   	199.07	DCR|4VULN|2DMG	145aVULN|2RCVC|34LIT|4aBPWR|6RCR|7MBVNT|8aDMG|9aSNIFST
148	33344 13352	   	199.06	DCR|3AART|2ASPD|1VULN|1CDMG	159AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|aFEWX
149	33344 13353	   	199.06	DCR|3AART|2ASPD|1VULN|1CDMG	159AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|aCGEN
150	31121 24573	 * 	199.06	DCR|3VULN|2AART|2CDMG	16AART|2FEWX|3MBVNT|45CDMG|78aVULN|9RCR
151	33341 12324	   	199.03	DCR|2DMG|2ASPD|1VULN|1AART	1AART|2RPLT|35ASPD|4VULN|6RCR|7FEWX|8aDMG|9DUST
152	33341 15314	   	199.03	DCR|2DMG|2ASPD|1VULN|1AART	1AART|2RPLT|35ASPD|4VULN|6RCR|7MBVNT|8aDMG|9SPLJET
153	62223 43264	   	198.97	DCR|4VULN|2DMG	159aVULN|2RCVC|3aLIT|4DMSP|6RCR|7MBVNT|8aDMG|aBPWR
154	33341 13351	   	198.96	DCR|3ASPD|1AART|1VULN|1CDMG|1DUR	1AART|2RPLT|358ASPD|4VULN|6RCR|7CDMG|9LIT|aDUR
155	33341 15325	   	198.93	DCR|2DMG|2ASPD|1VULN|1AART	1AART|2RPLT|35ASPD|4VULN|6RCR|7MBVNT|8aDMG|9DUST
156	22346 33233	   	198.87	DCR|2ASPD|1VULN|1AART|2CDMG|2DUR	1RCVC|26CDMG|37ASPD|45DUR|8RCR|9VULN|aAART
157	62213 43261	   	198.87	DCR|4VULN|2DMG	1459VULN|2RCVC|34LIT|4BPWR|6RCR|7MBVNT|8aDMG
158	62223 43234	   	198.77	DCR|3VULN|3DMG	15aVULN|2RCVC|3aLIT|4DMSP|6RCR|7MBVNT|89aDMG|aBPWR
159	62213 43231	   	198.67	DCR|3VULN|3DMG	145VULN|2RCVC|34LIT|4BPWR|6RCR|7MBVNT|89aDMG
160	32634 32512	   	198.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUST|34VULN|5CDMG|6DMG|7LHND|8RCR|9DUR|aZMB
