0	Index      	 *	Score 	Summary	Detail	
1	36462 13333	 * 	245.22	紫2易伤3基地爆炸2攻速2伤害1全技能	124基地爆炸3a伤害5核6全技能7雷电8a易伤9a攻速a序列升级
17	56241 13323	   	225.24	紫2基础对甲3基地爆炸1攻速1暴击	1敌人爆炸25a基地爆炸35基础对甲4核5序列升级6攻速78立即金币9暴击
18	56241 11212	   	224.88	紫2基础对甲2基地爆炸1易伤1攻速1暴击	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6攻速7最后敌人8易伤9暴击a随机矿
19	56241 11311	   	224.88	紫2基础对甲2基地爆炸1攻速1易伤1暴击	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6攻速7最后敌人8低血量敌人9暴击a易伤
20	56241 12212	   	224.88	紫2基础对甲2基地爆炸1攻速1全技能1暴击	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6攻速7额外掉落8暴击9全技能a平台
21	56241 11213	   	224.78	紫2基础对甲2基地爆炸1易伤1攻速1暴击	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6攻速7最后敌人8易伤9暴击a掉矿
22	56241 12211	   	224.78	紫2基础对甲2基地爆炸1攻速1暴击1全技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6攻速7额外掉落8暴击9全技能a挖尘
23	56241 13223	   	224.10	紫2基础对甲3基地爆炸1攻速1暴击	18敌人爆炸25a基地爆炸35基础对甲4核5序列升级6攻速7立即金币9暴击
24	23336 22641	   	224.02	紫2易伤2攻速2伤害1基地爆炸1全技能	1喷火对黄2全技能3a易伤4核5雷电6金币生成7a攻速8基地爆炸9a伤害a序列升级
25	56241 13113	   	224.00	紫2基础对甲3基地爆炸1攻速1全技能	1敌人爆炸258基地爆炸35基础对甲4核5序列升级6攻速7立即金币9双倍秒伤a全技能
26	56241 11112	   	222.49	紫2基础对甲3基地爆炸1攻速1暴击	1敌人爆炸258基地爆炸35基础对甲4核5序列升级6攻速7最后敌人9暴击a平台
27	56241 21222	 * 	222.47	紫2基础对甲2基地爆炸2全技能1伤害	17敌人爆炸25基地爆炸35基础对甲4核5序列升级69全技能8伤害a双倍矿
28	56241 11111	   	222.39	紫2基础对甲3基地爆炸1攻速1暴击	1敌人爆炸258基地爆炸35基础对甲4核5序列升级6攻速7最后敌人9暴击a挖尘
29	56241 11133	   	222.39	紫2基础对甲3基地爆炸1攻速1全技能	1敌人爆炸258基地爆炸35基础对甲4核5序列升级6攻速7最后敌人9掉矿a全技能
30	56241 31113	 * 	222.39	紫2基础对甲3基地爆炸1易伤2暴击	1敌人爆炸258基地爆炸35基础对甲4核5序列升级6易伤7随机矿9a暴击
31	56241 21221	   	222.37	紫2基础对甲2基地爆炸2全技能1伤害	17敌人爆炸25基地爆炸35基础对甲4核5序列升级69全技能8伤害a磁铁减费
32	56241 21223	   	222.37	紫2基础对甲2基地爆炸2全技能1伤害	17敌人爆炸25基地爆炸35基础对甲4核5序列升级69全技能8伤害a掉矿
33	56241 31121	 * 	221.18	紫2基础对甲3基地爆炸1易伤1攻速	1敌人爆炸258基地爆炸35基础对甲4核5序列升级6易伤7a随机矿9攻速
34	56241 11233	   	221.16	紫2基础对甲2易伤2基地爆炸1攻速	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6攻速7最后敌人8a易伤9掉矿
35	56241 31122	   	221.08	紫2基础对甲3基地爆炸1易伤1攻速	1敌人爆炸258基地爆炸35基础对甲4核5序列升级6易伤7随机矿9攻速a双倍秒伤
36	56241 31123	   	221.08	紫2基础对甲3基地爆炸1易伤1攻速	1敌人爆炸258基地爆炸35基础对甲4核5序列升级6易伤7随机矿9攻速a掉矿
37	56243 22323	 * 	220.56	紫1基础对甲2攻速1易伤1伤害1基地爆炸	1敌人爆炸2基地爆炸3基础对甲4核5易伤6伤害7挖尘89攻速a矿等
38	56243 22321	   	220.46	紫1基础对甲2攻速1易伤1伤害1基地爆炸	1敌人爆炸2基地爆炸3基础对甲4核5易伤6伤害7a挖尘89攻速
39	56243 22322	   	220.46	紫1基础对甲2攻速1易伤1伤害1基地爆炸	1敌人爆炸2基地爆炸3基础对甲4核5易伤6伤害7挖尘89攻速a技能点
40	56241 13313	 * 	220.39	紫2基础对甲2基地爆炸1攻速1伤害	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6攻速78立即金币9伤害a双倍矿
41	56241 13312	   	220.29	紫2基础对甲2基地爆炸1攻速1伤害	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6攻速78立即金币9伤害a双倍秒伤
42	56241 22331	   	219.77	紫2基础对甲2基地爆炸1易伤1暴击1全技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7易伤8低血量敌人9金币生成a暴击
43	56241 22131	   	219.67	紫2基础对甲2基地爆炸1易伤1全技能1暴击	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7易伤8加一9金币生成a暴击
44	56241 22142	   	219.67	紫2基础对甲2基地爆炸1易伤1全技能1暴击	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7易伤8加一9雷电a暴击
45	56241 22231	   	219.67	紫2基础对甲2基地爆炸1易伤1全技能1暴击	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7易伤8技能点9最后敌人a暴击
46	56241 22211	   	219.57	紫2基础对甲2基地爆炸1易伤1暴击1全技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7易伤8技能点9挖尘a暴击
47	56241 13213	   	219.25	紫2基础对甲2基地爆炸1攻速1伤害	18敌人爆炸25基地爆炸35基础对甲4核5序列升级6攻速7立即金币9伤害a双倍矿
48	56241 13212	   	219.15	紫2基础对甲2基地爆炸1攻速1伤害	18敌人爆炸25基地爆炸35基础对甲4核5序列升级6攻速7立即金币9伤害a双倍秒伤
49	23331 55321	   	219.10	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	1喷火对黄2全技能3易伤4核5低血量敌人6攻速7伤害8立即金币9基础对甲a基地爆炸
50	23335 35321	   	219.10	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能	1喷火对黄2全技能3易伤4核5最后敌人6攻速7伤害8立即金币9基础对甲a基地爆炸
51	56241 23312	   	218.66	紫2基础对甲2基地爆炸2全技能1易伤	1敌人爆炸25基地爆炸35基础对甲4核5序列升级68全技能7雷电9易伤a时间
52	56241 23313	   	218.66	紫2基础对甲2基地爆炸2全技能1易伤	1敌人爆炸25基地爆炸35基础对甲4核5序列升级68全技能7雷电9易伤a金币生成
53	56241 22141	   	218.56	紫2基础对甲2基地爆炸2全技能1易伤	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6a全技能7易伤8加一9雷电
54	56241 23323	   	218.56	紫2基础对甲2基地爆炸2全技能1易伤	1敌人爆炸25基地爆炸35基础对甲4核5序列升级68全技能7雷电9狙击对黄a易伤
55	56243 22223	   	217.92	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能	1敌人爆炸2基地爆炸3基础对甲4核5易伤6伤害7挖尘8策反9攻速a全技能
56	56243 22333	   	217.82	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能	1敌人爆炸2基地爆炸3基础对甲4核5易伤6伤害7挖尘8攻速9掉矿a全技能
57	34162 11115	   	217.77	紫1基础对甲3基地爆炸1易伤1攻速1全技能	134基地爆炸27策反5核6全技能8易伤9基础对甲a攻速
58	56241 31232	   	217.60	紫2基础对甲2易伤2基地爆炸1全技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级68易伤7随机矿9全技能a立即金币
59	56241 22332	   	217.27	紫2基础对甲2易伤2基地爆炸1全技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7a易伤8低血量敌人9金币生成
60	56241 31233	   	217.17	紫2基础对甲2易伤2基地爆炸1全技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级68易伤7随机矿9全技能a挖尘
61	56241 22132	   	217.17	紫2基础对甲2易伤2基地爆炸1全技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7a易伤8加一9金币生成
62	56241 22232	   	217.17	紫2基础对甲2易伤2基地爆炸1全技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7a易伤8技能点9最后敌人
63	56241 22212	   	217.07	紫2基础对甲2易伤2基地爆炸1全技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7a易伤8技能点9挖尘
64	56241 22321	   	216.08	紫2基础对甲3基地爆炸1易伤1全技能	1敌人爆炸259基地爆炸35基础对甲4核5序列升级6全技能7易伤8低血量敌人a随机矿
65	56241 22323	   	216.08	紫2基础对甲3基地爆炸1易伤1全技能	1敌人爆炸259基地爆炸35基础对甲4核5序列升级6全技能7易伤8低血量敌人a金币生成
66	56241 23331	   	216.06	紫2基础对甲2基地爆炸2全技能1暴击	1敌人爆炸25基地爆炸35基础对甲4核5序列升级68全技能7雷电9随机矿a暴击
67	56241 22322	   	215.98	紫2基础对甲3基地爆炸1易伤1全技能	1敌人爆炸259基地爆炸35基础对甲4核5序列升级6全技能7易伤8低血量敌人a技能点
68	23236 61313	   	215.44	紫1基础对甲2伤害1易伤1全技能1基地爆炸	1喷火对黄2全技能37敌人爆炸4核59伤害6基地爆炸8基础对甲a易伤
69	56241 12112	   	215.39	紫2基础对甲2攻速2基地爆炸	1敌人爆炸25基地爆炸35基础对甲4核5序列升级69攻速7额外掉落8双倍秒伤a立即金币
70	23236 13313	   	215.34	紫1基础对甲2伤害1易伤1全技能1基地爆炸	1喷火对黄2全技能3敌人爆炸4核59伤害6火球减费7基地爆炸8基础对甲a易伤
