0	Index      	 *	Score 	Summary	Detail	
1	36312 21634	 * 	285.72	DCR|3VULN|2MLV|1TLV|1AAC	18LWND|2AART|3MBVNT|4TLV|58aVULN|68MLV|7AAC|8BPWR|9RCR
17	23223 16515	   	265.43	DCR|3VULN|3MLV|1CDMG	136MLV|23ERES|3BPWR|4CDMG|5BBNT|789VULN|aRCR
18	32233 14323	   	265.22	DCR|DCR|1MLV|1AAC|1ASPD|1CDMG	12LWND|3MLV|4AART|5ASPD|6TBNT|78RCR|9CDMG|aAAC
19	34233 14323	   	265.22	DCR|DCR|1MLV|1AAC|1ASPD|1CDMG	12LWND|2BPWR|3MLV|4AART|5ASPD|6TBNT|78RCR|9CDMG|aAAC
20	36153 14323	   	265.12	DCR|DCR|1MLV|1AAC|1ASPD|1CDMG	1LWND|2AART|3MLV|4AEWIND|5ASPD|6TBNT|78RCR|9CDMG|aAAC
21	21216 52411	 * 	264.57	DCR|3MLV|3TLV|2DMG	138MLV|2RCVC|4RMIN|589TLV|68DMG|7BBNT|8BPWR|aRCR
22	22216 52411	   	264.57	DCR|3MLV|3TLV|2DMG	138MLV|2DMSP|4RMIN|589TLV|68DMG|7BBNT|8BPWR|aRCR
23	36312 21613	   	263.58	DCR|2VULN|2MLV|1TLV|1AAC	18LWND|2AART|3MBVNT|4TLV|58VULN|68MLV|7AAC|8BPWR|9CGEN|aRCR
24	36312 21632	   	263.58	DCR|2VULN|2MLV|1TLV|1AAC	18LWND|2AART|3MBVNT|4TLV|58VULN|68MLV|7AAC|8BPWR|9RCR|aBBNT
25	36312 21636	   	263.58	DCR|2VULN|2MLV|1TLV|1AAC	18LWND|2AART|3MBVNT|4TLV|58VULN|68MLV|7AAC|8BPWR|9RCR|aCGEN
26	36312 21637	   	263.58	DCR|2VULN|2MLV|1TLV|1AAC	18aLWND|2AART|3MBVNT|4TLV|58VULN|68MLV|7AAC|8BPWR|9RCR
27	36312 21633	   	263.48	DCR|2VULN|2MLV|1TLV|1AAC	18LWND|2AART|3MBVNT|4TLV|58VULN|68MLV|7AAC|8BPWR|9RCR|aBEXP
28	36312 21683	   	263.48	DCR|2VULN|2MLV|1TLV|1AAC	18LWND|2AART|3MBVNT|4TLV|58VULN|68MLV|7AAC|8BPWR|9ERES|aRCR
29	36372 21623	   	263.48	DCR|2VULN|2MLV|1TLV|1AAC	18LWND|2AART|3MBVNT|4ERES|58VULN|68MLV|7AAC|8BPWR|9TLV|aRCR
30	36312 22434	 * 	262.89	DCR|3VULN|1TLV|1MLV|1DMG	1LWND|2AART|3MBVNT|4TLV|57aVULN|6MLV|8DMG|9RCR
31	23232 45326	   	261.63	DCR|3MLV|2VULN|1TLV	136MLV|23ERES|36BPWR|4DUST|56VULN|7LWND|8TLV|9LEGI|aRCR
32	23232 42331	   	261.53	DCR|3MLV|2VULN|1TLV	136MLV|237ERES|36BPWR|4DUST|56VULN|8RCR|9BASHEA|aTLV
33	23232 42351	   	261.53	DCR|3MLV|2VULN|1TLV	136MLV|237ERES|36BPWR|4DUST|56VULN|8RCR|9VENFST|aTLV
34	21251 55123	   	260.93	DCR|DCR|2MLV|1AAC	13MLV|2RCVC|4BEXP|5ERES|6FEWX|79RCR|8AART|aAAC
35	22251 55123	   	260.93	DCR|DCR|2MLV|1AAC	13MLV|2DMSP|4BEXP|5ERES|6FEWX|79RCR|8AART|aAAC
36	21621 13112	 * 	260.89	DCR|2MLV|2DMG|1VULN|2CDMG|1ASPD	18MLV|2RCVC|38CDMG|4DUST|5RAT|6RCR|78DMG|8BPWR|9ASPD|aVULN
37	22621 13112	   	260.89	DCR|2MLV|2DMG|1VULN|2CDMG|1ASPD	18MLV|2DMSP|38CDMG|4DUST|5RAT|6RCR|78DMG|8BPWR|9ASPD|aVULN
38	36312 21434	   	259.72	DCR|3VULN|1TLV|1MLV|1AAC	1LWND|2AART|3MBVNT|4TLV|58aVULN|6MLV|7AAC|9RCR
39	36313 87434	   	259.07	DCR|3VULN|1TLV|1MLV|1ASPD	1LWND|2AART|3MBVNT|4TLV|5ASPD|6MLV|78aVULN|9RCR
40	24226 13132	   	258.92	DCR|3VULN|3MLV	135MLV|2RPLT|458VULN|5BPWR|6RAT|7FEWX|9DMSP|aRCR
41	23232 41662	   	258.72	DCR|3VULN|3MLV	136MLV|23ERES|36BPWR|4DUST|568VULN|7BBNT|9RCR|aRAT
42	32233 14333	   	258.51	DCR|DCR|1MLV|1AAC|1ASPD	12LWND|3MLV|4AART|5ASPD|6TBNT|78RCR|9RAT|aAAC
43	34233 14333	   	258.51	DCR|DCR|1MLV|1AAC|1ASPD	12LWND|2BPWR|3MLV|4AART|5ASPD|6TBNT|78RCR|9RAT|aAAC
44	36153 14333	   	258.41	DCR|DCR|1MLV|1AAC|1ASPD	1LWND|2AART|3MLV|4AEWIND|5ASPD|6TBNT|78RCR|9RAT|aAAC
45	24226 23252	   	258.21	DCR|3MLV|2VULN|1DMG	135MLV|2RPLT|45VULN|5BPWR|6LHND|7DMG|8LWND|9RCR|aDUR
46	23232 12346	 * 	258.15	DCR|2VULN|2MLV|1TLV|1DMG	13MLV|23ERES|3BPWR|4DUST|59VULN|6FEWX|7TLV|8RCR|aDMG
47	23232 15642	   	258.15	DCR|2VULN|2MLV|1TLV|1DMG	13MLV|23ERES|3BPWR|4DUST|59VULN|6FEWX|7RCR|8DMG|aTLV
48	23232 62346	   	258.15	DCR|2VULN|2MLV|1TLV|1DMG	13MLV|23ERES|3BPWR|4DUST|59VULN|6LWND|7TLV|8RCR|aDMG
49	23452 22136	   	257.24	DCR|2MLV|1VULN|1TLV|1DMG|1AAC	18MLV|2ERES|3VULN|4DMG|5TLV|6AAC|7TBNT|9DUR|aRCR
50	36312 22435	   	257.00	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1LWND|2AART|3MBVNT|4TLV|57VULN|6MLV|8DMG|9RCR|aASPD
51	32233 14332	 * 	256.20	DCR|DCR|2ASPD|1MLV	12LWND|3MLV|4AART|5aASPD|6TBNT|78RCR|9RAT
52	34233 14332	   	256.20	DCR|DCR|2ASPD|1MLV	12LWND|2BPWR|3MLV|4AART|5aASPD|6TBNT|78RCR|9RAT
53	36153 14332	   	256.10	DCR|DCR|2ASPD|1MLV	1LWND|2AART|3MLV|4AEWIND|5aASPD|6TBNT|78RCR|9RAT
