0	Index      	 *	Score 	Summary	Detail	
1	13632 35633	 * 	299.84	DCR|DCR|2VULN|1TLV|1ASPD	12VULN|3ASPD|4LHND|5LWND|6RAT|7TLV|8aRCR|9CGEN
33	11241 13563	 * 	273.68	DCR|4VULN|1TLV|1MLV	1469VULN|2MLV|3TLV|5LWND|7DUR|8RCR|aRAT
34	11213 12311	   	273.68	DCR|4VULN|1TLV|1MLV	1789VULN|2MLV|3TLV|4RAT|5FEWX|6AART|aRCR
35	11515 23225	 * 	272.87	DCR|3VULN|3MLV|2CDMG	179VULN|245MLV|34CDMG|49BPWR|69AEBURN|89LWND|aRCR
36	11511 61363	 * 	272.73	DCR|3VULN|2MLV|3CDMG|1ASPD	17aVULN|24MLV|347CDMG|47BPWR|5TBNT|67AEFBLL|8RCR|9ASPD
37	11515 23125	   	272.67	DCR|3VULN|3MLV|2CDMG	179VULN|245MLV|34CDMG|49BPWR|69AEBURN|89BEXP|aRCR
38	11515 23325	   	272.67	DCR|3VULN|3MLV|2CDMG	179VULN|245MLV|34CDMG|49BPWR|69AEBURN|89DUST|aRCR
39	11515 31124	 * 	271.70	DCR|3MLV|2VULN|3CDMG|1ASPD	17VULN|245MLV|349CDMG|4BPWR|6TBNT|8ASPD|aRCR
40	11232 61323	   	270.98	DCR|3VULN|2MLV|1TLV	19aVULN|2aMLV|3TLV|4FEWX|5aLWND|6BBNT|7AART|8RCR|aBPWR
41	11235 61323	   	270.98	DCR|3VULN|2MLV|1TLV	19aVULN|2aMLV|3TLV|4FEWX|5aLHND|6BBNT|7AART|8RCR|aBPWR
42	32427 22226	 * 	270.92	DCR|2MLV|2TLV|2DMG|1VULN|1SELL	1SELL|2RPLT|3MBVNT|4aDMG|5aMLV|6VULN|7DUR|8RCR|9aTLV|aBPWR
43	11312 46513	   	270.78	DCR|3VULN|2MLV|1TLV	13aVULN|27MLV|4DUR|5LWND|6RMIN|8RCR|9TLV
44	11311 46513	   	270.68	DCR|3VULN|2MLV|1TLV	13aVULN|27MLV|4DUR|5DUST|6RMIN|8RCR|9TLV
45	12431 21632	   	270.67	DCR|DCR|2VULN|1MLV	19VULN|2CGEN|3TBNT|4FEWX|5BEXP|6aRCR|7MLV|8RMIN
46	12631 21632	   	270.67	DCR|DCR|2VULN|1MLV	19VULN|2CGEN|3BBNT|4FEWX|5BEXP|6aRCR|7MLV|8RMIN
47	11354 43416	   	270.57	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4BASHEA|5MBVNT|6CGEN|7LIT|8aRCR|9TBNT
48	23143 41353	 * 	270.14	DCR|2MLV|1VULN|1TLV|2ASPD|1DMG	1aBEXP|2VULN|3aASPD|4AART|5DMG|6TLV|7RCR|8BBNT|9aMLV|aBPWR
49	11253 13612	 * 	270.04	DCR|2VULN|2MLV|1TLV|2ASPD	1aVULN|2aMLV|3TLV|47ASPD|5RPLT|6aCGEN|8RCR|9BELT|aBPWR
