0	Index      	 *	Score 	Summary	Detail	
1	43321 14533	 * 	292.63	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1SELL|2DUST|35VULN|4AART|69RCR|7BELT|8ASPD|aMLV
13	13362 41131	 * 	283.91	DCR|3VULN|3TLV|2MLV	16aTLV|2DMSP|3RCVC|4RMIN|56aVULN|6aBPWR|7TBNT|8RCR|9aMLV
14	14217 18141	   	282.91	DCR|3VULN|2MLV|2TLV	18TLV|2MDPS|3MBVNT|4DUR|58MLV|68aVULN|7TBNT|8BPWR|9RCR
15	13362 51131	   	274.80	DCR|3VULN|2MLV|2TLV	1aTLV|2DMSP|3RCVC|4RMIN|56aVULN|7TBNT|8RCR|9aMLV|aBPWR
16	11343 17261	   	274.01	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2BEXP|3LIT|4MLV|5BBNT|6MBVNT|7FRZFST|8VULN|9aRCR
17	43322 14533	   	272.98	DCR|DCR|1VULN|1MLV|1ASPD|2AART|1SELL	1SELL|2DUST|3VULN|45AART|69RCR|7BELT|8ASPD|aMLV
18	12344 23216	 * 	272.58	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2FEWX|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aDUR
19	11344 23216	   	272.48	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2BEXP|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aDUR
20	43321 15226	 * 	269.93	DCR|DCR|3VULN|1SELL	1SELL|28DUST|358VULN|4AART|6aRCR|7TBNT|8BPWR|9DMSP
21	12563 31363	   	269.27	DCR|DCR|1VULN|1TLV	1TLV|2FEWX|3TBNT|4VULN|5AART|6RAT|79RCR|8DUR|aLIT
22	12563 31361	   	269.17	DCR|DCR|1VULN|1TLV	1TLV|2FEWX|3TBNT|4VULN|5AART|6RAT|79RCR|8DUR|aSPLREG
23	12563 31362	   	269.17	DCR|DCR|1VULN|1TLV	1TLV|2FEWX|3TBNT|4VULN|5AART|6RAT|79RCR|8DUR|aAETHUN
24	53262 62221	   	268.71	DCR|2VULN|2MLV|2TLV|1ASPD	1aMLV|2DMSP|3aTLV|46VULN|5BBNT|7ASPD|8aAEPOI|9RCR|aBPWR
25	12354 23213	 * 	267.65	ACR|DCR|2TLV|2DMG|1VULN	1aTLV|2FEWX|3aLIT|4RMIN|59RCR|6RAT|7VULN|8aDMG|aBPWR
26	11354 23213	   	267.55	ACR|DCR|2TLV|2DMG|1VULN	1aTLV|2BEXP|3aLIT|4RMIN|59RCR|6RAT|7VULN|8aDMG|aBPWR
27	16354 23213	   	267.55	ACR|DCR|2TLV|2DMG|1VULN	1aTLV|2DUST|3aLIT|4RMIN|59RCR|6RAT|7VULN|8aDMG|aBPWR
28	13263 15513	 * 	266.37	DCR|3VULN|3TLV|3DUR|1AAC	178TLV|2DMSP|3AME|478VULN|5AAC|678DUR|78BPWR|9LWND|aRCR
29	53223 51161	 * 	265.37	DCR|2DMG|1VULN|1TLV|1MLV|1AAC|1ASPD	1MLV|2DMSP|3TLV|4DUR|5AAC|6RCR|7VULN|89DMG|aASPD
30	53223 51142	 * 	264.68	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1MLV|2DMSP|3TLV|4DUR|5AAC|6RCR|7aVULN|8DMG|9RAT
31	12344 21215	   	264.27	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2FEWX|3LIT|4MLV|59RCR|6RAT|7LWND|8DMG|aVULN
32	12344 23211	   	264.27	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2FEWX|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aBBNT
33	12344 23212	   	264.27	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2FEWX|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aLWND
34	12344 23213	   	264.27	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2FEWX|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aLHND
35	12344 23215	   	264.27	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2FEWX|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aVENICY
36	12342 31412	   	264.24	DCR|3VULN|2TLV|1MLV	19TLV|2FEWX|39LIT|4MLV|5AART|6RAT|79aVULN|8RCR|9BPWR
37	11344 21215	   	264.17	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2BEXP|3LIT|4MLV|59RCR|6RAT|7LWND|8DMG|aVULN
38	11344 23211	   	264.17	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2BEXP|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aBBNT
39	11344 23212	   	264.17	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2BEXP|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aLWND
40	11344 23213	   	264.17	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2BEXP|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aLHND
41	11344 23215	   	264.17	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2BEXP|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aVENICY
42	16344 23211	   	264.17	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2DUST|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aBBNT
43	16344 23212	   	264.17	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2DUST|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aLWND
44	16344 23213	   	264.17	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2DUST|3LIT|4MLV|59RCR|6RAT|7VULN|8DMG|aLHND
45	43321 14531	 * 	264.04	DCR|DCR|2VULN|1ASPD|1SELL	1SELL|2DUST|35VULN|4AART|69RCR|7BELT|8ASPD|aLIT
46	43321 14532	 * 	263.94	DCR|DCR|2VULN|1ASPD|1SELL	1SELL|2DUST|35VULN|4AART|69RCR|7BELT|8ASPD|aAEWIND
47	53212 51121	 * 	263.91	DCR|2MLV|2TLV|2DMG|1VULN	1aMLV|2DMSP|3aTLV|46AEPOI|5VULN|7TBNT|8RCR|9aDMG|aBPWR
48	53223 51163	   	263.30	DCR|2TLV|2DMG|1VULN|1MLV|1AAC	1MLV|2DMSP|3aTLV|4DUR|5AAC|6RCR|7VULN|89DMG
