0	Index      	 *	Score 	Summary	Detail	
1	11133 34244	 * 	315.15	DCR|DCR|2VULN|2ASPD|1MLV|1CDMG	1MLV|27ASPD|3FEWX|4CDMG|5aVULN|69RCR|8MDPS
28	11133 33243	   	287.83	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1MLV|2ASPD|3FEWX|4CDMG|5VULN|69RCR|7DUR|8LHND|aRAT
29	11133 33343	   	287.83	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1MLV|2ASPD|3FEWX|4CDMG|5VULN|69RCR|7DUR|8LWND|aRAT
30	11312 26513	 * 	287.68	DCR|2MLV|2DMG|1VULN|1TLV|2ASPD|1SELL	17MLV|27ASPD|3TLV|4SELL|5VULN|67DMG|7BPWR|8RPLT|9RCR|aDUR
31	11312 26135	 * 	287.58	DCR|2MLV|2DMG|1VULN|1TLV|2ASPD|1SELL	17MLV|27ASPD|3TLV|4SELL|5VULN|67DMG|7BPWR|8DUR|9AEWIND|aRCR
32	11133 31241	   	287.07	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1MLV|2aASPD|3FEWX|4CDMG|5VULN|69RCR|7DMSP|8MDPS
33	11133 34242	   	287.07	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1MLV|27ASPD|3FEWX|4CDMG|5VULN|69RCR|8MDPS|aZMB
34	11133 34245	   	287.07	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1MLV|27ASPD|3FEWX|4CDMG|5VULN|69RCR|8MDPS|aCGEN
35	11133 34246	   	287.07	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1MLV|27ASPD|3FEWX|4CDMG|5VULN|69RCR|8MDPS|aTBNT
36	11133 35241	   	287.07	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1MLV|2aASPD|3FEWX|4CDMG|5VULN|69RCR|7BEXP|8LHND
37	11133 35341	   	287.07	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1MLV|2aASPD|3FEWX|4CDMG|5VULN|69RCR|7BEXP|8LWND
38	11133 36241	   	287.07	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1MLV|2aASPD|37FEWX|4CDMG|5VULN|69RCR|8MDPS
39	11133 34243	   	286.97	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1MLV|27ASPD|3FEWX|4CDMG|5VULN|69RCR|8MDPS|aDUST
40	11433 31244	   	286.67	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1MLV|2ASPD|3SELL|4LHND|5aVULN|69RCR|7DMSP|8MDPS
41	11413 31244	   	286.57	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1MLV|2ASPD|3SELL|4DUST|5aVULN|69RCR|7DMSP|8MDPS
42	11433 34241	   	286.41	DCR|DCR|3ASPD|1VULN|1MLV|1SELL	1MLV|27aASPD|3SELL|4LHND|5VULN|69RCR|8MDPS
43	11312 26553	 * 	286.31	DCR|2MLV|2DMG|1VULN|1TLV|2ASPD|1SELL	17MLV|27ASPD|3TLV|4SELL|5VULN|67DMG|7BPWR|8RPLT|9RAT|aRCR
44	11413 34241	   	286.30	DCR|DCR|3ASPD|1VULN|1MLV|1SELL	1MLV|27aASPD|3SELL|4DUST|5VULN|69RCR|8MDPS
45	11212 26543	   	285.97	DCR|2VULN|2MLV|2DMG|1AAC|1ASPD|1SELL	17MLV|2ASPD|3AAC|4SELL|57VULN|67DMG|7BPWR|8RPLT|9RCR|aAART
46	14322 16431	 * 	285.86	DCR|3VULN|3TLV|2MLV	17MLV|267VULN|3RPLT|457TLV|7BPWR|8RCVC|9RCR|aCGEN
47	14322 16433	   	285.86	DCR|3VULN|3TLV|2MLV	17MLV|267VULN|3RPLT|457TLV|7BPWR|8RCVC|9RCR|aLHND
48	14322 16432	   	285.76	DCR|3VULN|3TLV|2MLV	17MLV|267VULN|3RPLT|457TLV|7BPWR|8RCVC|9RCR|aMDPS
49	63543 18131	 * 	285.33	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AAC|2ZMB|3MBVNT|4VULN|5TLV|6ERES|79RCR|8DMG|aLWND
50	63543 18132	   	285.33	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AAC|2ZMB|3MBVNT|4VULN|5TLV|6ERES|79RCR|8DMG|aCGEN
51	63543 18133	   	285.23	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AAC|2ZMB|3MBVNT|4VULN|5TLV|6ERES|79RCR|8DMG|aBEXP
52	63543 18134	   	285.23	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AAC|2ZMB|3MBVNT|4VULN|5TLV|6ERES|79RCR|8DMG|aSPLREG
