0	Index      	 *	Score 	Summary	Detail	
1	52413 53311	 * 	291.25	DCR|2TLV|2DMG|1VULN|2AAC|1MLV|1CDMG	16DMG|2RAT|3CDMG|46TLV|5aAAC|6BPWR|7VULN|8RCR|9MLV
22	52413 53313	   	276.15	DCR|2TLV|2DMG|1VULN|1MLV|1AAC|1CDMG	16DMG|2RAT|3CDMG|46TLV|5AAC|6BPWR|7VULN|8RCR|9MLV|aLWND
23	15314 11125	   	275.67	DCR|DCR|2VULN|1ASPD|2DUR	16VULN|27DUR|3ASPD|4LWND|5DMSP|8aRCR|9BBNT
24	14432 21633	 * 	275.23	DCR|4VULN|1TLV|1MLV|1AAC	1235VULN|4BASARM|6FEWX|7TLV|8MLV|9AAC|aRCR
25	14661 32111	   	275.18	DCR|4VULN|2MLV|1ASPD	1245VULN|34MLV|4BPWR|6DUR|7FEWX|8RCR|9ASPD|aLHND
26	14661 32112	   	275.18	DCR|4VULN|2MLV|1ASPD	1245VULN|34MLV|4BPWR|6DUR|7FEWX|8RCR|9ASPD|aCGEN
27	14661 32113	   	275.18	DCR|4VULN|2MLV|1ASPD	1245VULN|34MLV|4BPWR|6DUR|7FEWX|8RCR|9ASPD|aBBNT
28	14416 33322	 * 	273.61	DCR|4VULN|2TLV|1DMG	1239VULN|49LWND|5RAT|6DMG|79TLV|8RCR|9BPWR|aLHND
29	14416 33321	   	273.51	DCR|4VULN|2TLV|1DMG	1239VULN|49LWND|5RAT|6DMG|79TLV|8RCR|9BPWR|aMDPS
30	14416 33323	   	273.51	DCR|4VULN|2TLV|1DMG	1239VULN|49LWND|5RAT|6DMG|79TLV|8RCR|9BPWR|aAEBURN
31	13215 62142	   	272.31	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2ERES|3LIT|4RAT|5TLV|6RCVC|7AAC|8aRCR|9LHND
32	13215 62132	   	272.21	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2ERES|3LIT|4RAT|5TLV|6RCVC|7AAC|8aRCR|9DUST
33	11562 42424	   	271.36	DCR|DCR|2VULN|1DMG	14VULN|2BEXP|3DMG|5MBVNT|6LWND|79RCR|8RAT|aLIT
34	11562 42425	   	271.36	DCR|DCR|2VULN|1DMG	14VULN|2BEXP|3DMG|5MBVNT|6LWND|79RCR|8RAT|aLHND
35	11562 42426	   	271.36	DCR|DCR|2VULN|1DMG	14VULN|2BEXP|3DMG|5MBVNT|6LWND|79RCR|8RAT|aBELT
36	11562 42427	   	271.36	DCR|DCR|2VULN|1DMG	14VULN|2BEXP|3DMG|5MBVNT|6LWND|79RCR|8RAT|aBBNT
37	11562 42428	   	271.36	DCR|DCR|2VULN|1DMG	14VULN|2BEXP|3DMG|5MBVNT|6aLWND|79RCR|8RAT
38	11562 72424	   	271.36	DCR|DCR|2VULN|1DMG	14VULN|2BEXP|3DMG|5MBVNT|6LHND|79RCR|8RAT|aLIT
39	11562 42421	   	271.26	DCR|DCR|2VULN|1DMG	14VULN|2aBEXP|3DMG|5MBVNT|6LWND|79RCR|8RAT
40	11562 42422	   	271.26	DCR|DCR|2VULN|1DMG|1MSE	14VULN|2BEXP|3DMG|5MBVNT|6LWND|79RCR|8RAT|aMSE
41	11562 72421	   	271.26	DCR|DCR|2VULN|1DMG	14VULN|2aBEXP|3DMG|5MBVNT|6LHND|79RCR|8RAT
42	11562 72422	   	271.26	DCR|DCR|2VULN|1DMG|1MSE	14VULN|2BEXP|3DMG|5MBVNT|6LHND|79RCR|8RAT|aMSE
43	11231 26625	   	270.96	DCR|DCR|1VULN|1MLV|1DMG	1VULN|2BEXP|3RCVC|4RMIN|5LHND|6DMG|7DUR|8aRCR|9MLV
44	11236 23625	   	270.96	DCR|DCR|1VULN|1MLV|1DMG	1VULN|2BEXP|3RCVC|4RMIN|5DUR|6DMG|7LWND|8aRCR|9MLV
45	32133 34122	 * 	269.72	DCR|DCR|2TLV|1DMG|2RAT	1CGEN|25RAT|3LEGI|45TLV|5BPWR|6DMG|7LIT|8aRCR|9DUR
46	15361 23623	 * 	269.62	DCR|3VULN|2MLV|2ASPD|1NUKE	14aVULN|2DUR|3aASPD|5LHND|6NUKE|7LWND|8RCR|9aMLV|aBPWR
47	15314 12125	   	269.02	DCR|DCR|2VULN|1ASPD	16VULN|2DUR|3ASPD|4LWND|5DMSP|7AEWIND|8aRCR|9BBNT
48	11561 23623	 * 	268.03	DCR|3VULN|2MLV|2DMG|1NUKE	14aVULN|2BEXP|3aDMG|5LHND|6NUKE|7LWND|8RCR|9aMLV|aBPWR
49	36111 12625	   	267.89	DCR|DCR|1VULN|1MLV|1AAC	1CGEN|2DUR|34LWND|5LHND|6VULN|7AAC|8aRCR|9MLV
50	36113 12625	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1CGEN|2DUR|34LWND|5DUST|6VULN|7AAC|8aRCR|9MLV
51	24333 12625	   	267.59	DCR|DCR|1VULN|1MLV|1AAC	1DUST|2VULN|3AETHUN|4DUR|5AEFRZ|6RMIN|7AAC|8aRCR|9MLV
52	11462 42424	   	267.55	DCR|DCR|2VULN|1ASPD	14VULN|2BEXP|3ASPD|5MBVNT|6LWND|79RCR|8RAT|aLIT
53	11462 42425	   	267.55	DCR|DCR|2VULN|1ASPD	14VULN|2BEXP|3ASPD|5MBVNT|6LWND|79RCR|8RAT|aLHND
54	11462 42426	   	267.55	DCR|DCR|2VULN|1ASPD	14VULN|2BEXP|3ASPD|5MBVNT|6LWND|79RCR|8RAT|aBELT
55	11462 42427	   	267.55	DCR|DCR|2VULN|1ASPD	14VULN|2BEXP|3ASPD|5MBVNT|6LWND|79RCR|8RAT|aBBNT
56	11462 42428	   	267.55	DCR|DCR|2VULN|1ASPD	14VULN|2BEXP|3ASPD|5MBVNT|6aLWND|79RCR|8RAT
57	11462 72424	   	267.55	DCR|DCR|2VULN|1ASPD	14VULN|2BEXP|3ASPD|5MBVNT|6LHND|79RCR|8RAT|aLIT
58	24333 22625	   	267.49	DCR|DCR|1VULN|1MLV|1AAC	1DUST|2VULN|3AETHUN|4DUR|5AEFRZ|6ERES|7AAC|8aRCR|9MLV
59	11462 42421	   	267.45	DCR|DCR|2VULN|1ASPD	14VULN|2aBEXP|3ASPD|5MBVNT|6LWND|79RCR|8RAT
60	11462 42422	   	267.45	DCR|DCR|2VULN|1ASPD|1MSE	14VULN|2BEXP|3ASPD|5MBVNT|6LWND|79RCR|8RAT|aMSE
61	11462 72421	   	267.45	DCR|DCR|2VULN|1ASPD	14VULN|2aBEXP|3ASPD|5MBVNT|6LHND|79RCR|8RAT
62	11462 72422	   	267.45	DCR|DCR|2VULN|1ASPD|1MSE	14VULN|2BEXP|3ASPD|5MBVNT|6LHND|79RCR|8RAT|aMSE
63	14661 13333	   	267.32	DCR|4VULN|2MLV|1AAC	1245VULN|34MLV|4BPWR|6LSRHEA|7ERES|8FEWX|9AAC|aRCR
64	15321 13625	   	267.14	DCR|DCR|1VULN|1MLV|1ASPD	1VULN|2DUR|3ASPD|46RMIN|5DUST|7LWND|8aRCR|9MLV
65	14661 32131	   	267.14	DCR|4VULN|2MLV|1MSE	1245VULN|34MLV|4BPWR|6DUR|7FEWX|8RCR|9AART|aMSE
66	14661 32132	   	267.14	DCR|4VULN|2MLV	1245VULN|34MLV|4BPWR|6DUR|7FEWX|8RCR|9AART|aMDPS
67	14661 32121	   	265.87	DCR|4VULN|2MLV	1245VULN|34MLV|4BPWR|6DUR|7FEWX|8RCR|9BBNT|aRAT
68	14451 12313	 * 	265.19	DCR|3VULN|2AAC|1MLV|1DMG	123VULN|4RAT|5DMG|6RPLT|78AAC|9RCR|aMLV
69	52413 53321	   	265.05	DCR|2TLV|2DMG|1VULN|2AAC|1CDMG	16DMG|2RAT|3CDMG|46TLV|5aAAC|6BPWR|7VULN|8RCR|9CGEN
70	52413 53333	   	264.95	DCR|2TLV|2DMG|1VULN|2AAC|1CDMG	16DMG|2RAT|3CDMG|46TLV|5aAAC|6BPWR|7VULN|8RCR|9BEXP
71	15662 31323	 * 	264.59	DCR|3VULN|2DMG|1TLV|2DUR	137VULN|27DUR|4BEXP|5BASICY|67DMG|7BPWR|8TLV|9RMIN|aRCR
72	12111 81118	 * 	264.53	DCR|DCR|2VULN|2CDMG	18VULN|2RPLT|3MDPS|4LIT|5MBVNT|68CDMG|78FEWX|8BPWR|9aRCR
73	13663 21125	   	264.53	DCR|DCR|2VULN|1DMG	14VULN|2ERES|3LWND|5RCVC|6DMG|7RMIN|8aRCR|9BBNT
74	15662 31313	   	264.49	DCR|3VULN|2DMG|1TLV|2DUR	137VULN|27DUR|4BEXP|5BASICY|67DMG|7BPWR|8TLV|9ERES|aRCR
75	51131 25623	 * 	264.48	DCR|2VULN|2TLV|2DMG|1AAC	1aDMG|2ZMB|3aTLV|4BELT|5LIT|6AAC|7RAT|8aVULN|9RCR|aBPWR
76	51121 12333	 * 	263.91	DCR|3VULN|2TLV|2DMG	1aDMG|2ZMB|3aTLV|4DUST|5LHND|68aVULN|7RCR|9MBVNT|aBPWR
77	51112 63412	   	263.76	DCR|3VULN|2TLV|2DMG|1SELL	17DMG|2ZMB|37TLV|4SELL|5MDPS|67aVULN|7BPWR|8RCR|9FEWX
78	51112 63432	   	263.76	DCR|3VULN|2TLV|2DMG|1SELL	17DMG|2ZMB|37TLV|4SELL|5MDPS|67aVULN|7BPWR|8RCR|9LHND
79	15361 11112	   	263.25	DCR|3VULN|1TLV|1DMG|1ASPD|2DUR	146VULN|27DUR|3ASPD|5LHND|8RCR|9DMG|aTLV
80	15364 11112	   	263.25	DCR|3VULN|1TLV|1DMG|1ASPD|2DUR	146VULN|27DUR|3ASPD|5LWND|8RCR|9DMG|aTLV
81	15561 11112	   	263.25	DCR|3VULN|1TLV|1DMG|1ASPD|2DUR	146VULN|27DUR|3DMG|5LHND|8RCR|9ASPD|aTLV
82	14432 12362	   	263.10	DCR|4VULN|2TLV|1AAC	1235VULN|4BASARM|6MDPS|78TLV|9AAC|aRCR
83	15332 13166	 * 	263.00	DCR|3VULN|3ASPD|1AAC|2RAT	158VULN|2DUR|368ASPD|48RAT|7AAC|8BPWR|9RCVC|aRCR
84	15332 13116	   	262.90	DCR|3VULN|3ASPD|1AAC|2RAT	158VULN|2DUR|368ASPD|48RAT|7AAC|8BPWR|9AEFRZ|aRCR
85	11231 23625	   	262.65	DCR|DCR|1VULN|1MLV|1DMG	1VULN|2BEXP|3RCVC|4RMIN|5LHND|6DMG|7LWND|8aRCR|9MLV
86	51431 32523	   	261.56	DCR|2VULN|2MLV|2DMG|1AAC	1aDMG|2ZMB|3aVULN|4RMIN|5LHND|6BEXP|7RCR|8AAC|9aMLV|aBPWR
87	32133 34142	   	261.42	DCR|DCR|2TLV|1DMG|2RAT	1CGEN|25RAT|3LEGI|45TLV|5BPWR|6DMG|7LIT|8aRCR|9LWND
88	32133 34132	   	261.32	DCR|DCR|2TLV|1DMG|2RAT	1CGEN|25RAT|3LEGI|45TLV|5BPWR|6DMG|7LIT|8aRCR|9DUST
89	12132 26236	   	261.25	DCR|DCR|2VULN|1AAC	16VULN|2RPLT|3MDPS|4DUST|5LHND|79RCR|8LIT|aAAC
