0	Index      	 *	Score 	Summary	Detail	
1	33411 66221	 * 	213.64	DCR|3ASPD|2VULN|1AART|1CDMG|1DUR	138LWND|238ASPD|38BPWR|4MLV|5DUR|6AART|78VULN|9RCR|aCDMG
40	25111 11552	   	197.60	DCR|4VULN|1ASPD|1NUKE	13RCVC|2578VULN|4ASPD|6RCR|9FEWX|aNUKE
41	33411 66222	   	197.29	DCR|3ASPD|2VULN|1AART|1DUR	138LWND|238ASPD|38BPWR|4MLV|5DUR|6AART|78VULN|9RCR|aERES
42	33411 66223	   	197.29	DCR|3ASPD|2VULN|1AART|1DUR	138LWND|238ASPD|38BPWR|4MLV|5DUR|6AART|78VULN|9RCR|aBASFIG
43	33225 12423	   	197.19	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|2ASPD|38VULN|4FEWX|56DMG|7AART|9DLOT|aRCR
44	33245 12423	   	197.09	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|2ASPD|38VULN|4DUST|56DMG|7AART|9DLOT|aRCR
45	53262 22173	 * 	197.03	DCR|2DMG|2ASPD|1VULN|1AART	1BEXP|28ASPD|3VULN|4MULARM|5aDMG|6MBVNT|7RCR|9AART
46	14251 11413	 * 	196.19	DCR|5VULN|1CDMG|1AAC|1DUR	1AAC|23457VULN|6RCR|8RPLT|9CDMG|aDUR
47	25115 11522	 * 	195.97	DCR|3VULN|2ASPD|1NUKE	13RCVC|278VULN|45ASPD|6RCR|9LWND|aNUKE
48	33262 22245	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LWND|2ASPD|38VULN|4MULARM|5DMG|6MBVNT|7RCR|9ZMB|aAART
49	33262 22815	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LWND|2ASPD|39VULN|4MULARM|5DMG|6MBVNT|7RCR|8ZMB|aAART
50	25111 11615	   	195.80	DCR|3VULN|1AART|1ASPD|1ZMB	13RCVC|257VULN|4ASPD|6RCR|8ZMB|9MLV|aAART
51	25111 11622	   	195.80	DCR|3VULN|1AART|1ASPD|1ZMB	13RCVC|257VULN|4ASPD|6RCR|8ZMB|9AART|aFEWX
52	25111 11623	   	195.80	DCR|3VULN|1AART|1ASPD|1ZMB	13RCVC|257VULN|4ASPD|6RCR|8ZMB|9AART|aCGEN
53	25111 11626	   	195.80	DCR|3VULN|1AART|1ASPD|1ZMB	13RCVC|257VULN|4ASPD|6RCR|8ZMB|9AART|aLWND
54	25111 11625	   	195.70	DCR|3VULN|1AART|1ASPD|1ZMB	13RCVC|257VULN|4ASPD|6RCR|8ZMB|9AART|aDUST
55	14251 33223	 * 	195.50	DCR|4VULN|1ASPD|1DMG|1AAC	1AAC|2345VULN|6ASPD|7RCR|8BEXP|9LWND|aDMG
56	14251 33253	   	195.50	DCR|4VULN|1ASPD|1DMG|1AAC	1AAC|2345VULN|6ASPD|7RCR|8BEXP|9FEWX|aDMG
57	14251 33532	   	195.50	DCR|4VULN|1ASPD|1NUKE|1AAC	1AAC|2345VULN|6ASPD|7RCR|89CGEN|aNUKE
58	53232 21535	   	195.41	DCR|2VULN|2ASPD|1AART|2DUR	18BEXP|28ASPD|39VULN|4aDUR|58DUST|6RCR|7AART|8BPWR
59	14221 11364	 * 	195.31	DCR|5VULN|2AAC|1AART	18AAC|2357aVULN|4RCVC|6RCR|9AART
60	53255 13213	 * 	195.01	ACR|3VULN|3DMG|1ASPD|1DUR	1BEXP|2ASPD|379VULN|4RCR|56aDMG|8DUR
61	33255 12421	 * 	194.73	ACR|3VULN|2DMG|1AART|1ASPD	1LWND|2ASPD|38aVULN|4RCR|56DMG|7AART|9DLOT
62	25115 11321	   	194.68	DCR|3ASPD|2VULN|1AART|1AAC	13RCVC|27VULN|45aASPD|6RCR|8AAC|9AART
63	53222 25225	   	194.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1BEXP|2ASPD|38VULN|4FEWX|5DUST|6RCR|7CDMG|9AART|aZMB
64	33362 22414	 * 	193.63	DCR|2VULN|2DMG|2ASPD	1LWND|2aASPD|3DUST|4CANARM|5aDMG|6MBVNT|7RCR|8MLV|9aVULN|aBPWR
65	53362 22414	   	193.63	DCR|2VULN|2DMG|2ASPD	1BEXP|2aASPD|3DUST|4CANARM|5aDMG|6MBVNT|7RCR|8MLV|9aVULN|aBPWR
66	53362 22814	   	193.63	DCR|2VULN|2DMG|2ASPD	1BEXP|2aASPD|3DUST|4CANARM|5aDMG|6MBVNT|7RCR|8CGEN|9aVULN|aBPWR
67	53362 22614	   	193.53	DCR|2VULN|2DMG|2ASPD	1BEXP|2aASPD|3DUST|4CANARM|5aDMG|6MBVNT|7RCR|8ERES|9aVULN|aBPWR
68	33254 25133	 * 	193.49	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2ASPD|37aVULN|4RCR|5CDMG|6AART|8DMG|9CGEN
69	14252 25112	 * 	193.22	DCR|4VULN|1AART|1DMG|1AAC	1AAC|2347VULN|5DMG|6AART|8DMSP|9LHND|aRCR
70	33262 22845	   	193.14	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1LWND|2ASPD|3VULN|4MULARM|59DMG|6MBVNT|7RCR|8ZMB|aAART
71	33253 25152	 * 	193.07	ACR|3VULN|2AART|1ASPD|1DMG|1SELL	1LWND|2ASPD|379VULN|4RCR|5SELL|6aAART|8DMG
72	21115 11122	   	193.04	DCR|3ASPD|1VULN|1AART|1ZMB|1DUR	13RCVC|2DUR|458ASPD|6RCR|7VULN|9AART|aZMB
73	14252 25222	   	193.02	DCR|4VULN|1AART|1DMG|1AAC	1AAC|2347VULN|5DMG|6AART|8TLV|9ERES|aRCR
74	53231 25152	 * 	192.65	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1BEXP|28ASPD|3VULN|4DUR|5LWND|6RCR|7CDMG|9ZMB|aDMG
75	33255 12422	 * 	192.55	ACR|3DMG|2VULN|1AART|1ASPD	1LWND|2ASPD|38VULN|4RCR|56aDMG|7AART|9DLOT
76	25115 11622	   	192.19	DCR|2VULN|2ASPD|1AART|1ZMB	13RCVC|27VULN|45ASPD|6RCR|8ZMB|9AART|aFEWX
77	25115 11623	   	192.19	DCR|2VULN|2ASPD|1AART|1ZMB	13RCVC|27VULN|45ASPD|6RCR|8ZMB|9AART|aCGEN
78	25111 11612	   	192.09	DCR|3VULN|1ASPD|1NUKE|1ZMB	13RCVC|257VULN|4ASPD|6RCR|8ZMB|9MLV|aNUKE
79	14312 21433	 * 	191.89	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC|1DUR	1AAC|24VULN|3MDPS|5DUST|6RCR|7AART|8DUR|9ASPD|aCDMG
80	14342 21433	   	191.89	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC|1DUR	1AAC|24VULN|3MDPS|4BPWR|5DUST|6RCR|7AART|8DUR|9ASPD|aCDMG
81	31263 13262	   	191.88	DCR|3VULN|1AART|1ASPD|1DUR	1LWND|26LHND|3BEXP|4DUR|569VULN|6BPWR|7RCR|8ASPD|aAART
82	53232 21212	   	191.82	DCR|2VULN|2AART|1ASPD|1DUR	1BEXP|2ASPD|3aVULN|4DUR|5DUST|6RCR|79AART|8TSLARM
83	25111 11521	   	191.80	DCR|5VULN|1ASPD	13RCVC|2578aVULN|4ASPD|6RCR|9LWND
84	25111 11551	   	191.80	DCR|5VULN|1ASPD	13RCVC|2578aVULN|4ASPD|6RCR|9FEWX
85	25115 11521	   	191.76	DCR|4VULN|2ASPD	13RCVC|278aVULN|45ASPD|6RCR|9LWND
86	33254 23152	 * 	191.73	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	17LWND|2ASPD|39VULN|4RCR|5CDMG|6aAART|8DMG
87	14221 11531	   	191.70	DCR|5VULN|1ASPD|1AAC	1AAC|23578VULN|4RCVC|6RCR|9ASPD|aLWND
88	14221 11532	   	191.70	DCR|5VULN|1ASPD|1AAC	1AAC|23578VULN|4RCVC|6RCR|9ASPD|aCGEN
89	14221 11533	   	191.70	DCR|5VULN|1ASPD|1AAC	1AAC|23578VULN|4RCVC|6RCR|9ASPD|aLHND
90	14251 11423	   	191.70	DCR|5VULN|1DMG|1AAC	1AAC|23457VULN|6RCR|8RPLT|9AME|aDMG
91	25111 11514	   	191.70	DCR|5VULN|1ASPD	13RCVC|2578aVULN|4ASPD|6RCR|9DLOT
92	14251 33511	 * 	191.69	DCR|4VULN|1ASPD|1CDMG|1AAC	1AAC|2345VULN|6ASPD|7RCR|8CGEN|9CDMG|aRPLT
93	14251 33512	   	191.69	DCR|4VULN|1ASPD|1CDMG|1AAC	1AAC|2345VULN|6ASPD|7RCR|8CGEN|9CDMG|aDMSP
94	14251 33513	   	191.69	DCR|4VULN|1ASPD|1CDMG|1AAC	1AAC|2345VULN|6ASPD|7RCR|8CGEN|9CDMG|aFEWX
95	14221 11534	   	191.60	DCR|5VULN|1ASPD|1AAC	1AAC|23578VULN|4RCVC|6RCR|9ASPD|aCANARM
96	14221 11536	   	191.60	DCR|5VULN|1ASPD|1AAC	1AAC|23578VULN|4RCVC|6RCR|9ASPD|aBASARM
97	14251 11131	   	191.60	DCR|5VULN|2AAC|1ASPD	18AAC|23457VULN|6RCR|9ASPD|aLWND
98	14251 11132	   	191.60	DCR|5VULN|2AAC|1ASPD	18AAC|23457VULN|6RCR|9ASPD|aCGEN
99	14251 11133	   	191.60	DCR|5VULN|2AAC|1ASPD	18AAC|23457VULN|6RCR|9ASPD|aLHND
100	14251 11232	   	191.60	DCR|5VULN|1DMG|1AAC	1AAC|23457VULN|6RCR|8BASFIG|9DMG|aFEWX
101	14251 11233	   	191.60	DCR|5VULN|1DMG|1AAC	1AAC|23457VULN|6RCR|8BASFIG|9DMG|aLIT
102	14251 11234	   	191.60	DCR|5VULN|1DMG|1AAC	1AAC|23457VULN|6RCR|8BASFIG|9DMG|aLWND
103	14251 11236	   	191.60	DCR|5VULN|1DMG|1AAC	1AAC|23457VULN|6RCR|8BASFIG|9DMG|aMLV
104	14251 11316	   	191.60	DCR|5VULN|1DMG|1AAC	1AAC|23457VULN|6RCR|8DUST|9BEXP|aDMG
105	14251 11331	   	191.60	DCR|5VULN|1DMG|1AAC	1AAC|23457VULN|6RCR|8DUST|9DMG|aFEWX
106	14251 11334	   	191.60	DCR|5VULN|1DMG|1AAC	1AAC|23457VULN|6RCR|8DUST|9DMG|aBEXP
107	14251 11335	   	191.60	DCR|5VULN|1DMG|1AAC	1AAC|23457VULN|6RCR|8DUST|9DMG|aCGEN
108	14251 11336	   	191.60	DCR|5VULN|1DMG|1AAC	1AAC|23457VULN|6RCR|8DUST|9DMG|aMLV
109	14251 33411	   	191.59	DCR|4VULN|1ASPD|1CDMG|1AAC	1AAC|2345VULN|6ASPD|7RCR|8TLV|9CDMG|aRPLT
110	14251 33412	   	191.59	DCR|4VULN|1ASPD|1CDMG|1AAC	1AAC|2345VULN|6ASPD|7RCR|8TLV|9CDMG|aDMSP
111	14251 33413	   	191.59	DCR|4VULN|1ASPD|1CDMG|1AAC	1AAC|2345VULN|6ASPD|7RCR|8TLV|9CDMG|aFEWX
112	14251 11235	   	191.50	DCR|5VULN|1DMG|1AAC|1MSE	1AAC|23457VULN|6RCR|8BASFIG|9DMG|aMSE
113	14251 11332	   	191.50	DCR|5VULN|1DMG|1AAC|1MSE	1AAC|23457VULN|6RCR|8DUST|9DMG|aMSE
114	14221 11615	   	191.49	DCR|4VULN|1AART|1AAC|1ZMB	1AAC|2357VULN|4RCVC|6RCR|8ZMB|9MLV|aAART
115	14221 11624	   	191.49	DCR|4VULN|1AART|1AAC|1ZMB	1AAC|2357VULN|4RCVC|6RCR|8ZMB|9AART|aFEWX
116	14221 11626	   	191.49	DCR|4VULN|1AART|1AAC|1ZMB	1AAC|2357VULN|4RCVC|6RCR|8ZMB|9AART|aLWND
117	14221 11623	   	191.39	DCR|4VULN|1AART|1AAC|1ZMB	1AAC|2357VULN|4RCVC|6RCR|8ZMB|9AART|aDUST
118	33255 12332	 * 	191.21	ACR|2VULN|2DMG|2ASPD|1AART	1LWND|2aASPD|39VULN|4RCR|56DMG|7AART|8LHND
119	23115 11145	   	191.07	DCR|3ASPD|2VULN|1DMG	13RCVC|2LHND|458ASPD|6RCR|7aVULN|9DMG
120	62115 11135	   	191.07	DCR|3ASPD|2VULN|1DMG	12FEWX|3RCVC|458ASPD|6RCR|7aVULN|9DMG
121	11115 11135	   	190.97	DCR|3ASPD|2VULN|1DMG|1AAC	1AAC|2CGEN|3RCVC|458ASPD|6RCR|7aVULN|9DMG
122	12115 11135	   	190.97	DCR|3ASPD|2VULN|1DMG|1AAC	1AAC|2MLV|3RCVC|458ASPD|6RCR|7aVULN|9DMG
123	22125 11145	   	190.97	DCR|3ASPD|2VULN|1DMG	14RCVC|2LEGI|358ASPD|6RCR|7aVULN|9DMG
124	53221 25252	   	190.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1BEXP|2ASPD|38VULN|4FEWX|5LWND|6RCR|7CDMG|9ZMB|aDMG
125	33424 24123	 * 	190.49	DCR|2VULN|2ASPD|1DMG|1CDMG	13LWND|23ASPD|3BPWR|46RCVC|5CDMG|7aVULN|8RCR|9DMG
126	53222 25252	   	190.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1BEXP|2ASPD|38VULN|4FEWX|5DUST|6RCR|7CDMG|9ZMB|aDMG
127	23111 63123	   	190.39	DCR|2VULN|2ASPD|1DMG|1CDMG	13RCVC|2LHND|47ASPD|5aVULN|6CDMG|8RCR|9DMG
128	23114 63123	   	190.39	DCR|2VULN|2ASPD|1DMG|1CDMG	13RCVC|2LHND|47ASPD|5CDMG|6aVULN|8RCR|9DMG
129	23611 63123	   	190.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1RCVC|23LHND|47ASPD|5aVULN|6CDMG|8RCR|9DMG
130	23614 63123	   	190.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1RCVC|23LHND|47ASPD|5CDMG|6aVULN|8RCR|9DMG
131	53521 63123	   	190.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1BEXP|27ASPD|3DMSP|4RCVC|5aVULN|6CDMG|8RCR|9DMG
132	22121 63123	   	190.29	DCR|2VULN|2ASPD|1DMG|1CDMG	14RCVC|2LEGI|37ASPD|5aVULN|6CDMG|8RCR|9DMG
133	22124 63123	   	190.29	DCR|2VULN|2ASPD|1DMG|1CDMG	14RCVC|2LEGI|37ASPD|5CDMG|6aVULN|8RCR|9DMG
134	53232 21531	   	190.16	DCR|2VULN|2ASPD|1AART|1DUR	18BEXP|28ASPD|39VULN|4DUR|58DUST|6RCR|7AART|8BPWR|aLWND
135	53232 21532	   	190.16	DCR|2VULN|2ASPD|1AART|1DUR	18BEXP|28ASPD|39VULN|4DUR|58DUST|6RCR|7AART|8BPWR|aRPLT
136	53232 21533	   	190.16	DCR|2VULN|2ASPD|1AART|1DUR	18BEXP|28ASPD|39VULN|4DUR|58DUST|6RCR|7AART|8BPWR|aMLV
137	53232 21534	   	190.16	DCR|2VULN|2ASPD|1AART|1DUR	18BEXP|28ASPD|39VULN|4DUR|58DUST|6RCR|7AART|8BPWR|aSPLJET
138	53231 23214	   	190.06	DCR|2VULN|2ASPD|1AART|1DUR	1BEXP|28ASPD|39VULN|4DUR|5LWND|6RCR|7CANARM|aAART
139	53262 22814	   	189.99	DCR|3VULN|1ASPD|1DMG|1ZMB	1BEXP|2ASPD|39aVULN|4MULARM|5DMG|6MBVNT|7RCR|8ZMB
140	33232 23214	   	189.96	DCR|2VULN|2ASPD|1AART|1DUR	1LWND|28ASPD|39VULN|4DUR|5DUST|6RCR|7CANARM|aAART
141	33232 25214	   	189.96	DCR|2VULN|2ASPD|1AART|1DUR	1LWND|28ASPD|39VULN|4DUR|5DUST|6RCR|7TSLFST|aAART
142	53232 21543	 * 	189.85	DCR|2ASPD|1VULN|1AART|1NUKE|1DUR	18BEXP|28ASPD|3VULN|4DUR|58DUST|6RCR|7AART|8BPWR|9LWND|aNUKE
143	33262 22311	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3VULN|4MULARM|5DMG|6MBVNT|7RCR|8CDMG|9DUR|aAART
144	53262 22361	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2ASPD|3VULN|4MULARM|5DMG|6MBVNT|7RCR|8CDMG|9DUR|aAART
145	53262 22741	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2ASPD|3VULN|4MULARM|5DMG|6MBVNT|7RCR|8DUR|9CDMG|aAART
146	33262 22145	   	189.77	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1LWND|28ASPD|3VULN|4MULARM|5DMG|6MBVNT|7RCR|9ZMB|aAART
147	53232 21513	   	189.75	DCR|2ASPD|1VULN|1AART|1NUKE|1DUR|1MSE	18BEXP|28ASPD|3VULN|4DUR|58DUST|6RCR|7AART|8BPWR|9MSE|aNUKE
148	53222 21433	   	189.75	DCR|2ASPD|1VULN|1AART|1NUKE|1DUR	1BEXP|29ASPD|3VULN|4FEWX|5DUST|6RCR|7AART|8DUR|aNUKE
149	53243 21433	   	189.75	DCR|2ASPD|1VULN|1AART|1NUKE|1DUR	1BEXP|29ASPD|3VULN|4DUST|5FEWX|6RCR|7AART|8DUR|aNUKE
150	14251 33531	   	189.70	DCR|5VULN|1ASPD|1AAC	1AAC|2345aVULN|6ASPD|7RCR|89CGEN
151	25111 13541	   	189.66	DCR|3VULN|2ASPD|2DUR	13RCVC|25aVULN|4aASPD|6RCR|7AME|8CGEN|9aDUR|aBPWR
152	14251 33115	   	189.66	DCR|4VULN|2ASPD|1AAC	1AAC|2345VULN|6aASPD|7RCR|8FEWX|9RMIN
153	14251 33135	   	189.66	DCR|4VULN|2ASPD|1AAC	1AAC|2345VULN|6aASPD|7RCR|8FEWX|9AME
154	14251 33215	   	189.66	DCR|4VULN|2ASPD|1AAC	1AAC|2345VULN|6aASPD|7RCR|8BEXP|9RMIN
155	14251 33235	   	189.66	DCR|4VULN|2ASPD|1AAC	1AAC|2345VULN|6aASPD|7RCR|8BEXP|9AME
156	14251 33261	   	189.66	DCR|4VULN|2ASPD|1AAC	1AAC|2345VULN|69ASPD|7RCR|8aBEXP
157	14251 33262	   	189.66	DCR|4VULN|2ASPD|1AAC	1AAC|2345VULN|69ASPD|7RCR|8BEXP|aRPLT
158	14251 33361	   	189.66	DCR|4VULN|2ASPD|1AAC	1AAC|2345VULN|69ASPD|7RCR|8LHND|aBEXP
159	14251 33362	   	189.66	DCR|4VULN|2ASPD|1AAC	1AAC|2345VULN|69ASPD|7RCR|8LHND|aSNIFST
160	21115 14532	   	189.57	DCR|2VULN|2ASPD|1CDMG|1DUR	13RCVC|2DUR|45ASPD|6RCR|7SPLREG|8CDMG|9aVULN
161	25111 12541	   	189.56	DCR|3VULN|2ASPD|2DUR	13RCVC|25aVULN|4aASPD|6RCR|7ERES|8CGEN|9aDUR|aBPWR
162	25111 13441	   	189.56	DCR|3VULN|2ASPD|2DUR	13RCVC|25aVULN|4aASPD|6RCR|7AME|8TLV|9aDUR|aBPWR
163	14251 33363	   	189.56	DCR|4VULN|2ASPD|1AAC|1MSE	1AAC|2345VULN|69ASPD|7RCR|8LHND|aMSE
164	25111 12441	   	189.46	DCR|3VULN|2ASPD|2DUR	13RCVC|25aVULN|4aASPD|6RCR|7ERES|8TLV|9aDUR|aBPWR
165	33253 25142	 * 	189.46	ACR|2VULN|2AART|2ASPD|1DMG|1SELL	1LWND|29ASPD|37VULN|4RCR|5SELL|6aAART|8DMG
166	26531 63212	   	189.20	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1RCVC|2BASARM|3DUST|48DMG|5AART|6RCR|7VULN|9DUR|aCDMG
167	33254 25223	 * 	189.16	ACR|3VULN|1AART|2CDMG|1ASPD|1DUR	1LWND|2ASPD|37aVULN|4RCR|59CDMG|6AART|8DUR
168	53231 25212	   	188.48	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2ASPD|38VULN|4DUR|5LWND|6RCR|7CDMG|9CGEN|aDMG
169	25115 11612	   	188.48	DCR|2VULN|2ASPD|1NUKE|1ZMB	13RCVC|27VULN|45ASPD|6RCR|8ZMB|9MLV|aNUKE
170	25111 11312	   	188.43	DCR|3VULN|1ASPD|1NUKE|1AAC	13RCVC|257VULN|4ASPD|6RCR|8AAC|9MLV|aNUKE
171	53231 25242	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2ASPD|38VULN|4DUR|5LWND|6RCR|7CDMG|9ERES|aDMG
172	33335 52612	 * 	187.96	4VULN|3DMG|3ASPD|1DUR	1LWND|28aASPD|3DUST|4DUR|58aDMG|6LIT|789aVULN|8aBPWR
173	53222 25125	   	187.96	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB	1BEXP|28ASPD|3VULN|4FEWX|5DUST|6RCR|7CDMG|9AART|aZMB
174	21115 11125	   	187.95	DCR|3ASPD|1VULN|1AART|2DUR	13RCVC|2aDUR|458ASPD|6RCR|7VULN|9AART
175	25116 22334	   	187.93	DCR|2VULN|2DMG|2ASPD	13RCVC|29VULN|49ASPD|5LIT|6MULARM|7BELT|89DMG|9BPWR|aRCR
