0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25133 63352	7	 * 	303.11	橙5易伤2等级3时间	179时间2随机矿3579a易伤457敌人爆炸579序列升级6核89等级
41	22261 16621	2	   	278.01	橙3易伤3时间1等级3雷电1暴击	178时间278雷电3金币生成4赏金塔5暴击678易伤78序列升级9核a等级
42	22361 16621	3	   	278.01	橙3易伤3时间1等级3雷电1暴击	178时间278雷电3金币生成4赏金塔5暴击678易伤78序列升级9核a等级
43	23234 32332	9	 * 	277.20	橙4易伤3时间2伤害	137时间257a低血量敌人457a易伤57a序列升级6平台8a伤害9核
44	23234 32462	8	   	277.20	橙4易伤3时间2伤害	137时间257a低血量敌人457a易伤57a序列升级6平台8核9a伤害
45	23233 32332	9	   	277.10	橙4易伤3时间2伤害	137时间27a低血量敌人457a易伤6平台7a序列升级8a伤害9核
46	23233 32462	8	   	277.10	橙4易伤3时间2伤害	137时间27a低血量敌人457a易伤6平台7a序列升级8核9a伤害
47	16233 32332	9	   	277.10	橙4易伤3时间2伤害	157a易伤247最后敌人37a时间6平台7a序列升级8a伤害9核
48	16233 32462	8	   	277.10	橙4易伤3时间2伤害	157a易伤247最后敌人37a时间6平台7a序列升级8核9a伤害
49	16263 42332	9	   	277.10	橙4易伤3时间2伤害	167a易伤257最后敌人37a时间4平台7a序列升级8a伤害9核
50	26333 32332	9	   	277.10	橙4易伤3时间2伤害	17a时间247最后敌人357a易伤6平台7a序列升级8a伤害9核
51	26333 32462	8	   	277.10	橙4易伤3时间2伤害	17a时间247最后敌人357a易伤6平台7a序列升级8核9a伤害
52	26363 42332	9	   	277.10	橙4易伤3时间2伤害	17a时间257最后敌人367a易伤4平台7a序列升级8a伤害9核
53	14325 32332	9	   	276.80	橙4易伤3时间2伤害	137a易伤257挖尘47a时间6平台7a序列升级8a伤害9核
54	14224 11142	2	   	276.77	橙3易伤2等级2伤害2暴击	158易伤28挖尘3a伤害46暴击78等级8序列升级9核
55	23242 23352	7	 * 	276.47	橙2易伤2等级3时间2伤害	137时间279低血量敌人49伤害5挖尘67易伤79序列升级89等级a核
56	13224 11126	1	   	275.63	橙3易伤2等级1伤害2暴击1时间	158易伤28基地爆炸3伤害46暴击78等级8序列升级9时间a核
57	53324 23632	5	   	275.43	橙4易伤2时间1等级1暴击	1敌人爆炸2358易伤45时间5序列升级6全技能7暴击9核a等级
58	14224 11126	2	   	275.43	橙3易伤2等级1伤害2暴击1时间	158易伤28挖尘3伤害46暴击78等级8序列升级9时间a核
59	13263 13254	1	   	275.19	橙4易伤2伤害1等级1时间	1578易伤24基地爆炸34伤害4序列升级6等级9核a时间
60	53326 22413	7	   	275.09	橙4易伤2伤害1等级1时间	1敌人爆炸2359易伤4时间6等级7核8a伤害
61	15126 32252	3	   	275.09	橙4易伤2伤害1等级1时间	1479易伤2随机矿3等级58伤害6时间a核
62	15272 13245	1	   	274.90	橙5易伤2等级2攻速	14789易伤24攻速3加一49序列升级59基地爆炸69等级a核
63	13224 14126	2	 * 	274.69	橙4易伤3伤害3暴击	157a易伤2低血量敌人37a伤害467暴击7a序列升级8a最后敌人9核
64	13224 14126	1	   	274.69	橙4易伤3伤害3暴击	157a易伤2基地爆炸37a伤害467暴击7a序列升级8a最后敌人9核
65	13263 13224	1	 * 	274.59	橙4易伤3伤害1等级	1578易伤24基地爆炸349伤害4序列升级6等级a核
66	52163 13124	3	   	274.59	橙4易伤3伤害1等级	18敌人爆炸249伤害3457易伤4序列升级6等级a核
67	52163 13324	3	   	274.59	橙4易伤3伤害1等级	1敌人爆炸249伤害3457易伤4序列升级6等级8立即金币a核
68	53263 13124	2	   	274.59	橙4易伤3伤害1等级	18敌人爆炸2457易伤349伤害4序列升级6等级a核
69	53263 13324	2	   	274.59	橙4易伤3伤害1等级	1敌人爆炸2457易伤349伤害4序列升级6等级8立即金币a核
70	13224 14326	2	   	274.49	橙4易伤3伤害3暴击	157a易伤2低血量敌人37a伤害467暴击7a序列升级8a挖尘9核
71	13426 12224	1	   	274.49	橙4易伤3伤害1等级	1348易伤2基地爆炸579伤害6等级a核
72	13426 12224	2	   	274.49	橙4易伤3伤害1等级	1348易伤2低血量敌人579伤害6等级a核
73	14326 12224	3	   	274.39	橙4易伤3伤害1等级	1348易伤2挖尘579伤害6等级a核
74	12431 64321	1	   	273.92	橙3易伤3时间1等级1伤害	16a易伤2全技能359时间4伤害7核8等级
