0	Index      	 *	Score 	Summary	Detail	
1	51132 62224	 * 	185.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9aVULN
23	51132 62422	   	171.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8LWND|9VULN|aZMB
24	51132 62522	   	171.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8BEXP|9VULN|aZMB
25	51132 62153	   	171.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8SNIHEL|9VULN|aZMB
26	46353 12221	 * 	170.93	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	1aLIT|2RCR|3NUKE|4aASPD|5DUR|6AART|7MBVNT|8VULN|9aDMG|aBPWR
27	31533 55222	 * 	170.82	DCR|3VULN|1AART|1DMG|1DUR	1BEXP|2CGEN|3DMG|47aVULN|5AART|6RCR|8DUR|9LWND
28	25411 26321	 * 	170.73	DCR|2VULN|1AART|3CDMG|1DMG	17MLV|279CDMG|3AART|4LEGI|57VULN|6RMIN|7BPWR|8RCR|aDMG
29	43433 25332	 * 	169.73	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|239VULN|4LHND|5CGEN|6DMG|7CDMG|8RCR|aAART
30	33633 36321	   	169.43	DCR|2VULN|1AART|3CDMG|1DMG	17BEXP|23DUST|47VULN|5AART|679CDMG|7BPWR|8RCR|aDMG
31	46262 12212	   	169.19	ACR|2VULN|1AART|2CDMG|1ZMB|1DUR	18LIT|2RCR|3DUR|48VULN|5RPLT|6RCVC|78CDMG|8BPWR|9AART|aZMB
32	25234 41213	 * 	167.89	ACR|4VULN|1DMG|1CDMG|1ASPD	1MLV|2CDMG|3689VULN|4ERES|5RCR|7ASPD|aDMG
33	54332 31623	 * 	167.44	ACR|3VULN|2DMG|1CDMG	1CANHEL|2MBVNT|3CDMG|4RCVC|5RCR|6aDMG|789VULN
34	51132 62221	   	167.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9VULN|aMLV
35	51132 62223	   	167.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9VULN|aBELT
36	51132 62226	   	167.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9VULN|aCGEN
37	51132 62225	   	167.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9VULN|aTLV
38	51132 62234	   	167.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9DUST|aVULN
39	51152 62321	   	166.89	DCR|2DMG|1AART|1VULN|2CDMG	1CANHEL|24DMG|34CDMG|4BPWR|5ERES|6RCR|7AART|8LHND|9VULN|aMLV
40	51152 62323	   	166.89	DCR|2DMG|1AART|1VULN|2CDMG	1CANHEL|24DMG|34CDMG|4BPWR|5ERES|6RCR|7AART|8LHND|9VULN|aBELT
41	52532 33361	 * 	166.61	DCR|3VULN|2DMG|1CDMG	1CANHEL|23aVULN|4FEWX|5CGEN|6aBEXP|7RCR|8CDMG|9aDMG|aBPWR
42	36533 53322	 * 	166.51	DCR|2AART|2VULN|1DMG|1DUR	1BEXP|2TLV|3DMG|4aVULN|58AART|6RCR|7DUR|9LWND
43	51124 35511	   	166.17	DCR|3DMG|2VULN|1CDMG|1SELL	1aCANHEL|26aDMG|3CDMG|4MBVNT|5CGEN|7RCR|8aVULN|9SELL|aBPWR
44	36533 53112	   	166.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2TLV|3DMG|4aVULN|5AART|6RCR|7DUR|8ZMB|9CGEN
45	33633 36316	 * 	165.92	DCR|3VULN|1AART|2CDMG|1DUR	17BEXP|23DUST|47aVULN|5AART|67CDMG|7BPWR|8RCR|9DUR
46	33633 36334	   	165.92	DCR|3VULN|1AART|2CDMG|1ASPD	17BEXP|23DUST|47aVULN|5AART|67CDMG|7BPWR|8RCR|9ASPD
47	31533 53122	   	165.81	DCR|2VULN|2DMG|1AART	1BEXP|2CGEN|37DMG|4aVULN|5AART|6RCR|8LWND|9LHND
48	31533 53135	   	165.81	DCR|2VULN|2DMG|1AART	1BEXP|29CGEN|37DMG|4aVULN|5AART|6RCR|8LWND
49	31533 53315	   	165.81	DCR|2VULN|2DMG|1AART	1BEXP|28CGEN|37DMG|4aVULN|5AART|6RCR|9FEWX
50	31533 53411	   	165.81	DCR|2VULN|2DMG|1AART	19BEXP|29CGEN|37DMG|4aVULN|5AART|6RCR|89TLV|9BPWR
51	51133 52115	   	165.53	DCR|3DMG|2VULN|2CDMG	17CANHEL|246DMG|37CDMG|57VULN|7BPWR|8LHND|9VENICY|aRCR
52	51133 52315	   	165.53	DCR|3DMG|2VULN|2CDMG	17CANHEL|246DMG|37CDMG|57VULN|7BPWR|8LWND|9VENICY|aRCR
53	46241 31213	   	165.32	ACR|2VULN|1AART|2CDMG|1DUR|1ASPD	1LIT|2RCR|3DUR|4AART|58VULN|6TLV|7ASPD|9aCDMG
54	46262 33221	   	165.02	ACR|3VULN|2DMG|1DUR	1aLIT|2RCR|3DUR|47aVULN|5RPLT|6TLV|8DUST|9aDMG|aBPWR
55	51133 52522	 * 	164.88	4VULN|3DMG|1AART|2CDMG	17CANHEL|246DMG|37CDMG|5789VULN|7BPWR|aAART
56	51152 62232	   	164.67	DCR|2DMG|1AART|2CDMG|1ZMB|1DUR	1CANHEL|24DMG|34CDMG|4BPWR|5ERES|6RCR|7AART|8DUR|9DUST|aZMB
57	51124 35441	   	164.01	DCR|2VULN|2DMG|2CDMG|1DUR	1aCANHEL|26DMG|3aCDMG|4MBVNT|5CGEN|7RCR|8DUR|9aVULN|aBPWR
58	42263 22216	   	163.93	ACR|2VULN|2DMG|1AART	17LIT|27CGEN|3RCR|4ERES|5BEXP|67VULN|7BPWR|8aDMG|9AART
59	51124 36641	   	163.91	DCR|3DMG|2VULN|1CDMG	1aCANHEL|26aDMG|3CDMG|4MBVNT|5CGEN|7LEGI|8RCR|9aVULN|aBPWR
60	51126 35441	   	163.91	DCR|2VULN|2DMG|2CDMG|1DUR	1aCANHEL|26DMG|3aCDMG|4MBVNT|5TLV|7RCR|8DUR|9aVULN|aBPWR
61	46352 12221	   	163.89	ACR|2DMG|1AART|1VULN|2ASPD	1aLIT|2RCR|3NUKE|4aASPD|5DUST|6AART|7MBVNT|8VULN|9aDMG|aBPWR
62	31533 55122	   	163.88	DCR|3VULN|1AART|1DMG	1BEXP|2CGEN|3DMG|47aVULN|5AART|6RCR|8LWND|9LHND
63	46262 12213	 * 	163.48	ACR|2VULN|1AART|2CDMG|2DUR	18LIT|2RCR|3aDUR|48VULN|5RPLT|6RCVC|78CDMG|8BPWR|9AART
64	33633 36352	   	163.39	DCR|2VULN|1AART|1DMG|2CDMG	17BEXP|23DUST|47VULN|5AART|67CDMG|7BPWR|8RCR|9DMG|aMLV
65	33633 36353	   	163.39	DCR|2VULN|1AART|1DMG|2CDMG	17BEXP|23DUST|47VULN|5AART|67CDMG|7BPWR|8RCR|9DMG|aFEWX
66	33633 36351	   	163.29	DCR|2VULN|1AART|1DMG|2CDMG	17BEXP|23aDUST|47VULN|5AART|67CDMG|7BPWR|8RCR|9DMG
67	46341 12221	   	162.68	ACR|2DMG|1AART|1VULN|2DUR	1aLIT|2RCR|3NUKE|4aDUR|5RMIN|6AART|7DUST|8VULN|9aDMG|aBPWR
68	11533 53251	   	162.58	DCR|3VULN|2DMG|1DUR	19DUST|2CGEN|39DMG|479VULN|56RCVC|8RCR|9BPWR|aDUR
69	51132 63151	   	162.13	DCR|3DMG|1VULN|1CDMG|1ZMB	1CANHEL|24aDMG|3CDMG|5ERES|6RCR|7ZMB|8LHND|9VULN
70	51132 63351	   	162.03	DCR|3DMG|1VULN|1CDMG|1ZMB	1CANHEL|24aDMG|3CDMG|5ERES|6RCR|7ZMB|8DUST|9VULN
71	42263 22215	   	162.00	ACR|3VULN|1AART|1DMG	17LIT|27CGEN|3RCR|4ERES|5BEXP|67aVULN|7BPWR|8DMG|9AART
72	51132 62523	   	161.78	DCR|2DMG|1AART|1VULN|1CDMG	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8BEXP|9VULN|aRCVC
73	46153 12233	 * 	161.77	ACR|2VULN|1AART|2ASPD|1ZMB|1DUR	1LIT|2RCR|3ZMB|4aASPD|5DUR|6AART|7DUST|89VULN
74	31523 33224	 * 	161.48	DCR|3DMG|1AART|1VULN	1BEXP|2CGEN|39aDMG|4LHND|5AART|6LIT|7RCR|8VULN
75	33633 36335	   	161.27	DCR|2VULN|1AART|2CDMG|1ZMB|1ASPD	17BEXP|23DUST|47VULN|5AART|67CDMG|7BPWR|8RCR|9ASPD|aZMB
76	52321 15341	 * 	161.17	DCR|4VULN|1AART|1CDMG	17CANHEL|2478VULN|3CDMG|5LIT|67DUST|7BPWR|9RCR|aAART
77	52321 23341	   	161.17	DCR|4VULN|1AART|1CDMG	1CANHEL|2468VULN|3CDMG|5LIT|7DUST|9RCR|aAART
78	52521 23341	   	161.17	DCR|4VULN|1AART|1CDMG	1CANHEL|2368VULN|4CDMG|5LIT|7DUST|9RCR|aAART
79	51632 13611	   	160.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CANHEL|2DMG|3LHND|4DUR|59VULN|6LIT|7CDMG|8RCR|aAART
80	51231 63611	   	160.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CANHEL|2DMG|3DUST|4DUR|5LIT|69VULN|7CDMG|8RCR|aAART
81	51232 13611	   	160.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CANHEL|2DMG|3DUST|4DUR|59VULN|6LIT|7CDMG|8RCR|aAART
82	51321 63611	   	160.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CANHEL|2DMG|3DUR|4DUST|5LIT|69VULN|7CDMG|8RCR|aAART
83	51322 13611	   	160.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CANHEL|2DMG|3DUR|4DUST|59VULN|6LIT|7CDMG|8RCR|aAART
84	51132 62321	   	160.48	DCR|2DMG|1AART|1VULN|1CDMG	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8LHND|9VULN|aMLV
85	51132 62323	   	160.48	DCR|2DMG|1AART|1VULN|1CDMG	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8LHND|9VULN|aBELT
86	51132 62326	   	160.48	DCR|2DMG|1AART|1VULN|1CDMG	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8LHND|9VULN|aCGEN
87	51132 62421	   	160.48	DCR|2DMG|1AART|1VULN|1CDMG	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8LWND|9VULN|aMLV
88	51132 62423	   	160.48	DCR|2DMG|1AART|1VULN|1CDMG	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8LWND|9VULN|aBELT
89	51132 62521	   	160.48	DCR|2DMG|1AART|1VULN|1CDMG	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8BEXP|9VULN|aMLV
90	31533 53261	 * 	160.46	DCR|2DMG|1AART|1VULN|2DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|89DUR|aRMIN
91	25212 43352	   	160.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2CDMG|36VULN|4ASPD|5LWND|7AART|8RMIN|9RCR|aDMG
92	25212 43263	 * 	160.40	DCR|2VULN|2AART|1CDMG|1ZMB|1ASPD	1MLV|2CDMG|36VULN|4ASPD|5LWND|79AART|8ZMB|aRCR
93	51132 62151	   	160.38	DCR|2DMG|1AART|1VULN|1CDMG	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8SNIHEL|9VULN|aRPLT
94	51132 62152	   	160.38	DCR|2DMG|1AART|1VULN|1CDMG	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8SNIHEL|9VULN|aDMSP
95	51132 62325	   	160.38	DCR|2DMG|1AART|1VULN|1CDMG	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8LHND|9VULN|aTLV
96	51132 62334	   	160.38	DCR|2DMG|1AART|1VULN|1CDMG	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8LHND|9DUST|aVULN
97	31533 53213	   	160.36	DCR|2DMG|1AART|1VULN|2DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|8aDUR|9ERES
98	31533 53262	   	160.36	DCR|2DMG|1AART|1VULN|2DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|89DUR|aDUST
99	31533 53263	   	160.36	DCR|2DMG|1AART|1VULN|2DUR	1BEXP|2CGEN|37DMG|4VULN|5AART|6RCR|89DUR|aLEGI
100	31533 55213	 * 	160.36	DCR|2VULN|1AART|1DMG|2DUR	1BEXP|2CGEN|3DMG|47VULN|5AART|6RCR|8aDUR|9ERES
101	25211 43352	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2CDMG|36VULN|4ASPD|5LEGI|7AART|8RMIN|9RCR|aDMG
102	46241 31212	   	160.31	ACR|2VULN|1AART|1CDMG|1DUR|1ASPD	1LIT|2RCR|3DUR|4AART|58VULN|6TLV|7ASPD|9CDMG|aRCVC
103	25211 43263	   	160.30	DCR|2VULN|2AART|1CDMG|1ZMB|1ASPD	1MLV|2CDMG|36VULN|4ASPD|5LEGI|79AART|8ZMB|aRCR
104	11533 63251	   	160.21	DCR|3VULN|2DMG|1DUR	19DUST|26CGEN|39DMG|479VULN|5RCVC|8RCR|9BPWR|aDUR
105	25234 41223	 * 	160.10	ACR|3VULN|1DMG|2CDMG|1ASPD	1MLV|29CDMG|368VULN|4ERES|5RCR|7ASPD|aDMG
106	31533 53362	 * 	159.67	DCR|2AART|2DMG|1VULN	1BEXP|28CGEN|37DMG|4VULN|59AART|6RCR|aLIT
107	25136 22352	   	159.58	DCR|2DMG|1AART|1VULN|1CDMG	1MLV|2CDMG|3RMIN|4BEXP|5AART|6RCVC|7VULN|8RCR|9aDMG
108	31533 53361	   	159.57	DCR|2AART|2DMG|1VULN	1BEXP|28CGEN|37DMG|4VULN|59AART|6RCR|aDUST
109	31533 53363	   	159.57	DCR|2AART|2DMG|1VULN	1BEXP|28CGEN|37DMG|4VULN|59AART|6RCR|aLEGI
110	52322 51523	   	159.57	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1CANHEL|249VULN|3CDMG|5ZMB|6DMG|7LWND|8ASPD|aRCR
111	23132 13536	   	159.51	DCR|3VULN|1AART|1CDMG|1DUR	1MLV|2DUR|358VULN|4CANHEL|6LWND|7RCR|9AART|aCDMG
112	52322 34523	   	159.47	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1CANHEL|249VULN|3CDMG|5ZMB|6DUST|7DMG|8ASPD|aRCR
113	51124 71381	   	159.37	DCR|2VULN|2DMG|2CDMG	1aCANHEL|2aDMG|39CDMG|4MBVNT|5CGEN|6RCR|7LEGI|8aVULN|aBPWR
114	51128 32482	   	159.37	DCR|2VULN|2DMG|2CDMG	1CANHEL|28DMG|39CDMG|4MBVNT|5RPLT|6RCR|7aVULN
115	51132 61421	   	159.37	DCR|2DMG|2VULN|2CDMG	1aCANHEL|24DMG|3aCDMG|5ERES|6RCR|7LWND|8aVULN|9LEGI|aBPWR
116	51132 61411	   	159.23	DCR|2VULN|2DMG|2CDMG|1SELL	1aCANHEL|24DMG|3aCDMG|5ERES|6RCR|7LWND|8aVULN|9SELL|aBPWR
117	31533 54121	   	159.23	DCR|2DMG|1AART|1VULN|1ZMB	1BEXP|2CGEN|3aDMG|4VULN|5AART|6RCR|7FEWX|8ZMB|9LWND
118	31523 55121	   	159.23	DCR|2DMG|1AART|1VULN|1ZMB	1BEXP|2CGEN|3aDMG|4LHND|5AART|6RCR|7VULN|8ZMB|9LWND
119	52321 53212	   	159.21	DCR|3VULN|2DMG|1CDMG	1CANHEL|248VULN|3CDMG|5LIT|67DMG|9RPLT|aRCR
120	52521 53212	   	159.21	DCR|3VULN|2DMG|1CDMG	1CANHEL|238VULN|4CDMG|5LIT|67DMG|9RPLT|aRCR
121	31533 56322	   	159.13	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2CGEN|3DMG|4aVULN|5AART|6RCR|7NUKE|8ZMB|9LWND
122	36533 52322	   	159.13	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2TLV|3DMG|4aVULN|5AART|6RCR|7CGEN|8ZMB|9LHND
123	46241 21311	   	159.11	ACR|2VULN|1AART|1CDMG|1DUR|1ASPD	1LIT|2RCR|3DUR|4AART|59VULN|6FEWX|7CDMG|8LWND|aASPD
124	46241 31211	   	159.01	ACR|2VULN|1AART|1CDMG|1DUR|1ASPD	1LIT|2RCR|3DUR|4AART|58VULN|6TLV|7ASPD|9CDMG|aFEWX
125	46242 31233	   	159.01	ACR|2VULN|1AART|1CDMG|1ASPD|1DUR	1LIT|2RCR|3DUR|4AART|5ERES|6FEWX|7ASPD|89VULN|aCDMG
126	46241 11211	   	159.01	ACR|2VULN|1AART|1CDMG|1DUR|1ASPD	1LIT|2RCR|3DUR|4AART|59VULN|6LWND|7CDMG|8DUST|aASPD
127	46241 21211	   	159.01	ACR|2VULN|1AART|1CDMG|1ASPD|1DUR	1LIT|2RCR|3DUR|4AART|59VULN|6FEWX|7CDMG|8DUST|aASPD
128	51132 63422	   	158.83	DCR|2DMG|3CDMG|1VULN|1ZMB	1CANHEL|24DMG|389CDMG|5ERES|6RCR|7ZMB|aVULN
129	52321 22264	 * 	158.80	DCR|3VULN|1AART|1CDMG|2DUR	1CANHEL|246VULN|3CDMG|5LIT|7AART|89DUR|aRCR
130	51128 32472	   	158.68	DCR|2DMG|1AART|1VULN|1CDMG	1CANHEL|28DMG|3CDMG|4MBVNT|5RPLT|6RCR|7VULN|9LWND|aAART
131	51132 62242	   	158.35	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9ZMB|aLIT
132	51132 62243	   	158.35	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9ZMB|aBEXP
133	51132 62252	   	158.35	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9LHND|aZMB
134	51121 33622	   	158.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CANHEL|28DMG|3CDMG|4MBVNT|5ERES|6AART|7DUR|9VULN|aRCR
135	51632 41212	   	158.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CANHEL|2DMG|3LHND|4DUR|59VULN|6ZMB|7FEWX|8RCR|aAART
136	51132 62232	   	158.25	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9DUST|aZMB
137	51132 62241	   	158.25	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	1CANHEL|24DMG|3CDMG|5aERES|6RCR|7AART|8DUR|9ZMB
138	54332 32821	   	158.20	ACR|2VULN|2DMG|2CDMG	17CANHEL|2MBVNT|37CDMG|4RCVC|5RCR|67DMG|7BPWR|89VULN|aRPLT
139	25411 32162	   	158.18	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2CDMG|3AART|4LEGI|57VULN|6BEXP|8RCR|9CGEN|aDMG
140	51232 42212	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CANHEL|2DMG|3DUST|4DUR|59VULN|6ZMB|7LHND|8RCR|aAART
141	51322 42212	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CANHEL|2DMG|3DUR|4DUST|59VULN|6ZMB|7LHND|8RCR|aAART
142	53422 43212	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CANHEL|2DUST|3DUR|4LWND|5DMG|6ZMB|79VULN|8RCR|aAART
143	31523 51422	 * 	158.12	DCR|3VULN|2DMG|1AART|1MSE	19BEXP|2CGEN|39DMG|4LHND|5AART|6RCR|7MSE|89aVULN|9BPWR
144	54332 32824	   	158.10	ACR|2VULN|2DMG|2CDMG	17CANHEL|2MBVNT|37CDMG|4RCVC|5RCR|67DMG|7BPWR|89VULN|aDUST
145	46262 12211	   	158.09	ACR|2VULN|1AART|2CDMG|1DUR	18LIT|2RCR|3DUR|48VULN|5RPLT|6RCVC|78CDMG|8BPWR|9AART|aDUST
146	52321 23344	 * 	158.03	DCR|4VULN|1DMG|1CDMG	1CANHEL|2468VULN|3CDMG|5LIT|7DUST|9RCR|aDMG
147	52321 22414	 * 	158.01	DCR|3VULN|2AART|1CDMG	1CANHEL|246VULN|3CDMG|5LIT|78AART|9LWND|aRCR
148	51152 62332	   	157.73	DCR|2DMG|1AART|2CDMG|1ZMB	1CANHEL|24DMG|34CDMG|4BPWR|5ERES|6RCR|7AART|8LHND|9DUST|aZMB
149	46153 12222	   	157.64	ACR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1LIT|2RCR|3ZMB|4ASPD|5DUR|6AART|7DUST|8VULN|9DMG|aBEXP
150	46153 12223	   	157.64	ACR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1LIT|2RCR|3ZMB|4ASPD|5DUR|6AART|7DUST|8VULN|9DMG|aFEWX
151	51124 35446	   	157.60	DCR|2VULN|2DMG|1CDMG|1DUR	1CANHEL|26DMG|3CDMG|4MBVNT|5CGEN|7RCR|8DUR|9aVULN
152	46233 14221	   	157.58	ACR|2DMG|1AART|1VULN|1DUR	14aLIT|2RCR|3DUR|5aBEXP|6AART|7LWND|8VULN|9aDMG|aBPWR
153	46233 11361	   	157.48	ACR|2VULN|1AART|1DMG|1DUR	14aLIT|2RCR|3DUR|5aBEXP|6AART|7DMG|8DUST|9aVULN|aBPWR
154	46233 12221	   	157.48	ACR|2DMG|1AART|1VULN|1DUR	14aLIT|2RCR|3DUR|5aBEXP|6AART|7DUST|8VULN|9aDMG|aBPWR
155	46213 11161	   	157.38	ACR|2VULN|1AART|1DMG|1DUR	15aLIT|2RCR|3DUR|4aDUST|6AART|7DMG|8BEXP|9aVULN|aBPWR
156	46213 14221	   	157.38	ACR|2DMG|1AART|1VULN|1DUR	15aLIT|2RCR|3DUR|4aDUST|6AART|7LWND|8VULN|9aDMG|aBPWR
157	46242 31331	 * 	157.36	ACR|2VULN|1AART|2ASPD|2DUR	1LIT|2RCR|3aDUR|4AART|5ERES|6FEWX|7aASPD|8DUST|9aVULN|aBPWR
158	42263 22212	   	157.35	ACR|2VULN|1AART|1DMG|1ZMB	17LIT|27CGEN|3RCR|4ERES|5BEXP|67VULN|7BPWR|8DMG|9AART|aZMB
159	46233 12234	   	157.28	ACR|2VULN|1AART|1DMG|1DUR	14LIT|2RCR|3DUR|5BEXP|6AART|7DUST|89VULN|aDMG
160	46241 31231	   	157.26	ACR|2VULN|1AART|2ASPD|2DUR	1LIT|2RCR|39DUR|4AART|58VULN|6TLV|7aASPD
161	33633 36336	   	157.20	DCR|2VULN|1AART|2CDMG|1DUR|1ASPD	17BEXP|23DUST|47VULN|5AART|67CDMG|7BPWR|8RCR|9ASPD|aDUR
