0	Index      	 *	Score 	Summary	Detail	
1	34433 23353	 * 	185.40	DCR|3VULN|2DMG|1AART|2DUR	179ERES|29DUR|3AART|457VULN|67DMG|79BPWR|89FEWX|aRCR
22	11728 43451	 * 	167.71	DCR|2AART|2DMG|2CDMG|1DUR	1aLIT|2MBVNT|35AART|4aCDMG|6RCR|7DUST|8DUR|9aDMG|aBPWR
23	15225 32133	   	167.60	DCR|2AART|2DMG|1CDMG|1ZMB|1ASPD	1LIT|29DMG|3aAART|4CDMG|5ZMB|6DMSP|7ASPD|8RCR
24	15331 35522	 * 	167.29	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1LIT|28DMG|3DUR|4RCR|5SELL|6AART|7VULN|9CDMG|aRCVC
25	34232 52432	 * 	167.15	DCR|3DMG|2VULN|2DUR|1SELL	1ERES|25DUR|3SELL|48VULN|6RCR|79aDMG
26	34232 52433	   	167.15	DCR|3VULN|2DMG|2DUR|1SELL	1ERES|25DUR|3SELL|48aVULN|6RCR|79DMG
27	13233 52414	   	166.65	DCR|2VULN|2DMG|1AART|1ASPD	1LIT|2ERES|3AART|4aDMG|57VULN|6BELT|8ASPD|9RCR
28	11534 57114	 * 	166.57	DCR|3VULN|1AART|1CDMG|1ZMB	1LIT|2MBVNT|357VULN|4LWND|6RCR|8AART|9CDMG|aZMB
29	15331 35521	 * 	165.99	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1LIT|28DMG|3DUR|4RCR|5SELL|6AART|7VULN|9CDMG|aRPLT
30	15331 35523	 * 	165.89	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1LIT|28DMG|3DUR|4RCR|5SELL|6AART|7VULN|9CDMG|aERES
31	11724 62418	   	165.89	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5RCR|6ZMB|7ASPD|8DMG|9VULN|aDUR
32	11517 43246	 * 	165.82	DCR|3VULN|3DMG	17aLIT|2MBVNT|37aVULN|47aDMG|5LEGI|6RPLT|7aBPWR|8RCVC|9RCR
33	15332 21615	 * 	165.74	ACR|3DMG|1AART|2CDMG|1DUR	1LIT|267DMG|3DUR|4RCR|5BEXP|89CDMG|aAART
34	11724 26641	   	165.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2MBVNT|3AART|4CDMG|5RCR|6ERES|79VULN|8DMG|aDUR
35	11724 48254	   	165.39	ACR|3DMG|1AART|1CDMG|1ZMB	18LIT|2MBVNT|3AART|4CDMG|5RCR|68LHND|789DMG|8BPWR|aZMB
36	11724 62417	 * 	165.26	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4aCDMG|5RCR|6ZMB|7ASPD|8DMG|9VULN
37	11721 21547	 * 	165.08	DCR|3VULN|1AART|2CDMG	1aLIT|2MBVNT|3AART|4aCDMG|5RPLT|6RCR|79aVULN|8BELT|aBPWR
38	31433 42353	   	164.77	DCR|3VULN|1AART|1CDMG|1ZMB	167ERES|27BEXP|3AART|457VULN|7BPWR|8RCR|9CDMG|aZMB
39	15331 35341	 * 	164.57	ACR|2DMG|1AART|1VULN|2DUR|1ASPD|1SELL	1LIT|29DMG|3aDUR|4RCR|5SELL|6AART|7VULN|8ASPD
40	11725 46234	   	164.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2MBVNT|3AART|4CDMG|5ZMB|67VULN|8LHND|9DMG|aRCR
41	11725 46334	   	164.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2MBVNT|3AART|4CDMG|5ZMB|67VULN|8LWND|9DMG|aRCR
42	34232 51331	 * 	164.35	DCR|2VULN|1AART|1FLTHEA|1CDMG|2DUR|1SELL	1ERES|25DUR|3SELL|47VULN|6RCR|8CDMG|9FLTHEA|aAART
43	21421 25122	   	164.25	DCR|2VULN|2DMG|1AART|1DUR	147DUST|2RMIN|3AART|57VULN|67DMG|7BPWR|8LIT|9DUR|aRCR
44	26421 23122	   	164.25	DCR|2VULN|2DMG|1AART|1DUR	147DUST|2MLV|3AART|57VULN|67DMG|7BPWR|8LIT|9DUR|aRCR
45	31433 21526	   	164.25	DCR|2VULN|2DMG|1AART|1DUR	1ERES|2BEXP|3AART|45VULN|69DMG|7LHND|8DUR|aRCR
46	21161 53422	 * 	164.16	DCR|2VULN|2DMG|1CDMG|1ZMB	1DUST|2RMIN|3MLV|4ZMB|5CDMG|6RCR|7aDMG|89VULN
47	31361 53422	   	164.16	DCR|2VULN|2DMG|1CDMG|1ZMB	1ERES|2BEXP|3RMIN|4ZMB|5CDMG|6RCR|7aDMG|89VULN
48	34433 21326	   	164.15	DCR|2VULN|2DMG|1AART|1DUR	1ERES|2DUR|3AART|45VULN|69DMG|7LHND|8DUST|aRCR
49	33361 53422	   	164.06	DCR|2VULN|2DMG|1CDMG|1ZMB	1ERES|2DUST|3RMIN|4ZMB|5CDMG|6RCR|7aDMG|89VULN
50	21432 26332	 * 	163.80	DCR|3DMG|3ZMB|1AART	17DUST|2RMIN|3AART|479ZMB|567DMG|7BPWR|8LHND|aRCR
51	11728 41437	   	163.77	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD	1LIT|2MBVNT|35AART|4CDMG|6RCR|7ASPD|8DMSP|9DMG|aVULN
52	11728 42811	   	163.77	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2MBVNT|35AART|4CDMG|6RCR|7DMG|8DUR|9VULN|aLWND
53	11728 42814	   	163.77	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2MBVNT|35AART|4CDMG|6RCR|7DMG|8DUR|9VULN|aMLV
54	11728 42131	   	163.67	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2MBVNT|35AART|4CDMG|6RCR|7DMG|8TLV|9VULN|aDUR
55	11728 42812	   	163.67	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2MBVNT|35AART|4CDMG|6RCR|7DMG|8DUR|9VULN|aDUST
56	11728 42813	   	163.67	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2MBVNT|35AART|4CDMG|6RCR|7DMG|8DUR|9VULN|aERES
57	34433 41132	 * 	163.65	4VULN|3DMG|1AART|2DUR	169ERES|2aDUR|3AART|459aVULN|7RCVC|89aDMG|9aBPWR
58	11725 32411	   	163.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7ASPD|8DMG|9VULN|aLWND
59	11725 32414	   	163.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7ASPD|8DMG|9VULN|aMLV
60	11725 32416	   	163.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7ASPD|8DMG|9VULN|aLHND
61	11725 32412	   	163.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7ASPD|8DMG|9VULN|aDUST
62	11725 32413	   	163.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7ASPD|8DMG|9VULN|aERES
63	11725 32415	   	163.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7ASPD|8DMG|9VULN|aVENICY
64	11725 33117	   	163.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7DUST|8DUR|9VULN|aDMG
65	15225 32131	   	163.09	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR|1ASPD	1LIT|29DMG|3AART|4CDMG|5ZMB|6DMSP|7ASPD|8RCR|aDUR
66	11723 36642	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|2MBVNT|3AART|4CDMG|5aCGEN|6RCR|79VULN|8DMG
67	11723 36644	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|2MBVNT|3AART|4CDMG|5CGEN|6RCR|79VULN|8DMG|aRMIN
68	11721 21541	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|2MBVNT|3AART|4CDMG|5RPLT|6RCR|79VULN|8BELT|aDMG
69	11534 54714	 * 	162.96	DCR|2VULN|2AART|1CDMG|1ZMB	1LIT|2MBVNT|35VULN|4LWND|6RCR|78AART|9CDMG|aZMB
70	32626 11124	 * 	162.93	ACR|2VULN|2DMG|1AART	14ERES|2NUKE|3RCR|57VULN|68DMG|9CGEN|aAART
71	11438 42817	   	162.93	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1SELL	1LIT|2MBVNT|3SELL|45AART|6RCR|7DMG|8DUR|9VULN|aCDMG
72	11723 36643	   	162.88	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|2MBVNT|3AART|4CDMG|5CGEN|6RCR|79VULN|8DMG|aDUST
73	11534 54534	   	162.58	DCR|3VULN|1AART|1DMG	1LIT|2MBVNT|35aVULN|4LWND|6RCR|7AART|8DMG|9MGNSTR
74	32661 62323	   	162.55	ACR|3VULN|1DMG|1CDMG|1ZMB	1ERES|2NUKE|3RCR|4ZMB|5CDMG|69aVULN|7DMG|8FEWX
75	11534 57111	   	162.51	DCR|3VULN|1AART|1CDMG|1DUR	1LIT|2MBVNT|357VULN|4LWND|6RCR|8AART|9CDMG|aDUR
76	11435 32417	   	162.49	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1LIT|2MBVNT|3SELL|4AART|5ZMB|6RCR|7ASPD|8DMG|9VULN|aCDMG
77	32661 61233	   	162.45	ACR|3VULN|1DMG|1CDMG|1ZMB	1ERES|2NUKE|3RCR|4ZMB|5CDMG|67aVULN|8DUST|9DMG
78	13233 56513	   	162.12	DCR|2VULN|2DMG|1AART	1aLIT|2ERES|3AART|4aDMG|5aVULN|6BELT|7RCVC|8RMIN|9RCR|aBPWR
79	11435 32455	   	162.01	DCR|3DMG|1AART|1ZMB|1ASPD|1SELL	1LIT|2MBVNT|3SELL|4AART|5ZMB|6RCR|7ASPD|89aDMG
80	11534 57142	   	161.98	DCR|3VULN|1AART|1DMG	1LIT|2MBVNT|357VULN|4LWND|6RCR|8AART|9FEWX|aDMG
81	11518 34514	 * 	161.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2MBVNT|3VULN|48DMG|5LHND|6ZMB|7AART|9CDMG|aRCR
82	21432 56133	 * 	161.72	DCR|3DMG|2AART|2ZMB	17DUST|2RMIN|36AART|47ZMB|578DMG|7BPWR|9FEWX|aRCR
83	11725 32731	   	161.65	DCR|2AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2MBVNT|38AART|4CDMG|5ZMB|6RCR|7ASPD|9VULN|aDUR
84	11518 36114	   	161.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2MBVNT|3VULN|47DMG|5LHND|6ZMB|8AART|9CDMG|aRCR
85	11518 38114	   	161.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2MBVNT|37VULN|4DMG|5LHND|6ZMB|8AART|9CDMG|aRCR
86	34433 33353	 * 	161.30	DCR|3VULN|1AART|2ASPD|2DUR	179ERES|29DUR|3AART|457VULN|67ASPD|79BPWR|89FEWX|aRCR
87	11728 42431	   	161.30	DCR|2AART|2DMG|1CDMG|1DUR	1LIT|2MBVNT|35AART|4CDMG|6RCR|79DMG|8DMSP|aDUR
88	11513 23814	   	161.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2MBVNT|3VULN|46DMG|5DUST|7ZMB|8AART|9CDMG|aRCR
89	11513 33814	   	161.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2MBVNT|37VULN|4DMG|5DUST|6ZMB|8AART|9CDMG|aRCR
90	11513 36814	   	161.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2MBVNT|3VULN|47DMG|5DUST|6ZMB|8AART|9CDMG|aRCR
91	11517 33114	   	161.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2MBVNT|37VULN|4DMG|5LEGI|6ZMB|8AART|9CDMG|aRCR
92	11517 36114	   	161.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2MBVNT|3VULN|47DMG|5LEGI|6ZMB|8AART|9CDMG|aRCR
93	11728 42152	   	161.20	DCR|2AART|2DMG|1CDMG|1DUR	1LIT|2MBVNT|35AART|4CDMG|6RCR|79DMG|8TLV|aDUR
94	15332 35226	   	161.09	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LIT|27DMG|3DUR|4RCR|5BEXP|6ZMB|8VULN|9DUST|aAART
95	11725 32452	   	160.85	DCR|2DMG|1AART|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7ASPD|89DMG|aLHND
96	11725 32453	   	160.85	DCR|2DMG|1AART|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7ASPD|89DMG|aBEXP
97	11725 36111	   	160.85	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|79VULN|8DUR|aLWND
98	11725 36114	   	160.85	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|79VULN|8DUR|aMLV
99	11725 36342	   	160.85	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7aVULN|8ASPD|9FEWX
100	11721 21147	   	160.85	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2MBVNT|3AART|4CDMG|5RPLT|6RCR|78VULN|9DUR|aZMB
101	41431 25222	   	160.77	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1LWND|2RMIN|3AART|4VULN|5ASPD|6DMG|7CDMG|8DUR|9ZMB|aRCR
102	11725 32451	   	160.75	DCR|2DMG|1AART|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7ASPD|89DMG|aDUST
103	11725 36112	   	160.75	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|79VULN|8DUR|aDUST
104	11725 36113	   	160.75	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|79VULN|8DUR|aERES
105	11725 36332	   	160.75	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6RCR|7aVULN|8ASPD|9DUST
106	11724 48245	   	160.70	ACR|3DMG|1AART|2CDMG	18LIT|2MBVNT|3AART|49CDMG|5RCR|68LHND|78aDMG|8BPWR
107	11724 48253	   	160.70	ACR|3DMG|1AART|2CDMG	18LIT|2MBVNT|3AART|4aCDMG|5RCR|68LHND|789DMG|8BPWR
108	11728 42245	   	160.67	DCR|2AART|2DMG|2CDMG	1LIT|2MBVNT|35AART|49CDMG|6RCR|7aDMG|8LHND
109	31431 25522	   	160.67	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2BEXP|3AART|4VULN|5ASPD|6DMG|7CDMG|8DUR|9ZMB|aRCR
110	31443 35322	   	160.67	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2BEXP|3AART|4DMG|5DUR|6ASPD|7CDMG|8VULN|9ZMB|aRCR
111	34431 25122	   	160.67	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2DUR|3AART|4VULN|5ASPD|6DMG|7CDMG|8BEXP|9ZMB|aRCR
112	14333 51513	   	160.61	DCR|2VULN|2DMG|1AART	1aLIT|2AART|37CGEN|4aDMG|5aVULN|6BELT|8RMIN|9RCR|aBPWR
113	14333 53513	   	160.61	DCR|2VULN|2DMG|1AART	17aLIT|2AART|3CGEN|4aDMG|5aVULN|6BELT|8RMIN|9RCR|aBPWR
114	33422 36431	   	160.60	DCR|2DMG|1AART|1VULN|1DUR|1ASPD	1ERES|24DUST|3AART|5DUR|6ASPD|7RCR|89DMG|aVULN
115	33443 35322	   	160.57	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2DUST|3AART|4DMG|5DUR|6ASPD|7CDMG|8VULN|9ZMB|aRCR
116	33461 25222	   	160.57	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2DUST|3AART|4VULN|5ASPD|6DMG|7CDMG|8DUR|9ZMB|aRCR
117	34421 25322	   	160.57	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2DUR|3AART|4DUST|5ASPD|6DMG|7CDMG|8VULN|9ZMB|aRCR
118	15211 31355	 * 	160.51	DCR|2AART|2VULN|1DMG|1DUR	1LIT|2DMG|3aAART|4BEXP|5DUR|67VULN|8DLOT|9RCR
119	32634 15141	   	160.36	ACR|3DMG|2VULN	1aERES|2NUKE|3RCR|4MBVNT|57RCVC|68aDMG|9aVULN|aBPWR
120	32626 11362	   	160.32	ACR|2VULN|2DMG|1CDMG|1ASPD	14ERES|2NUKE|3RCR|57VULN|6aDMG|8ASPD|9CDMG
121	11725 31437	 * 	160.24	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG	1LIT|2MBVNT|3AART|4CDMG|57ZMB|6RCR|8DMSP|9DMG|aVULN
122	15332 21533	   	160.22	ACR|3DMG|2VULN|1DUR	1LIT|267DMG|3DUR|4RCR|5BEXP|8MGNSTR|9aVULN
123	15336 21533	   	160.22	ACR|3DMG|2VULN|1DUR	1LIT|267DMG|3DUR|4RCR|5LHND|8MGNSTR|9aVULN
124	32661 61312	 * 	160.15	ACR|2VULN|1DMG|2CDMG|1ZMB|1ASPD	1ERES|2NUKE|3RCR|4ZMB|58CDMG|67VULN|9ASPD|aDMG
125	15333 21533	   	160.12	ACR|3DMG|2VULN|1DUR	1LIT|267DMG|3DUR|4RCR|5DUST|8MGNSTR|9aVULN
126	13233 52415	   	160.07	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ERES|3AART|4DMG|57VULN|6BELT|8ASPD|9RCR|aZMB
127	11435 36117	   	160.01	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1SELL	1LIT|2MBVNT|3SELL|4AART|5ZMB|6RCR|79VULN|8DUR|aCDMG
128	15533 21316	 * 	160.00	ACR|3DMG|1AART|1VULN	1LIT|267DMG|3FEWX|4RCR|5DUST|8AART|9LHND|aVULN
129	15533 21321	   	160.00	ACR|3DMG|1AART|1VULN	1LIT|267DMG|3FEWX|4RCR|5DUST|8AART|9DMSP|aVULN
130	15533 21342	   	160.00	ACR|3DMG|1AART|1VULN	1LIT|267DMG|3FEWX|4RCR|5DUST|8AART|9CGEN|aVULN
131	11434 48257	   	159.95	ACR|3DMG|1AART|1VULN|1SELL	18LIT|2MBVNT|3SELL|4AART|5RCR|68LHND|789DMG|8BPWR|aVULN
132	15533 21331	   	159.90	ACR|3DMG|1AART|1VULN	1LIT|267DMG|3FEWX|4RCR|59DUST|8AART|aVULN
133	33463 42324	   	159.88	DCR|3VULN|1AART|1DMG	167ERES|27DUST|3AART|457VULN|7BPWR|8RCR|9MBVNT|aDMG
134	11438 42157	 * 	159.83	DCR|2AART|2DMG|1VULN|1SELL	1LIT|2MBVNT|3SELL|45AART|6RCR|79DMG|8TLV|aVULN
135	13233 55513	   	159.81	DCR|2VULN|2DMG|1AART	1aLIT|27ERES|3AART|4aDMG|5aVULN|6BELT|8RMIN|9RCR|aBPWR
136	11725 32441	 * 	159.55	DCR|1AART|1DMG|2ZMB|1CDMG|2DUR|1ASPD	1aLIT|2MBVNT|3AART|4CDMG|5aZMB|6RCR|7ASPD|8DMG|9aDUR|aBPWR
137	11435 36642	   	159.48	DCR|2VULN|1AART|1DMG|1ZMB|1SELL	1LIT|2MBVNT|3SELL|4AART|5ZMB|6RCR|7aVULN|8DMG|9FEWX
138	32665 21231	   	159.45	ACR|2DMG|1AART|1VULN|1ZMB	1ERES|2NUKE|3RCR|4ZMB|5AART|69DMG|7LHND|8CGEN|aVULN
139	32665 22231	   	159.45	ACR|2DMG|1AART|1VULN|1ZMB	1ERES|2NUKE|3RCR|4ZMB|5AART|69DMG|7FEWX|8CGEN|aVULN
140	15336 21523	   	159.42	ACR|3DMG|1AART|1CDMG|1DUR	1LIT|267DMG|3DUR|4RCR|5LHND|8MGNSTR|9CDMG|aAART
141	11435 36632	   	159.38	DCR|2VULN|1AART|1DMG|1ZMB|1SELL	1LIT|2MBVNT|3SELL|4AART|5ZMB|6RCR|7aVULN|8DMG|9DUST
142	32653 23521	   	159.35	ACR|2DMG|1AART|1VULN|1ZMB	1ERES|2NUKE|3RCR|4LHND|5AART|69DMG|7DUST|8ZMB|aVULN
143	32665 21321	   	159.35	ACR|2DMG|1AART|1VULN|1ZMB	1ERES|2NUKE|3RCR|4ZMB|5AART|69DMG|7LHND|8DUST|aVULN
144	32665 22321	   	159.35	ACR|2DMG|1AART|1VULN|1ZMB	1ERES|2NUKE|3RCR|4ZMB|5AART|69DMG|7FEWX|8DUST|aVULN
145	15331 35342	   	159.28	ACR|2DMG|1AART|1VULN|1DUR|1ASPD|1SELL	1LIT|29DMG|3DUR|4RCR|5SELL|6AART|7VULN|8ASPD|aMLV
146	15331 35343	   	159.18	ACR|2DMG|1AART|1VULN|1ASPD|1DUR|1SELL	1LIT|29DMG|3DUR|4RCR|5SELL|6AART|7VULN|8ASPD|aNUKE
147	11726 42134	   	159.10	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2MBVNT|3AART|4CDMG|5RCVC|6RCR|7DMG|8TLV|9VULN|aZMB
148	11726 43451	   	159.07	DCR|2DMG|1AART|2CDMG|1DUR	1aLIT|2MBVNT|3AART|4aCDMG|5RCVC|6RCR|7DUST|8DUR|9aDMG|aBPWR
149	11723 35437	   	159.04	DCR|2AART|1VULN|1DMG|1CDMG	1LIT|2MBVNT|38AART|4CDMG|5CGEN|6RCR|7RCVC|9DMG|aVULN
150	11725 48134	 * 	159.02	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1LIT|2MBVNT|3AART|4CDMG|5ZMB|6VULN|78DUR|9DMG|aRCR
151	11728 81131	   	159.00	DCR|2AART|2DMG|1CDMG|1DUR	1LIT|2MBVNT|35AART|4CDMG|6RCVC|79DMG|8RCR|aDUR
152	11724 62411	   	158.95	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5RCR|6ZMB|7ASPD|8DMG|9VULN|aLWND
153	11724 62414	   	158.95	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5RCR|6ZMB|7ASPD|8DMG|9VULN|aMLV
154	11724 62416	   	158.95	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2MBVNT|3AART|4CDMG|5RCR|6ZMB|7ASPD|8DMG|9VULN|aLHND
155	15331 31344	   	158.93	ACR|3DMG|1AART|1ZMB|1DUR|1SELL	1LIT|29aDMG|3DUR|4RCR|5SELL|6AART|7ZMB|8MLV
156	11724 82351	   	158.92	ACR|2DMG|1AART|2CDMG|1DUR|1ASPD	1aLIT|2MBVNT|3AART|4aCDMG|5RCR|6DUR|7RMIN|8ASPD|9aDMG|aBPWR
