0	Index      	 *	Score 	Summary	Detail	
1	31314 12563	 * 	187.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2ERES|3RCR|4ZMB|5CDMG|6DMG|79aVULN|8AART
69	26281 23326	   	169.23	ACR|3VULN|2DMG|1CDMG	17LHND|2MBVNT|3RCR|457VULN|67BASHEA|7BPWR|8aDMG|9CDMG
70	31344 11522	   	169.23	ACR|3DMG|2VULN|1CDMG	1LIT|2ERES|3RCR|468DMG|5CDMG|7aVULN|9LHND
71	33613 12323	 * 	169.04	ACR|3VULN|3DMG	1aLIT|2LWND|3NUKE|4RCR|56aVULN|79aDMG|8RCVC|aBPWR
72	33613 12523	   	169.04	ACR|3VULN|3DMG	1aLIT|28LWND|3NUKE|4RCR|56aVULN|79aDMG|aBPWR
73	31314 12316	   	168.64	ACR|2VULN|2DMG|2ZMB|1CDMG	18LIT|2ERES|3RCR|48ZMB|5CDMG|6aDMG|78VULN|8BPWR|9RCVC
74	31314 12322	   	168.64	ACR|2VULN|2DMG|2ZMB|1CDMG	18LIT|2ERES|3RCR|48ZMB|5CDMG|69DMG|78VULN|8BPWR|aDMSP
75	31314 12324	   	168.64	ACR|2VULN|2DMG|2ZMB|1CDMG	18LIT|2ERES|3RCR|48ZMB|5CDMG|69DMG|78VULN|8BPWR|aLWND
76	61425 11221	   	168.46	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	15DUR|2LSRREG|3FEWX|45DMG|5BPWR|6RCR|7ZMB|8VULN|9RPLT|aAART
77	66223 38214	   	168.29	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2MBVNT|3RCR|4LIT|5VULN|6CDMG|7AART|8ZMB|9ASPD|aDMG
78	66644 44434	   	168.11	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|2MBVNT|3ASPD|4ZMB|5AART|6ERES|7DMG|8RCR|9aVULN
79	66223 38134	   	167.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3RCR|4LIT|59VULN|6CDMG|7AART|8BEXP|aDMG
80	36113 61261	   	167.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2ZMB|3BEXP|4RCR|59VULN|6DMG|7CDMG|8LWND|aAART
81	36113 61361	   	167.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2ZMB|3BEXP|4RCR|59VULN|6DMG|7CDMG|8FEWX|aAART
82	16138 41361	   	167.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2MBVNT|3CDMG|4aVULN|5AART|6MLV|7DMG|8RCR|9ZMB
83	31344 11153	   	167.46	ACR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1LIT|2ERES|3RCR|46DMG|5CDMG|79VULN|8ASPD|aDUR
84	66222 23734	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3RCR|4LIT|5CDMG|6BEXP|79VULN|8AART|aDMG
85	66222 43734	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3RCR|4LIT|5CDMG|6FEWX|79VULN|8AART|aDMG
86	66224 33734	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3RCR|4LIT|5FEWX|6CDMG|79VULN|8AART|aDMG
87	66223 31734	   	167.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3RCR|4LIT|59VULN|6CDMG|7DUST|8AART|aDMG
88	66223 22471	   	167.22	ACR|3VULN|1AART|1CDMG|2DUR	17DUR|2MBVNT|3RCR|4LIT|579VULN|67LHND|7BPWR|8CDMG|aAART
89	36141 32133	   	167.00	DCR|2VULN|2DMG|2ZMB|2DUR	15LIT|2aZMB|3BEXP|45DMG|5aBPWR|6RCR|7aDUR|8LHND|9aVULN
90	36141 32433	   	167.00	DCR|2VULN|2DMG|2ZMB|2DUR	15LIT|2aZMB|3BEXP|45DMG|5aBPWR|6RCR|7aDUR|8LWND|9aVULN
91	31344 32411	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	17LIT|2ERES|3RCR|4DMG|5CDMG|6DUR|8aVULN|9AART
92	25315 11213	 * 	166.73	DCR|4VULN|1DMG|2ZMB	13aLHND|289aVULN|4DMG|5VENICY|6RCR|7aZMB|aBPWR
93	31314 12332	   	166.70	ACR|3VULN|1DMG|2ZMB|1CDMG	189LIT|2ERES|3RCR|48ZMB|5CDMG|6DMG|78aVULN|8BPWR
94	31314 12352	   	166.70	ACR|3VULN|1DMG|2ZMB|1CDMG	18LIT|2ERES|3RCR|48ZMB|5CDMG|6DMG|789VULN|8BPWR|aDMSP
95	31314 12354	   	166.70	ACR|3VULN|1DMG|2ZMB|1CDMG	18LIT|2ERES|3RCR|48ZMB|5CDMG|6DMG|789VULN|8BPWR|aLWND
96	16222 46372	   	166.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2MBVNT|3RCR|4LIT|5CDMG|6DMG|7aVULN|8ASPD|9AART
97	16222 46374	   	166.63	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2MBVNT|3RCR|4LIT|5CDMG|6aDMG|7VULN|8ASPD|9AART
98	16223 36372	   	166.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2MBVNT|3RCR|4LIT|5aVULN|6CDMG|7DMG|8ASPD|9AART
99	16223 36374	   	166.63	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2MBVNT|3RCR|4LIT|5VULN|6CDMG|7aDMG|8ASPD|9AART
100	21425 21236	   	166.62	DCR|2VULN|2DMG|1AART|1ZMB	15LHND|2LSRREG|3FEWX|45DMG|5BPWR|68VULN|7ZMB|9RCR|aAART
101	31314 13166	 * 	166.58	ACR|3DMG|3ZMB|2CDMG	178LIT|278ERES|3RCR|49aZMB|59CDMG|678DMG|789BPWR
102	31314 12426	   	166.50	ACR|3DMG|1VULN|2ZMB|1CDMG	1LIT|2ERES|3RCR|48ZMB|5CDMG|69aDMG|7VULN
103	36611 32216	   	166.40	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4CDMG|5aDMG|67VULN|8RCR|9RCVC
104	36611 32222	   	166.40	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4CDMG|59DMG|67VULN|8RCR|aDMSP
105	36611 32224	   	166.40	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4CDMG|59DMG|67VULN|8RCR|aLWND
106	36611 32236	   	166.40	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	19LIT|2ZMB|3ASPD|4CDMG|5aDMG|67VULN|8RCR
107	61223 12433	   	166.22	DCR|1AART|1DMG|1VULN|1CDMG|2DUR|1ZMB	13DUR|2LSRREG|4LHND|5ZMB|6RCR|7AART|8DMG|9VULN|aCDMG
108	61223 12461	   	166.22	DCR|1AART|1DMG|1VULN|1CDMG|2DUR|1ZMB	13DUR|2LSRREG|4LHND|5ZMB|6RCR|7AART|8DMG|9CDMG|aVULN
109	25123 11651	 * 	166.16	DCR|3VULN|1AART|2ASPD|1CDMG|1DUR	18LHND|268VULN|3CDMG|4DUR|5RPLT|78ASPD|8BPWR|9AART|aRCR
110	31344 11361	 * 	166.11	ACR|2DMG|1AART|1VULN|2CDMG	18LIT|2ERES|3RCR|46DMG|5aCDMG|7VULN|9AART
111	11311 11263	   	166.07	DCR|3DMG|2VULN|1ZMB	13aDUST|23LSRREG|3aBPWR|49aDMG|5FEWX|6RCR|7ZMB|8aVULN
112	16222 46381	   	166.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2MBVNT|3RCR|4LIT|5CDMG|6DMG|79VULN|8ASPD|aAART
113	16223 36381	   	166.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2MBVNT|3RCR|4LIT|59VULN|6CDMG|7DMG|8ASPD|aAART
114	16223 71741	   	166.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2MBVNT|3RCR|4LIT|56VULN|7CDMG|8ASPD|9DMG|aAART
115	31344 27441	   	166.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|2ERES|3RCR|49DMG|5CDMG|6MBVNT|7DUR|8VULN|aAART
116	66227 41441	   	166.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2MBVNT|3RCR|4LIT|59DMG|6ERES|7CDMG|8VULN|aAART
117	66234 31441	   	166.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2MBVNT|3RCR|4ERES|59DMG|6LIT|7CDMG|8VULN|aAART
118	66234 31471	   	166.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3RCR|4ERES|5DMG|6LIT|7CDMG|89VULN|aAART
119	26285 11222	   	165.97	ACR|4VULN|1DMG|1ASPD|1DUR	1LHND|2MBVNT|3RCR|469aVULN|5DMG|7ASPD|8DUR
120	16283 17424	   	165.94	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1DUST|2MBVNT|3RCR|4DMG|5aDUR|6VULN|7ZMB|8AART|9CDMG
121	66213 13215	   	165.92	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	15DUR|2MBVNT|3RCR|4ASPD|67VULN|8AART|9LHND|aDMG
122	66213 13225	   	165.92	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	15DUR|2MBVNT|3RCR|4ASPD|67VULN|8AART|9BEXP|aDMG
123	66213 13237	   	165.92	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	15DUR|2MBVNT|3RCR|4ASPD|67VULN|8AART|9MLV|aDMG
124	36214 12125	 * 	165.91	DCR|2VULN|3ZMB|1AART|1DMG	149LIT|239ZMB|5DMG|6DUST|7AART|89VULN|9BPWR|aRCR
125	66223 38212	   	165.81	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2MBVNT|3RCR|4LIT|5aVULN|6CDMG|7AART|8ZMB|9ASPD
126	26281 84212	 * 	165.75	ACR|4VULN|1DMG|1CDMG	1LHND|2MBVNT|3RCR|457aVULN|6RPLT|8CDMG|9DMG
127	16172 64412	   	165.69	ACR|3VULN|1AART|1CDMG|1ZMB	1DUST|2MBVNT|3CDMG|4RCR|59aVULN|6AART|7BELT|8ZMB
128	26234 25723	   	165.61	ACR|2DMG|1AART|1VULN|2CDMG	19LHND|2MBVNT|3RCR|4ERES|59DMG|6MLV|7VULN|89CDMG|9BPWR|aAART
129	31344 11123	   	165.52	ACR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1LIT|2ERES|3RCR|469DMG|5CDMG|7VULN|8ASPD|aDUR
130	25315 16213	 * 	165.43	DCR|4VULN|1DMG|2ASPD	13aLHND|289aVULN|4DMG|5VENICY|6RCR|7aASPD|aBPWR
131	61116 63233	   	165.35	DCR|3VULN|1AART|2DUR|1ZMB	19DUR|2LSRREG|389LIT|4AART|569VULN|7RCR|9BPWR|aZMB
132	66213 13248	 * 	165.32	ACR|3VULN|1AART|3DUR|1ASPD	159DUR|2MBVNT|3RCR|4ASPD|67aVULN|8AART
133	31314 12553	   	165.26	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2ERES|3RCR|4ZMB|5CDMG|6DMG|7VULN|8aAART|9LWND
134	61425 13313	   	165.22	DCR|2DMG|1VULN|2CDMG|2DUR|1ZMB	15DUR|2LSRREG|3FEWX|45DMG|5BPWR|6RCR|78CDMG|9VULN|aZMB
135	16227 72342	   	165.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2MBVNT|3RCR|4LIT|5DMG|6ZMB|7AART|89VULN|aDUR
136	16213 17422	   	165.11	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1DUST|2MBVNT|3RCR|4ASPD|5DUR|6aVULN|7ZMB|8AART|9CDMG
137	36141 36222	   	165.07	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	15LIT|2ZMB|3BEXP|45DMG|5BPWR|6RCR|7AART|8VULN|9CGEN|aASPD
138	36141 36212	   	164.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	15LIT|2ZMB|3BEXP|45DMG|5BPWR|6RCR|7AART|8VULN|9ERES|aASPD
139	36141 36232	   	164.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	15LIT|2ZMB|3BEXP|45DMG|5BPWR|6RCR|7AART|8VULN|9TLV|aASPD
140	16172 24713	 * 	164.93	ACR|3VULN|2AART|1CDMG	1DUST|2MBVNT|3CDMG|4RCR|579VULN|6BEXP|8aAART
141	26281 23211	 * 	164.93	ACR|5VULN|1DMG	17LHND|2MBVNT|3RCR|45789VULN|67BASHEA|7BPWR|aDMG
142	31314 12343	   	164.93	ACR|2VULN|1DMG|2ZMB|1CDMG|1ASPD|1DUR	18LIT|2ERES|3RCR|48ZMB|5CDMG|6DMG|78VULN|8BPWR|9DUR|aASPD
143	16223 71423	 * 	164.83	ACR|5VULN|2CDMG	1aDUST|2MBVNT|3RCR|4LIT|5689aVULN|7aCDMG|aBPWR
144	32621 36523	   	164.74	DCR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1LIT|2CDMG|3RMIN|4ASPD|59DMG|68VULN|7RCR|aDUR
145	66244 34844	   	164.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MBVNT|3RCR|4CGEN|5DMG|6ZMB|7TLV|8AART|9aVULN
146	31314 13541	   	164.58	ACR|2VULN|2DMG|1CDMG|1ZMB	17LIT|278ERES|3RCR|4ZMB|5CDMG|67DMG|7BPWR|9aVULN
147	66181 21312	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4AART|5CGEN|6FEWX|7DMG|8RCR|9aVULN
148	66183 41312	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4AART|5LWND|6MLV|7DMG|8RCR|9aVULN
149	31344 11621	   	164.48	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2ERES|3RCR|46DMG|5CDMG|79VULN|8MBVNT|aZMB
150	31314 12361	   	164.48	ACR|2VULN|3ZMB|1DMG|1CDMG	18LIT|2ERES|3RCR|48aZMB|5CDMG|6DMG|78VULN|8BPWR|9TLV
151	36611 32252	   	164.47	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4CDMG|5DMG|679VULN|8RCR|aDMSP
152	62125 33633	 * 	164.44	DCR|2VULN|2CDMG|1DMG|3DUR|1FLTHEA|1SELL	14aDUR|2LWND|3aCDMG|5SELL|6DMG|7FLTHEA|8aVULN|9RCR|aBPWR
153	25331 53512	   	164.43	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	13LHND|2VULN|4RCR|5CDMG|6aDMG|7ASPD|8RMIN|9AART
154	26261 41264	   	164.43	ACR|2VULN|2DMG|1AART	19LHND|2MBVNT|3RCR|4LEGI|5aVULN|69DMG|79CGEN|8AART|9BPWR
155	66223 11423	   	164.43	ACR|4VULN|2CDMG|2DUR	1aDUR|2MBVNT|3RCR|46LIT|589aVULN|7aCDMG|aBPWR
156	66223 34423	   	164.43	ACR|4VULN|2CDMG|2DUR	1aDUR|2MBVNT|3RCR|47LIT|589aVULN|6aCDMG|aBPWR
157	32245 13123	   	164.41	DCR|2VULN|2DMG|2CDMG|1ASPD	14aLIT|24CDMG|3RCVC|4aBPWR|5aVULN|6ASPD|7RCR|8LWND|9aDMG
158	32245 13623	   	164.41	DCR|2VULN|2DMG|2CDMG|1ASPD	14aLIT|24CDMG|3RCVC|4aBPWR|5aVULN|6ASPD|7RCR|8LHND|9aDMG
