0	Index      	 *	Score 	Summary	Detail	
1	23612 32442	 * 	199.75	DCR|3DMG|2VULN|1AART|1ZMB|1ASPD|1DUR	1aVULN|236DMG|4AART|5DUR|7ZMB|8ASPD|9RCR
21	25433 24121	 * 	184.33	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	123VULN|4CGEN|5LIT|6FLTHEA|7RCR|8AART|9DMG|aZMB
22	23612 33642	   	184.27	DCR|3DMG|2AART|1VULN|1ZMB|1DUR	1VULN|236DMG|48AART|5DUR|7BEXP|9ZMB|aRCR
23	23612 36142	   	184.27	DCR|3DMG|2AART|1VULN|1ZMB|1DUR	1VULN|236DMG|47AART|5DUR|8LHND|9ZMB|aRCR
24	22221 63366	 * 	184.21	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	1aVULN|2CGEN|3RPLT|4aDMG|5CDMG|6LHND|7aASPD|8AART|9RCR|aBPWR
25	23612 36422	   	184.17	DCR|3DMG|2AART|1VULN|1ZMB|1DUR	1VULN|236DMG|47AART|5DUR|8ZMB|9LEGI|aRCR
26	23612 33322	   	184.11	DCR|3DMG|2VULN|1AART|1DUR	1aVULN|236DMG|4AART|5DUR|7BEXP|8RCR|9BASICY
27	23612 33352	   	184.11	DCR|3DMG|2VULN|1AART|1DUR	1aVULN|236DMG|4AART|5DUR|7BEXP|8RCR|9TLV
28	32631 31435	   	183.98	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1aDUR|2CGEN|3aDMG|4ASPD|5RPLT|6RCR|7AART|8LIT|9aVULN|aBPWR
29	23652 31321	   	183.77	DCR|3DMG|2VULN|2CDMG|1ZMB|1DUR	18VULN|238DMG|4ZMB|56LHND|78CDMG|8BPWR|9DUR|aRCR
30	23612 32441	   	183.46	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1VULN|236DMG|4AART|5DUR|7ZMB|8ASPD|9RCR|aRCVC
31	23331 31632	   	183.37	DCR|3VULN|1AART|1DMG|2ASPD|1DUR	18aVULN|2DMG|38MLV|48ASPD|5RPLT|6RCR|7AART|8BPWR|9DUR
32	23331 31623	   	183.37	DCR|3VULN|1AART|1DMG|2ASPD|1DUR	189VULN|2DMG|38MLV|48ASPD|5RPLT|6RCR|7AART|8BPWR|aDUR
33	25142 31331	   	183.07	ACR|3VULN|1AART|1DMG|2CDMG	128VULN|3RCVC|4RCR|568LHND|78CDMG|8BPWR|9AART|aDMG
34	34331 13624	 * 	182.66	DCR|3DMG|2VULN|3DUR|1CDMG	18aDUR|289DUST|3CDMG|4RPLT|5aVULN|68aDMG|7RCR|8aBPWR
35	25315 22142	 * 	182.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	12aVULN|3ERES|4AART|5DMG|6CDMG|7RCR|8LWND|9DUR
36	23612 32443	   	182.16	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1VULN|236DMG|4AART|5DUR|7ZMB|8ASPD|9RCR|aBEXP
37	33145 23262	   	181.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|28DMG|3RMIN|4LWND|5aVULN|6CDMG|7RCR|9AART
38	33345 23262	   	181.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|28DMG|3MLV|4LWND|5aVULN|6CDMG|7RCR|9AART
39	65352 13221	 * 	181.25	ACR|3DMG|2AART|1VULN|1ZMB	1MLV|27aDMG|3ERES|4ZMB|5RCR|68AART|9VULN
40	33463 23241	 * 	180.39	DCR|3VULN|2DMG|1CDMG|1DUR|1ASPD	1DUR|28DMG|3LWND|49aVULN|5ASPD|6CDMG|7RCR
41	25141 53321	   	180.29	ACR|2VULN|2DMG|1AART|1CDMG	12VULN|3RCVC|4RCR|5MLV|6AART|7CDMG|8aDMG|9RMIN
42	25142 41333	   	179.48	ACR|4VULN|1AART|2CDMG	128aVULN|36RCVC|4RCR|58LHND|78CDMG|8BPWR|9AART
43	25442 33333	   	179.39	ACR|4VULN|1AART|1CDMG|1ZMB	123aVULN|4RCR|56LHND|7AART|8CDMG|9ZMB
44	23613 32424	   	179.31	DCR|3DMG|2VULN|1AART|1DUR	17VULN|236DMG|4AART|5RMIN|8DUR|9LEGI|aRCR
45	23622 25233	 * 	178.97	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1VULN|238DMG|4DUST|5DUR|6BEXP|7RCR|9CDMG|aAART
46	23311 43242	   	178.95	DCR|3VULN|2DMG|1CDMG|2DUR	19aVULN|28DMG|3aMLV|4CDMG|5BEXP|6aDUR|7RCR|aBPWR
47	23314 43242	   	178.95	DCR|3VULN|2DMG|1CDMG|2DUR	19aVULN|28DMG|3aMLV|4CDMG|5LHND|6aDUR|7RCR|aBPWR
48	23612 53532	   	178.86	DCR|2AART|2DMG|1VULN|1CDMG|2DUR	1VULN|23DMG|4aAART|56DUR|7CDMG|8LSRHEA|9RCR
49	25133 24124	 * 	178.67	DCR|2VULN|2DMG|1AART|1FLTHEA	12VULN|3RCVC|4CGEN|5LIT|6FLTHEA|7RCR|8AART|9aDMG
50	25141 53313	   	178.35	ACR|3VULN|1AART|1DMG|1CDMG	12aVULN|3RCVC|4RCR|5MLV|6AART|7CDMG|8DMG|9RPLT
51	25141 53323	   	178.35	ACR|3VULN|1AART|1DMG|1CDMG	12aVULN|3RCVC|4RCR|5MLV|6AART|7CDMG|8DMG|9RMIN
52	23612 32162	   	178.12	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	1VULN|236DMG|4AART|58DUR|7ZMB|9BEXP|aRCR
53	23612 31142	   	178.12	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	1VULN|236DMG|4AART|57DUR|8LHND|9ZMB|aRCR
54	23612 31462	   	178.12	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	1VULN|236DMG|4AART|57DUR|8ZMB|9BEXP|aRCR
55	23612 33311	   	178.07	DCR|3DMG|2AART|1VULN|1DUR	1VULN|236DMG|4aAART|5DUR|7BEXP|8RCR|9LHND
56	23331 31644	   	178.03	DCR|3VULN|1AART|1DMG|2ASPD	18aVULN|2DMG|38MLV|48ASPD|5RPLT|6RCR|7AART|8BPWR|9RCVC
57	23612 32122	   	178.02	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	1VULN|236DMG|4AART|58DUR|7ZMB|9LEGI|aRCR
58	23612 31422	   	178.02	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	1VULN|236DMG|4AART|57DUR|8ZMB|9LEGI|aRCR
59	23612 33325	   	177.97	DCR|3DMG|2AART|1VULN|1DUR	1VULN|236DMG|4aAART|5DUR|7BEXP|8RCR|9BASICY
60	23612 33356	   	177.97	DCR|3DMG|2AART|1VULN|1DUR	1VULN|236DMG|4aAART|5DUR|7BEXP|8RCR|9TLV
61	23653 12225	   	177.86	DCR|2VULN|2DMG|2AART|1ZMB	19VULN|23DMG|4ZMB|57DUST|68AART|aRCR
62	23612 33331	   	177.62	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1VULN|236DMG|4AART|5DUR|7BEXP|8RCR|9ZMB|aRPLT
63	23612 33333	   	177.62	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1VULN|236DMG|4AART|5DUR|7BEXP|8RCR|9ZMB|aLWND
64	23612 33335	   	177.62	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1VULN|236DMG|4AART|5DUR|7BEXP|8RCR|9ZMB|aFEWX
65	25315 22111	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|3ERES|4AART|59DMG|6CDMG|7RCR|8LWND|aBEXP
66	25315 22113	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|3ERES|4AART|59DMG|6CDMG|7RCR|8LWND|aFEWX
67	25315 22115	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|3ERES|4AART|59DMG|6CDMG|7RCR|8LWND|aRMIN
68	25315 22116	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|3ERES|4AART|59DMG|6CDMG|7RCR|8LWND|aCGEN
69	25144 13331	   	177.54	ACR|2VULN|2DMG|1AART|1ZMB	12VULN|3RCVC|4RCR|5FEWX|6AART|7aDMG|8MBVNT|9ZMB
70	25146 13331	   	177.54	ACR|2VULN|2DMG|1AART|1ZMB	12VULN|3RCVC|4RCR|5BEXP|6AART|7aDMG|8MBVNT|9ZMB
71	23652 33225	   	177.46	DCR|2VULN|2DMG|2AART|1ZMB	19VULN|23DMG|4ZMB|56LHND|78AART|aRCR
72	23654 33223	   	177.46	DCR|2VULN|2DMG|2AART|1ZMB	19VULN|23DMG|4ZMB|56FEWX|78AART|aRCR
73	25315 22112	   	177.46	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|3ERES|4AART|59DMG|6CDMG|7RCR|8LWND|aDUST
74	25315 22226	   	177.46	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|3ERES|4AART|5aDMG|6CDMG|7RCR|8TLV|9LIT
75	25315 22231	   	177.46	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|3ERES|4AART|5aDMG|6CDMG|7RCR|8TLV|9RPLT
76	25315 22251	   	177.36	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|3ERES|4AART|5aDMG|6CDMG|7RCR|89TLV
77	25312 33365	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	12VULN|3ERES|4AART|5DUR|67DMG|8CDMG|9LHND|aRCR
78	25312 33345	   	177.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	12VULN|3ERES|4AART|5DUR|67DMG|8CDMG|9DUST|aRCR
79	25142 31333	   	177.10	ACR|4VULN|1AART|2CDMG	128aVULN|3RCVC|4RCR|568LHND|78CDMG|8BPWR|9AART
80	36413 14521	   	176.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2MBVNT|3AART|47VULN|5FEWX|6RCR|8ASPD|9DMG|aCDMG
81	36414 14521	   	176.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2MBVNT|3AART|47VULN|5LHND|6RCR|8ASPD|9DMG|aCDMG
82	36415 14521	   	176.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2MBVNT|3AART|47VULN|5BEXP|6RCR|8ASPD|9DMG|aCDMG
83	23654 31311	   	176.83	DCR|3DMG|2VULN|2CDMG|1ZMB	18VULN|238DMG|4ZMB|56FEWX|78CDMG|8BPWR|9LHND|aRCR
84	23654 31321	   	176.83	DCR|3DMG|2VULN|2CDMG|1ZMB	18VULN|238DMG|4ZMB|56FEWX|78CDMG|8BPWR|9LWND|aRCR
85	25442 33332	 * 	176.74	ACR|3VULN|2AART|1CDMG|1ZMB	123VULN|4RCR|56LHND|7aAART|8CDMG|9ZMB
86	23653 61311	   	176.63	DCR|3DMG|2VULN|2CDMG|1ZMB	18VULN|238DMG|4ZMB|56DUST|78CDMG|8BPWR|9LHND|aRCR
87	23653 61321	   	176.63	DCR|3DMG|2VULN|2CDMG|1ZMB	18VULN|238DMG|4ZMB|56DUST|78CDMG|8BPWR|9LWND|aRCR
88	45163 13334	   	176.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RPLT|24aVULN|3CDMG|5ASPD|6AART|7DMG|8MBVNT|9RCR
89	45343 13334	   	176.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RPLT|23aVULN|4CDMG|5ASPD|6AART|7DMG|8MBVNT|9RCR
90	23331 31612	   	176.43	DCR|3VULN|1AART|1DMG|2ASPD	18aVULN|2DMG|38MLV|48ASPD|5RPLT|6RCR|7AART|8BPWR|9LWND
91	23331 31621	   	176.43	DCR|3VULN|1AART|1DMG|2ASPD	189VULN|2DMG|38MLV|48ASPD|5RPLT|6RCR|7AART|8BPWR|aLWND
92	23331 31622	   	176.43	DCR|3VULN|1AART|1DMG|2ASPD	189VULN|2DMG|38aMLV|48ASPD|5RPLT|6RCR|7AART|8BPWR
93	23331 31625	   	176.43	DCR|3VULN|1AART|1DMG|2ASPD	189VULN|2DMG|38MLV|48ASPD|5RPLT|6RCR|7AART|8BPWR|aLIT
94	23331 31662	   	176.43	DCR|3VULN|1AART|1DMG|2ASPD	18aVULN|2DMG|38MLV|48ASPD|5RPLT|6RCR|7AART|8BPWR|9FEWX
95	52612 62213	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|25CGEN|39DMG|4CDMG|6AART|7RCR|8aVULN
96	23331 31652	   	176.33	DCR|3VULN|1AART|1DMG|2ASPD	18aVULN|2DMG|38MLV|48ASPD|5RPLT|6RCR|7AART|8BPWR|9LEGI
97	33463 23362	   	176.25	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	18DUR|2DMG|3LWND|4aVULN|5ASPD|6CDMG|7RCR|9AART
98	23612 13532	   	176.07	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1VULN|23DMG|4aAART|5DUR|6RCVC|7CDMG|8LSRHEA|9RCR
99	43453 22111	 * 	175.85	DCR|3VULN|2AART|1CDMG|1DUR	1RPLT|2BELT|349VULN|5aAART|6RCR|7CDMG|8DUR
100	36141 13725	   	175.85	DCR|3DMG|2VULN|3DUR|1ASPD	18aDUR|2MBVNT|389DUST|4ASPD|5aVULN|68aDMG|7RCR|8aBPWR
101	25315 22124	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3ERES|4AART|5DMG|6CDMG|7RCR|8LWND|9CGEN
102	25315 22163	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3ERES|4AART|5DMG|6CDMG|7RCR|8LWND|9LHND
103	23612 13535	   	175.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|23DMG|4AART|5DUR|6RCVC|7CDMG|8LSRHEA|9RCR|aZMB
104	36141 13737	   	175.55	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	18DUR|2MBVNT|38DUST|4ASPD|5VULN|68DMG|7RCR|8BPWR|9CDMG|aAART
105	25315 22132	   	175.53	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3ERES|4AART|5DMG|6CDMG|7RCR|8LWND|9MBVNT
106	25315 22234	   	175.53	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3ERES|4AART|5DMG|6CDMG|7RCR|8TLV|9RPLT
107	25142 43331	   	175.48	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	12VULN|36RCVC|4RCR|5LHND|7AART|8CDMG|9ZMB|aDMG
108	23614 25223	   	175.20	DCR|2AART|2VULN|2DMG|1ASPD	19VULN|23DMG|48AART|57FEWX|6ASPD|aRCR
109	25443 12321	   	174.75	ACR|3VULN|1AART|1DMG|1CDMG	123VULN|4RCR|57DUST|6AART|8CDMG|9RMIN|aDMG
110	23153 23262	   	174.66	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|28DMG|3RMIN|4FEWX|5LWND|6CDMG|7RCR|9AART
111	23163 23262	   	174.66	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|28DMG|3RMIN|4BEXP|5LWND|6CDMG|7RCR|9AART
112	23353 23262	   	174.66	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|28DMG|3MLV|4FEWX|5LWND|6CDMG|7RCR|9AART
113	23363 23262	   	174.66	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|28DMG|3MLV|4BEXP|5LWND|6CDMG|7RCR|9AART
114	32631 36314	   	174.54	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUR|2CGEN|3aDMG|4ASPD|5RPLT|6RCR|7DUST|89aVULN|aBPWR
115	25442 33321	   	174.35	ACR|3VULN|1AART|1DMG|1CDMG	123VULN|4RCR|56LHND|7AART|8CDMG|9RMIN|aDMG
116	22632 34212	   	174.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	18VULN|2CGEN|39DMG|4ASPD|5DUR|6BELT|7RCR|aAART
117	23132 24212	   	174.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	18VULN|29DMG|3RMIN|4ASPD|5DUR|6BELT|7RCR|aAART
118	23332 34212	   	174.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	18VULN|29DMG|3MLV|4ASPD|5DUR|6BELT|7RCR|aAART
119	23613 33333	   	173.97	DCR|3DMG|2VULN|1AART	18VULN|236DMG|4AART|5RMIN|7DLOT|8BPWR|9RCVC|aRCR
120	23615 33333	   	173.87	DCR|3DMG|2VULN|1AART	18VULN|236DMG|4AART|5NUKE|7DLOT|8BPWR|9RCVC|aRCR
121	65122 13234	   	173.75	ACR|3DMG|2AART|1VULN	19MLV|279DMG|3RCVC|4LEGI|5RCR|68AART|9BPWR|aVULN
122	25141 53332	   	173.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	12VULN|3RCVC|4RCR|5MLV|6AART|7CDMG|8DMG|9ZMB|aBEXP
123	25442 31332	   	173.70	ACR|4VULN|1AART|2CDMG	1238VULN|4RCR|568LHND|78CDMG|8BPWR|9AART|aBEXP
124	65122 13221	   	173.65	ACR|3DMG|2AART|1VULN	1MLV|27aDMG|3RCVC|4LEGI|5RCR|68AART|9VULN
125	25143 12331	   	173.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	12VULN|3RCVC|4RCR|57DUST|6AART|8CDMG|9ZMB|aDMG
126	33145 23241	   	173.45	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|28DMG|3RMIN|4LWND|59aVULN|6CDMG|7RCR
127	33155 23241	   	173.45	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|28DMG|3RMIN|4FEWX|59aVULN|6CDMG|7RCR
128	33165 23241	   	173.45	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|28DMG|3RMIN|4BEXP|59aVULN|6CDMG|7RCR
129	33345 23241	   	173.45	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|28DMG|3MLV|4LWND|59aVULN|6CDMG|7RCR
130	33355 23241	   	173.45	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|28DMG|3MLV|4FEWX|59aVULN|6CDMG|7RCR
131	33365 23241	   	173.45	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|28DMG|3MLV|4BEXP|59aVULN|6CDMG|7RCR
132	23111 43241	   	173.45	DCR|3VULN|2DMG|1CDMG|1DUR	19aVULN|28DMG|3RMIN|4CDMG|5BEXP|6DUR|7RCR
133	23114 43241	   	173.45	DCR|3VULN|2DMG|1CDMG|1DUR	19aVULN|28DMG|3RMIN|4CDMG|5LHND|6DUR|7RCR
134	23311 43241	   	173.45	DCR|3VULN|2DMG|1CDMG|1DUR	19aVULN|28DMG|3MLV|4CDMG|5BEXP|6DUR|7RCR
135	23314 43241	   	173.45	DCR|3VULN|2DMG|1CDMG|1DUR	19aVULN|28DMG|3MLV|4CDMG|5LHND|6DUR|7RCR
136	23331 31424	   	173.36	DCR|2VULN|2DMG|1AART|1ASPD	1aVULN|2aDMG|3MLV|4ASPD|5RPLT|6RCR|7AART|8aLIT|9RCVC|aBPWR
137	23622 25234	   	173.35	DCR|3DMG|2VULN|1CDMG|1DUR	1aVULN|238DMG|4DUST|5DUR|6BEXP|7RCR|9CDMG
138	25433 24122	   	173.33	DCR|3VULN|1AART|1DMG|1FLTHEA	123VULN|4CGEN|5LIT|6FLTHEA|7RCR|8AART|9DMG|aFEWX
139	25433 24123	   	173.33	DCR|3VULN|1AART|1DMG|1FLTHEA	123VULN|4CGEN|5LIT|6FLTHEA|7RCR|8AART|9DMG|aLHND
140	23612 33341	   	173.22	DCR|3DMG|1AART|1VULN|2DUR	1VULN|236DMG|4AART|59DUR|7BEXP|8RCR|aRCVC
141	25142 33331	   	173.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	12VULN|3RCVC|4RCR|56LHND|7AART|8CDMG|9ZMB|aDMG
142	25144 33331	   	173.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	12VULN|3RCVC|4RCR|56FEWX|7AART|8CDMG|9ZMB|aDMG
143	23346 23242	 * 	173.03	DCR|3VULN|2DMG|2CDMG	19aVULN|28DMG|3aMLV|4LWND|5LHND|6aCDMG|7RCR|aBPWR
144	23353 23242	   	173.03	DCR|3VULN|2DMG|2CDMG	19aVULN|28DMG|3aMLV|4FEWX|5LWND|6aCDMG|7RCR|aBPWR
145	23356 23242	   	173.03	DCR|3VULN|2DMG|2CDMG	19aVULN|28DMG|3aMLV|4FEWX|5LHND|6aCDMG|7RCR|aBPWR
146	23363 23242	   	173.03	DCR|3VULN|2DMG|2CDMG	19aVULN|28DMG|3aMLV|4BEXP|5LWND|6aCDMG|7RCR|aBPWR
147	23366 23242	   	173.03	DCR|3VULN|2DMG|2CDMG	19aVULN|28DMG|3aMLV|4BEXP|5LHND|6aCDMG|7RCR|aBPWR
148	23331 31633	   	173.01	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	18VULN|2DMG|38MLV|48ASPD|5RPLT|6RCR|7AART|8BPWR|9aDUR
149	25143 63331	   	172.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	12VULN|3RCVC|4RCR|56DUST|7AART|8CDMG|9ZMB|aDMG
150	43313 22423	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	13RPLT|2BELT|48VULN|5AART|6RCR|7CDMG|9DMG|aZMB
151	23612 32262	   	172.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1VULN|236DMG|4AART|5DUR|7ZMB|8LIT|9LWND|aRCR
152	23612 32662	   	172.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1VULN|236DMG|4AART|5DUR|7ZMB|8DMSP|9BEXP|aRCR
153	23612 33132	   	172.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1VULN|236DMG|4AART|5DUR|7BEXP|8LIT|9ZMB|aRCR
154	23612 32622	   	172.72	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1VULN|236DMG|4AART|5DUR|7ZMB|8DMSP|9LEGI|aRCR
155	25133 24126	 * 	172.53	DCR|2VULN|2AART|1DMG|1FLTHEA	12VULN|3RCVC|4CGEN|5LIT|6FLTHEA|7RCR|8aAART|9DMG
156	23613 32364	   	172.47	DCR|3DMG|2VULN|1AART	17VULN|236DMG|4AART|5RMIN|8BEXP|9FEWX|aRCR
157	36414 14436	   	172.44	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1DUR|2MBVNT|3AART|478VULN|5LHND|6RCR|9CDMG|aASPD
158	23613 32164	   	172.37	DCR|3DMG|2VULN|1AART	17VULN|236DMG|4AART|5RMIN|8DUST|9FEWX|aRCR
159	23613 32324	   	172.37	DCR|3DMG|2VULN|1AART	17VULN|236DMG|4AART|5RMIN|8BEXP|9LEGI|aRCR
160	23613 33323	   	172.37	DCR|3DMG|2VULN|1AART	18VULN|236DMG|4AART|5RMIN|7DLOT|8BPWR|9DMSP|aRCR
161	23613 33366	   	172.37	DCR|3DMG|2VULN|1AART	18VULN|236DMG|4AART|5RMIN|7DLOT|8BPWR|9LIT|aRCR
162	23616 32324	   	172.37	DCR|3DMG|2VULN|1AART	17VULN|236DMG|4AART|5CGEN|8BEXP|9LEGI|aRCR
163	22632 34222	   	172.36	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	189VULN|2CGEN|3DMG|4ASPD|5DUR|6BELT|7RCR|aAART
164	23613 32124	   	172.27	DCR|3DMG|2VULN|1AART	17VULN|236DMG|4AART|5RMIN|8DUST|9LEGI|aRCR
165	23615 33323	   	172.27	DCR|3DMG|2VULN|1AART	18VULN|236DMG|4AART|5NUKE|7DLOT|8BPWR|9DMSP|aRCR
166	23616 32124	   	172.27	DCR|3DMG|2VULN|1AART	17VULN|236DMG|4AART|5CGEN|8DUST|9LEGI|aRCR
167	25443 13321	   	172.10	ACR|3VULN|1AART|1DMG|1ZMB	123VULN|4RCR|5DUST|6AART|7LWND|8NUKE|9ZMB|aDMG
168	25133 24121	   	172.08	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	12VULN|3RCVC|4CGEN|5LIT|6FLTHEA|7RCR|8AART|9DMG|aZMB
169	41223 13216	   	171.99	DCR|3DMG|1AART|1VULN|1CDMG|1SELL	1RPLT|257DMG|35LWND|4SELL|5BPWR|6AART|8RCR|9CDMG|aVULN
170	36414 14421	   	171.92	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|3AART|478VULN|5LHND|6RCR|9DMSP|aDMG
