0	Index      	 *	Score 	Summary	Detail	
1	23342 15613	 * 	208.25	ACR|2AART|2VULN|2DMG|2CDMG|1ZMB	18CDMG|25AART|38VULN|4RCR|68DMG|7RMIN|8BPWR|9DMSP|aZMB
15	23342 15623	   	197.14	ACR|2AART|2VULN|2DMG|2CDMG	18CDMG|25AART|38VULN|4RCR|68DMG|7RMIN|8BPWR|9DUST|aLIT
16	23342 13112	 * 	195.64	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|25AART|38aVULN|4RCR|6DMG|7MBVNT|9DUR
17	23342 16112	   	195.64	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|25AART|38aVULN|4RCR|6DMG|7DUST|9DUR
18	23343 62152	   	195.29	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2AART|368VULN|4RCR|5ASPD|7LHND|9ZMB|aDMG
19	23312 15112	 * 	195.22	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|25AART|38aVULN|4DUST|6DMG|7RCR|9DUR
20	23343 63132	   	195.19	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2AART|368VULN|4RCR|5ASPD|7MBVNT|9ZMB|aDMG
21	23313 65152	   	194.77	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2AART|368VULN|4DUST|5ASPD|7RCR|9ZMB|aDMG
22	23251 23626	   	193.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	19CDMG|2AART|3LWND|49DMG|5FEWX|6CGEN|79VULN|8RCR|9BPWR|aZMB
23	24211 63333	 * 	193.37	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	1aCDMG|2CANSTR|3RCR|467VULN|5ZMB|8AART|9DMG
24	23355 25112	   	192.64	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1CDMG|2AART|38VULN|4aDMG|5ASPD|6ERES|7RCR|9DUR
25	26214 32633	   	192.57	DCR|4VULN|2DMG|2CDMG|1DUR	14CDMG|2468VULN|3RCVC|4BPWR|5DUR|7aDMG|9RCR
26	23342 12616	   	191.89	ACR|2AART|2VULN|1DMG|2CDMG|2DUR	1aCDMG|25AART|3aVULN|4RCR|6DMG|7LHND|8BELT|9aDUR|aBPWR
27	23341 35262	 * 	191.45	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2AART|379aVULN|4RCR|5LWND|6LHND|8DMG
28	36324 12623	   	191.42	DCR|3VULN|2DMG|1AART|1CDMG	1LEGI|29DMG|3AART|49aVULN|5LWND|6CDMG|79TLV|8RCR|9BPWR
29	36312 23262	   	191.42	DCR|3VULN|2DMG|1AART|1CDMG	1LEGI|26DMG|3AART|4BEXP|59aVULN|7CDMG|8RCR
30	36312 23266	 * 	191.42	DCR|3DMG|2VULN|1AART|1CDMG	1LEGI|26aDMG|3AART|4BEXP|59VULN|7CDMG|8RCR
31	23342 12152	   	191.08	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|25AART|38VULN|4RCR|6DMG|7LHND|9ZMB|aASPD
32	23342 13132	   	190.98	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|25AART|38VULN|4RCR|6DMG|7MBVNT|9ZMB|aASPD
33	23342 16152	   	190.98	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|25AART|38VULN|4RCR|6DMG|7DUST|9ZMB|aASPD
34	24211 63336	 * 	190.90	ACR|3VULN|1AART|1DMG|2ZMB|1CDMG	1CDMG|2CANSTR|3RCR|467VULN|5aZMB|8AART|9DMG
35	23342 12146	   	190.73	ACR|2AART|2VULN|2DMG|1CDMG	1CDMG|25AART|38VULN|4RCR|6aDMG|7LHND|9FEWX
36	23342 13157	   	190.63	ACR|2AART|2VULN|2DMG|1CDMG	1CDMG|25AART|38VULN|4RCR|6aDMG|7MBVNT|9FEWX
37	23342 13187	   	190.63	ACR|2AART|2VULN|2DMG|1CDMG	1CDMG|25AART|38VULN|4RCR|6aDMG|7MBVNT|9LWND
38	23342 13477	   	190.63	ACR|2AART|2VULN|2DMG|1CDMG	1CDMG|25AART|39VULN|4RCR|6aDMG|7MBVNT|8LWND
39	23312 15152	   	190.57	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|25AART|38VULN|4DUST|6DMG|7RCR|9ZMB|aASPD
40	23251 23625	   	189.92	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19CDMG|2AART|3LWND|49DMG|5FEWX|6CGEN|79VULN|8RCR|9BPWR|aDUR
41	46312 21352	   	189.47	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|25aVULN|3AART|4BEXP|6DMG|7ZMB|8CDMG|9RCR
42	24211 22632	   	188.99	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2CANSTR|3RCR|49VULN|5ZMB|6aDMG|7BELT|8AART
43	23342 11116	   	188.80	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|39aVULN|4RCR|6DMG|7RPLT|8MGNLIT
44	23342 12131	   	188.80	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4RCR|6DMG|7LHND|aLWND
45	23342 12133	   	188.80	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4RCR|6DMG|7LHND|aFEWX
46	23342 12134	   	188.80	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4RCR|6DMG|7LHND|aRMIN
47	23342 12142	   	188.80	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|38aVULN|4RCR|6DMG|7LHND|9FEWX
48	23342 11316	   	188.70	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|39aVULN|4RCR|6DMG|7RPLT|8CANHEL
49	23342 12136	   	188.70	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4RCR|6DMG|7LHND|aDUST
50	23342 13152	   	188.70	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|38aVULN|4RCR|6DMG|7MBVNT|9FEWX
51	23342 13182	   	188.70	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|38aVULN|4RCR|6DMG|7MBVNT|9LWND
52	23342 13472	   	188.70	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|39aVULN|4RCR|6DMG|7MBVNT|8LWND
53	23342 16131	   	188.70	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4RCR|6DMG|7DUST|aLWND
54	23342 16132	   	188.70	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4RCR|6DMG|7DUST|aBEXP
55	23342 16133	   	188.70	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4RCR|6DMG|7DUST|aFEWX
56	23342 16134	   	188.70	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4RCR|6DMG|7DUST|aRMIN
57	23342 16142	   	188.70	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|38aVULN|4RCR|6DMG|7DUST|9FEWX
58	23342 13122	   	188.60	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|38aVULN|4RCR|6DMG|7MBVNT|9DUST
59	23342 13146	   	188.60	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|38aVULN|4RCR|6DMG|7MBVNT|9LSRHEA
60	23342 16136	   	188.60	ACR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4RCR|6DMG|7aDUST
61	23226 15162	   	188.38	DCR|3VULN|2AART|1DMG|1CDMG	1CDMG|24AART|3LWND|5BEXP|6DMG|7RCR|89aVULN
62	42421 52231	 * 	188.34	ACR|3VULN|2DMG|1AART|2ASPD	17ASPD|2LIT|37DMG|478VULN|5RCR|6DLOT|7BPWR|9AART|aMLV
63	42421 52232	   	188.34	ACR|3VULN|2DMG|1AART|2ASPD	17ASPD|2LIT|37DMG|478VULN|5RCR|6DLOT|7BPWR|9AART|aFEWX
64	23312 15131	   	188.28	DCR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4DUST|6DMG|7RCR|aLWND
65	23312 15132	   	188.28	DCR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4DUST|6DMG|7RCR|aBEXP
66	23312 15133	   	188.28	DCR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4DUST|6DMG|7RCR|aFEWX
67	23312 15134	   	188.28	DCR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4DUST|6DMG|7RCR|aRMIN
68	23312 15142	   	188.28	DCR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|38aVULN|4DUST|6DMG|7RCR|9FEWX
69	42421 52233	   	188.24	ACR|3VULN|2DMG|1AART|2ASPD	17ASPD|2LIT|37DMG|478VULN|5RCR|6DLOT|7BPWR|9AART|aMBVNT
70	23312 15136	   	188.18	DCR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|389VULN|4aDUST|6DMG|7RCR
71	23355 34111	 * 	187.89	DCR|2AART|2VULN|1DMG|2CDMG|2ASPD	16CDMG|2aAART|38VULN|4DMG|56ASPD|6BPWR|7RPLT|9RCR
72	24211 63332	   	187.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2CANSTR|3RCR|467VULN|5ZMB|8AART|9DMG|aFEWX
73	24211 63334	   	187.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2CANSTR|3RCR|467VULN|5ZMB|8AART|9DMG|aRMIN
74	23344 13112	   	186.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|38aVULN|4RCR|5RCVC|6DMG|7MBVNT|9DUR
75	23344 16112	   	186.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|38aVULN|4RCR|5RCVC|6DMG|7DUST|9DUR
76	24211 63331	   	186.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2CANSTR|3RCR|467VULN|5ZMB|8AART|9DMG|aTLV
77	24211 63335	   	186.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2CANSTR|3RCR|467VULN|5ZMB|8AART|9DMG|aDUST
78	23342 22112	   	186.68	ACR|3VULN|2AART|1CDMG|1ZMB|1DUR	1CDMG|25AART|38aVULN|4RCR|6FEWX|7ZMB|9DUR
79	23314 15112	   	186.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|38aVULN|4DUST|5RCVC|6DMG|7RCR|9DUR
80	23352 36215	 * 	186.42	DCR|2VULN|2DMG|1AART|3CDMG	178CDMG|2AART|3aVULN|48DMG|58ERES|6RPLT|8BPWR|9RCR
81	23351 35112	   	186.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|38aVULN|4DMG|5FEWX|6RCVC|7RCR|9DUR
82	23356 35112	   	186.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|38aVULN|4DMG|5BEXP|6RCVC|7RCR|9DUR
83	23342 13612	   	186.29	ACR|2AART|2VULN|1DMG|2CDMG|1DUR	18CDMG|25AART|3aVULN|4RCR|6DMG|7MBVNT|9DUR
84	23342 16512	   	186.29	ACR|2AART|2VULN|1DMG|2CDMG|1DUR	18CDMG|25AART|3aVULN|4RCR|6DMG|7DUST|9DUR
85	23341 15152	   	186.25	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1CDMG|2AART|38VULN|4RCR|5LWND|67ASPD|9ZMB|aDMG
86	23341 45213	   	186.22	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2AART|3aVULN|4RCR|5LWND|68DMG|7ASPD|9LHND
87	26332 43322	   	186.08	DCR|2VULN|2DMG|1AART|2CDMG	17CDMG|29VULN|37DMG|4RCVC|57CGEN|6RCR|7BPWR|8LWND|aAART
88	26332 43622	   	186.08	DCR|2VULN|2DMG|1AART|2CDMG	17CDMG|29VULN|37DMG|4RCVC|57CGEN|6RCR|7BPWR|8BEXP|aAART
89	23312 12262	   	185.88	DCR|3VULN|2AART|1DMG|1CDMG	1CDMG|25AART|39aVULN|4DUST|6DMG|7LHND|8RCR
90	23312 15512	   	185.88	DCR|2AART|2VULN|1DMG|2CDMG|1DUR	18CDMG|25AART|3aVULN|4DUST|6DMG|7RCR|9DUR
91	23343 63632	   	185.85	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD	18CDMG|2AART|36VULN|4RCR|5ASPD|7MBVNT|9ZMB|aDMG
92	46323 31252	 * 	185.80	DCR|2AART|2VULN|2DMG|1ASPD	1ASPD|24VULN|36AART|5RCVC|7RCR|8aDMG|9RPLT
93	26215 12633	   	185.73	DCR|4VULN|2DMG|2CDMG	14CDMG|2468VULN|3RCVC|46BPWR|56LHND|7aDMG|9RCR
94	26215 32633	   	185.63	DCR|4VULN|2DMG|2CDMG	14CDMG|2468VULN|3RCVC|4BPWR|5LHND|7aDMG|9RCR
95	23355 25122	   	185.60	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2AART|38VULN|4aDMG|5ASPD|6ERES|7RCR|9DUST
96	26212 51544	   	185.53	DCR|4VULN|3CDMG|1AART	149CDMG|249aVULN|3RCVC|49BPWR|5MBVNT|6RCR|79ERES|8AART
97	23355 35213	   	185.49	DCR|2AART|2VULN|1DMG|2CDMG|2ASPD	16CDMG|27AART|38VULN|4DMG|56ASPD|6BPWR|9FEWX|aRCR
98	23522 15336	   	185.28	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|2AART|3CGEN|49VULN|5ERES|6aDMG|7RCR|89BEXP|9BPWR
99	23512 15136	   	185.28	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|2AART|3CGEN|49BEXP|5ERES|6aDMG|7RCR|89VULN|9BPWR
100	23342 13116	   	185.28	ACR|2AART|2VULN|1DMG|1CDMG|2DUR	1CDMG|25AART|38VULN|4RCR|6DMG|7MBVNT|9aDUR
101	23412 15136	   	185.18	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|2AART|3TLV|49BEXP|5ERES|6aDMG|7RCR|89VULN|9BPWR
102	23422 15336	   	185.18	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|2AART|3TLV|49VULN|5ERES|6aDMG|7RCR|89FEWX|9BPWR
103	23343 63112	   	185.17	ACR|4VULN|1AART|1CDMG|1ASPD|1DUR	1CDMG|2AART|368aVULN|4RCR|5ASPD|7MBVNT|9DUR
104	23343 66112	   	185.17	ACR|4VULN|1AART|1CDMG|1ASPD|1DUR	1CDMG|2AART|368aVULN|4RCR|5ASPD|7DUST|9DUR
105	42421 53211	   	184.95	ACR|4VULN|2DMG|3ASPD	19aASPD|2LIT|39DMG|4789VULN|5RCR|6DLOT|9BPWR
106	23355 33123	   	184.94	DCR|2VULN|1AART|2CDMG|1DMG|2ASPD|1ZMB	16CDMG|2AART|39VULN|4DMG|56ASPD|6BPWR|7ERES|8ZMB|aRCR
107	23313 65112	   	184.75	DCR|4VULN|1AART|1CDMG|1ASPD|1DUR	1CDMG|2AART|368aVULN|4DUST|5ASPD|7RCR|9DUR
108	26212 11488	 * 	184.51	DCR|5VULN|3CDMG|1DMG	146CDMG|24678VULN|3RCVC|46BPWR|5MBVNT|9DMG|aRCR
109	23622 66232	   	184.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	19CDMG|2AART|3ASPD|49VULN|5ERES|6TLV|79DUR|8RCR|9BPWR|aDMG
110	23352 66232	   	184.36	DCR|2DMG|1AART|1VULN|2CDMG|2DUR|1ASPD	19CDMG|2AART|3VULN|49DMG|5ERES|6TLV|79DUR|8RCR|9BPWR|aASPD
111	23422 16232	   	184.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	19CDMG|2AART|3TLV|49VULN|5ERES|6DMG|79DUR|8RCR|9BPWR|aASPD
112	23342 11431	   	184.35	ACR|3AART|2VULN|1DMG|1CDMG|1DUR	1CDMG|258AART|3aVULN|4RCR|6DMG|7RPLT|9DUR
113	23345 41112	   	184.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|38aVULN|4RCR|57BEXP|6DMG|9DUR
114	23341 45222	 * 	184.29	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|2AART|3VULN|4RCR|5LWND|68aDMG|7ASPD|9DMSP
115	23343 62162	   	184.29	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2AART|368VULN|4RCR|5ASPD|7LHND|9RMIN|aDMG
116	23343 62242	   	184.29	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2AART|36aVULN|4RCR|5ASPD|7LHND|8RMIN|9DMG
117	23343 35632	   	184.26	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2AART|38VULN|4RCR|58ASPD|6RCVC|7RMIN|8BPWR|9LWND|aDMG
118	23341 12262	   	184.19	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2AART|39aVULN|4RCR|5LWND|6ASPD|7TLV|8DMG
119	23341 45234	   	184.19	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|2AART|3VULN|4RCR|5LWND|68aDMG|7ASPD|9MBVNT
120	23343 62122	   	184.19	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2AART|368VULN|4RCR|5ASPD|7LHND|9ERES|aDMG
121	23343 63162	   	184.19	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2AART|368VULN|4RCR|5ASPD|7MBVNT|9RMIN|aDMG
122	23343 63252	   	184.19	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2AART|36aVULN|4RCR|5ASPD|7MBVNT|8RMIN|9DMG
123	23345 12262	   	184.19	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2AART|39aVULN|4RCR|5BEXP|6ASPD|7TLV|8DMG
124	23343 35622	   	184.16	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	18CDMG|2AART|38VULN|4RCR|58ASPD|6RCVC|7RMIN|8BPWR|9DUST|aDMG
125	23342 11246	   	184.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|39VULN|4RCR|6DMG|7RPLT|8CGEN|aZMB
126	23342 12151	   	184.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7LHND|9ZMB|aBEXP
127	23342 12153	   	184.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7LHND|9ZMB|aLIT
128	23342 12154	   	184.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7LHND|9ZMB|aRPLT
129	23342 12156	   	184.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7LHND|9ZMB|aFEWX
130	23342 22166	   	184.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6FEWX|7ZMB|9BEXP|aDMG
131	23342 22242	   	184.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|3aVULN|4RCR|6FEWX|7ZMB|8RMIN|9DMG
132	23342 22246	   	184.15	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1CDMG|25AART|3VULN|4RCR|6FEWX|7ZMB|8RMIN|9aDMG
133	23342 52162	   	184.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6LWND|7ZMB|9LIT|aDMG
134	23342 52242	   	184.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|3aVULN|4RCR|6LWND|7ZMB|8RMIN|9DMG
135	23342 62162	   	184.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6LHND|7ZMB|9LIT|aDMG
136	23342 62242	   	184.15	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|3aVULN|4RCR|6LHND|7ZMB|8RMIN|9DMG
137	35362 22262	   	184.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LEGI|2CDMG|3DMG|49aVULN|5ZMB|6TLV|7RCR|8AART
138	35335 36313	   	184.11	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LEGI|2CDMG|36DMG|4RCVC|56VULN|6BPWR|7RCR|8BELT|9DUR|aAART
139	23346 43112	   	184.09	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|38aVULN|4RCR|57DUST|6DMG|9DUR
140	23346 12262	   	184.09	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2AART|39aVULN|4RCR|5DUST|6ASPD|7TLV|8DMG
141	23342 12155	   	184.05	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7LHND|9ZMB|aDUST
142	23342 13131	   	184.05	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7MBVNT|9ZMB|aBEXP
143	23342 13133	   	184.05	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7MBVNT|9ZMB|aLIT
144	23342 13135	   	184.05	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7MBVNT|9ZMB|aRPLT
145	23342 13137	   	184.05	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7MBVNT|9ZMB|aBELT
146	23342 13138	   	184.05	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7MBVNT|9ZMB|aCGEN
147	23342 13434	   	184.05	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1CDMG|25AART|3VULN|4RCR|6aDMG|7MBVNT|8LWND|9ZMB
148	23342 16151	   	184.05	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7DUST|9ZMB|aBEXP
149	23342 16153	   	184.05	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7DUST|9ZMB|aLIT
150	36322 62212	   	183.97	DCR|3VULN|2DMG|1AART|1ZMB	1LEGI|28DMG|3AART|458VULN|68ERES|7RMIN|8BPWR|9ZMB|aRCR
151	23342 13134	   	183.95	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7MBVNT|9ZMB|aBASHEA
152	23342 13136	   	183.95	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7MBVNT|9ZMB|aDUST
153	23342 13144	   	183.95	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4RCR|6DMG|7MBVNT|9LSRHEA|aZMB
154	23351 55112	   	183.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|38aVULN|4DMG|56FEWX|7RCR|9DUR
155	23313 65162	   	183.77	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2AART|368VULN|4DUST|5ASPD|7RCR|9RMIN|aDMG
156	23313 65242	   	183.77	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2AART|36aVULN|4DUST|5ASPD|7RCR|8RMIN|9DMG
157	24211 53333	 * 	183.75	ACR|2VULN|3CDMG|1AART|1DMG|1ZMB	16aCDMG|2CANSTR|3RCR|47VULN|5ZMB|8AART|9DMG
158	23341 41262	   	183.66	ACR|3VULN|1AART|1DMG|2CDMG	18CDMG|2AART|39aVULN|4RCR|5LWND|6DMG|7BEXP
159	23312 15151	   	183.63	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4DUST|6DMG|7RCR|9ZMB|aBEXP
160	23312 15153	   	183.63	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4DUST|6DMG|7RCR|9ZMB|aLIT
161	23312 15154	   	183.63	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|25AART|38VULN|4DUST|6DMG|7RCR|9ZMB|aRPLT
162	23326 16326	   	183.63	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|24AART|38VULN|5BELT|6ZMB|7RCR|9ERES|aDMG
163	23243 42262	   	183.56	ACR|3VULN|1AART|1DMG|2CDMG	18CDMG|2AART|3LWND|4RCR|5DUST|6DMG|79aVULN
164	23243 53262	   	183.56	ACR|3VULN|1AART|1DMG|2CDMG	16CDMG|2AART|3LWND|4RCR|5DUST|79aVULN|8DMG
165	23341 43262	   	183.56	ACR|3VULN|1AART|1DMG|2CDMG	18CDMG|2AART|39aVULN|4RCR|5LWND|6DMG|7DUST
