0	Index      	 *	Score 	Summary	Detail	
1	12213 36212	 * 	223.27	DCR|3VULN|3AART|2DMG|1CDMG|2DUR	146AART|28DMG|38DUR|589VULN|7RCR|8BPWR|aCDMG
56	12552 33322	   	194.72	DCR|3VULN|3DMG|1AART	1AART|237DMG|37BPWR|4RMIN|57ERES|67aVULN|8RCR|9FEWX
57	12213 36222	   	193.97	DCR|3AART|2DMG|2VULN|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9LHND|aFEWX
58	12213 36223	   	193.97	DCR|3AART|2DMG|2VULN|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9LHND|aDMSP
59	12213 36224	   	193.97	DCR|3AART|2DMG|2VULN|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9LHND|aLWND
60	12213 36225	   	193.97	DCR|3AART|2VULN|2DMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9LHND|aMLV
61	12213 36226	   	193.97	DCR|3AART|2DMG|2VULN|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9LHND|aRCVC
62	12213 36236	   	193.97	DCR|3AART|2VULN|2DMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9RMIN|aFEWX
63	12322 62114	 * 	193.88	DCR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|29DMG|39aVULN|4LWND|5FEWX|6SELL|79ZMB|8RCR|9BPWR
64	12324 62114	 * 	193.88	DCR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|29DMG|39aVULN|4LWND|5LHND|6SELL|79ZMB|8RCR|9BPWR
65	12332 62114	 * 	193.88	DCR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|29DMG|39aVULN|4BEXP|5FEWX|6SELL|79ZMB|8RCR|9BPWR
66	12333 62114	 * 	193.88	DCR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|29DMG|39aVULN|4BEXP|5LWND|6SELL|79ZMB|8RCR|9BPWR
67	12334 62114	 * 	193.88	DCR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|29DMG|39aVULN|4BEXP|5LHND|6SELL|79ZMB|8RCR|9BPWR
68	12213 36221	   	193.87	DCR|3AART|2DMG|2VULN|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9LHND|aDUST
69	12213 36232	   	193.87	DCR|3AART|2VULN|2DMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9RMIN|aERES
70	12213 36233	   	193.87	DCR|3AART|2VULN|2DMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9RMIN|aSNIHEL
71	12213 36241	   	193.87	DCR|3AART|2VULN|2DMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9TLV|aRCVC
72	12213 36246	   	193.87	DCR|3AART|2VULN|2DMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9TLV|aFEWX
73	12213 36251	   	193.87	DCR|3AART|2VULN|2DMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9DLOT|aDMSP
74	12213 36253	   	193.87	DCR|3AART|2VULN|2DMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9DLOT|aLIT
75	12213 36255	   	193.87	DCR|3AART|2VULN|2DMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9DLOT|aRMIN
76	12325 62114	 * 	193.78	DCR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|29DMG|39aVULN|4LWND|5DUST|6SELL|79ZMB|8RCR|9BPWR
77	12335 62114	 * 	193.78	DCR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|29DMG|39aVULN|4BEXP|5DUST|6SELL|79ZMB|8RCR|9BPWR
78	12362 62114	 * 	193.78	DCR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|29DMG|39aVULN|4DUST|5FEWX|6SELL|79ZMB|8RCR|9BPWR
79	12363 62114	 * 	193.78	DCR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|29DMG|39aVULN|4DUST|5LWND|6SELL|79ZMB|8RCR|9BPWR
80	12213 36243	   	193.77	DCR|3AART|2VULN|2DMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9TLV|aERES
81	12213 36256	   	193.77	DCR|3AART|2VULN|2DMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9DLOT|aERES
82	12524 33263	   	193.70	DCR|3VULN|2DMG|1AART|2DUR	1AART|23DMG|3BPWR|45DUR|68aVULN|7RCR|9CGEN
83	12524 33214	   	193.60	DCR|3DMG|2VULN|1AART|2DUR	1AART|23aDMG|3BPWR|45DUR|68VULN|7RCR|9DUST
84	12435 31222	 * 	193.39	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1AART|289DMG|3CDMG|4TLV|5RCR|6VULN|7DUR|aZMB
