0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22315 66312	9	 * 	296.57	橙4易伤2时间2等级1伤害	1457易伤27时间3全技能67等级7序列升级8雷电9核a伤害
75	22313 51256	5	   	269.77	橙3易伤2伤害2攻速1时间1核弹	149易伤2时间3全技能5平台6核79伤害89攻速9序列升级a核弹
76	22315 22416	5	   	269.76	橙4易伤1伤害1等级1时间	1457易伤2时间3全技能6等级8基地爆炸9核a伤害
77	22313 16638	4	   	269.66	橙4易伤1伤害1等级1时间	146a易伤2时间3全技能5加一7等级8核9伤害
78	23463 32613	1	 * 	269.04	橙3易伤3时间3雷电1伤害1卖塔	19a易伤2立即金币39a雷电4伤害5敌人爆炸6卖塔79a时间8核9a序列升级
79	32253 13336	1	   	269.04	橙3易伤3伤害2时间	179挖尘2赏金邻近3a时间479易伤579伤害6核79序列升级8平台
80	23461 32613	1	 * 	268.94	橙3易伤3时间3雷电1伤害1卖塔	19a易伤2立即金币39a雷电4伤害5挖尘6卖塔79a时间8核9a序列升级
81	22451 13134	2	   	268.80	橙3易伤2伤害1等级1时间1暴击	179易伤2时间37伤害4赏金邻近57低血量敌人6核7序列升级8暴击a等级
82	32253 13144	1	   	268.60	橙3易伤2伤害1等级1时间1暴击	17挖尘2赏金邻近3时间479易伤57伤害6核7序列升级8暴击a等级
83	22315 66111	7	   	268.20	橙4易伤2时间2等级	1457易伤27时间3全技能67等级7序列升级8最后敌人9核a敌人爆炸
84	22315 66113	7	   	268.20	橙4易伤2时间2等级	1457易伤27时间3全技能67等级7序列升级8最后敌人9核a双倍矿
85	22315 66112	7	   	268.10	橙4易伤2时间2等级	1457易伤27时间3全技能67等级7序列升级8最后敌人9核a掉矿
86	24314 41335	9	   	268.10	橙4易伤2时间2等级	149a易伤2加一3全技能5敌人爆炸6核79时间89等级9序列升级
87	22315 33256	6	   	268.00	橙4易伤2时间1伤害	1459易伤27时间3全技能6核8赏金邻近a伤害
88	24311 41334	10	   	268.00	橙4易伤2时间2等级	149a易伤2加一3全技能5挖尘6核79时间89等级9序列升级
89	24311 41335	9	   	268.00	橙4易伤2时间2等级	149a易伤2加一3全技能5挖尘6核79时间89等级9序列升级
90	22633 22251	6	   	267.67	橙5易伤2时间	13789易伤27时间4平台5额外掉落6全技能7序列升级a核
91	22315 35261	9	   	267.57	橙5易伤2时间	1459a易伤28时间3全技能6核7立即金币
92	22315 33255	6	   	267.47	橙5易伤2时间	1459a易伤27时间3全技能6核8赏金邻近
93	22315 36116	9	   	267.06	橙4易伤1伤害1时间1暴击	1459易伤2时间3全技能6核7挖尘8暴击a伤害
94	22315 36136	8	   	267.06	橙4易伤1伤害1时间1暴击	1459易伤2时间3全技能6核7挖尘8暴击a伤害
95	22612 34215	5	   	267.04	橙3易伤2时间2攻速1等级1暴击	137易伤27时间4金币生成5策反67攻速7序列升级8等级9核a暴击
96	23234 23611	5	   	267.04	橙4易伤2时间1伤害	1359易伤239最后敌人39序列升级4平台6雷电7伤害89时间a核
97	23234 63611	6	   	267.04	橙4易伤2时间1伤害	1359易伤239最后敌人39序列升级4平台6雷电7伤害89时间a核
98	22634 32113	5	   	267.03	橙3易伤2伤害2时间1暴击	135易伤29时间4平台6暴击7a伤害8核
99	22214 34215	2	   	266.94	橙3易伤2时间2攻速1等级1暴击	157易伤27时间3策反45掉矿57序列升级67攻速8等级9核a暴击
100	22364 23632	8	   	266.85	橙2易伤3伤害2时间2雷电	19易伤29时间3全技能4金币生成57雷电69a伤害8核9序列升级
101	22315 33116	10	   	266.64	橙5易伤1时间1暴击	1459a易伤2时间3全技能6核7低血量敌人8暴击
102	21431 26422	2	 * 	266.60	橙4易伤2伤害2攻速	1678易伤2挖青39伤害48攻速568策反68序列升级a核
