0	Index      	 *	Score 	Summary	Detail	
1	63531 33361	 * 	384.55	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|23VULN|4AEWIND|5AEFBLL|6ERES|7RCR|8TLV|9DUR|aMDPS
13	25331 53123	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2ERES|3BBNT|45DUR|6RCR|78VULN|9MDPS|aBEXP
14	25331 53124	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2ERES|3BBNT|45DUR|6RCR|78VULN|9MDPS|aZMB
15	25331 53125	 * 	363.46	DCR|2VULN|1MDPS|3DUR|1DMG	1DMG|2ERES|3BBNT|45aDUR|6RCR|78VULN|9MDPS
16	25331 53126	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2aERES|3BBNT|45DUR|6RCR|78VULN|9MDPS
17	25336 53121	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|25ERES|3BBNT|45DUR|5BPWR|6RCR|78VULN|9MDPS|aFEWX
18	25336 53122	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|25ERES|3BBNT|45DUR|5BPWR|6RCR|78VULN|9MDPS|aMGNSTR
19	25336 53123	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|25ERES|3BBNT|45DUR|5BPWR|6RCR|78VULN|9MDPS|aBEXP
20	26231 53121	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2BBNT|3ERES|45DUR|6RCR|78VULN|9MDPS|aFEWX
21	26231 53122	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2BBNT|3ERES|45DUR|6RCR|78VULN|9MDPS|aMGNSTR
22	26231 53123	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2BBNT|3ERES|45DUR|6RCR|78VULN|9MDPS|aBEXP
23	26231 53124	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2BBNT|3ERES|45DUR|6RCR|78VULN|9MDPS|aZMB
24	26231 53125	   	363.46	DCR|2VULN|1MDPS|3DUR|1DMG	1DMG|2BBNT|3ERES|45aDUR|6RCR|78VULN|9MDPS
25	26231 53126	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2BBNT|3aERES|45DUR|6RCR|78VULN|9MDPS
26	26236 53121	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2BBNT|35ERES|45DUR|5BPWR|6RCR|78VULN|9MDPS|aFEWX
27	26236 53122	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2BBNT|35ERES|45DUR|5BPWR|6RCR|78VULN|9MDPS|aMGNSTR
28	26236 53123	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2BBNT|35ERES|45DUR|5BPWR|6RCR|78VULN|9MDPS|aBEXP
29	21542 15311	 * 	360.52	DCR|4VULN|1TLV|1DMG|1DUR	1DMG|24ZMB|3468VULN|4BPWR|5DUR|7LIT|9TLV|aRCR
30	22462 51133	 * 	359.34	2MDPS|2VULN|1CDMG|1DMG|1DUR	1DMG|2DUR|37VULN|4BELT|5AEFBLL|6CDMG|8LHND|9aMDPS
31	63552 12131	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|23VULN|4DUR|5BEXP|6BOSS|7LWND|8RCR|9SNITOX|aMDPS
32	63366 13413	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|24VULN|3BASICY|5LWND|6MBVNT|7RCR|8DUR|9FEWX|aMDPS
33	63366 13434	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|24VULN|3BASICY|5LWND|6MBVNT|7RCR|8DUR|9RPLT|aMDPS
34	63366 13443	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|24VULN|3BASICY|5LWND|6MBVNT|7RCR|8DUR|9LHND|aMDPS
35	63515 12433	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|23VULN|4FEWX|5CANSTR|6MBVNT|7DUR|8RCR|9LHND|aMDPS
36	63552 32131	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|23VULN|4DUR|5BEXP|6DUST|7LIT|8RCR|9SNITOX|aMDPS
37	63531 33621	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|23VULN|4AEWIND|5AEFBLL|6ERES|7RCR|8DUR|9RMIN|aMDPS
38	63531 33631	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|23VULN|4AEWIND|5AEFBLL|6ERES|7RCR|8DUR|9AME|aMDPS
39	22422 11432	 * 	358.15	DCR|2MDPS|2VULN|1TLV|1DMG|1DUR	1DMG|2DUR|36VULN|4TLV|5ZMB|7aMDPS|8RCR|9LWND
40	22443 53132	 * 	358.15	DCR|DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DMG|2DUR|37VULN|4MDPS|5TLV|6aRCR|8RMIN|9LWND
41	22422 11442	   	358.05	DCR|2MDPS|2VULN|1TLV|1DMG|1DUR|1MSE	1DMG|2DUR|36VULN|4TLV|5ZMB|7aMDPS|8RCR|9MSE
42	22422 11462	   	358.05	DCR|2MDPS|2VULN|1TLV|1DMG|1DUR	1DMG|2DUR|36VULN|4TLV|5ZMB|7aMDPS|8RCR|9DUST
43	22443 53232	   	357.95	DCR|DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DMG|2DUR|37VULN|4MDPS|5TLV|6aRCR|8ERES|9DUST
44	52211 11536	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BBNT|2AAC|3RPLT|4CGEN|56VULN|7TLV|8RCR|9DUR|aMDPS
45	22443 53121	 * 	355.98	DCR|3VULN|1MDPS|2TLV|2DMG|1DUR	19DMG|2DUR|379VULN|4MDPS|59TLV|6RCR|8RMIN|9BPWR|aBELT
46	22443 53123	   	355.98	DCR|3VULN|1MDPS|2TLV|2DMG|1DUR	19DMG|2DUR|379VULN|4MDPS|59TLV|6RCR|8RMIN|9BPWR|aMLV
47	22443 53122	   	355.88	DCR|3VULN|1MDPS|2TLV|2DMG|1DUR	19DMG|2DUR|379VULN|4MDPS|59TLV|6RCR|8RMIN|9BPWR|aASPD
48	41541 23331	   	355.30	4VULN|1MDPS|1CDMG|1DUR|1AART	1MLV|24ZMB|3458VULN|4BPWR|6CDMG|7AART|9DUR|aMDPS
49	63523 43331	   	355.10	4VULN|1MDPS|1CDMG|1DUR|1AART	1CDMG|2358VULN|4ERES|6MLV|7AART|9DUR|aMDPS
50	63523 53331	   	355.00	4VULN|1MDPS|1CDMG|1DUR|1AART	1CDMG|2358VULN|4ERES|6AME|7AART|9DUR|aMDPS
