0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52512 14448	1	 * 	298.61	橙3易伤3伤害3时间1等级	18a易伤268时间3加一4等级5a掉矿78a伤害8a序列升级9核
48	33311 74248	1	 * 	273.45	橙3易伤2伤害2时间2暴击	1a暴击23伤害4加一5a时间6核78a易伤9立即金币a序列升级
49	52313 61152	1	 * 	273.36	橙3易伤2时间2攻速2暴击1等级	169易伤29时间3等级4赏金塔56攻速69序列升级7额外掉落89暴击a核
50	51513 31321	9	   	273.07	橙5易伤2时间2雷电	1389a易伤234基地爆炸39序列升级59时间6核79雷电
51	53533 31321	9	   	273.07	橙5易伤2时间2雷电	1389a易伤234敌人爆炸39序列升级59时间6核79雷电
52	54162 13211	6	   	273.07	橙5易伤2时间2雷电	12358易伤45a策反5a序列升级6核7a雷电9a时间
53	54133 53332	5	   	272.44	橙4易伤2伤害1等级1攻速	1237易伤4随机矿59伤害6核8等级a攻速
54	54623 12233	3	   	272.34	橙4易伤2伤害1时间1攻速	129a易伤39伤害4时间5攻速6核79挖尘8赏金邻近9序列升级
55	44511 21312	8	 * 	272.19	橙4易伤2时间1伤害1暴击	13时间2357易伤3序列升级4基地爆炸6金币生成8核9伤害a暴击
56	44531 21312	8	   	272.19	橙4易伤2时间1伤害1暴击	13时间2357易伤3序列升级4敌人爆炸6金币生成8核9伤害a暴击
57	44511 11312	8	   	272.09	橙4易伤2时间1伤害1暴击	13时间2357易伤3序列升级4基地爆炸6掉矿8核9伤害a暴击
58	44531 11312	8	   	272.09	橙4易伤2时间1伤害1暴击	13时间2357易伤3序列升级4敌人爆炸6掉矿8核9伤害a暴击
59	54632 22111	8	   	271.95	橙4易伤3伤害1攻速	125a易伤345伤害5序列升级6立即金币7核8攻速9基地爆炸
60	54632 22121	8	   	271.95	橙4易伤3伤害1攻速	125a易伤345伤害5序列升级6立即金币7核8攻速9敌人爆炸
61	54632 22121	9	   	271.95	橙4易伤3伤害1攻速	125a易伤345伤害5序列升级6立即金币7核8攻速9低血量敌人
62	44531 11313	10	 * 	271.66	橙4易伤3时间1伤害	139时间2357易伤3序列升级4敌人爆炸6掉矿8核a伤害
63	54162 13113	10	   	271.24	橙5易伤3时间	1235a易伤45策反5a序列升级6核7a挖尘89a时间
64	54632 22233	10	   	270.70	橙3易伤3伤害1等级1时间	125易伤345伤害5序列升级6立即金币7核8时间9掉矿a等级
65	34351 63122	2	   	269.97	橙3易伤2伤害2暴击1时间1攻速	19暴击27金币生成39伤害4攻速5时间6核89a易伤9序列升级
66	53331 62215	6	 * 	269.77	橙3易伤2伤害2攻速1时间	157易伤2敌人爆炸37攻速47伤害6全技能7序列升级8赏金塔9时间a核
67	53334 22215	6	   	269.77	橙3易伤2伤害2攻速1时间	167易伤2敌人爆炸37攻速47伤害5全技能7序列升级8赏金塔9时间a核
68	53121 32234	9	   	269.75	橙4易伤2伤害1等级	1579易伤2敌人爆炸39伤害4等级6雷电89挖尘9序列升级a核
69	53121 42234	9	   	269.75	橙4易伤2伤害1等级	1569易伤2敌人爆炸39伤害4等级7雷电89挖尘9序列升级a核
70	53122 42234	9	   	269.75	橙4易伤2伤害1等级	1679易伤2敌人爆炸39伤害4等级5雷电89挖尘9序列升级a核
71	22311 23656	1	   	269.73	橙3易伤2伤害2时间1等级	1a掉矿26时间39a易伤4等级56敌人爆炸6a序列升级7核8a伤害
72	52134 22163	10	   	269.73	橙3易伤2伤害2时间1等级	179易伤2低血量敌人37伤害4最后敌人5挖尘67时间7序列升级8核a等级
73	21115 15316	6	   	269.63	橙3易伤2伤害2时间1等级	1a掉矿2等级36a易伤4基地爆炸59时间7a伤害8核a序列升级
74	21135 13616	6	   	269.63	橙3易伤2伤害2时间1等级	1a掉矿2等级36a易伤4敌人爆炸59时间7核8a伤害a序列升级
75	22311 13656	1	   	269.63	橙3易伤2伤害2时间1等级	1a掉矿26时间39a易伤4等级5敌人爆炸7核8a伤害a序列升级
76	54632 22212	8	   	269.14	橙3易伤3伤害2时间	125易伤345伤害5序列升级6立即金币7核89时间a金币生成
77	54632 22213	10	   	269.14	橙3易伤3伤害2时间	125易伤345伤害5序列升级6立即金币7核8a时间9敌人爆炸
78	54632 22222	9	   	269.14	橙3易伤3伤害2时间	125易伤345伤害5序列升级6立即金币7核89时间a金币生成
79	54632 22222	10	   	269.14	橙3易伤3伤害2时间	125易伤345伤害5序列升级6立即金币7核89时间a额外掉落
80	54632 22323	10	   	269.14	橙3易伤3伤害2时间	125易伤345伤害5序列升级6立即金币7核8最后敌人9a时间
81	54632 22213	8	   	269.04	橙3易伤3伤害2时间	125易伤345伤害5序列升级6立即金币7核89时间a赏金塔
82	54632 22223	9	   	269.04	橙3易伤3伤害2时间	125易伤345伤害5序列升级6立即金币7核89时间a赏金塔
83	52534 31326	1	   	268.94	橙3易伤3伤害2时间	19a易伤29时间3加一4赏金塔5挖青689伤害7核9序列升级
