0	Index      	 *	Score 	Summary	Detail	
1	23413 32153	 * 	285.90	DCR|4VULN|3DMG|2DUR|1ASPD	18aERES|268aVULN|3ASPD|4LWND|568DMG|68aBPWR|7RCR|9aDUR
35	62123 14238	   	260.95	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1RPLT|1SELL	1LWND|2RPLT|3AART|4MBVNT|5MLV|6SELL|7CDMG|8aRCR|9VULN
36	23413 32136	   	260.45	DCR|3VULN|3DMG|1ASPD|1RPLT	18ERES|268VULN|3ASPD|4LWND|568DMG|68BPWR|7RCR|9BEXP|aRPLT
37	23413 32117	   	260.35	DCR|3VULN|3DMG|1ASPD|1RPLT	18ERES|268VULN|3ASPD|4LWND|568DMG|68BPWR|7RCR|9MBVNT|aRPLT
38	46212 41443	   	259.83	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1BELT|2AART|3VULN|4MBVNT|5RPLT|6CGEN|7DMG|8FLTARM|9aRCR
39	23413 32151	   	259.10	DCR|3VULN|3DMG|1ASPD	18ERES|268VULN|3ASPD|4LWND|568DMG|68BPWR|7RCR|9DUR|aFEWX
40	23413 32155	   	259.10	DCR|3VULN|3DMG|1ASPD	18ERES|268VULN|3ASPD|4LWND|568DMG|68BPWR|7RCR|9DUR|aTBNT
41	23413 32125	   	259.10	DCR|3VULN|3DMG|1ASPD	18ERES|268VULN|3ASPD|4LWND|568DMG|68BPWR|7RCR|9TLV|aDUR
42	23413 32154	   	259.00	DCR|3VULN|3DMG|1ASPD|1ZMB	18ERES|268VULN|3ASPD|4LWND|568DMG|68BPWR|7RCR|9DUR|aZMB
43	16433 32157	 * 	258.10	DCR|DCR|2DMG|1VULN	1RCVC|2MBVNT|3TBNT|4BEXP|5VULN|6aRCR|7TLV|89DMG
44	16133 32157	   	258.00	DCR|DCR|2DMG|1VULN	1RCVC|2MBVNT|3DUST|4TBNT|5VULN|6aRCR|7TLV|89DMG
45	16133 33157	   	258.00	DCR|DCR|2DMG|1VULN	1RCVC|2MBVNT|3DUST|4TBNT|5VULN|6aRCR|7CGEN|89DMG
46	16413 32157	   	258.00	DCR|DCR|2DMG|1VULN	1RCVC|2MBVNT|3TBNT|4DUST|5VULN|6aRCR|7TLV|89DMG
47	16413 33157	   	258.00	DCR|DCR|2DMG|1VULN	1RCVC|2MBVNT|3TBNT|4DUST|5VULN|6aRCR|7CGEN|89DMG
48	26143 32133	   	257.29	DCR|4VULN|3DMG	18aERES|268DMG|368aVULN|4AAC|5LEGI|68aBPWR|7RCR|9aBEXP
49	66233 11126	   	257.26	DCR|DCR|1VULN|2RPLT|1CDMG	1LWND|2VULN|3CGEN|4DUR|5MDPS|6aRCR|79RPLT|8CDMG
50	26143 32123	   	257.19	DCR|4VULN|3DMG	18ERES|268DMG|368aVULN|4AAC|5LEGI|68BPWR|7RCR|9TLV
51	26143 32132	   	257.19	DCR|4VULN|3DMG	18ERES|268DMG|368aVULN|4AAC|5LEGI|68BPWR|7RCR|9BEXP
52	23113 32133	   	257.15	DCR|4VULN|3DMG|1ZMB	18aERES|268aVULN|3ZMB|4LWND|568DMG|68aBPWR|7RCR|9aBEXP
53	26143 32112	   	257.09	DCR|4VULN|3DMG	18ERES|268DMG|368aVULN|4AAC|5LEGI|68BPWR|7RCR|9MBVNT
54	26143 32113	   	257.09	DCR|4VULN|3DMG	18aERES|268DMG|368aVULN|4AAC|5LEGI|68aBPWR|7RCR|9MBVNT
55	23113 32123	   	257.05	DCR|4VULN|3DMG|1ZMB	18ERES|268aVULN|3ZMB|4LWND|568DMG|68BPWR|7RCR|9TLV
56	23113 32132	   	257.05	DCR|4VULN|3DMG|1ZMB	18ERES|268aVULN|3ZMB|4LWND|568DMG|68BPWR|7RCR|9BEXP
57	23113 32112	   	256.95	DCR|4VULN|3DMG|1ZMB	18ERES|268aVULN|3ZMB|4LWND|568DMG|68BPWR|7RCR|9MBVNT
58	51367 12312	   	256.84	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG	1ASPD|2CDMG|378VULN|4MBVNT|5DMG|6RCR|9MLV|aDUR
59	23443 32153	 * 	256.39	DCR|4VULN|3ASPD|2DUR	18aERES|268aVULN|368ASPD|4AAC|5LEGI|68aBPWR|7RCR|9aDUR
60	23114 32153	   	256.25	DCR|4VULN|3ASPD|2DUR|1ZMB	18aERES|268aVULN|3ZMB|4LWND|568ASPD|68aBPWR|7RCR|9aDUR
61	23154 32153	   	256.25	DCR|4VULN|3ASPD|2DUR|1ZMB	18aERES|268aVULN|3ZMB|4BEXP|568ASPD|68aBPWR|7RCR|9aDUR
62	23164 32153	   	256.15	DCR|4VULN|3ASPD|2DUR|1ZMB	18aERES|268aVULN|3ZMB|4DUST|568ASPD|68aBPWR|7RCR|9aDUR
