0	Index      	 *	Score 	Summary	Detail	
1	16235 32313	 * 	293.14	DCR|DCR|3VULN|1ASPD|1CDMG	129VULN|3ERES|4AME|5CDMG|6ASPD|7BEXP|8aRCR
21	16212 23235	   	267.01	DCR|DCR|2VULN|1CDMG|1RPLT	12VULN|3ERES|4RMIN|5RPLT|6AME|7CDMG|8aRCR|9TBNT
22	16262 23235	   	267.01	DCR|DCR|2VULN|1CDMG|1RPLT	12VULN|3ERES|4CGEN|5RPLT|6AME|7CDMG|8aRCR|9TBNT
23	16632 23235	   	267.01	DCR|DCR|2VULN|1CDMG|1RPLT	12VULN|3RMIN|4ERES|5RPLT|6AME|7CDMG|8aRCR|9TBNT
24	55421 23321	   	266.84	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1DUR|2LWND|3AART|4VULN|5MLV|6LIT|7aRCR|8ASPD|9AAC
25	16322 73236	   	265.84	DCR|DCR|3VULN	126VULN|3LEGI|4MBVNT|5AAC|7CGEN|8aRCR|9TBNT
26	16324 36215	   	265.84	DCR|DCR|3VULN	129VULN|3LEGI|4MBVNT|5LIT|6TBNT|7aRCR|8AAC
27	16324 38315	   	265.84	DCR|DCR|3VULN	129VULN|3LEGI|4MBVNT|5LIT|6TBNT|7AAC|8aRCR
28	35423 22315	   	265.75	DCR|DCR|2VULN|1ASPD	12LIT|2BPWR|3MBVNT|49VULN|5ASPD|6DUR|7BBNT|8aRCR
29	16322 72236	   	265.74	DCR|DCR|3VULN	126VULN|3LEGI|4MBVNT|5AAC|7ERES|8aRCR|9TBNT
30	62322 22266	   	265.69	DCR|DCR|2MLV|1VULN|2DUR	15AAC|26DUR|36MLV|4MBVNT|6BPWR|7VULN|8aRCR|9BBNT
31	62323 32266	   	265.59	DCR|DCR|2MLV|1VULN|2DUR	1AAC|26DUR|35MLV|4MBVNT|7VULN|8aRCR|9BBNT
32	16324 32315	   	265.59	DCR|DCR|3VULN|1ZMB	129VULN|3LEGI|4MBVNT|5LIT|6TBNT|7ZMB|8aRCR
33	16324 72315	   	265.59	DCR|DCR|3VULN|1ZMB	129VULN|3LEGI|4MBVNT|5LIT|6ZMB|7BBNT|8aRCR
34	35121 63334	   	263.86	DCR|DCR|2VULN|1DMG	12LIT|2BPWR|34VULN|5aLWND|69RCR|7DMG|8MDPS
35	35121 63336	   	263.86	DCR|DCR|2VULN|1DMG	12LIT|2BPWR|34VULN|5LWND|69RCR|7DMG|8MDPS|aAAC
36	35121 63331	   	263.76	DCR|DCR|2VULN|1DMG	12LIT|2BPWR|34VULN|5LWND|69RCR|7DMG|8MDPS|aDUST
37	35121 63332	   	263.76	DCR|DCR|2VULN|1DMG	12LIT|2BPWR|34VULN|5LWND|69RCR|7DMG|8MDPS|aLEGI
38	35121 63333	   	263.76	DCR|DCR|2VULN|1DMG	12LIT|2BPWR|34VULN|5LWND|69RCR|7DMG|8MDPS|aAME
39	35125 63331	   	263.76	DCR|DCR|2VULN|1DMG	12LIT|2BPWR|34VULN|5LHND|69RCR|7DMG|8MDPS|aDUST
40	35125 63332	   	263.76	DCR|DCR|2VULN|1DMG	12LIT|2BPWR|34VULN|5LHND|69RCR|7DMG|8MDPS|aLEGI
41	35125 63333	   	263.76	DCR|DCR|2VULN|1DMG	12LIT|2BPWR|34VULN|5LHND|69RCR|7DMG|8MDPS|aAME
42	16328 13824	   	263.66	DCR|DCR|2VULN|1DMG	12VULN|3LEGI|4MBVNT|57LHND|6aRCR|8ERES|9DMG
43	56214 52344	 * 	263.66	DCR|DCR|2VULN|3DUR	159DUR|25VULN|3RMIN|4MBVNT|5BPWR|6MDPS|7BEXP|8aRCR
44	56214 54344	   	263.66	DCR|DCR|2VULN|3DUR	159DUR|25VULN|3RMIN|4MBVNT|5BPWR|6MDPS|7LHND|8aRCR
45	11641 32331	 * 	263.43	ACR|DCR|3VULN|2ASPD	19aVULN|29ASPD|3RCVC|47RCR|5RMIN|6AAC|89BEXP|9BPWR
46	11641 32431	   	263.23	ACR|DCR|3VULN|2ASPD	19aVULN|29ASPD|3RCVC|47RCR|5RMIN|6AAC|89DUST|9BPWR
