0	Index      	 *	Score 	Summary	Detail	
1	21122 43244	 * 	278.72	DCR|DCR|2VULN|1DMG|2DUR	1DMG|2DUST|38VULN|4BEXP|5aDUR|6LWND|79RCR
24	26122 22454	   	255.62	DCR|DCR|1VULN|1DMG|1AART	1DMG|2LWND|3VULN|4BEXP|5DUR|6AAC|7AART|8MBVNT|9aRCR
25	24126 33613	   	254.64	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1DMG|2AME|3ZMB|49ERES|5VULN|6MLV|7aRCR|8AIRHEA
26	24126 33623	   	254.64	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1DMG|2AME|3ZMB|4ERES|5VULN|6MLV|7aRCR|8AIRHEA|9AELOIC
27	42632 31211	 * 	253.56	DCR|3VULN|3MLV|1DMG	178FRZICY|278MLV|3DUR|4DMG|5MDPS|678VULN|78BPWR|9CGEN|aRCR
28	21122 43344	   	252.41	DCR|DCR|1VULN|1DMG|2DUR	1DMG|28DUST|3VULN|4BEXP|5aDUR|6LWND|79RCR
29	43326 23352	   	251.86	DCR|DCR|2VULN|1ZMB	1FRZICY|2TBNT|3LWND|49VULN|5MDPS|6DUR|7ZMB|8aRCR
30	11361 34132	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1LWND|2LEGI|3DMG|4VULN|5BBNT|6aRCR|7LHND|8ASPD|9TBNT
31	26642 11132	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2LWND|3RCVC|4BBNT|5VULN|6aRCR|7MDPS|8ASPD|9TBNT
32	11361 21432	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1LWND|2LEGI|3DMG|4VULN|5BBNT|6ASPD|7LHND|8aRCR|9TBNT
33	21162 11432	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2DUST|3VULN|4ASPD|5BEXP|6TBNT|7LHND|8aRCR|9BBNT
34	11361 35132	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1LWND|2LEGI|3DMG|4VULN|5BBNT|6aRCR|7DUST|8ASPD|9TBNT
35	21126 43343	   	251.21	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|28DUST|3VULN|4BEXP|5LHND|6LWND|79RCR|aCDMG
36	21442 11132	   	251.11	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|23DUST|4BBNT|5VULN|6aRCR|7MDPS|8ASPD|9TBNT
37	24552 11132	   	251.11	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2AME|3BBNT|4ERES|5VULN|6aRCR|7MDPS|8ASPD|9TBNT
38	46231 12413	   	249.31	DCR|DCR|1VULN|1ASPD|1RPLT	1FRZICY|2LWND|3LHND|4DUR|5RMIN|6ASPD|7RPLT|8VULN|9aRCR
39	23212 22454	 * 	249.10	DCR|DCR|2ASPD|1DMG|2AART	1DMG|24AART|3FEWX|56ASPD|7TBNT|8MBVNT|9aRCR
40	23212 25454	   	249.10	DCR|DCR|2ASPD|1DMG|2AART	1DMG|24AART|3FEWX|56ASPD|7BBNT|8MBVNT|9aRCR
