0	Index      	 *	Score 	Summary	Detail	
1	32233 31551	 * 	264.09	DCR|2VULN|3DMG|3ASPD|1MLV|1SELL	1SELL|279DMG|39VULN|479ASPD|578LWND|6RCR|79BPWR|aMLV
12	34216 32125	 * 	248.33	DCR|3VULN|2DMG|2MLV|1SELL	1SELL|28MLV|38aVULN|4MBVNT|58DMG|6RCR|7TBNT|8BPWR|9AAC
13	34216 32183	 * 	248.33	DCR|3VULN|2DMG|2MLV|1SELL	1SELL|28MLV|38aVULN|4MBVNT|58DMG|6RCR|7TBNT|8BPWR|9RCVC
14	34216 32135	 * 	248.09	DCR|3VULN|2DMG|2MLV|1SELL|1ZMB	1SELL|28MLV|38aVULN|4MBVNT|58DMG|6RCR|7TBNT|8BPWR|9ZMB
15	23136 34334	   	246.61	ACR|DCR|2VULN|1CDMG|1RPLT	1LHND|28RCR|3TBNT|4BBNT|5CDMG|67VULN|9RPLT|aDUR
16	32233 31553	 * 	246.56	DCR|2VULN|3DMG|3ASPD|1SELL	1SELL|279DMG|39VULN|479ASPD|578LWND|6RCR|79BPWR|aTBNT
17	32233 31554	 * 	246.56	DCR|2VULN|3DMG|3ASPD|1SELL	1SELL|279DMG|39VULN|479ASPD|578LWND|6RCR|79BPWR|aAAC
18	32233 31556	 * 	246.56	DCR|2VULN|3DMG|3ASPD|1SELL	1SELL|279DMG|39VULN|479ASPD|578LWND|6RCR|79BPWR|aFEWX
19	32233 31552	 * 	246.46	DCR|2VULN|3DMG|3ASPD|1SELL	1SELL|279DMG|39VULN|479ASPD|578LWND|6RCR|79BPWR|aDLOT
20	32233 31555	 * 	246.46	DCR|2VULN|3DMG|3ASPD|1SELL	1SELL|279DMG|39VULN|479ASPD|578LWND|6RCR|79BPWR|aLSRHEA
21	23222 24435	   	246.17	ACR|DCR|2VULN|1MLV|1CDMG	1LHND|2aRCR|36VULN|4LWND|5CDMG|7TBNT|8MLV|9BEXP
22	23136 34352	   	246.17	ACR|DCR|2VULN|1MLV|1CDMG	1LHND|28RCR|3TBNT|4BBNT|5CDMG|67VULN|9RCVC|aMLV
23	23153 15512	 * 	244.72	ACR|DCR|2VULN|1DMG|1RPLT	1LHND|26RCR|3TBNT|4CGEN|5RPLT|7DMG|89VULN|aLWND
24	33411 13213	   	244.64	DCR|DCR|1VULN|1MLV|1RPLT|1SELL	1SELL|2RCVC|3LIT|4RPLT|5TBNT|6CGEN|7VULN|8aRCR|9MLV
25	33413 13213	   	244.64	DCR|DCR|1VULN|1MLV|1RPLT|1SELL	1SELL|2RCVC|3LIT|4RPLT|5BBNT|6CGEN|7VULN|8aRCR|9MLV
26	23136 34336	 * 	244.62	ACR|DCR|2VULN|2CDMG|1RPLT	1LHND|28RCR|3TBNT|4BBNT|5aCDMG|67VULN|9RPLT
27	23153 15114	   	244.62	ACR|DCR|2VULN|1DMG|1RPLT	1LHND|26RCR|3TBNT|4CGEN|5RPLT|7DMG|8DUST|9aVULN
28	23153 15511	   	244.62	ACR|DCR|2VULN|1DMG|1RPLT	1LHND|26RCR|3TBNT|4CGEN|5RPLT|7DMG|89VULN|aAELOIC
29	23153 15513	   	244.62	ACR|DCR|2VULN|1DMG|1RPLT	1LHND|26RCR|3TBNT|4CGEN|5RPLT|7DMG|89VULN|aDUST
30	34211 31466	   	244.30	DCR|DCR|1VULN|1MLV|1RPLT|1SELL|1ZMB	1SELL|2MLV|3VULN|4MBVNT|5ZMB|6aRCR|7LWND|8FEWX|9RPLT
31	34211 31166	   	244.20	DCR|DCR|1VULN|1MLV|1RPLT|1SELL|1ZMB	1SELL|2MLV|3VULN|4MBVNT|5ZMB|6aRCR|7LWND|8DUST|9RPLT
32	34253 13341	 * 	243.81	DCR|4VULN|3MLV|1SELL	1SELL|28aMLV|379aVULN|4BBNT|5aAME|6RCR|aBPWR
33	33122 13465	   	243.29	DCR|DCR|1VULN|1MLV|1SELL	1SELL|2RCVC|3TBNT|4LHND|5DUR|6aRCR|7VULN|8MLV|9LWND
34	33126 13415	   	243.29	DCR|DCR|1VULN|1MLV|1SELL	1SELL|2RCVC|3TBNT|4LHND|5BEXP|6aRCR|7VULN|8MLV|9DUR
35	34253 12215	   	243.09	DCR|DCR|1VULN|1MLV|1SELL	1SELL|2MLV|3VULN|4BBNT|5AME|6aRCR|7ERES|8LWND|9DUR
36	32252 51315	 * 	242.38	DCR|3VULN|2DMG|1MLV|1RPLT|1SELL	1SELL|25DMG|359VULN|4BBNT|5BPWR|6RPLT|7MLV|8BEXP|aRCR
37	32252 51612	 * 	242.28	DCR|3VULN|2DMG|1MLV|1RPLT|1SELL	1SELL|25DMG|35aVULN|4BBNT|5BPWR|6RPLT|7MLV|8ERES|9RCR
38	23153 11514	   	242.19	ACR|DCR|2VULN|1MLV|1RPLT	1LHND|26RCR|3TBNT|4CGEN|5RPLT|7AAC|89VULN|aMLV
39	23153 13514	   	241.94	ACR|DCR|2VULN|1MLV|1RPLT|1ZMB	1LHND|26RCR|3TBNT|4CGEN|5RPLT|7ZMB|89VULN|aMLV
40	56324 12524	   	241.85	DCR|DCR|2MLV|1ASPD|1RPLT	1LIT|2SPLREG|3MBVNT|4BEXP|56MLV|7ASPD|8RPLT|9aRCR
41	51343 33253	   	240.90	DCR|DCR|1VULN|1CDMG|1RPLT	1LIT|23CGEN|4RPLT|5BBNT|6CDMG|7VULN|8aRCR|9ERES
42	15634 44434	 * 	240.55	DCR|3VULN|3DMG|1AART	1CGEN|2AART|3MBVNT|489VULN|56aDMG|7RCR
43	65634 44434	   	240.55	DCR|3VULN|3DMG|1AART	1TLV|2AART|3MBVNT|489VULN|56aDMG|7RCR
44	32152 15533	   	239.15	DCR|3VULN|3DMG|1SELL	1SELL|267DMG|3AAC|4RMIN|568VULN|6BPWR|9DUR|aRCR
45	15634 44433	   	238.55	DCR|3VULN|2DMG|1ASPD|1AART	1CGEN|2AART|3MBVNT|489VULN|56DMG|7RCR|aASPD
46	15634 44438	   	238.55	DCR|3VULN|2DMG|1CDMG|1AART	1CGEN|2AART|3MBVNT|489VULN|56DMG|7RCR|aCDMG
47	65634 44433	   	238.55	DCR|3VULN|2DMG|1ASPD|1AART	1TLV|2AART|3MBVNT|489VULN|56DMG|7RCR|aASPD
48	23136 34333	   	238.30	ACR|DCR|2VULN|1CDMG|1RPLT	1LHND|28RCR|3TBNT|4BBNT|5CDMG|67VULN|9RPLT|aLIT
49	23136 34331	   	238.20	ACR|DCR|2VULN|1CDMG|1RPLT|1ZMB	1LHND|28RCR|3TBNT|4BBNT|5CDMG|67VULN|9RPLT|aZMB
50	23136 34332	   	238.20	ACR|DCR|2VULN|1CDMG|1RPLT	1LHND|28RCR|3TBNT|4BBNT|5CDMG|67VULN|9RPLT|aERES
51	23136 34335	   	238.20	ACR|DCR|2VULN|1CDMG|1RPLT|1SELL	1LHND|28RCR|3TBNT|4BBNT|5CDMG|67VULN|9RPLT|aSELL
52	21133 22332	   	236.95	ACR|DCR|2VULN|1CDMG	1LHND|2CGEN|3aVULN|4LWND|58RCR|6CDMG|7TBNT|9DUR
53	23222 24315	   	236.95	ACR|DCR|2VULN|1CDMG	1LHND|2aRCR|36VULN|4LWND|5CDMG|7TBNT|8TLV|9DUR
54	23152 35215	   	236.95	ACR|DCR|2VULN|1CDMG	1LHND|2aRCR|3TBNT|4CGEN|5CDMG|67VULN|8LWND|9DUR
55	23221 22332	   	236.85	ACR|DCR|2VULN|1CDMG	1LHND|28RCR|3aVULN|4LWND|5ERES|6CDMG|7TBNT|9DUR
56	23222 12332	   	236.85	ACR|DCR|2VULN|1CDMG	1LHND|28RCR|3aVULN|4LWND|5CDMG|6ERES|7TBNT|9DUR
57	23222 24615	   	236.85	ACR|DCR|2VULN|1CDMG	1LHND|2aRCR|36VULN|4LWND|5CDMG|7TBNT|8ERES|9DUR
58	23222 25315	   	236.85	ACR|DCR|2VULN|1CDMG	1LHND|2aRCR|36VULN|4LWND|5CDMG|7DUR|8BBNT|9AME
59	23222 25365	   	236.85	ACR|DCR|2VULN|1CDMG	1LHND|2aRCR|36VULN|4LWND|5CDMG|7DUR|8BBNT|9ERES
60	23522 23315	   	236.85	ACR|DCR|2VULN|1CDMG	1LHND|2aRCR|3DUR|4LWND|5CDMG|67VULN|8BBNT|9AME
61	23522 23365	   	236.85	ACR|DCR|2VULN|1CDMG	1LHND|2aRCR|3DUR|4LWND|5CDMG|67VULN|8BBNT|9ERES
62	23136 34323	   	236.85	ACR|DCR|2VULN|1CDMG	1LHND|28RCR|3TBNT|4BBNT|5CDMG|67VULN|9DUST|aDUR
63	23362 14486	 * 	236.83	ACR|DCR|3VULN	1LHND|26RCR|3CGEN|4MBVNT|5BASARM|7DLOT|89aVULN
64	34216 32143	 * 	235.85	DCR|2VULN|2DMG|2MLV|1AART|1SELL	1SELL|28MLV|38VULN|4MBVNT|58DMG|6RCR|7TBNT|8BPWR|9AART|aBEXP
65	34216 32146	 * 	235.85	DCR|2VULN|2DMG|2MLV|1AART|1SELL	1SELL|28MLV|38VULN|4MBVNT|58DMG|6RCR|7TBNT|8BPWR|9AART|aLHND
66	34216 32148	 * 	235.85	DCR|2VULN|2DMG|2MLV|1AART|1SELL	1SELL|28MLV|38VULN|4MBVNT|58DMG|6RCR|7TBNT|8BPWR|9AART|aCGEN
67	32252 42216	 * 	235.85	DCR|2VULN|2DMG|2MLV|1RPLT|1SELL	1SELL|25DMG|35VULN|4BBNT|5BPWR|6LIT|7RPLT|8RCR|9aMLV
68	32252 51325	 * 	235.85	DCR|2VULN|2DMG|2MLV|1RPLT|1SELL	1SELL|25DMG|35VULN|4BBNT|5BPWR|6RPLT|79MLV|8BEXP|aRCR
69	34216 32141	 * 	235.75	DCR|2VULN|2DMG|2MLV|1AART|1SELL|1MSE	1SELL|28MLV|38VULN|4MBVNT|58DMG|6RCR|7TBNT|8BPWR|9AART|aMSE
70	34216 32142	 * 	235.75	DCR|2VULN|2DMG|2MLV|1AART|1SELL	1SELL|28MLV|38VULN|4MBVNT|58DMG|6RCR|7TBNT|8BPWR|9AART|aAME
71	34216 32144	 * 	235.75	DCR|2VULN|2DMG|2MLV|1AART|1SELL|1ZMB	1SELL|28MLV|38VULN|4MBVNT|58DMG|6RCR|7TBNT|8BPWR|9AART|aZMB
72	34216 32145	 * 	235.75	DCR|2VULN|2DMG|2MLV|1AART|1SELL	1SELL|28MLV|38VULN|4MBVNT|58DMG|6RCR|7TBNT|8BPWR|9AART|aMDPS
73	14153 11136	   	235.56	DCR|DCR|1VULN|1AART	1CGEN|2FEWX|3VULN|4MULHEA|5AART|6AAC|7DUR|8aRCR|9BBNT
74	45223 11136	   	235.56	DCR|DCR|1VULN|1AART	1CANTOX|2BEXP|3TLV|4VULN|5AART|6AAC|7DUR|8aRCR|9BBNT
75	12123 15136	   	235.46	DCR|DCR|1VULN|1AART	1CGEN|2NUKE|3AART|4AIRARM|5VULN|6DUR|7BEXP|8aRCR|9BBNT
76	23222 21515	   	235.16	ACR|DCR|2VULN|2CDMG	17LHND|2aRCR|36VULN|478LWND|57CDMG|7BPWR|9TLV
77	23124 35336	   	235.06	ACR|DCR|2VULN|1DMG	1LHND|27RCR|3TBNT|4FEWX|59VULN|6TLV|8LIT|aDMG
78	23223 35316	   	235.06	ACR|DCR|2VULN|1DMG	1LHND|27RCR|39VULN|4LWND|5BBNT|68TLV|aDMG
79	23223 35616	   	235.06	ACR|DCR|2VULN|1DMG	1LHND|27RCR|39VULN|48LWND|5BBNT|6TLV|aDMG
80	33126 13435	   	234.98	DCR|DCR|1VULN|1MLV|1SELL	1SELL|2RCVC|3TBNT|4LHND|5BEXP|6aRCR|7VULN|8MLV|9FEWX
81	34253 12235	   	234.78	DCR|DCR|1VULN|1MLV|1SELL	1SELL|2MLV|3VULN|4BBNT|5AME|6aRCR|7ERES|8LWND|9BEXP
82	34216 32162	 * 	234.50	DCR|2VULN|2DMG|2MLV|1SELL	1SELL|28MLV|38VULN|4MBVNT|58DMG|6RCR|7TBNT|8BPWR|9LHND|aDUR
83	34216 32152	 * 	234.40	DCR|2VULN|2DMG|2MLV|1SELL	1SELL|28MLV|38VULN|4MBVNT|58DMG|6RCR|7TBNT|8BPWR|9DUST|aDUR
