0	Index      	 *	Score 	Summary	Detail	
1	66212 12633	 * 	315.61	DCR|4VULN|2TLV|2MLV|1ASPD|1CDMG	1268VULN|37TLV|4CDMG|56MLV|6BPWR|9RCR|aASPD
34	66212 11163	   	297.49	DCR|3VULN|2MLV|1TLV|1LIT|1DMG|1CDMG	126VULN|3TLV|4CDMG|56MLV|6BPWR|7DMG|8RCR|9DUST|aLIT
35	66212 12133	   	296.44	DCR|3VULN|2TLV|2MLV|1ASPD|1CDMG	126VULN|37TLV|4CDMG|56MLV|6BPWR|8RCVC|9RCR|aASPD
36	61112 12633	   	296.44	DCR|3VULN|2TLV|2MLV|1ASPD|1CDMG	168VULN|27TLV|3DMSP|4CDMG|56MLV|6BPWR|9RCR|aASPD
37	62212 12633	   	296.44	DCR|3VULN|2TLV|2MLV|1ASPD|1CDMG	168VULN|2RCVC|37TLV|4CDMG|56MLV|6BPWR|9RCR|aASPD
38	31312 34366	   	296.04	DCR|2VULN|2TLV|2LIT|1MLV	1MLV|29LHND|3ERES|45VULN|69TLV|7DUR|89LIT|9BPWR|aRCR
39	61333 36316	 * 	295.25	DCR|3TLV|2VULN|2MLV|1LIT	17VULN|246TLV|37ERES|57MLV|7BPWR|8LIT|9DMSP|aRCR
40	61333 36322	   	295.25	DCR|3TLV|2VULN|2MLV|1LIT	17VULN|246TLV|37ERES|57MLV|7BPWR|8LIT|9FEWX|aRCR
41	61333 36362	   	295.25	DCR|3TLV|2VULN|2MLV|1LIT	17VULN|246TLV|37ERES|57MLV|7BPWR|8LIT|9LWND|aRCR
42	61312 12636	   	295.05	DCR|4VULN|2TLV|1LIT|2CDMG	1468VULN|27TLV|3ERES|56CDMG|6BPWR|9RCR|aLIT
43	15113 15531	   	294.21	DCR|3VULN|3LIT|2TLV	12RCVC|37TLV|457LIT|679VULN|7BPWR|8RCR|aZMB
44	33324 56322	 * 	293.80	DCR|3VULN|3TLV|2MLV	17MLV|2FEWX|3RCVC|4AART|579TLV|678VULN|7BPWR|aRCR
45	61112 12136	   	292.75	DCR|2VULN|2TLV|2MLV|1LIT|1CDMG	16VULN|27TLV|3DMSP|4CDMG|56MLV|6BPWR|8RCVC|9RCR|aLIT
46	62212 12136	   	292.75	DCR|2VULN|2TLV|2MLV|1LIT|1CDMG	16VULN|28RCVC|37TLV|4CDMG|56MLV|6BPWR|9RCR|aLIT
47	66236 32112	 * 	291.78	DCR|3VULN|2TLV|1LIT|2ASPD	125VULN|35TLV|4BBNT|5BPWR|6LIT|7LWND|89ASPD|aRCR
48	66212 12134	   	291.10	DCR|3VULN|2TLV|2MLV|1CDMG	126VULN|37TLV|4CDMG|56MLV|6BPWR|8RCVC|9RCR|aRPLT
49	61112 12634	   	291.10	DCR|3VULN|2TLV|2MLV|1CDMG	168VULN|27TLV|3DMSP|4CDMG|56MLV|6BPWR|9RCR|aRPLT
50	62212 12634	   	291.10	DCR|3VULN|2TLV|2MLV|1CDMG	168VULN|2RCVC|37TLV|4CDMG|56MLV|6BPWR|9RCR|aRPLT
51	63153 24221	   	290.90	DCR|DCR|2LIT|1TLV|1VULN	1VULN|2LEGI|38LIT|4ERES|5TLV|6LHND|7aRCR|9FRZFST
52	66242 11123	   	290.87	DCR|3VULN|1TLV|1LIT|1MLV|1DMG|2CDMG	126VULN|3TLV|4MLV|56CDMG|6BPWR|7DMG|8RCR|9LWND|aLIT
53	66242 11133	   	290.87	DCR|3VULN|1TLV|1LIT|1MLV|1DMG|2CDMG	126VULN|3TLV|4MLV|56CDMG|6BPWR|7DMG|8RCR|9LHND|aLIT
54	61322 22266	   	290.64	DCR|2TLV|2LIT|2MLV|1VULN|2DUR	1VULN|29TLV|3ERES|48MLV|59DUR|6LHND|79LIT|9BPWR|aRCR
55	61142 12633	   	289.72	DCR|3VULN|2TLV|1MLV|2CDMG|1ASPD	168VULN|27TLV|3DMSP|4MLV|56CDMG|6BPWR|9RCR|aASPD
56	62242 12633	   	289.72	DCR|3VULN|2TLV|1MLV|2CDMG|1ASPD	168VULN|2RCVC|37TLV|4MLV|56CDMG|6BPWR|9RCR|aASPD
57	66242 12133	   	289.72	DCR|3VULN|2TLV|1MLV|2CDMG|1ASPD	126VULN|37TLV|4MLV|56CDMG|6BPWR|8RCVC|9RCR|aASPD
58	63122 68221	 * 	289.64	DCR|DCR|2VULN|2DMG|1LIT	16VULN|2LEGI|3LIT|4MBVNT|5aDMG|79RCR|8DUR
59	66212 22633	   	289.62	DCR|3VULN|2TLV|1MLV|2CDMG|1ASPD	128VULN|37TLV|46CDMG|5MLV|9RCR|aASPD
60	66323 31333	   	289.18	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	12VULN|3MLV|4DUR|5ERES|68TLV|7RCR|9CDMG|aLIT
61	66212 32316	   	289.03	DCR|4VULN|2TLV|1MLV|1CDMG	129aVULN|39TLV|4CDMG|5MLV|6RCR|79LHND|8RMIN|9BPWR
62	66212 33115	   	288.93	DCR|4VULN|2TLV|1MLV|1CDMG	129aVULN|39TLV|4CDMG|5MLV|6RCR|79ZMB|8LEGI|9BPWR
63	61631 11323	   	288.73	DCR|4VULN|2TLV|1LIT|1ASPD	1567VULN|24TLV|3ASPD|8LIT|9RCVC|aRCR
64	61631 11341	   	288.73	DCR|4VULN|2TLV|1LIT|1ASPD	1567VULN|24TLV|3ASPD|8LIT|9LWND|aRCR
65	61631 11351	   	288.63	DCR|4VULN|2TLV|1LIT|1ASPD	1567VULN|24TLV|3ASPD|8LIT|9DUST|aRCR
66	31352 13136	   	288.20	DCR|3VULN|2TLV|1LIT|1MLV	1MLV|28LHND|3ERES|4BEXP|589VULN|6LIT|78TLV|8BPWR|aRCR
67	32352 13136	   	288.20	DCR|3VULN|2TLV|1LIT|1MLV	1MLV|28LWND|3ERES|4BEXP|589VULN|6LIT|78TLV|8BPWR|aRCR
68	31322 13136	   	288.10	DCR|3VULN|2TLV|1LIT|1MLV	1MLV|28LHND|3ERES|4DUST|589VULN|6LIT|78TLV|8BPWR|aRCR
69	32322 13136	   	288.10	DCR|3VULN|2TLV|1LIT|1MLV	1MLV|28LWND|3ERES|4DUST|589VULN|6LIT|78TLV|8BPWR|aRCR
70	34122 24316	   	288.00	DCR|2TLV|2LIT|2ASPD|1MLV|1DMG|1CDMG	1MLV|29ASPD|3CDMG|46LIT|59TLV|7DMG|89LWND|9BPWR|aRCR
71	32352 13166	 * 	287.84	DCR|3VULN|3TLV|1LIT|1MLV	1MLV|289LWND|3ERES|4BEXP|589VULN|6LIT|789TLV|89BPWR|aRCR
72	32322 13166	   	287.74	DCR|3VULN|3TLV|1LIT|1MLV	1MLV|289LWND|3ERES|4DUST|589VULN|6LIT|789TLV|89BPWR|aRCR
73	61146 12331	   	287.19	DCR|3VULN|2TLV|1MLV|2DUR|1CDMG	179VULN|29TLV|3DMSP|4MLV|5LEGI|6CDMG|89DUR|9BPWR|aRCR
74	62246 12331	   	287.19	DCR|3VULN|2TLV|1MLV|2DUR|1CDMG	179VULN|2RCVC|39TLV|4MLV|5LEGI|6CDMG|89DUR|9BPWR|aRCR
75	65334 22123	   	286.76	DCR|2TLV|2LIT|2MLV|1VULN|1ASPD	1VULN|28MLV|3ERES|4DUST|58TLV|6LHND|78LIT|8BPWR|9RCR|aASPD
76	31352 13156	   	286.38	DCR|2VULN|2TLV|2LIT|1MLV	1MLV|28LHND|3ERES|4BEXP|58VULN|69LIT|78TLV|8BPWR|aRCR
77	32352 13156	   	286.38	DCR|2VULN|2TLV|2LIT|1MLV	1MLV|28LWND|3ERES|4BEXP|58VULN|69LIT|78TLV|8BPWR|aRCR
78	33414 22136	   	286.38	DCR|2VULN|2TLV|2LIT|1MLV	1MLV|28FEWX|3ERES|49VULN|58TLV|6LHND|78LIT|8BPWR|aRCR
79	12313 62126	 * 	286.31	DCR|DCR|2TLV|2MLV|1CDMG	16RCVC|29BEXP|39MLV|4CDMG|5ZMB|79TLV|8aRCR|9BPWR
80	31322 13156	   	286.28	DCR|2VULN|2TLV|2LIT|1MLV	1MLV|28LHND|3ERES|4DUST|58VULN|69LIT|78TLV|8BPWR|aRCR
81	32322 13156	   	286.28	DCR|2VULN|2TLV|2LIT|1MLV	1MLV|28LWND|3ERES|4DUST|58VULN|69LIT|78TLV|8BPWR|aRCR
82	61321 21366	   	286.18	DCR|2VULN|2TLV|2LIT|1MLV	17VULN|29TLV|3ERES|4MLV|59DUST|6LHND|89LIT|9BPWR|aRCR
83	61321 22136	   	286.18	DCR|2VULN|2TLV|2LIT|1MLV	19VULN|28TLV|3ERES|4MLV|58DUST|6LHND|78LIT|8BPWR|aRCR
84	61513 43321	   	286.18	DCR|2VULN|2TLV|2LIT|1MLV	14VULN|29TLV|3ZMB|5MLV|6ERES|78LIT|aRCR
85	33262 14621	   	286.16	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1MLV|2FEWX|39LHND|4TLV|5VULN|6LIT|7aRCR|8LSRHEA
86	31352 13122	   	286.13	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	1MLV|28LHND|3ERES|4BEXP|58VULN|6LIT|78TLV|8BPWR|9RCR|aDMG
87	32352 13122	   	286.13	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	1MLV|28LWND|3ERES|4BEXP|58VULN|6LIT|78TLV|8BPWR|9RCR|aDMG
88	33262 14421	   	286.06	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1MLV|2FEWX|3LHND|4TLV|5VULN|6LIT|7aRCR|8AEFBLL|9FRZFST
89	61142 12136	   	286.03	DCR|2VULN|2TLV|1LIT|1MLV|2CDMG	16VULN|27TLV|3DMSP|4MLV|56CDMG|6BPWR|8RCVC|9RCR|aLIT
90	62242 12136	   	286.03	DCR|2VULN|2TLV|1LIT|1MLV|2CDMG	16VULN|28RCVC|37TLV|4MLV|56CDMG|6BPWR|9RCR|aLIT
91	31322 13124	   	286.03	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	1MLV|28LHND|3ERES|4DUST|58VULN|6LIT|78TLV|8BPWR|9RCR|aDMG
92	32322 13124	   	286.03	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	1MLV|28LWND|3ERES|4DUST|58VULN|6LIT|78TLV|8BPWR|9RCR|aDMG
93	33162 14421	   	285.96	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1MLV|2FEWX|3LEGI|4TLV|5VULN|6LIT|7aRCR|8AEFBLL|9FRZFST
94	66212 22136	   	285.93	DCR|2VULN|2TLV|1LIT|1MLV|2CDMG	12VULN|37TLV|46CDMG|5MLV|8RCVC|9RCR|aLIT
95	61112 22636	   	285.93	DCR|2VULN|2TLV|1LIT|1MLV|2CDMG	18VULN|27TLV|3DMSP|46CDMG|5MLV|9RCR|aLIT
96	62212 22636	   	285.93	DCR|2VULN|2TLV|1LIT|1MLV|2CDMG	18VULN|2RCVC|37TLV|46CDMG|5MLV|9RCR|aLIT
97	66212 33315	   	285.93	DCR|2VULN|2TLV|1LIT|1MLV|2CDMG	12VULN|3aTLV|49CDMG|5MLV|6RCR|7ZMB|8LIT
98	63122 68222	   	285.70	DCR|DCR|2VULN|1LIT|1DMG|1CDMG	16VULN|2LEGI|3LIT|4MBVNT|5DMG|79RCR|8DUR|aCDMG
99	61333 31356	 * 	285.62	DCR|3TLV|2VULN|2LIT|1MLV	17VULN|246TLV|3ERES|5MLV|89LIT|aRCR
