0	Index      	 *	Score 	Summary	Detail	
1	36631 32161	 * 	295.38	橙橙2易伤2暴击1攻速1平台	15易伤2平台34暴击6攻速7挖尘8a核9时间
24	21462 44544	   	271.97	橙橙2易伤1伤害	1时间2挖尘36易伤4基地爆炸5加一79核8伤害a激光减费
25	21462 46241	   	271.97	橙橙2易伤1伤害1挖怪	1时间2挖尘36易伤4基地爆炸5加一7伤害89核a挖怪
26	21462 46244	   	271.97	橙橙2易伤1伤害	1时间2挖尘36易伤4基地爆炸5加一7伤害89核a激光减费
27	33226 22313	   	270.89	橙橙2易伤1矿等1平台	19易伤2基地爆炸3平台4加一5挖尘6敌人爆炸7a核8矿等
28	33226 32313	   	270.89	橙橙2易伤1矿等1平台	19易伤2基地爆炸3平台4加一5挖尘6低血量敌人7a核8矿等
29	33226 72843	   	270.89	橙橙2易伤1矿等1平台	17易伤2基地爆炸3平台4加一5挖尘6a核8低血量敌人9矿等
30	33226 76313	   	270.89	橙橙2易伤1矿等1平台	19易伤2基地爆炸3平台4加一5挖尘6a核7低血量敌人8矿等
31	33227 12313	   	270.89	橙橙2易伤1矿等1平台	19易伤2基地爆炸3平台4加一5双倍秒伤6立即金币7a核8矿等
32	33227 52313	   	270.89	橙橙2易伤1矿等1平台	19易伤26基地爆炸3平台4加一5双倍秒伤7a核8矿等
33	23351 31278	   	270.04	橙橙1易伤1伤害1矿等2时间	14时间2基地爆炸3伤害5易伤6低血量敌人7加一8a核9矿等
34	21323 31245	 * 	270.00	橙橙2伤害1易伤2时间	1a时间2挖尘36伤害4易伤5基地爆炸7加一89核
35	23313 36245	   	270.00	橙橙2伤害1易伤2时间	1a时间2基地爆炸36伤害4挖尘5加一7易伤89核
36	31333 31245	   	270.00	橙橙2伤害1易伤2时间	1易伤2挖尘36伤害4a时间5基地爆炸7加一89核
37	33314 31245	   	270.00	橙橙2伤害1易伤2时间	1易伤2基地爆炸36伤害4挖尘5a时间7加一89核
38	33316 33245	   	270.00	橙橙2伤害1易伤2时间	1易伤2基地爆炸36伤害4挖尘5加一7a时间89核
39	21324 31278	   	269.94	橙橙1易伤1伤害1矿等2时间	15时间2挖尘3伤害4易伤6低血量敌人7加一8a核9矿等
40	21351 31278	   	269.94	橙橙1易伤1伤害1矿等2时间	14时间2挖尘3伤害5易伤6低血量敌人7加一8a核9矿等
41	31334 31278	   	269.94	橙橙1易伤1伤害1矿等2时间	1易伤2挖尘3伤害45时间6低血量敌人7加一8a核9矿等
42	23352 53151	   	269.86	橙橙2伤害1易伤2时间1策反	14时间2基地爆炸36伤害5策反7加一8a核9易伤
43	32131 62355	   	269.39	橙橙2易伤1矿等1策反	14易伤2赏金邻近3策反5时间6矿等7额外掉落8a核9掉矿
44	35353 61131	 * 	268.96	橙3易伤3时间1伤害2暴击1矿等1攻速	124易伤246序列升级346时间56暴击7攻速8矿等9核a伤害
45	36161 42322	 * 	268.47	橙3易伤3矿等3时间1暴击1平台	189易伤2平台3最后敌人489矿等5额外掉落6核789时间89序列升级a暴击
46	32331 31344	   	265.75	橙橙2易伤1攻速	14易伤2赏金邻近3攻速5时间6挖尘7额外掉落8a核9雷电
47	32335 11344	   	265.75	橙橙2易伤1攻速	14易伤2赏金邻近3攻速5挖尘6时间7额外掉落8a核9雷电
