0	Index      	 *	Score 	Summary	Detail	
1	56133 24126	 * 	275.62	DCR|DCR|2VULN|1MLV|1RPLT	1BBNT|2RPLT|3MBVNT|4MLV|5SNITOX|69VULN|7aRCR|8CGEN
18	42312 34631	   	257.30	DCR|DCR|1VULN|1MLV|1AART|1RPLT	1MLV|2LWND|3AART|4RPLT|5TBNT|6BBNT|79RCR|8ERES|aVULN
19	26533 35232	   	257.18	DCR|4VULN|2ASPD|1MLV|1AART	17DUST|2BBNT|3457VULN|67ASPD|7BPWR|8MLV|9AART|aRCR
20	21515 12522	   	255.02	ACR|DCR|2VULN|1MLV|1RPLT	1DUST|28RCR|3DUR|4MLV|5aVULN|6MDPS|7RPLT|9LWND
21	21515 12531	   	255.02	ACR|DCR|2VULN|1MLV|1RPLT	1DUST|28RCR|3DUR|4MLV|5aVULN|6MDPS|7RPLT|9LIT
22	31261 15323	 * 	253.59	DCR|2VULN|2DMG|2CDMG|1MLV|1AART	19LIT|29CDMG|3MLV|45VULN|69DMG|7AART|8RCR|9BPWR|aDUR
23	52331 21246	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	1BBNT|2MDPS|3MLV|45DUR|6RCVC|7aRCR|8VULN|9RMIN
24	52331 21256	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	1BBNT|2MDPS|3MLV|45DUR|6RCVC|7aRCR|8VULN|9CGEN
25	56133 24316	   	252.64	DCR|DCR|1VULN|1MLV|2RPLT	1BBNT|28RPLT|3MBVNT|4MLV|5SNITOX|6VULN|7aRCR|9ERES
26	31451 41221	   	252.17	DCR|DCR|1VULN|1CDMG|1AART	1LIT|2CDMG|3VULN|4AART|5CGEN|68RCR|7TBNT|9DUR|aRMIN
27	31451 41222	   	252.17	DCR|DCR|1VULN|1CDMG|1AART	1LIT|2CDMG|3VULN|4AART|5CGEN|68RCR|7TBNT|9DUR|aLWND
28	31451 42221	   	252.17	DCR|DCR|1VULN|1CDMG|1AART	1LIT|2CDMG|3VULN|4AART|5CGEN|68RCR|7BBNT|9DUR|aRMIN
29	31451 42222	   	252.17	DCR|DCR|1VULN|1CDMG|1AART	1LIT|2CDMG|3VULN|4AART|5CGEN|68RCR|7BBNT|9DUR|aLWND
30	33243 11615	   	252.17	DCR|DCR|1VULN|1ASPD|1AART	1LIT|2AAC|3LHND|4BELT|5DUR|6AART|78RCR|9ASPD|aVULN
31	33243 11623	   	252.17	DCR|DCR|1VULN|1CDMG|1AART	1LIT|2AAC|3LHND|4BELT|5DUR|6AART|78RCR|9VULN|aCDMG
32	31451 41223	   	252.07	DCR|DCR|1VULN|1CDMG|1AART	1LIT|2CDMG|3VULN|4AART|5CGEN|68RCR|7TBNT|9DUR|aDUST
33	31451 42223	   	252.07	DCR|DCR|1VULN|1CDMG|1AART	1LIT|2CDMG|3VULN|4AART|5CGEN|68RCR|7BBNT|9DUR|aDUST
34	31551 41223	   	251.63	DCR|DCR|1VULN|2AART|1CDMG	1LIT|2CDMG|3FEWX|49AART|5CGEN|68RCR|7TBNT|aVULN
35	32551 41223	   	251.63	DCR|DCR|1VULN|2AART|1CDMG	1LIT|2FEWX|3CDMG|49AART|5CGEN|68RCR|7TBNT|aVULN
36	45231 36311	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2TLV|3VULN|4FEWX|5LWND|6CDMG|7aRCR|8BEXP|9DUST
37	46121 36311	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2VULN|3LEGI|4ERES|5LWND|6CDMG|7aRCR|8BEXP|9DUST
38	46316 32122	 * 	250.39	DCR|2VULN|2DMG|2MLV|1AART|1RPLT	19MLV|29VULN|3AART|4RPLT|5RMIN|6SPLJET|7DUST|89DMG|9BPWR|aRCR
39	26523 35333	 * 	249.95	DCR|4VULN|2ASPD|1DMG	147DUST|2BBNT|3578VULN|67ASPD|7BPWR|9RCR|aDMG
40	26633 35333	   	249.95	DCR|4VULN|2ASPD|1DMG	137DUST|2BBNT|37BPWR|4578VULN|67ASPD|9RCR|aDMG
41	33243 11625	   	248.18	DCR|DCR|1VULN|1AART|1RPLT	1LIT|2AAC|3LHND|4BELT|5DUR|6AART|78RCR|9VULN|aRPLT
42	43525 11344	 * 	248.11	DCR|DCR|2MLV|2DUR|2RPLT|1ZMB	15MLV|23DUR|4aRPLT|6ZMB|79RCR|8MBVNT
43	55331 31121	   	248.08	DCR|DCR|1VULN|1AART|1RPLT	1BBNT|2VULN|3VENICY|4RPLT|5AART|6TBNT|7BEXP|8DUR|9aRCR
44	55331 32121	   	248.08	DCR|DCR|1VULN|1AART|1RPLT	1BBNT|2VULN|3VENICY|4RPLT|5AART|6TBNT|7LWND|8DUR|9aRCR
45	56133 24146	   	247.54	DCR|DCR|1VULN|1MLV|1RPLT	1BBNT|2RPLT|3MBVNT|4MLV|5SNITOX|6VULN|7aRCR|89CGEN
46	33212 35254	   	246.39	DCR|DCR|1VULN|1MLV	18LIT|2AAC|3LHND|4TLV|5DUR|67RCR|9MLV|aVULN
47	43132 11246	   	246.39	DCR|DCR|1VULN|1MLV	1MLV|2DUR|3LHND|4TBNT|5RCVC|6BEXP|7aRCR|8VULN|9RMIN
48	43132 11256	   	246.39	DCR|DCR|1VULN|1MLV	1MLV|2DUR|3LHND|4TBNT|5RCVC|6BEXP|7aRCR|8VULN|9CGEN
49	43332 11246	   	246.39	DCR|DCR|1VULN|1MLV	1MLV|2DUR|3LWND|4TBNT|5RCVC|6BEXP|7aRCR|8VULN|9RMIN
50	43332 11256	   	246.39	DCR|DCR|1VULN|1MLV	1MLV|2DUR|3LWND|4TBNT|5RCVC|6BEXP|7aRCR|8VULN|9CGEN
51	33232 35254	   	246.29	DCR|DCR|1VULN|1MLV	18LIT|2AAC|3LHND|4ERES|5DUR|67RCR|9MLV|aVULN
52	33212 35614	   	246.29	DCR|DCR|1VULN|2AART	1LIT|2AAC|3LHND|4TLV|5DUR|67RCR|89AART|aVULN
53	33232 35614	   	246.19	DCR|DCR|1VULN|2AART	1LIT|2AAC|3LHND|4ERES|5DUR|67RCR|89AART|aVULN
