0	Index      	 *	Score 	Summary	Detail	
1	41333 61363	 * 	282.24	DCR|DCR|2VULN|1DMG|1CDMG	18VULN|2BBNT|3CDMG|4LWND|5SNITOX|6TBNT|7DMG|9aRCR
49	51322 26153	 * 	263.25	DCR|3VULN|2MLV|2ASPD|1DMG	18MLV|2BEXP|368VULN|4TLV|5FEWX|78ASPD|8BPWR|9RCR|aDMG
50	51312 53152	   	263.04	DCR|3VULN|2DMG|2MLV	18MLV|2BEXP|38aVULN|4RCVC|5CGEN|6DUR|78DMG|8BPWR|9RCR
51	11323 25263	   	262.18	DCR|DCR|2VULN|1CDMG	1FEWX|2BBNT|3CDMG|4AAC|56VULN|7TBNT|8CANTOX|9aRCR
52	11323 26263	   	262.18	DCR|DCR|2VULN|1CDMG	1FEWX|2BBNT|3CDMG|4AAC|56VULN|7FLTFST|8TBNT|9aRCR
53	41332 62363	   	262.18	DCR|DCR|2VULN|1CDMG	18VULN|2BBNT|3CDMG|4LWND|5TBNT|6AAC|7AIRHEA|9aRCR
54	41333 62363	   	262.18	DCR|DCR|2VULN|1CDMG	18VULN|2BBNT|3CDMG|4LWND|5SNITOX|6TBNT|7AAC|9aRCR
55	61323 25263	   	262.18	DCR|DCR|2VULN|1CDMG	1LWND|2BBNT|3CDMG|4AAC|56VULN|7TBNT|8CANTOX|9aRCR
56	61323 26263	   	262.18	DCR|DCR|2VULN|1CDMG	1LWND|2BBNT|3CDMG|4AAC|56VULN|7FLTFST|8TBNT|9aRCR
57	41323 33263	   	262.08	DCR|DCR|2VULN|1CDMG	15VULN|2BBNT|3CDMG|4AAC|6TBNT|7DUST|8CANTOX|9aRCR
58	41332 42363	   	261.93	DCR|DCR|2VULN|1CDMG|1ZMB	18VULN|2BBNT|3CDMG|4LWND|5TBNT|6ZMB|7AIRHEA|9aRCR
59	51321 11151	   	261.66	DCR|3VULN|2MLV|1DMG|2DUR|1RPLT	18MLV|2BEXP|378VULN|4TLV|5DMG|68DUR|8BPWR|9RCR|aRPLT
60	51331 11151	   	261.66	DCR|3VULN|2MLV|1DMG|2DUR|1RPLT	18MLV|2BEXP|378VULN|4CGEN|5DMG|68DUR|8BPWR|9RCR|aRPLT
61	55331 11151	   	261.56	DCR|3VULN|2MLV|1DMG|2DUR|1RPLT	18MLV|2LWND|378VULN|4ERES|5DMG|68DUR|8BPWR|9RCR|aRPLT
62	36221 36243	 * 	260.99	DCR|2VULN|3DMG|3MLV	1DMSP|2AAC|3RMIN|48VULN|589MLV|68aDMG|7RCR|8BPWR
63	53235 33512	 * 	260.81	DCR|2DMG|1VULN|2MLV|2ASPD|1CDMG|1RPLT	19MLV|2ERES|39ASPD|4RPLT|5DUR|6CDMG|7RCR|89DMG|9BPWR|aVULN
64	36131 33244	   	260.48	DCR|DCR|1VULN|1DMG|2CDMG	1DMSP|2AAC|3MBVNT|4VULN|5LHND|6DMG|7aRCR|89CDMG
65	41333 61163	   	260.48	DCR|DCR|1VULN|1DMG|2CDMG	1VULN|2BBNT|38CDMG|4LWND|5SNITOX|6TBNT|7DMG|9aRCR
66	54123 23342	   	259.21	DCR|4VULN|1DMG|1MLV|1RPLT|1SELL	1MLV|2RPLT|3DUR|469aVULN|5SELL|7DMG|8RCR
67	33415 11633	   	258.98	DCR|2VULN|3MLV|2DMG|1ASPD	1DMSP|24aMLV|3aDMG|5TLV|6ASPD|7RCR|8aVULN|9RCVC|aBPWR
68	33431 11563	   	258.98	DCR|2VULN|3MLV|2DMG|1ASPD	1DMSP|26aMLV|3aDMG|4ASPD|58CGEN|7RCR|9aVULN|aBPWR
69	33432 11633	   	258.98	DCR|2VULN|3MLV|2DMG|1ASPD	1DMSP|26aMLV|3aDMG|4ASPD|5TLV|7RCR|8aVULN|9RCVC|aBPWR
70	33432 11663	   	258.98	DCR|2VULN|3MLV|2DMG|1ASPD	1DMSP|26aMLV|3aDMG|4ASPD|59TLV|7RCR|8aVULN|aBPWR
71	41612 18324	 * 	258.00	DCR|DCR|2DMG|1VULN	1VULN|2BBNT|3aDMG|4MBVNT|5FEWX|6BLAICY|7AAC|89RCR
72	16114 23321	   	257.41	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1FEWX|2SNITOX|3RPLT|4CDMG|5TBNT|6ASPD|79RCR|8VULN|aCGEN
73	16114 23322	   	257.41	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1FEWX|2SNITOX|3RPLT|4CDMG|5TBNT|6ASPD|79RCR|8VULN|aLWND
74	16114 33325	   	257.41	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1FEWX|2SNITOX|3RPLT|4CDMG|5TBNT|6AAC|79RCR|8VULN|aASPD
75	31411 11563	 * 	257.37	DCR|2VULN|2DMG|2MLV|2ASPD	1DMSP|2aASPD|3aDMG|46MLV|58CGEN|7RCR|9aVULN|aBPWR
76	31412 11633	   	257.37	DCR|2VULN|2DMG|2MLV|2ASPD	1DMSP|2aASPD|3aDMG|46MLV|5TLV|7RCR|8aVULN|9RCVC|aBPWR
77	31412 11663	   	257.37	DCR|2VULN|2DMG|2MLV|2ASPD	1DMSP|2aASPD|3aDMG|46MLV|59TLV|7RCR|8aVULN|aBPWR
78	33432 41633	   	257.37	DCR|2VULN|2DMG|2MLV|2ASPD	1DMSP|2aMLV|3aDMG|46ASPD|5TLV|7RCR|8aVULN|9RCVC|aBPWR
79	16114 23323	   	257.31	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1FEWX|2SNITOX|3RPLT|4CDMG|5TBNT|6ASPD|79RCR|8VULN|aAME
80	16114 23324	   	257.31	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT|1MSE	1FEWX|2SNITOX|3RPLT|4CDMG|5TBNT|6ASPD|79RCR|8VULN|aMSE
81	51321 61152	   	257.29	DCR|4VULN|2MLV|1DMG	18MLV|2BEXP|378aVULN|4TLV|5DMG|68LHND|8BPWR|9RCR
82	46212 21152	   	257.19	DCR|4VULN|2MLV|1DMG	168aVULN|2MDPS|3DMSP|4DMG|58TLV|78MLV|8BPWR|9RCR
83	41132 16326	   	257.17	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT|1SELL	1VULN|2BBNT|3RPLT|4SELL|5FEWX|6BLAICY|7ASPD|89RCR|aCDMG
84	45212 21152	   	257.09	DCR|4VULN|2MLV|1DMG	168aVULN|2FEWX|38DUST|4DMG|5TLV|78MLV|8BPWR|9RCR
85	51331 11156	 * 	257.01	DCR|3VULN|2MLV|1DMG|3DUR	18MLV|2BEXP|378VULN|4CGEN|5DMG|68aDUR|8BPWR|9RCR
86	54123 23343	   	256.64	DCR|3VULN|2DMG|1MLV|1RPLT|1SELL	1MLV|2RPLT|3DUR|469VULN|5SELL|7aDMG|8RCR
87	26423 22263	   	256.59	DCR|DCR|2VULN|1SELL	1BBNT|2DUR|3SELL|4AAC|56VULN|7TSLARM|8TBNT|9aRCR
88	41132 16325	   	255.97	DCR|DCR|1VULN|2ASPD|1RPLT|1SELL	1VULN|2BBNT|3RPLT|4SELL|5FEWX|6BLAICY|7aASPD|89RCR
89	51361 23215	   	255.95	DCR|DCR|1VULN|1MLV|1AART	1MLV|2BEXP|3VULN|4AART|5MSLFST|6LIT|7CGEN|8aRCR|9DUR
90	51312 53153	   	255.23	DCR|2VULN|3DMG|2MLV	18MLV|2BEXP|38VULN|4RCVC|5CGEN|6DUR|78aDMG|8BPWR|9RCR
91	51322 23155	   	254.73	DCR|3VULN|2DMG|2MLV	18MLV|2BEXP|368VULN|4TLV|5FEWX|78DMG|8BPWR|9RCR|aCGEN
92	51321 61153	   	254.73	DCR|3VULN|2DMG|2MLV	18MLV|2BEXP|378VULN|4TLV|5aDMG|68LHND|8BPWR|9RCR
93	51332 13152	   	254.73	DCR|3VULN|2DMG|2MLV	18MLV|2BEXP|38aVULN|46CGEN|5FEWX|78DMG|8BPWR|9RCR
94	51336 13152	   	254.73	DCR|3VULN|2DMG|2MLV	18MLV|2BEXP|38aVULN|46CGEN|5LHND|78DMG|8BPWR|9RCR
95	52152 23152	   	254.73	DCR|3VULN|2DMG|2MLV	18MLV|26aVULN|38TLV|4BEXP|5FEWX|78DMG|8BPWR|9RCR
96	52161 23152	   	254.73	DCR|3VULN|2DMG|2MLV	18MLV|28aVULN|3TLV|4RMIN|5LHND|6AAC|78DMG|8BPWR|9RCR
97	52411 23152	   	254.73	DCR|3VULN|2DMG|2MLV	18MLV|28aVULN|3FEWX|4RCVC|5LHND|6AAC|78DMG|8BPWR|9RCR
98	51322 23142	   	254.63	DCR|3VULN|2DMG|2MLV	18MLV|2BEXP|368VULN|4TLV|5FEWX|78DMG|8BPWR|9AIRARM|aRCR
99	51322 23156	   	254.63	DCR|3VULN|2DMG|2MLV	18MLV|2BEXP|368VULN|4TLV|5FEWX|78DMG|8BPWR|9RCR|aLEGI
100	51326 23142	   	254.63	DCR|3VULN|2DMG|2MLV	18MLV|2BEXP|368VULN|4TLV|5LHND|78DMG|8BPWR|9AIRARM|aRCR
101	46212 21153	   	254.63	DCR|3VULN|2DMG|2MLV	168VULN|2MDPS|3DMSP|4aDMG|58TLV|78MLV|8BPWR|9RCR
102	46213 21152	   	254.63	DCR|3VULN|2DMG|2MLV	18aVULN|2MDPS|3DMSP|48DMG|5RCVC|6AAC|78MLV|8BPWR|9RCR
103	51342 23142	   	254.53	DCR|3VULN|2DMG|2MLV	18MLV|2BEXP|368VULN|4LHND|5ERES|78DMG|8BPWR|9AIRARM|aRCR
104	55332 23142	   	254.53	DCR|3VULN|2DMG|2MLV	18MLV|2LWND|368VULN|4ERES|5FEWX|78DMG|8BPWR|9AIRARM|aRCR
105	45212 21153	   	254.53	DCR|3VULN|2DMG|2MLV	168VULN|2FEWX|38DUST|4aDMG|5TLV|78MLV|8BPWR|9RCR
106	31341 51153	   	254.53	DCR|3VULN|2DMG|2ASPD	1DMSP|28ASPD|3CGEN|4MDPS|58DMG|678VULN|8BPWR|9RCR|aNUKE
107	31541 31153	   	254.43	DCR|3VULN|2DMG|2ASPD	1DMSP|28ASPD|3AME|4MDPS|58DMG|678VULN|8BPWR|9RCR|aNUKE
108	36131 33214	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1DMSP|2AAC|3MBVNT|4VULN|59LHND|6DMG|7aRCR|8CDMG
109	22222 43563	   	253.96	DCR|DCR|1VULN|1DMG|1CDMG	1BBNT|2MDPS|3LWND|4VENFST|5CDMG|6VULN|7DMG|8LEGI|9aRCR
110	31412 11166	 * 	253.75	DCR|2VULN|3MLV|2ASPD|1DMG	1DMSP|2aASPD|3DMG|46aMLV|5TLV|7RCR|8ERES|9aVULN|aBPWR
111	33432 11166	   	253.75	DCR|2VULN|3MLV|2ASPD|1DMG	1DMSP|26aMLV|3DMG|4aASPD|5TLV|7RCR|8ERES|9aVULN|aBPWR
112	36133 82174	 * 	253.44	ACR|DCR|2VULN|2CDMG|1ASPD	1DMSP|2AAC|3MBVNT|49VULN|5aRCR|6ASPD|79CDMG|89LWND|9BPWR
113	16114 33326	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1FEWX|2SNITOX|3RPLT|4CDMG|5TBNT|6AAC|79RCR|8VULN|aAART
114	24326 13444	 * 	253.34	ACR|DCR|2VULN|1DMG|1CDMG	1BBNT|2MBVNT|3CDMG|49RCR|5aVULN|6LHND|7DMG|8CGEN
115	24326 13744	   	253.34	ACR|DCR|2VULN|1DMG|1CDMG	1BBNT|2MBVNT|3CDMG|49RCR|5aVULN|6LHND|7DMG|8TLV
116	24326 13244	   	253.24	ACR|DCR|2VULN|1DMG|1CDMG	1BBNT|2MBVNT|3CDMG|49RCR|5aVULN|6LHND|7DMG|8ERES
117	31412 41633	 * 	253.21	DCR|2VULN|3ASPD|2DMG|1MLV	1DMSP|26aASPD|3aDMG|4MLV|5TLV|7RCR|8aVULN|9RCVC|aBPWR
118	52535 22112	   	252.95	DCR|3VULN|1DMG|1MLV|1ASPD|1RPLT	1MLV|236VULN|4RPLT|5DUR|7LSRICY|8RCR|9ASPD|aDMG
119	51322 26151	   	252.84	DCR|3VULN|2MLV|2ASPD|1RPLT	18MLV|2BEXP|368VULN|4TLV|5FEWX|78ASPD|8BPWR|9RCR|aRPLT
120	24454 14734	 * 	252.65	ACR|DCR|3VULN|1AART	1BBNT|2MBVNT|3AART|47aVULN|59RCR|6MDPS|8BEXP
121	53236 33512	   	252.51	DCR|2DMG|1VULN|2MLV|2ASPD|1CDMG|1RPLT	19MLV|2ERES|39ASPD|4RPLT|5BEXP|6CDMG|7RCR|89DMG|9BPWR|aVULN
122	53231 33512	   	252.41	DCR|2DMG|1VULN|2MLV|2ASPD|1CDMG|1RPLT	19MLV|2ERES|39ASPD|4RPLT|5DUST|6CDMG|7RCR|89DMG|9BPWR|aVULN
123	53421 33512	   	252.41	DCR|2DMG|1VULN|2MLV|2ASPD|1CDMG|1RPLT	19MLV|2ERES|3RPLT|49ASPD|5DUST|6CDMG|7RCR|89DMG|9BPWR|aVULN
