0	Index      	 *	Score 	Summary	Detail	
1	33121 14116	 * 	284.54	DCR|DCR|2VULN|1MLV|1CDMG|1AART	1AART|2RCVC|3CDMG|49VULN|5MLV|6aRCR|7MBVNT|8LSRREG
50	11131 33135	   	261.23	DCR|DCR|2VULN|1MLV	14CGEN|23VULN|5BASARM|6LIT|7MLV|89RCR|aDUST
51	11131 33136	   	261.23	DCR|DCR|2VULN|1MLV|1SELL	14CGEN|23VULN|5BASARM|6LIT|7MLV|89RCR|aSELL
52	11133 33131	   	261.23	DCR|DCR|2VULN|1MLV	14CGEN|23VULN|5LSRREG|6LIT|7MLV|89RCR|aMDPS
53	11133 33132	   	261.23	DCR|DCR|2VULN|1MLV|1MSE	14CGEN|23VULN|5LSRREG|6LIT|7MLV|89RCR|aMSE
54	11133 33134	   	261.23	DCR|DCR|2VULN|1MLV	14CGEN|23VULN|5LSRREG|6LIT|7MLV|89RCR|aAME
55	11133 33135	   	261.23	DCR|DCR|2VULN|1MLV	14CGEN|23VULN|5LSRREG|6LIT|7MLV|89RCR|aDUST
56	11133 33136	   	261.23	DCR|DCR|2VULN|1MLV|1SELL	14CGEN|23VULN|5LSRREG|6LIT|7MLV|89RCR|aSELL
57	11466 33131	   	261.23	DCR|DCR|2VULN|1MLV	15CGEN|24VULN|3CANARM|6LIT|7MLV|89RCR|aMDPS
58	11466 33132	   	261.23	DCR|DCR|2VULN|1MLV|1MSE	15CGEN|24VULN|3CANARM|6LIT|7MLV|89RCR|aMSE
59	31541 21322	   	260.87	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1AART|2VULN|3DMG|4ASPD|5BEXP|6aRCR|7VENICY|8MDPS|9AAC
60	25114 21523	   	257.30	DCR|DCR|2VULN|1CDMG|1SELL	1SELL|25VULN|3CDMG|4LWND|6aRCR|78RCVC|9BELT
61	25114 22523	   	257.30	DCR|DCR|2VULN|1CDMG|1SELL	1SELL|25VULN|3CDMG|47LWND|6aRCR|8RCVC|9BELT
62	31516 31141	   	256.98	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1AART|2VULN|3DMG|4AME|5BBNT|6aRCR|7RPLT|8BELT|9LIT
