0	Index      	 *	Score 	Summary	Detail	
1	22536 26313	 * 	273.70	DCR|3VULN|2DMG|2ASPD|3CDMG	138CDMG|23ASPD|38BPWR|468VULN|58DMG|7DLOT|9LHND|aRCR
19	33431 33144	   	260.75	DCR|DCR|2ASPD|1MLV|1CDMG|1RPLT	1DUR|2CDMG|38ASPD|4RPLT|5FEWX|6MDPS|7aRCR|9MLV
20	21426 21113	   	258.29	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG|1AART	1CDMG|246VULN|3ASPD|5DMG|7LIT|8MLV|9RCR|aAART
21	24333 11314	 * 	258.27	DCR|DCR|2DMG|2CDMG|2RPLT	17CDMG|2LHND|37TLV|48RPLT|57DMG|6aRCR|7BPWR|9BBNT
22	24533 11314	   	258.27	DCR|DCR|2DMG|2CDMG|2RPLT	17CDMG|2LHND|38RPLT|47CGEN|57DMG|6aRCR|7BPWR|9BBNT
23	24133 11314	   	258.07	DCR|DCR|2DMG|2CDMG|2RPLT	17CDMG|2LHND|37AME|48RPLT|57DMG|6aRCR|7BPWR|9BBNT
24	52412 32522	 * 	258.00	DCR|DCR|2DMG|1VULN	1DUST|2LWND|3FEWX|4AME|57DMG|69RCR|8TBNT|aVULN
25	22111 35334	   	257.41	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1CDMG|2ASPD|3TBNT|49CGEN|5AELOIC|6aRCR|7VULN|8RPLT
26	22611 35334	   	257.41	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1CDMG|2ASPD|3BBNT|49CGEN|5AELOIC|6aRCR|7VULN|8RPLT
27	43123 33125	   	257.38	DCR|DCR|1DMG|2DUR|1ASPD|1CDMG|1RPLT	1NUKE|2CDMG|3TBNT|45DUR|6RPLT|7aRCR|8ASPD|9DMG
28	43623 33125	   	257.38	DCR|DCR|1DMG|2DUR|1ASPD|1CDMG|1RPLT	1NUKE|2CDMG|3BBNT|45DUR|6RPLT|7aRCR|8ASPD|9DMG
29	21124 35231	 * 	256.81	DCR|3VULN|2MLV|3DUR|2CDMG	19CDMG|249VULN|39MLV|567DUR|8MDPS|9BPWR|aRCR
30	12121 63631	   	256.79	DCR|DCR|2VULN|1ZMB	1LHND|25LWND|3TBNT|45VULN|5BPWR|6DUR|7FEWX|8aRCR|9ZMB
31	32121 53631	   	256.79	DCR|DCR|2VULN|1ZMB	1DUR|25LWND|3TBNT|45VULN|5BPWR|6LHND|7FEWX|8aRCR|9ZMB
32	32124 42631	   	256.49	DCR|DCR|2VULN|1ZMB	1DUR|2LWND|3TBNT|47VULN|5DUST|6LEGI|8aRCR|9ZMB
33	52123 42631	   	256.49	DCR|DCR|2VULN|1ZMB	1DUST|2LWND|3TBNT|47VULN|5DUR|6LEGI|8aRCR|9ZMB
34	22532 15126	 * 	256.29	DCR|4VULN|2ASPD|3CDMG	138CDMG|23ASPD|38BPWR|4689VULN|5BBNT|78FEWX|aRCR
35	22532 25126	   	256.29	DCR|4VULN|2ASPD|3CDMG	138CDMG|23ASPD|38BPWR|4789VULN|5BBNT|68BEXP|aRCR
36	21314 31253	   	255.98	DCR|3VULN|2ASPD|1MLV|2DUR|1CDMG	1CDMG|29aVULN|3FLTHEA|4AELOIC|5aASPD|6MLV|7aDUR|8RCR|aBPWR
37	15331 35363	   	255.95	DCR|DCR|1VULN|1MLV|1AART	13LHND|2AART|4ERES|5VULN|69RCR|7BEXP|8MLV|aDUR
38	15331 36363	   	255.95	DCR|DCR|1VULN|1MLV|1AART	13LHND|2AART|4ERES|5VULN|69RCR|7FEWX|8MLV|aDUR
39	13333 11444	   	254.97	DCR|DCR|2DMG|1CDMG|1RPLT	17LHND|2CDMG|37TLV|4RPLT|57DMG|6aRCR|7BPWR|8DUR|9MDPS
40	33224 33364	   	254.85	DCR|DCR|1MLV|2DUR|1ASPD|1CDMG|1RPLT	19DUR|2CDMG|3LHND|4ASPD|5MDPS|6RPLT|7aRCR|8MLV
41	13133 11444	   	254.77	DCR|DCR|2DMG|1CDMG|1RPLT	17LHND|2CDMG|37AME|4RPLT|57DMG|6aRCR|7BPWR|8DUR|9MDPS
42	22536 21113	   	253.70	DCR|2VULN|2ASPD|1DMG|2CDMG|1MLV|1AART	13CDMG|23ASPD|3BPWR|46VULN|5DMG|7LIT|8MLV|9RCR|aAART
43	24333 11144	   	252.98	DCR|DCR|2DMG|2CDMG|1RPLT	17CDMG|2LHND|37TLV|4RPLT|57DMG|6aRCR|7BPWR|8LWND|9MDPS
44	22515 33112	 * 	252.88	DCR|DCR|3ASPD|2CDMG|1RPLT	13CDMG|238ASPD|3BPWR|4BBNT|5LHND|6RPLT|7aRCR|9BEXP
45	24133 11144	   	252.78	DCR|DCR|2DMG|2CDMG|1RPLT	17CDMG|2LHND|37AME|4RPLT|57DMG|6aRCR|7BPWR|8LWND|9MDPS
46	13431 33144	   	252.45	DCR|DCR|2ASPD|1MLV|1CDMG|1RPLT	1LHND|2CDMG|38ASPD|4RPLT|5FEWX|6MDPS|7aRCR|9MLV
47	22231 33144	   	252.45	DCR|DCR|2ASPD|1MLV|1CDMG|1RPLT	1CDMG|28ASPD|3LHND|4RPLT|5FEWX|6MDPS|7aRCR|9MLV
48	21513 13264	   	252.07	DCR|DCR|1VULN|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4NUKE|5CGEN|6aRCR|7DUR|8LHND|9FEWX
49	12524 37382	   	251.97	DCR|DCR|1VULN|1CDMG|1RPLT	1LHND|2LWND|3MBVNT|4BASARM|5RPLT|6VULN|79RCR|8DUR|aCDMG
50	21513 13364	   	251.97	DCR|DCR|1VULN|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4NUKE|5CGEN|6aRCR|7DUR|8DUST|9FEWX
51	21514 13234	   	251.97	DCR|DCR|1VULN|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4NUKE|5RMIN|6aRCR|7DUR|8LHND|9LEGI
52	21514 13334	   	251.97	DCR|DCR|1VULN|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4NUKE|5RMIN|6aRCR|7DUR|8DUST|9LHND
53	13333 11314	   	251.96	DCR|DCR|2DMG|2RPLT|1CDMG	17LHND|2CDMG|37TLV|48RPLT|57DMG|6aRCR|7BPWR|9BBNT
54	13533 11314	   	251.96	DCR|DCR|2DMG|2RPLT|1CDMG	17LHND|2CDMG|38RPLT|47CGEN|57DMG|6aRCR|7BPWR|9BBNT
55	21513 13334	   	251.87	DCR|DCR|1VULN|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4NUKE|5CGEN|6aRCR|7DUR|8DUST|9LEGI
56	13133 11314	   	251.76	DCR|DCR|2DMG|2RPLT|1CDMG	17LHND|2CDMG|37AME|48RPLT|57DMG|6aRCR|7BPWR|9BBNT
57	21426 21316	 * 	251.25	DCR|4VULN|1DMG|1ASPD|1CDMG	1CDMG|2468VULN|3ASPD|5DMG|7LIT|9BEXP|aRCR
58	21426 21336	   	251.25	DCR|4VULN|1DMG|1ASPD|1CDMG	1CDMG|2468VULN|3ASPD|5DMG|7LIT|9FEWX|aRCR
59	21151 11253	 * 	251.03	DCR|2VULN|2DMG|2MLV|2CDMG	1aCDMG|29VULN|3aMLV|4DUST|5MSLTOX|6aDMG|7RCVC|8RCR|aBPWR
60	13562 13125	   	250.83	DCR|DCR|1DMG|1ASPD|1CDMG|1RPLT	1LHND|2CDMG|3RPLT|4MDPS|5DMG|6DUR|7aRCR|8ASPD|9AAC
61	22533 41253	   	250.80	DCR|3VULN|2ASPD|3CDMG|2DUR	13aCDMG|23ASPD|3aBPWR|49aVULN|5FRZFST|6AME|7aDUR|8RCR
62	43126 33125	   	250.73	DCR|DCR|1DMG|1CDMG|1ASPD|1RPLT	1NUKE|2CDMG|3TBNT|4DUR|5AELOIC|6RPLT|7aRCR|8ASPD|9DMG
63	13562 13135	   	250.59	DCR|DCR|1DMG|1ASPD|1CDMG|1RPLT|1ZMB	1LHND|2CDMG|3RPLT|4MDPS|5DMG|6DUR|7aRCR|8ASPD|9ZMB
64	21126 33253	   	250.39	DCR|3VULN|2MLV|2CDMG|1ASPD	1aCDMG|249VULN|3aMLV|5ASPD|6DUST|7aLSRREG|8RCR|aBPWR
65	22536 16313	   	250.23	DCR|2VULN|2DMG|2ASPD|3CDMG	138CDMG|23ASPD|38BPWR|48VULN|58DMG|6RCVC|7DLOT|9LHND|aRCR
66	22532 36131	   	250.23	DCR|2VULN|2DMG|2ASPD|3CDMG	138CDMG|23ASPD|38BPWR|48VULN|5BBNT|6AAC|78DMG|9DUST|aRCR
67	36341 32123	   	250.07	DCR|DCR|1VULN|3DUR|1AART	138DUR|27RMIN|4VULN|5AAC|69RCR|aAART
68	12546 38111	   	250.07	DCR|DCR|1VULN|1DMG|1RPLT	1LHND|2LWND|3MBVNT|4VULN|5BEXP|6MSLTOX|79RCR|8DMG|aRPLT
69	21422 56144	   	250.05	DCR|4VULN|2ASPD|2CDMG	18CDMG|2478VULN|38ASPD|5BBNT|6MBVNT|8BPWR|9RCVC|aRCR
70	22536 21316	   	249.97	DCR|3VULN|2ASPD|1DMG|2CDMG	13CDMG|23ASPD|3BPWR|468VULN|5DMG|7LIT|9BEXP|aRCR
71	22536 21336	   	249.97	DCR|3VULN|2ASPD|1DMG|2CDMG	13CDMG|23ASPD|3BPWR|468VULN|5DMG|7LIT|9FEWX|aRCR
72	21324 31253	   	249.94	DCR|3VULN|2CDMG|1MLV|2DUR|1ASPD	1aCDMG|249VULN|3aFLTHEA|5ASPD|6MLV|7aDUR|8RCR|aBPWR
73	22123 33634	   	249.87	DCR|DCR|2ASPD|2DUR|1CDMG|1RPLT	1CDMG|29ASPD|3TBNT|45DUR|6RPLT|7aRCR|8RMIN
74	22623 33634	   	249.87	DCR|DCR|2ASPD|2DUR|1CDMG|1RPLT	1CDMG|29ASPD|3BBNT|45DUR|6RPLT|7aRCR|8RMIN
75	33354 23253	   	249.84	DCR|3VULN|1DMG|1MLV|2DUR|1CDMG	1aDUR|2CDMG|3aAIRARM|4DMG|5RCVC|6MLV|79aVULN|8RCR|aBPWR
76	22123 33136	   	249.77	DCR|DCR|2ASPD|2DUR|1CDMG|1RPLT	1CDMG|28ASPD|3TBNT|45DUR|6RPLT|7aRCR|9MBVNT
77	22623 33136	   	249.77	DCR|DCR|2ASPD|2DUR|1CDMG|1RPLT	1CDMG|28ASPD|3BBNT|45DUR|6RPLT|7aRCR|9MBVNT
78	21124 13253	   	249.69	DCR|4VULN|2CDMG|1MLV	1aCDMG|249aVULN|3MLV|5DUR|6AAC|7aLSRREG|8RCR|aBPWR
79	21513 12314	   	248.96	DCR|DCR|1VULN|2RPLT|1CDMG	1CDMG|2VULN|38RPLT|4NUKE|5CGEN|6aRCR|7RCVC|9TBNT
80	21514 12314	   	248.96	DCR|DCR|1VULN|2RPLT|1CDMG	1CDMG|2VULN|38RPLT|4NUKE|5RMIN|6aRCR|7RCVC|9BBNT
81	35132 32535	   	248.92	DCR|DCR|1VULN|1DMG	1DUR|2DMSP|3VULN|4DMG|5CGEN|6aRCR|7RMIN|8TBNT|9LHND
82	55132 31521	   	248.82	DCR|DCR|1VULN|1DMG	1DUST|2DMSP|3VULN|4DMG|5aCGEN|69RCR|7TBNT|8DUR
83	55132 31523	   	248.82	DCR|DCR|1VULN|1DMG	1DUST|2DMSP|3VULN|4DMG|5CGEN|69RCR|7TBNT|8DUR|aLHND
84	21126 21254	   	248.72	DCR|4VULN|1MLV|1ASPD|1CDMG	1CDMG|2468VULN|3MLV|5ASPD|7LIT|9RMIN|aRCR
85	32642 34183	   	248.72	DCR|DCR|1VULN|1DMG	1DUR|2LWND|3TLV|4BELT|5DMG|6MBVNT|7MDPS|89RCR|aVULN
86	35132 31621	   	248.72	DCR|DCR|1VULN|1DMG	1DUR|2DMSP|3VULN|4DMG|5CGEN|6aRCR|7TBNT|8MDPS|9AME
87	51335 31522	   	248.72	DCR|DCR|1VULN|1DMG	1DUST|23BEXP|4DMG|5TBNT|69RCR|7ERES|8DUR|aVULN
88	55132 31522	   	248.72	DCR|DCR|1VULN|1DMG|1ZMB	1DUST|2DMSP|3VULN|4DMG|5CGEN|69RCR|7TBNT|8DUR|aZMB
89	21426 21111	   	248.63	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG	1CDMG|246VULN|3ASPD|5DMG|7LIT|8MLV|9RCR|aBEXP
90	21426 21112	   	248.63	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG	1CDMG|246VULN|3ASPD|5DMG|7LIT|8MLV|9RCR|aLWND
91	21426 21116	   	248.63	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG	1CDMG|246VULN|3ASPD|5DMG|7LIT|8MLV|9RCR|aLHND
92	21426 21126	   	248.63	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG	1CDMG|246VULN|3ASPD|5DMG|7LIT|8MLV|9AAC|aRCR
93	21126 21224	   	248.62	DCR|4VULN|1MLV|1ASPD|1CDMG	1CDMG|2468VULN|3MLV|5ASPD|7LIT|9ERES|aRCR
94	52412 33322	   	248.62	DCR|DCR|1VULN|1DMG	1DUST|2LWND|3FEWX|4AME|5DMG|69RCR|7DUR|8MDPS|aVULN
95	32522 38114	   	248.62	DCR|DCR|1VULN|1DMG	1DUR|25LWND|3MBVNT|45BASARM|5BPWR|6MDPS|79RCR|8DMG|aVULN
96	32527 38114	   	248.62	DCR|DCR|1VULN|1DMG	1DUR|2LWND|3MBVNT|4BASARM|5RCVC|6MDPS|79RCR|8DMG|aVULN
97	21323 16553	   	248.59	DCR|3VULN|2DMG|1ASPD|1CDMG	1CDMG|248VULN|3FLTHEA|5DUST|6RCR|7aDMG|9ASPD
98	21426 33253	   	248.59	DCR|3VULN|2DMG|1ASPD|1CDMG	1CDMG|249VULN|3ASPD|5aDMG|6DUST|7FLTHEA|8RCR
99	21426 21115	   	248.53	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG	1CDMG|246VULN|3ASPD|5DMG|7LIT|8MLV|9RCR|aAME
100	21426 21136	   	248.53	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG	1CDMG|246VULN|3ASPD|5DMG|7LIT|8MLV|9ERES|aRCR
101	33224 33314	   	248.30	DCR|DCR|1MLV|1ASPD|1CDMG|1RPLT	1DUR|2CDMG|3LHND|4ASPD|5MDPS|6RPLT|7aRCR|8MLV|9DMSP
102	15331 35361	   	247.64	DCR|DCR|1VULN|1MLV|1AART	13LHND|2AART|4ERES|5VULN|69RCR|7BEXP|8MLV|aLIT
103	15331 35362	   	247.64	DCR|DCR|1VULN|1MLV|1AART	13LHND|2AART|4ERES|5VULN|69RCR|7BEXP|8MLV|aFEWX
104	15331 36361	   	247.64	DCR|DCR|1VULN|1MLV|1AART	13LHND|2AART|4ERES|5VULN|69RCR|7FEWX|8MLV|aLIT
105	15331 36362	   	247.64	DCR|DCR|1VULN|1MLV|1AART	13LHND|2AART|4ERES|5VULN|69RCR|7FEWX|8MLV|aBEXP
106	65116 32231	   	247.44	DCR|DCR|1VULN|1MLV|1RPLT	1BELT|2LEGI|3RPLT|4DUST|5MBVNT|6MLV|7aRCR|8VULN|9BEXP
107	21323 22253	   	247.44	DCR|3VULN|2ASPD|2CDMG|1MLV	1aCDMG|249VULN|3aFLTHEA|5DUST|6MLV|7aASPD|8RCR|aBPWR
108	22522 21164	   	247.34	DCR|3VULN|2ASPD|2CDMG|1MLV	13CDMG|23ASPD|3BPWR|4ERES|569VULN|7LIT|8MLV|aRCR
109	15214 11421	 * 	246.92	ACR|DCR|2VULN|1MLV|1AART	1LHND|2AART|3aRCR|4BELT|58VULN|6LWND|7MLV|9TLV
110	15214 21421	   	246.92	ACR|DCR|2VULN|1MLV|1AART	1LHND|2AART|3aRCR|4BELT|58VULN|6BEXP|7MLV|9TLV
111	13434 11314	   	246.72	DCR|DCR|2ASPD|2CDMG|2RPLT	17LHND|27CDMG|37ASPD|48RPLT|5RMIN|6aRCR|7BPWR|9BBNT
112	22234 11314	   	246.72	DCR|DCR|2ASPD|2CDMG|2RPLT	17CDMG|27ASPD|37LHND|48RPLT|5RMIN|6aRCR|7BPWR|9BBNT
113	23434 11314	   	246.72	DCR|DCR|2ASPD|2CDMG|2RPLT	17CDMG|27FEWX|37ASPD|48RPLT|5RMIN|6aRCR|7BPWR|9BBNT
114	24433 11314	   	246.72	DCR|DCR|2ASPD|2CDMG|2RPLT	17CDMG|2LHND|37ASPD|48RPLT|57CGEN|6aRCR|7BPWR|9BBNT
115	13333 11144	   	246.66	DCR|DCR|2DMG|1CDMG|1RPLT	17LHND|2CDMG|37TLV|4RPLT|57DMG|6aRCR|7BPWR|8LWND|9MDPS
116	13533 11144	   	246.66	DCR|DCR|2DMG|1CDMG|1RPLT	17LHND|2CDMG|3RPLT|47CGEN|57DMG|6aRCR|7BPWR|8LWND|9MDPS
117	13133 11144	   	246.46	DCR|DCR|2DMG|1CDMG|1RPLT	17LHND|2CDMG|37AME|4RPLT|57DMG|6aRCR|7BPWR|8LWND|9MDPS
118	13333 14144	   	246.41	DCR|DCR|1DMG|1MLV|1CDMG|1RPLT	1LHND|2CDMG|3TLV|4RPLT|5DMG|6aRCR|7MDPS|8RMIN|9MLV
119	12262 31422	   	246.39	DCR|DCR|1VULN|1MLV	1LHND|2LWND|3AAC|4MLV|5DMSP|69RCR|7TBNT|8DUR|aVULN
120	13133 14144	   	246.31	DCR|DCR|1DMG|1MLV|1CDMG|1RPLT	1LHND|2CDMG|3AME|4RPLT|5DMG|6aRCR|7MDPS|8RMIN|9MLV
121	33421 16253	   	245.89	DCR|2VULN|2DMG|2ASPD|1CDMG	1DUR|2CDMG|37ASPD|49VULN|5TSLARM|6aDMG|8RCR
122	32343 34314	   	245.07	DCR|DCR|1VULN|2DUR|1RPLT	19DUR|2LWND|3BEXP|4LHND|5VULN|6RPLT|7BELT|8aRCR
123	22533 31233	   	244.97	DCR|2VULN|2ASPD|3CDMG|1MLV|2DUR	13aCDMG|23ASPD|3aBPWR|4aVULN|5FRZFST|6MLV|7aDUR|8RCR|9RCVC
124	21423 41253	   	244.66	DCR|3VULN|2ASPD|2CDMG|2DUR	1aCDMG|249VULN|3aASPD|5FRZFST|6AME|7aDUR|8RCR|aBPWR
125	15263 52322	 * 	244.58	ACR|DCR|1VULN|1DMG|1CDMG|1AART|1RPLT	1LHND|2AART|38RCR|4MDPS|5DMG|6VULN|7CDMG|9LIT|aRPLT
126	21126 21154	   	244.18	DCR|3VULN|2MLV|1ASPD|1CDMG	1CDMG|246VULN|38MLV|5ASPD|7LIT|9RMIN|aRCR
127	21126 21124	   	244.08	DCR|3VULN|2MLV|1ASPD|1CDMG	1CDMG|246VULN|38MLV|5ASPD|7LIT|9ERES|aRCR
128	21126 34311	   	244.08	DCR|3VULN|2MLV|1ASPD|1CDMG	1CDMG|249VULN|3aMLV|5ASPD|6DUST|7BELT|8RCR
129	22536 21111	   	244.04	DCR|2VULN|2ASPD|1DMG|2CDMG|1MLV	13CDMG|23ASPD|3BPWR|46VULN|5DMG|7LIT|8MLV|9RCR|aBEXP
130	22536 21112	   	244.04	DCR|2VULN|2ASPD|1DMG|2CDMG|1MLV	13CDMG|23ASPD|3BPWR|46VULN|5DMG|7LIT|8MLV|9RCR|aLWND
131	22536 21116	   	244.04	DCR|2VULN|2ASPD|1DMG|2CDMG|1MLV	13CDMG|23ASPD|3BPWR|46VULN|5DMG|7LIT|8MLV|9RCR|aLHND
132	22536 21126	   	244.04	DCR|2VULN|2ASPD|1DMG|2CDMG|1MLV	13CDMG|23ASPD|3BPWR|46VULN|5DMG|7LIT|8MLV|9AAC|aRCR
133	22536 33253	   	243.99	DCR|2VULN|2DMG|2ASPD|2CDMG	13CDMG|23ASPD|3BPWR|49VULN|5aDMG|6DUST|7FLTHEA|8RCR
134	22536 21115	   	243.94	DCR|2VULN|2ASPD|1DMG|2CDMG|1MLV	13CDMG|23ASPD|3BPWR|46VULN|5DMG|7LIT|8MLV|9RCR|aAME
135	22536 21136	   	243.94	DCR|2VULN|2ASPD|1DMG|2CDMG|1MLV	13CDMG|23ASPD|3BPWR|46VULN|5DMG|7LIT|8MLV|9ERES|aRCR
136	15323 36131	   	243.86	DCR|DCR|1VULN|1ASPD|1AART	13LHND|2AART|4RMIN|57CGEN|6ASPD|89RCR|aVULN
137	13351 11363	   	243.76	DCR|DCR|1VULN|1CDMG|1RPLT	1LHND|2CDMG|3TLV|4BLASTR|5BELT|6RPLT|7aRCR|8VULN|9BEXP
138	21513 11264	   	243.76	DCR|DCR|1VULN|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4NUKE|5CGEN|6aRCR|7LWND|8LHND|9FEWX
139	24351 11363	   	243.76	DCR|DCR|1VULN|1CDMG|1RPLT	1CDMG|2LHND|3TLV|4BLASTR|5BELT|6RPLT|7aRCR|8VULN|9BEXP
